Datum,Uhrzeit,Generation_DE R[MW],Generation_DE LIP S[MW]
01.01.2020,00:00,851,0
01.01.2020,01:00,849,0
01.01.2020,02:00,852,0
01.01.2020,03:00,851,0
01.01.2020,04:00,851,0
01.01.2020,05:00,846,0
01.01.2020,06:00,845,0
01.01.2020,07:00,846,86
01.01.2020,08:00,816,461
01.01.2020,09:00,742,572
01.01.2020,10:00,740,733
01.01.2020,11:00,824,833
01.01.2020,12:00,856,860
01.01.2020,13:00,801,800
01.01.2020,14:00,873,863
01.01.2020,15:00,874,866
01.01.2020,16:00,874,866
01.01.2020,17:00,861,863
01.01.2020,18:00,859,862
01.01.2020,19:00,830,845
01.01.2020,20:00,852,858
01.01.2020,21:00,867,860
01.01.2020,22:00,871,858
01.01.2020,23:00,870,859
02.01.2020,00:00,867,861
02.01.2020,01:00,875,864
02.01.2020,02:00,862,864
02.01.2020,03:00,764,780
02.01.2020,04:00,664,660
02.01.2020,05:00,721,719
02.01.2020,06:00,838,852
02.01.2020,07:00,853,859
02.01.2020,08:00,865,857
02.01.2020,09:00,870,860
02.01.2020,10:00,870,860
02.01.2020,11:00,873,859
02.01.2020,12:00,872,860
02.01.2020,13:00,869,857
02.01.2020,14:00,870,858
02.01.2020,15:00,872,860
02.01.2020,16:00,868,860
02.01.2020,17:00,871,859
02.01.2020,18:00,870,859
02.01.2020,19:00,872,859
02.01.2020,20:00,870,859
02.01.2020,21:00,861,860
02.01.2020,22:00,851,848
02.01.2020,23:00,600,588
03.01.2020,00:00,498,434
03.01.2020,01:00,512,432
03.01.2020,02:00,570,576
03.01.2020,03:00,464,508
03.01.2020,04:00,444,464
03.01.2020,05:00,437,434
03.01.2020,06:00,566,551
03.01.2020,07:00,655,648
03.01.2020,08:00,552,551
03.01.2020,09:00,550,528
03.01.2020,10:00,467,432
03.01.2020,11:00,484,433
03.01.2020,12:00,483,432
03.01.2020,13:00,464,432
03.01.2020,14:00,461,432
03.01.2020,15:00,465,432
03.01.2020,16:00,434,431
03.01.2020,17:00,444,432
03.01.2020,18:00,443,432
03.01.2020,19:00,464,432
03.01.2020,20:00,436,432
03.01.2020,21:00,439,432
03.01.2020,22:00,436,431
03.01.2020,23:00,437,408
