Datum,Uhrzeit,Generation_DE KBR[MW]
01.01.2020,00:00,1323
01.01.2020,01:00,1325
01.01.2020,02:00,1325
01.01.2020,03:00,1325
01.01.2020,04:00,1326
01.01.2020,05:00,1326
01.01.2020,06:00,1327
01.01.2020,07:00,1326
01.01.2020,08:00,1326
01.01.2020,09:00,1326
01.01.2020,10:00,1326
01.01.2020,11:00,1227
01.01.2020,12:00,1132
01.01.2020,13:00,1225
01.01.2020,14:00,1326
01.01.2020,15:00,1326
01.01.2020,16:00,1326
01.01.2020,17:00,1325
01.01.2020,18:00,1325
01.01.2020,19:00,1325
01.01.2020,20:00,1325
01.01.2020,21:00,1325
01.01.2020,22:00,1325
01.01.2020,23:00,1324
02.01.2020,00:00,1323
02.01.2020,01:00,1324
02.01.2020,02:00,1324
02.01.2020,03:00,1325
02.01.2020,04:00,1326
02.01.2020,05:00,1326
02.01.2020,06:00,1321
02.01.2020,07:00,1256
02.01.2020,08:00,1326
02.01.2020,09:00,1310
02.01.2020,10:00,1233
02.01.2020,11:00,1236
02.01.2020,12:00,1235
02.01.2020,13:00,1235
02.01.2020,14:00,1236
02.01.2020,15:00,1252
02.01.2020,16:00,1325
02.01.2020,17:00,1330
02.01.2020,18:00,1329
02.01.2020,19:00,1329
02.01.2020,20:00,1329
02.01.2020,21:00,1329
02.01.2020,22:00,1329
02.01.2020,23:00,1328
03.01.2020,00:00,1328
03.01.2020,01:00,1328
03.01.2020,02:00,1328
03.01.2020,03:00,1328
03.01.2020,04:00,1329
03.01.2020,05:00,1329
03.01.2020,06:00,1329
03.01.2020,07:00,1329
03.01.2020,08:00,1329
03.01.2020,09:00,1329
03.01.2020,10:00,1329
03.01.2020,11:00,1329
03.01.2020,12:00,1329
03.01.2020,13:00,1328
03.01.2020,14:00,1328
03.01.2020,15:00,1329
03.01.2020,16:00,1263
03.01.2020,17:00,1197
03.01.2020,18:00,1004
03.01.2020,19:00,918
03.01.2020,20:00,1167
03.01.2020,21:00,1209
03.01.2020,22:00,1259
03.01.2020,23:00,1322
04.01.2020,00:00,1266
04.01.2020,01:00,1218
04.01.2020,02:00,1218
04.01.2020,03:00,1218
04.01.2020,04:00,1234
04.01.2020,05:00,1212
04.01.2020,06:00,1201
04.01.2020,07:00,1132
04.01.2020,08:00,1128
04.01.2020,09:00,1014
04.01.2020,10:00,1011
04.01.2020,11:00,1011
04.01.2020,12:00,1011
04.01.2020,13:00,1011
04.01.2020,14:00,1011
04.01.2020,15:00,1011
04.01.2020,16:00,1030
04.01.2020,17:00,1059
04.01.2020,18:00,1116
04.01.2020,19:00,1148
04.01.2020,20:00,1170
04.01.2020,21:00,1239
04.01.2020,22:00,1327
04.01.2020,23:00,1326
05.01.2020,00:00,1295
05.01.2020,01:00,1253
05.01.2020,02:00,1311
05.01.2020,03:00,1325
05.01.2020,04:00,1325
05.01.2020,05:00,1325
05.01.2020,06:00,1326
05.01.2020,07:00,1326
05.01.2020,08:00,1327
05.01.2020,09:00,1326
05.01.2020,10:00,1326
05.01.2020,11:00,1327
05.01.2020,12:00,1326
05.01.2020,13:00,1326
05.01.2020,14:00,1326
05.01.2020,15:00,1297
05.01.2020,16:00,1237
05.01.2020,17:00,1229
05.01.2020,18:00,1167
05.01.2020,19:00,1118
05.01.2020,20:00,1103
05.01.2020,21:00,1103
05.01.2020,22:00,1088
05.01.2020,23:00,1053
06.01.2020,00:00,1051
