Datum,Uhrzeit,Generation_DE Burghausen_GT 1[MW],Generation_DE BGH 0 O1[MW]
01.01.2020,00:00,0,0
01.01.2020,01:00,0,0
01.01.2020,02:00,0,0
01.01.2020,03:00,0,0
01.01.2020,04:00,0,0
01.01.2020,05:00,0,0
01.01.2020,06:00,0,0
01.01.2020,07:00,0,0
01.01.2020,08:00,0,0
01.01.2020,09:00,0,0
01.01.2020,10:00,0,0
01.01.2020,11:00,0,0
01.01.2020,12:00,0,0
01.01.2020,13:00,0,0
01.01.2020,14:00,0,0
01.01.2020,15:00,0,0
01.01.2020,16:00,0,0
01.01.2020,17:00,0,0
01.01.2020,18:00,0,0
01.01.2020,19:00,0,0
01.01.2020,20:00,0,0
01.01.2020,21:00,0,0
01.01.2020,22:00,0,0
01.01.2020,23:00,0,0
02.01.2020,00:00,0,0
02.01.2020,01:00,0,0
02.01.2020,02:00,0,0
02.01.2020,03:00,0,0
02.01.2020,04:00,0,0
02.01.2020,05:00,0,0
02.01.2020,06:00,0,0
02.01.2020,07:00,0,0
02.01.2020,08:00,0,0
02.01.2020,09:00,0,0
02.01.2020,10:00,0,0
02.01.2020,11:00,0,0
02.01.2020,12:00,0,0
02.01.2020,13:00,0,0
02.01.2020,14:00,0,0
02.01.2020,15:00,0,0
02.01.2020,16:00,0,0
02.01.2020,17:00,0,0
02.01.2020,18:00,0,0
02.01.2020,19:00,0,0
02.01.2020,20:00,0,0
02.01.2020,21:00,0,0
02.01.2020,22:00,0,0
02.01.2020,23:00,0,0
03.01.2020,00:00,0,0
03.01.2020,01:00,0,0
03.01.2020,02:00,0,0
03.01.2020,03:00,0,0
03.01.2020,04:00,0,0
03.01.2020,05:00,0,0
03.01.2020,06:00,0,0
03.01.2020,07:00,0,0
03.01.2020,08:00,0,0
03.01.2020,09:00,0,0
03.01.2020,10:00,0,0
03.01.2020,11:00,0,0
03.01.2020,12:00,0,0
03.01.2020,13:00,0,0
03.01.2020,14:00,0,0
03.01.2020,15:00,0,0
03.01.2020,16:00,0,0
03.01.2020,17:00,0,0
03.01.2020,18:00,0,0
03.01.2020,19:00,0,0
03.01.2020,20:00,0,0
03.01.2020,21:00,0,0
03.01.2020,22:00,0,0
03.01.2020,23:00,0,0
04.01.2020,00:00,0,0
04.01.2020,01:00,0,0
04.01.2020,02:00,0,0
04.01.2020,03:00,0,0
04.01.2020,04:00,0,0
04.01.2020,05:00,0,0
04.01.2020,06:00,0,0
04.01.2020,07:00,4,0
04.01.2020,08:00,2,0
04.01.2020,09:00,13,0
04.01.2020,10:00,22,0
04.01.2020,11:00,25,0
04.01.2020,12:00,28,0
04.01.2020,13:00,31,0
04.01.2020,14:00,31,0
04.01.2020,15:00,31,0
04.01.2020,16:00,31,0
04.01.2020,17:00,31,0
04.01.2020,18:00,32,0
04.01.2020,19:00,32,0
04.01.2020,20:00,32,0
04.01.2020,21:00,34,0
04.01.2020,22:00,22,0
04.01.2020,23:00,10,0
05.01.2020,00:00,0,0
05.01.2020,01:00,0,0
05.01.2020,02:00,0,0
05.01.2020,03:00,0,0
05.01.2020,04:00,0,0
05.01.2020,05:00,10,0
05.01.2020,06:00,13,0
05.01.2020,07:00,11,0
05.01.2020,08:00,27,0
05.01.2020,09:00,26,0
05.01.2020,10:00,34,0
05.01.2020,11:00,25,0
05.01.2020,12:00,29,0
05.01.2020,13:00,18,0
05.01.2020,14:00,19,0
05.01.2020,15:00,11,0
05.01.2020,16:00,13,0
05.01.2020,17:00,11,0
05.01.2020,18:00,15,0
05.01.2020,19:00,11,0
05.01.2020,20:00,15,0
05.01.2020,21:00,11,0
05.01.2020,22:00,15,0
05.01.2020,23:00,11,0
06.01.2020,00:00,0,0
06.01.2020,01:00,0,0
06.01.2020,02:00,0,0
06.01.2020,03:00,0,0
06.01.2020,04:00,0,0
06.01.2020,05:00,11,0
06.01.2020,06:00,15,0
06.01.2020,07:00,11,0
06.01.2020,08:00,14,0
06.01.2020,09:00,11,0
06.01.2020,10:00,29,0
06.01.2020,11:00,25,0
06.01.2020,12:00,34,0
06.01.2020,13:00,26,0
06.01.2020,14:00,21,0
06.01.2020,15:00,14,0
06.01.2020,16:00,22,0
06.01.2020,17:00,17,0
06.01.2020,18:00,22,0
06.01.2020,19:00,17,0
06.01.2020,20:00,22,0
06.01.2020,21:00,17,0
06.01.2020,22:00,22,0
06.01.2020,23:00,17,0
07.01.2020,00:00,0,0
07.01.2020,01:00,0,0
07.01.2020,02:00,0,0
07.01.2020,03:00,0,0
07.01.2020,04:00,17,0
07.01.2020,05:00,22,0
07.01.2020,06:00,17,0
07.01.2020,07:00,17,0
07.01.2020,08:00,11,0
07.01.2020,09:00,15,0
07.01.2020,10:00,11,0
07.01.2020,11:00,15,0
07.01.2020,12:00,11,0
07.01.2020,13:00,15,0
07.01.2020,14:00,15,0
07.01.2020,15:00,16,0
07.01.2020,16:00,11,0
07.01.2020,17:00,22,0
07.01.2020,18:00,17,0
07.01.2020,19:00,23,0
07.01.2020,20:00,17,0
07.01.2020,21:00,23,0
07.01.2020,22:00,17,0
07.01.2020,23:00,17,0
08.01.2020,00:00,0,0
08.01.2020,01:00,0,0
08.01.2020,02:00,0,0
08.01.2020,03:00,0,0
08.01.2020,04:00,17,0
08.01.2020,05:00,22,0
08.01.2020,06:00,17,0
08.01.2020,07:00,22,0
08.01.2020,08:00,16,0
08.01.2020,09:00,15,0
08.01.2020,10:00,15,0
08.01.2020,11:00,15,0
08.01.2020,12:00,15,0
08.01.2020,13:00,15,0
08.01.2020,14:00,15,0
08.01.2020,15:00,15,0
08.01.2020,16:00,16,0
08.01.2020,17:00,22,0
08.01.2020,18:00,22,0
08.01.2020,19:00,22,0
08.01.2020,20:00,22,0
08.01.2020,21:00,22,0
08.01.2020,22:00,22,0
08.01.2020,23:00,17,0
09.01.2020,00:00,0,0
09.01.2020,01:00,0,0
09.01.2020,02:00,0,0
09.01.2020,03:00,0,0
09.01.2020,04:00,0,0
09.01.2020,05:00,17,0
09.01.2020,06:00,22,0
09.01.2020,07:00,17,0
09.01.2020,08:00,22,0
09.01.2020,09:00,15,0
09.01.2020,10:00,15,0
09.01.2020,11:00,14,0
09.01.2020,12:00,19,0
09.01.2020,13:00,18,0
09.01.2020,14:00,32,0
09.01.2020,15:00,20,0
09.01.2020,16:00,20,0
09.01.2020,17:00,20,0
09.01.2020,18:00,18,0
09.01.2020,19:00,10,0
09.01.2020,20:00,1,0
09.01.2020,21:00,0,0
09.01.2020,22:00,0,0
09.01.2020,23:00,0,0
10.01.2020,00:00,0,0
10.01.2020,01:00,0,0
10.01.2020,02:00,0,0
10.01.2020,03:00,0,0
10.01.2020,04:00,0,0
10.01.2020,05:00,0,0
10.01.2020,06:00,0,0
10.01.2020,07:00,0,0
10.01.2020,08:00,0,0
10.01.2020,09:00,0,0
10.01.2020,10:00,0,0
10.01.2020,11:00,0,0
10.01.2020,12:00,0,0
10.01.2020,13:00,0,0
10.01.2020,14:00,0,0
10.01.2020,15:00,0,0
10.01.2020,16:00,0,0
10.01.2020,17:00,0,0
10.01.2020,18:00,0,0
10.01.2020,19:00,0,0
10.01.2020,20:00,0,0
10.01.2020,21:00,0,0
