Datum,Uhrzeit,Generation_DE Block 3[MW],Generation_DE Block 4[MW],Generation_DE Block 5[MW]
01.01.2020,00:00,0,39,136
01.01.2020,01:00,0,39,145
01.01.2020,02:00,0,44,150
01.01.2020,03:00,0,43,146
01.01.2020,04:00,0,40,137
01.01.2020,05:00,0,41,138
01.01.2020,06:00,0,42,156
01.01.2020,07:00,0,49,176
01.01.2020,08:00,0,55,189
01.01.2020,09:00,0,73,205
01.01.2020,10:00,0,78,207
01.01.2020,11:00,0,75,211
01.01.2020,12:00,0,69,216
01.01.2020,13:00,0,78,219
01.01.2020,14:00,0,80,218
01.01.2020,15:00,0,76,219
01.01.2020,16:00,0,73,219
01.01.2020,17:00,0,64,215
01.01.2020,18:00,0,70,219
01.01.2020,19:00,0,73,219
01.01.2020,20:00,0,57,206
01.01.2020,21:00,0,47,203
01.01.2020,22:00,0,57,204
01.01.2020,23:00,0,62,205
02.01.2020,00:00,0,65,214
02.01.2020,01:00,0,65,216
02.01.2020,02:00,0,57,183
02.01.2020,03:00,0,56,190
02.01.2020,04:00,0,47,170
02.01.2020,05:00,0,53,176
02.01.2020,06:00,0,47,200
02.01.2020,07:00,0,44,205
02.01.2020,08:00,0,55,203
02.01.2020,09:00,0,54,174
02.01.2020,10:00,0,43,150
02.01.2020,11:00,0,48,166
02.01.2020,12:00,0,44,178
02.01.2020,13:00,0,42,209
02.01.2020,14:00,0,43,209
02.01.2020,15:00,0,40,198
02.01.2020,16:00,0,43,180
02.01.2020,17:00,0,50,202
02.01.2020,18:00,0,75,210
02.01.2020,19:00,0,63,201
02.01.2020,20:00,0,54,186
02.01.2020,21:00,0,41,155
02.01.2020,22:00,0,41,168
02.01.2020,23:00,0,53,177
03.01.2020,00:00,0,49,191
03.01.2020,01:00,0,56,209
03.01.2020,02:00,0,44,199
03.01.2020,03:00,0,42,193
03.01.2020,04:00,0,40,207
03.01.2020,05:00,0,78,215
03.01.2020,06:00,0,80,218
03.01.2020,07:00,0,62,194
03.01.2020,08:00,0,50,177
03.01.2020,09:00,0,61,172
03.01.2020,10:00,0,64,180
03.01.2020,11:00,0,61,184
03.01.2020,12:00,0,72,204
03.01.2020,13:00,0,70,208
03.01.2020,14:00,0,77,215
03.01.2020,15:00,0,82,215
03.01.2020,16:00,0,79,209
03.01.2020,17:00,0,79,202
03.01.2020,18:00,0,48,170
03.01.2020,19:00,0,46,170
03.01.2020,20:00,0,51,181
03.01.2020,21:00,0,46,175
03.01.2020,22:00,0,57,195
03.01.2020,23:00,0,52,201
04.01.2020,00:00,0,51,209
04.01.2020,01:00,0,50,193
04.01.2020,02:00,0,46,192
04.01.2020,03:00,0,62,216
04.01.2020,04:00,0,57,195
04.01.2020,05:00,0,50,188
04.01.2020,06:00,0,82,220
04.01.2020,07:00,0,81,216
04.01.2020,08:00,0,65,204
04.01.2020,09:00,0,82,211
04.01.2020,10:00,0,57,178
04.01.2020,11:00,0,51,184
04.01.2020,12:00,0,66,191
04.01.2020,13:00,0,47,207
04.01.2020,14:00,0,52,195
04.01.2020,15:00,0,50,206
04.01.2020,16:00,0,61,213
04.01.2020,17:00,0,71,216
04.01.2020,18:00,0,79,221
04.01.2020,19:00,0,78,213
04.01.2020,20:00,0,58,195
04.01.2020,21:00,0,67,215
04.01.2020,22:00,0,65,218
04.01.2020,23:00,0,73,217
05.01.2020,00:00,0,78,218
05.01.2020,01:00,0,73,211
05.01.2020,02:00,0,72,195
05.01.2020,03:00,0,62,190
05.01.2020,04:00,0,55,204
05.01.2020,05:00,0,57,187
05.01.2020,06:00,0,46,174
05.01.2020,07:00,0,57,199
