Datum,Uhrzeit,Generation_DE III/A[MW],Generation_DE III/B[MW]
01.01.2020,00:00,0,149
01.01.2020,01:00,0,209
01.01.2020,02:00,0,209
01.01.2020,03:00,0,209
01.01.2020,04:00,0,209
01.01.2020,05:00,0,209
01.01.2020,06:00,0,209
01.01.2020,07:00,0,208
01.01.2020,08:00,0,208
01.01.2020,09:00,0,208
01.01.2020,10:00,0,209
01.01.2020,11:00,0,209
01.01.2020,12:00,0,208
01.01.2020,13:00,0,209
01.01.2020,14:00,0,204
01.01.2020,15:00,0,207
01.01.2020,16:00,0,209
01.01.2020,17:00,0,208
01.01.2020,18:00,0,209
01.01.2020,19:00,0,209
01.01.2020,20:00,0,208
01.01.2020,21:00,0,209
01.01.2020,22:00,0,209
01.01.2020,23:00,0,209
02.01.2020,00:00,0,208
02.01.2020,01:00,0,177
02.01.2020,02:00,0,150
02.01.2020,03:00,0,146
02.01.2020,04:00,0,157
02.01.2020,05:00,0,186
02.01.2020,06:00,0,201
02.01.2020,07:00,0,184
02.01.2020,08:00,0,214
02.01.2020,09:00,0,217
02.01.2020,10:00,0,218
02.01.2020,11:00,0,211
02.01.2020,12:00,0,215
02.01.2020,13:00,0,218
02.01.2020,14:00,0,216
02.01.2020,15:00,0,217
02.01.2020,16:00,0,209
02.01.2020,17:00,0,209
02.01.2020,18:00,0,208
02.01.2020,19:00,0,210
02.01.2020,20:00,0,211
02.01.2020,21:00,0,210
02.01.2020,22:00,0,166
02.01.2020,23:00,0,73
03.01.2020,00:00,0,57
03.01.2020,01:00,0,58
03.01.2020,02:00,0,58
03.01.2020,03:00,0,58
03.01.2020,04:00,0,58
03.01.2020,05:00,0,58
03.01.2020,06:00,0,58
03.01.2020,07:00,0,59
03.01.2020,08:00,0,58
03.01.2020,09:00,0,59
03.01.2020,10:00,0,61
03.01.2020,11:00,0,81
03.01.2020,12:00,0,96
03.01.2020,13:00,0,98
03.01.2020,14:00,0,98
03.01.2020,15:00,0,101
03.01.2020,16:00,0,101
03.01.2020,17:00,0,101
03.01.2020,18:00,0,101
03.01.2020,19:00,0,84
03.01.2020,20:00,0,94
03.01.2020,21:00,0,93
03.01.2020,22:00,0,88
03.01.2020,23:00,0,72
04.01.2020,00:00,0,58
04.01.2020,01:00,0,57
04.01.2020,02:00,0,57
04.01.2020,03:00,0,57
04.01.2020,04:00,0,58
04.01.2020,05:00,0,57
04.01.2020,06:00,0,57
04.01.2020,07:00,0,57
04.01.2020,08:00,0,59
04.01.2020,09:00,0,60
04.01.2020,10:00,0,59
04.01.2020,11:00,0,59
04.01.2020,12:00,0,59
04.01.2020,13:00,0,58
04.01.2020,14:00,0,64
04.01.2020,15:00,0,90
04.01.2020,16:00,0,142
04.01.2020,17:00,0,189
04.01.2020,18:00,0,205
04.01.2020,19:00,0,210
04.01.2020,20:00,0,202
04.01.2020,21:00,0,209
04.01.2020,22:00,0,208
04.01.2020,23:00,0,209
05.01.2020,00:00,0,209
05.01.2020,01:00,0,208
05.01.2020,02:00,0,209
05.01.2020,03:00,0,207
05.01.2020,04:00,0,176
05.01.2020,05:00,0,166
05.01.2020,06:00,0,149
05.01.2020,07:00,0,150
05.01.2020,08:00,0,150
05.01.2020,09:00,0,150
05.01.2020,10:00,0,150
05.01.2020,11:00,0,150
05.01.2020,12:00,0,149
05.01.2020,13:00,0,140
05.01.2020,14:00,0,139
05.01.2020,15:00,0,151
05.01.2020,16:00,0,190
05.01.2020,17:00,0,209
05.01.2020,18:00,0,209
05.01.2020,19:00,0,210
05.01.2020,20:00,0,210
05.01.2020,21:00,0,207
05.01.2020,22:00,0,208
05.01.2020,23:00,0,206
06.01.2020,00:00,0,203
06.01.2020,01:00,0,208
06.01.2020,02:00,0,208
06.01.2020,03:00,0,208
06.01.2020,04:00,0,204
06.01.2020,05:00,0,207
06.01.2020,06:00,0,205
06.01.2020,07:00,0,198
06.01.2020,08:00,0,203
06.01.2020,09:00,0,210
06.01.2020,10:00,0,208
06.01.2020,11:00,0,209
06.01.2020,12:00,0,208
06.01.2020,13:00,0,209
06.01.2020,14:00,0,209
06.01.2020,15:00,0,209
06.01.2020,16:00,0,209
06.01.2020,17:00,0,210
06.01.2020,18:00,0,209
06.01.2020,19:00,0,209
06.01.2020,20:00,0,206
06.01.2020,21:00,0,205
06.01.2020,22:00,0,206
06.01.2020,23:00,0,172
07.01.2020,00:00,0,141
07.01.2020,01:00,0,139
07.01.2020,02:00,0,139
07.01.2020,03:00,0,139
07.01.2020,04:00,0,143
07.01.2020,05:00,0,175
07.01.2020,06:00,0,208
07.01.2020,07:00,0,210
07.01.2020,08:00,0,212
07.01.2020,09:00,0,212
07.01.2020,10:00,0,215
07.01.2020,11:00,0,211
07.01.2020,12:00,0,207
07.01.2020,13:00,0,206
07.01.2020,14:00,0,211
07.01.2020,15:00,0,210
07.01.2020,16:00,0,209
07.01.2020,17:00,0,211
07.01.2020,18:00,0,209
07.01.2020,19:00,0,208
07.01.2020,20:00,0,202
07.01.2020,21:00,0,205
07.01.2020,22:00,0,176
07.01.2020,23:00,0,130
08.01.2020,00:00,0,117
08.01.2020,01:00,0,117
08.01.2020,02:00,0,116
08.01.2020,03:00,0,116
08.01.2020,04:00,0,116
08.01.2020,05:00,0,116
08.01.2020,06:00,0,136
08.01.2020,07:00,0,204
08.01.2020,08:00,0,208
08.01.2020,09:00,0,212
08.01.2020,10:00,0,210
08.01.2020,11:00,0,212
08.01.2020,12:00,0,206
08.01.2020,13:00,0,207
08.01.2020,14:00,0,211
08.01.2020,15:00,0,206
08.01.2020,16:00,0,206
08.01.2020,17:00,0,211
08.01.2020,18:00,0,212
08.01.2020,19:00,0,213
08.01.2020,20:00,0,207
08.01.2020,21:00,0,213
08.01.2020,22:00,0,211
08.01.2020,23:00,0,201
09.01.2020,00:00,0,163
09.01.2020,01:00,0,144
09.01.2020,02:00,0,144
09.01.2020,03:00,0,144
09.01.2020,04:00,0,148
09.01.2020,05:00,0,178
09.01.2020,06:00,0,211
09.01.2020,07:00,0,215
09.01.2020,08:00,0,215
09.01.2020,09:00,0,190
09.01.2020,10:00,0,205
09.01.2020,11:00,0,203
09.01.2020,12:00,0,194
09.01.2020,13:00,0,171
09.01.2020,14:00,0,191
09.01.2020,15:00,0,196
09.01.2020,16:00,0,205
09.01.2020,17:00,0,206
09.01.2020,18:00,0,206
09.01.2020,19:00,0,206
09.01.2020,20:00,0,206
09.01.2020,21:00,0,167
09.01.2020,22:00,0,114
09.01.2020,23:00,0,114
10.01.2020,00:00,0,137
10.01.2020,01:00,0,160
10.01.2020,02:00,0,153
10.01.2020,03:00,0,153
10.01.2020,04:00,0,152
10.01.2020,05:00,0,179
10.01.2020,06:00,0,207
10.01.2020,07:00,0,214
10.01.2020,08:00,0,215
10.01.2020,09:00,0,214
10.01.2020,10:00,0,215
10.01.2020,11:00,0,215
10.01.2020,12:00,0,207
10.01.2020,13:00,0,211
10.01.2020,14:00,0,214
10.01.2020,15:00,0,210
10.01.2020,16:00,0,209
10.01.2020,17:00,0,209
10.01.2020,18:00,0,214
10.01.2020,19:00,0,214
10.01.2020,20:00,0,214
10.01.2020,21:00,0,198
10.01.2020,22:00,0,173
10.01.2020,23:00,0,165
11.01.2020,00:00,0,118
11.01.2020,01:00,0,115
11.01.2020,02:00,0,115
11.01.2020,03:00,0,115
11.01.2020,04:00,0,115
11.01.2020,05:00,0,115
11.01.2020,06:00,0,133
11.01.2020,07:00,0,174
11.01.2020,08:00,0,207
11.01.2020,09:00,0,209
11.01.2020,10:00,0,211
11.01.2020,11:00,0,209
11.01.2020,12:00,0,209
11.01.2020,13:00,0,209
11.01.2020,14:00,0,209
11.01.2020,15:00,0,209
11.01.2020,16:00,0,209
11.01.2020,17:00,0,208
11.01.2020,18:00,0,209
11.01.2020,19:00,0,201
11.01.2020,20:00,0,166
11.01.2020,21:00,0,124
11.01.2020,22:00,0,115
11.01.2020,23:00,0,114
12.01.2020,00:00,0,114
12.01.2020,01:00,0,114
12.01.2020,02:00,0,114
12.01.2020,03:00,0,114
12.01.2020,04:00,0,114
12.01.2020,05:00,0,115
12.01.2020,06:00,0,115
12.01.2020,07:00,0,115
12.01.2020,08:00,0,115
12.01.2020,09:00,0,116
12.01.2020,10:00,0,117
12.01.2020,11:00,0,118
12.01.2020,12:00,0,117
12.01.2020,13:00,0,116
12.01.2020,14:00,0,116
12.01.2020,15:00,0,117
12.01.2020,16:00,0,129
12.01.2020,17:00,0,172
12.01.2020,18:00,0,193
12.01.2020,19:00,0,197
12.01.2020,20:00,0,188
12.01.2020,21:00,0,182
12.01.2020,22:00,0,174
12.01.2020,23:00,0,142
13.01.2020,00:00,0,116
13.01.2020,01:00,0,116
13.01.2020,02:00,0,115
13.01.2020,03:00,0,116
13.01.2020,04:00,0,128
13.01.2020,05:00,0,165
13.01.2020,06:00,0,203
13.01.2020,07:00,0,223
13.01.2020,08:00,0,227
13.01.2020,09:00,0,227
13.01.2020,10:00,0,227
13.01.2020,11:00,0,226
13.01.2020,12:00,0,230
13.01.2020,13:00,0,236
13.01.2020,14:00,0,237
13.01.2020,15:00,0,237
13.01.2020,16:00,0,237
13.01.2020,17:00,0,237
13.01.2020,18:00,0,237
13.01.2020,19:00,0,216
13.01.2020,20:00,0,173
13.01.2020,21:00,0,205
13.01.2020,22:00,0,194
13.01.2020,23:00,0,150
14.01.2020,00:00,0,91
14.01.2020,01:00,0,61
14.01.2020,02:00,0,62
14.01.2020,03:00,0,62
14.01.2020,04:00,0,62
14.01.2020,05:00,0,61
14.01.2020,06:00,0,63
14.01.2020,07:00,0,95
14.01.2020,08:00,0,110
14.01.2020,09:00,0,102
14.01.2020,10:00,0,83
14.01.2020,11:00,0,64
14.01.2020,12:00,0,63
14.01.2020,13:00,0,62
14.01.2020,14:00,0,69
14.01.2020,15:00,0,77
14.01.2020,16:00,0,66
14.01.2020,17:00,0,64
14.01.2020,18:00,0,67
14.01.2020,19:00,0,85
14.01.2020,20:00,0,87
14.01.2020,21:00,0,77
14.01.2020,22:00,0,62
14.01.2020,23:00,0,62
15.01.2020,00:00,0,63
15.01.2020,01:00,0,66
15.01.2020,02:00,0,66
15.01.2020,03:00,0,66
15.01.2020,04:00,0,66
15.01.2020,05:00,0,65
15.01.2020,06:00,0,84
15.01.2020,07:00,0,104
15.01.2020,08:00,0,109
15.01.2020,09:00,0,111
15.01.2020,10:00,0,109
15.01.2020,11:00,0,80
15.01.2020,12:00,0,77
15.01.2020,13:00,0,63
15.01.2020,14:00,0,61
15.01.2020,15:00,0,90
15.01.2020,16:00,0,95
15.01.2020,17:00,0,96
15.01.2020,18:00,0,96
15.01.2020,19:00,0,94
15.01.2020,20:00,0,90
15.01.2020,21:00,0,64
15.01.2020,22:00,0,59
15.01.2020,23:00,0,61
16.01.2020,00:00,0,62
16.01.2020,01:00,0,64
16.01.2020,02:00,0,64
16.01.2020,03:00,0,64
16.01.2020,04:00,0,66
16.01.2020,05:00,0,105
16.01.2020,06:00,0,160
16.01.2020,07:00,0,195
16.01.2020,08:00,0,210
16.01.2020,09:00,0,210
16.01.2020,10:00,0,210
16.01.2020,11:00,0,211
16.01.2020,12:00,0,193
16.01.2020,13:00,0,206
16.01.2020,14:00,0,210
16.01.2020,15:00,0,210
16.01.2020,16:00,0,211
16.01.2020,17:00,0,211
16.01.2020,18:00,0,205
16.01.2020,19:00,0,195
16.01.2020,20:00,0,155
16.01.2020,21:00,0,123
16.01.2020,22:00,0,122
16.01.2020,23:00,0,118
17.01.2020,00:00,0,124
17.01.2020,01:00,0,128
17.01.2020,02:00,0,126
17.01.2020,03:00,0,123
17.01.2020,04:00,0,129
17.01.2020,05:00,0,154
17.01.2020,06:00,0,191
17.01.2020,07:00,0,210
17.01.2020,08:00,0,211
17.01.2020,09:00,0,212
17.01.2020,10:00,0,212
17.01.2020,11:00,0,211
17.01.2020,12:00,0,211
17.01.2020,13:00,0,208
17.01.2020,14:00,0,211
17.01.2020,15:00,0,211
17.01.2020,16:00,0,211
17.01.2020,17:00,0,211
17.01.2020,18:00,0,213
17.01.2020,19:00,0,208
17.01.2020,20:00,0,198
17.01.2020,21:00,0,178
17.01.2020,22:00,0,196
17.01.2020,23:00,0,191
18.01.2020,00:00,0,168
18.01.2020,01:00,0,179
18.01.2020,02:00,0,181
18.01.2020,03:00,0,179
18.01.2020,04:00,0,200
18.01.2020,05:00,0,199
18.01.2020,06:00,0,195
18.01.2020,07:00,0,204
18.01.2020,08:00,0,207
18.01.2020,09:00,0,212
18.01.2020,10:00,0,213
18.01.2020,11:00,0,213
18.01.2020,12:00,0,211
18.01.2020,13:00,0,214
18.01.2020,14:00,0,212
18.01.2020,15:00,0,215
18.01.2020,16:00,0,212
18.01.2020,17:00,0,212
18.01.2020,18:00,0,213
18.01.2020,19:00,0,212
18.01.2020,20:00,0,212
18.01.2020,21:00,0,210
18.01.2020,22:00,0,209
18.01.2020,23:00,0,188
19.01.2020,00:00,0,139
19.01.2020,01:00,0,116
19.01.2020,02:00,0,116
19.01.2020,03:00,0,117
19.01.2020,04:00,0,116
19.01.2020,05:00,0,122
19.01.2020,06:00,0,117
19.01.2020,07:00,0,116
19.01.2020,08:00,0,118
19.01.2020,09:00,0,186
19.01.2020,10:00,0,214
19.01.2020,11:00,0,213
19.01.2020,12:00,0,214
19.01.2020,13:00,0,164
19.01.2020,14:00,0,120
19.01.2020,15:00,0,134
19.01.2020,16:00,0,163
19.01.2020,17:00,0,192
19.01.2020,18:00,0,217
19.01.2020,19:00,0,217
19.01.2020,20:00,0,214
19.01.2020,21:00,0,208
19.01.2020,22:00,0,215
19.01.2020,23:00,0,186
20.01.2020,00:00,0,155
20.01.2020,01:00,0,152
20.01.2020,02:00,0,152
20.01.2020,03:00,0,151
20.01.2020,04:00,0,150
20.01.2020,05:00,0,160
20.01.2020,06:00,0,201
20.01.2020,07:00,0,217
20.01.2020,08:00,0,216
20.01.2020,09:00,0,218
20.01.2020,10:00,0,217
20.01.2020,11:00,0,216
20.01.2020,12:00,0,217
20.01.2020,13:00,0,216
20.01.2020,14:00,0,216
20.01.2020,15:00,0,216
20.01.2020,16:00,0,216
20.01.2020,17:00,0,216
20.01.2020,18:00,0,215
20.01.2020,19:00,0,216
20.01.2020,20:00,0,208
20.01.2020,21:00,0,208
20.01.2020,22:00,0,209
20.01.2020,23:00,0,208
21.01.2020,00:00,0,209
21.01.2020,01:00,0,209
21.01.2020,02:00,0,208
21.01.2020,03:00,0,208
21.01.2020,04:00,0,209
21.01.2020,05:00,0,208
21.01.2020,06:00,0,214
21.01.2020,07:00,0,217
21.01.2020,08:00,0,217
21.01.2020,09:00,0,217
21.01.2020,10:00,0,216
21.01.2020,11:00,0,216
21.01.2020,12:00,0,217
21.01.2020,13:00,0,217
21.01.2020,14:00,0,218
21.01.2020,15:00,0,216
21.01.2020,16:00,0,216
21.01.2020,17:00,0,216
21.01.2020,18:00,0,217
21.01.2020,19:00,0,217
21.01.2020,20:00,0,216
21.01.2020,21:00,0,213
21.01.2020,22:00,0,212
21.01.2020,23:00,0,205
22.01.2020,00:00,0,204
22.01.2020,01:00,0,208
22.01.2020,02:00,0,208
22.01.2020,03:00,0,207
22.01.2020,04:00,0,208
22.01.2020,05:00,0,208
22.01.2020,06:00,0,210
22.01.2020,07:00,0,217
22.01.2020,08:00,0,220
22.01.2020,09:00,0,220
22.01.2020,10:00,0,227
22.01.2020,11:00,0,231
22.01.2020,12:00,0,231
22.01.2020,13:00,0,231
22.01.2020,14:00,0,231
22.01.2020,15:00,0,231
22.01.2020,16:00,0,232
22.01.2020,17:00,0,231
22.01.2020,18:00,0,231
22.01.2020,19:00,0,231
22.01.2020,20:00,0,223
22.01.2020,21:00,0,214
22.01.2020,22:00,0,210
22.01.2020,23:00,0,209
23.01.2020,00:00,0,208
23.01.2020,01:00,0,209
23.01.2020,02:00,0,208
23.01.2020,03:00,0,209
23.01.2020,04:00,0,209
23.01.2020,05:00,0,210
23.01.2020,06:00,0,211
23.01.2020,07:00,0,223
23.01.2020,08:00,0,224
23.01.2020,09:00,0,224
23.01.2020,10:00,0,224
23.01.2020,11:00,0,223
23.01.2020,12:00,0,224
23.01.2020,13:00,0,223
23.01.2020,14:00,0,224
23.01.2020,15:00,0,224
23.01.2020,16:00,0,223
23.01.2020,17:00,0,223
23.01.2020,18:00,0,224
23.01.2020,19:00,0,223
23.01.2020,20:00,0,223
23.01.2020,21:00,0,223
23.01.2020,22:00,0,215
23.01.2020,23:00,0,209
24.01.2020,00:00,0,208
24.01.2020,01:00,0,208
24.01.2020,02:00,0,209
24.01.2020,03:00,0,209
24.01.2020,04:00,0,208
24.01.2020,05:00,0,208
24.01.2020,06:00,0,210
24.01.2020,07:00,0,214
24.01.2020,08:00,0,219
24.01.2020,09:00,0,220
24.01.2020,10:00,0,215
24.01.2020,11:00,0,215
24.01.2020,12:00,0,215
24.01.2020,13:00,0,215
24.01.2020,14:00,0,216
24.01.2020,15:00,0,215
24.01.2020,16:00,0,215
