Datum,Uhrzeit,Generation_DE GKN II[MW]
01.01.2020,00:00,1309
01.01.2020,01:00,1312
01.01.2020,02:00,1311
01.01.2020,03:00,1311
01.01.2020,04:00,1312
01.01.2020,05:00,1310
01.01.2020,06:00,1313
01.01.2020,07:00,1310
01.01.2020,08:00,1310
01.01.2020,09:00,1311
01.01.2020,10:00,1311
01.01.2020,11:00,1313
01.01.2020,12:00,1313
01.01.2020,13:00,1311
01.01.2020,14:00,1312
01.01.2020,15:00,1313
01.01.2020,16:00,1311
01.01.2020,17:00,1310
01.01.2020,18:00,1311
01.01.2020,19:00,1314
01.01.2020,20:00,1314
01.01.2020,21:00,1314
01.01.2020,22:00,1314
01.01.2020,23:00,1313
02.01.2020,00:00,1314
02.01.2020,01:00,1315
02.01.2020,02:00,1314
02.01.2020,03:00,1314
02.01.2020,04:00,1315
02.01.2020,05:00,1316
02.01.2020,06:00,1318
02.01.2020,07:00,1320
02.01.2020,08:00,1320
02.01.2020,09:00,1320
02.01.2020,10:00,1319
02.01.2020,11:00,1320
02.01.2020,12:00,1320
02.01.2020,13:00,1320
02.01.2020,14:00,1319
02.01.2020,15:00,1318
02.01.2020,16:00,1317
02.01.2020,17:00,1317
02.01.2020,18:00,1318
02.01.2020,19:00,1318
02.01.2020,20:00,1316
02.01.2020,21:00,1315
02.01.2020,22:00,1316
02.01.2020,23:00,1315
03.01.2020,00:00,1312
03.01.2020,01:00,1315
03.01.2020,02:00,1311
03.01.2020,03:00,1313
03.01.2020,04:00,1313
03.01.2020,05:00,1312
03.01.2020,06:00,1312
03.01.2020,07:00,1312
03.01.2020,08:00,1313
03.01.2020,09:00,1313
03.01.2020,10:00,1313
03.01.2020,11:00,1313
03.01.2020,12:00,1313
03.01.2020,13:00,1313
03.01.2020,14:00,1314
03.01.2020,15:00,1311
03.01.2020,16:00,1310
03.01.2020,17:00,1310
03.01.2020,18:00,1310
03.01.2020,19:00,1307
03.01.2020,20:00,1305
03.01.2020,21:00,1307
03.01.2020,22:00,1306
03.01.2020,23:00,1305
04.01.2020,00:00,1306
04.01.2020,01:00,1310
04.01.2020,02:00,1311
04.01.2020,03:00,1312
04.01.2020,04:00,1312
04.01.2020,05:00,1312
04.01.2020,06:00,1315
04.01.2020,07:00,1313
04.01.2020,08:00,1313
04.01.2020,09:00,1313
04.01.2020,10:00,1313
04.01.2020,11:00,1313
04.01.2020,12:00,1313
04.01.2020,13:00,1313
04.01.2020,14:00,1314
04.01.2020,15:00,1314
04.01.2020,16:00,1314
04.01.2020,17:00,1314
04.01.2020,18:00,1314
04.01.2020,19:00,1314
04.01.2020,20:00,1313
04.01.2020,21:00,1313
04.01.2020,22:00,1317
04.01.2020,23:00,1314
05.01.2020,00:00,1315
05.01.2020,01:00,1315
05.01.2020,02:00,1316
05.01.2020,03:00,1314
05.01.2020,04:00,1315
05.01.2020,05:00,1315
05.01.2020,06:00,1317
05.01.2020,07:00,1317
05.01.2020,08:00,1317
05.01.2020,09:00,1315
05.01.2020,10:00,1317
05.01.2020,11:00,1318
05.01.2020,12:00,1317
05.01.2020,13:00,1318
05.01.2020,14:00,1315
05.01.2020,15:00,1314
05.01.2020,16:00,1314
05.01.2020,17:00,1313
05.01.2020,18:00,1314
05.01.2020,19:00,1314
05.01.2020,20:00,1311
05.01.2020,21:00,1311
05.01.2020,22:00,1314
05.01.2020,23:00,1313
06.01.2020,00:00,1314
06.01.2020,01:00,1315
06.01.2020,02:00,1314
06.01.2020,03:00,1314
06.01.2020,04:00,1316
06.01.2020,05:00,1317
06.01.2020,06:00,1315
06.01.2020,07:00,1313
06.01.2020,08:00,1313
06.01.2020,09:00,1313
06.01.2020,10:00,1315
06.01.2020,11:00,1315
06.01.2020,12:00,1312
06.01.2020,13:00,1314
06.01.2020,14:00,1314
06.01.2020,15:00,1314
06.01.2020,16:00,1312
06.01.2020,17:00,1313
06.01.2020,18:00,1314
06.01.2020,19:00,1314
06.01.2020,20:00,1311
06.01.2020,21:00,1310
06.01.2020,22:00,1312
06.01.2020,23:00,1311
07.01.2020,00:00,1314
07.01.2020,01:00,1319
07.01.2020,02:00,1322
07.01.2020,03:00,1321
07.01.2020,04:00,1321
07.01.2020,05:00,1316
07.01.2020,06:00,1313
07.01.2020,07:00,1310
07.01.2020,08:00,1311
07.01.2020,09:00,1311
07.01.2020,10:00,1310
07.01.2020,11:00,1310
07.01.2020,12:00,1309
07.01.2020,13:00,1309
07.01.2020,14:00,1309
07.01.2020,15:00,1312
07.01.2020,16:00,1313
07.01.2020,17:00,1312
07.01.2020,18:00,1312
07.01.2020,19:00,1313
07.01.2020,20:00,1311
07.01.2020,21:00,1312
07.01.2020,22:00,1312
07.01.2020,23:00,1311
08.01.2020,00:00,1311
08.01.2020,01:00,1311
08.01.2020,02:00,1311
08.01.2020,03:00,1311
08.01.2020,04:00,1312
08.01.2020,05:00,1311
08.01.2020,06:00,1312
08.01.2020,07:00,1314
