Datum,Uhrzeit,Generation_DE PSS A[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS B[MW]
01.01.2020,00:00,0,0,1,0
01.01.2020,01:00,0,0,0,0
01.01.2020,02:00,0,0,0,0
01.01.2020,03:00,0,0,0,0
01.01.2020,04:00,0,0,0,0
01.01.2020,05:00,0,0,0,0
01.01.2020,06:00,0,0,0,0
01.01.2020,07:00,0,0,0,0
01.01.2020,08:00,56,0,0,0
01.01.2020,09:00,50,0,0,0
01.01.2020,10:00,0,0,0,0
01.01.2020,11:00,0,0,0,0
01.01.2020,12:00,0,0,0,0
01.01.2020,13:00,0,0,0,0
01.01.2020,14:00,36,0,0,0
01.01.2020,15:00,146,0,0,0
01.01.2020,16:00,80,0,1,1
01.01.2020,17:00,223,244,220,246
01.01.2020,18:00,232,249,229,252
01.01.2020,19:00,224,241,221,244
01.01.2020,20:00,234,247,230,249
01.01.2020,21:00,92,11,0,1
01.01.2020,22:00,134,0,0,0
01.01.2020,23:00,0,0,0,0
02.01.2020,00:00,0,0,0,0
02.01.2020,01:00,0,0,0,0
02.01.2020,02:00,0,0,0,0
02.01.2020,03:00,0,0,0,0
02.01.2020,04:00,0,0,0,0
02.01.2020,05:00,1,0,0,0
02.01.2020,06:00,113,0,0,0
02.01.2020,07:00,238,240,235,246
02.01.2020,08:00,238,249,235,252
02.01.2020,09:00,186,72,47,225
02.01.2020,10:00,80,0,0,0
02.01.2020,11:00,136,0,0,0
02.01.2020,12:00,182,0,0,0
02.01.2020,13:00,166,0,0,0
02.01.2020,14:00,130,53,48,56
02.01.2020,15:00,76,0,40,0
02.01.2020,16:00,125,0,38,0
02.01.2020,17:00,136,0,132,0
02.01.2020,18:00,116,209,116,223
02.01.2020,19:00,113,205,101,205
02.01.2020,20:00,75,0,0,62
02.01.2020,21:00,85,0,0,0
02.01.2020,22:00,141,0,0,0
02.01.2020,23:00,0,0,0,0
03.01.2020,00:00,0,0,0,0
03.01.2020,01:00,0,0,0,0
03.01.2020,02:00,0,0,0,0
03.01.2020,03:00,0,0,0,0
03.01.2020,04:00,0,0,0,0
03.01.2020,05:00,0,0,0,0
03.01.2020,06:00,0,0,0,0
03.01.2020,07:00,0,0,43,0
03.01.2020,08:00,223,239,221,245
03.01.2020,09:00,139,49,0,2
03.01.2020,10:00,106,0,0,0
03.01.2020,11:00,121,0,0,0
03.01.2020,12:00,125,0,0,0
03.01.2020,13:00,88,29,0,0
03.01.2020,14:00,127,0,0,0
03.01.2020,15:00,79,0,0,196
03.01.2020,16:00,98,0,0,199
03.01.2020,17:00,155,222,153,228
03.01.2020,18:00,147,223,145,226
03.01.2020,19:00,209,235,207,237
03.01.2020,20:00,0,165,87,23
03.01.2020,21:00,0,223,166,0
03.01.2020,22:00,0,225,129,0
03.01.2020,23:00,0,182,73,0
04.01.2020,00:00,0,0,27,0
04.01.2020,01:00,0,0,0,0
04.01.2020,02:00,0,0,0,0
04.01.2020,03:00,0,0,0,0
04.01.2020,04:00,0,0,0,0
04.01.2020,05:00,0,0,0,0
04.01.2020,06:00,0,0,0,0
04.01.2020,07:00,0,0,0,0
04.01.2020,08:00,0,0,0,0
04.01.2020,09:00,0,0,0,0
04.01.2020,10:00,0,0,0,0
04.01.2020,11:00,0,0,0,0
04.01.2020,12:00,0,0,0,0
04.01.2020,13:00,0,0,0,0
04.01.2020,14:00,0,0,0,0
04.01.2020,15:00,0,0,0,0
04.01.2020,16:00,140,0,0,0
04.01.2020,17:00,76,0,0,0
04.01.2020,18:00,128,0,0,0
04.01.2020,19:00,169,0,0,229
04.01.2020,20:00,180,0,176,231
04.01.2020,21:00,115,0,0,0
04.01.2020,22:00,202,0,0,0
04.01.2020,23:00,5,0,0,0
05.01.2020,00:00,0,0,0,0
05.01.2020,01:00,0,0,0,0
05.01.2020,02:00,0,0,0,0
05.01.2020,03:00,0,0,0,0
05.01.2020,04:00,0,0,0,0
05.01.2020,05:00,0,0,0,0
05.01.2020,06:00,5,0,0,0
05.01.2020,07:00,139,0,0,0
05.01.2020,08:00,40,0,0,0
05.01.2020,09:00,38,0,0,0
05.01.2020,10:00,43,0,0,0
05.01.2020,11:00,38,0,0,0
05.01.2020,12:00,133,0,0,0
05.01.2020,13:00,135,0,0,0
05.01.2020,14:00,103,0,0,0
05.01.2020,15:00,129,0,0,0
05.01.2020,16:00,79,0,1,0
05.01.2020,17:00,220,236,217,243
05.01.2020,18:00,244,252,241,254
05.01.2020,19:00,243,250,239,253
05.01.2020,20:00,212,210,187,237
05.01.2020,21:00,78,0,0,0
05.01.2020,22:00,132,0,0,0
05.01.2020,23:00,6,0,0,0
06.01.2020,00:00,0,0,0,0
06.01.2020,01:00,0,0,0,0
06.01.2020,02:00,0,0,0,0
06.01.2020,03:00,0,0,0,0
06.01.2020,04:00,0,0,0,0
06.01.2020,05:00,0,0,0,0
06.01.2020,06:00,0,0,0,0
06.01.2020,07:00,101,5,2,10
06.01.2020,08:00,248,254,245,256
06.01.2020,09:00,202,230,199,233
06.01.2020,10:00,271,204,3,266
06.01.2020,11:00,74,0,0,2
06.01.2020,12:00,146,0,0,0
06.01.2020,13:00,96,0,0,0
06.01.2020,14:00,117,0,0,0
06.01.2020,15:00,104,0,0,0
06.01.2020,16:00,219,0,0,0
06.01.2020,17:00,197,232,162,234
06.01.2020,18:00,169,214,166,216
06.01.2020,19:00,176,216,137,218
06.01.2020,20:00,91,6,0,0
06.01.2020,21:00,77,0,0,0
06.01.2020,22:00,0,0,0,0
06.01.2020,23:00,0,0,0,0
07.01.2020,00:00,0,0,0,0
07.01.2020,01:00,0,0,0,0
07.01.2020,02:00,0,0,0,0
07.01.2020,03:00,0,0,0,0
07.01.2020,04:00,0,0,0,0
07.01.2020,05:00,0,0,0,0
07.01.2020,06:00,1,0,0,0
07.01.2020,07:00,174,0,4,225
07.01.2020,08:00,246,106,240,242
07.01.2020,09:00,232,236,229,240
07.01.2020,10:00,204,224,201,227
07.01.2020,11:00,231,239,228,242
07.01.2020,12:00,217,20,211,232
07.01.2020,13:00,189,0,185,8
07.01.2020,14:00,4,0,117,0
07.01.2020,15:00,0,0,155,0
07.01.2020,16:00,0,0,95,0
07.01.2020,17:00,219,217,217,223
07.01.2020,18:00,223,222,220,225
07.01.2020,19:00,117,0,4,0
07.01.2020,20:00,29,0,0,0
07.01.2020,21:00,0,0,0,0
07.01.2020,22:00,0,0,0,0
07.01.2020,23:00,0,0,0,0
08.01.2020,00:00,0,0,0,0
08.01.2020,01:00,0,0,0,0
08.01.2020,02:00,0,0,0,0
08.01.2020,03:00,0,0,0,0
08.01.2020,04:00,0,0,0,0
08.01.2020,05:00,0,0,0,0
08.01.2020,06:00,0,0,0,0
08.01.2020,07:00,0,0,0,0
08.01.2020,08:00,0,21,77,0
08.01.2020,09:00,0,0,44,0
08.01.2020,10:00,0,0,45,0
08.01.2020,11:00,0,0,65,0
08.01.2020,12:00,0,0,80,0
08.01.2020,13:00,0,0,94,0
08.01.2020,14:00,0,1,159,2
08.01.2020,15:00,0,238,222,239
08.01.2020,16:00,10,220,195,20
08.01.2020,17:00,242,244,49,244
08.01.2020,18:00,253,258,103,259
08.01.2020,19:00,233,237,230,240
08.01.2020,20:00,67,226,219,111
08.01.2020,21:00,0,0,0,0
08.01.2020,22:00,0,2,0,0
08.01.2020,23:00,0,198,0,0
09.01.2020,00:00,0,0,0,0
09.01.2020,01:00,0,0,0,0
09.01.2020,02:00,0,0,0,0
09.01.2020,03:00,0,0,0,0
09.01.2020,04:00,0,0,0,0
09.01.2020,05:00,0,0,0,0
09.01.2020,06:00,0,0,0,0
09.01.2020,07:00,274,0,0,255
09.01.2020,08:00,264,0,0,255
09.01.2020,09:00,245,0,0,242
09.01.2020,10:00,113,0,0,117
09.01.2020,11:00,0,0,0,0
09.01.2020,12:00,143,0,0,0
09.01.2020,13:00,0,0,0,0
09.01.2020,14:00,0,0,0,0
09.01.2020,15:00,1,0,0,0
09.01.2020,16:00,80,0,0,0
09.01.2020,17:00,166,0,0,0
09.01.2020,18:00,254,243,249,250
09.01.2020,19:00,129,4,0,48
09.01.2020,20:00,0,0,0,0
09.01.2020,21:00,0,0,0,0
09.01.2020,22:00,0,0,0,0
09.01.2020,23:00,0,0,0,0
10.01.2020,00:00,0,0,0,0
10.01.2020,01:00,0,0,0,0
10.01.2020,02:00,0,0,0,0
10.01.2020,03:00,0,0,0,0
10.01.2020,04:00,0,0,0,0
10.01.2020,05:00,0,0,0,0
10.01.2020,06:00,0,0,0,0
10.01.2020,07:00,188,52,31,57
10.01.2020,08:00,207,232,204,235
10.01.2020,09:00,247,250,244,253
10.01.2020,10:00,126,12,27,32
10.01.2020,11:00,95,0,34,0
10.01.2020,12:00,135,0,79,0
10.01.2020,13:00,134,0,0,171
10.01.2020,14:00,61,0,3,0
10.01.2020,15:00,60,0,0,0
10.01.2020,16:00,98,0,0,0
10.01.2020,17:00,237,236,234,239
10.01.2020,18:00,257,237,254,241
10.01.2020,19:00,213,221,210,223
10.01.2020,20:00,221,217,217,220
10.01.2020,21:00,121,1,1,0
10.01.2020,22:00,190,0,0,0
10.01.2020,23:00,44,0,0,0
11.01.2020,00:00,0,0,0,0
11.01.2020,01:00,0,0,0,0
11.01.2020,02:00,0,0,0,0
11.01.2020,03:00,0,0,0,0
11.01.2020,04:00,0,0,0,0
11.01.2020,05:00,0,0,0,0
11.01.2020,06:00,0,0,1,0
11.01.2020,07:00,0,0,111,0
11.01.2020,08:00,1,0,93,0
11.01.2020,09:00,229,237,225,243
11.01.2020,10:00,220,233,218,236
11.01.2020,11:00,52,0,126,0
11.01.2020,12:00,0,0,62,0
11.01.2020,13:00,0,0,107,0
11.01.2020,14:00,0,0,122,0
11.01.2020,15:00,0,0,110,0
11.01.2020,16:00,0,0,79,0
11.01.2020,17:00,215,0,210,95
11.01.2020,18:00,246,224,242,235
11.01.2020,19:00,143,174,141,0
11.01.2020,20:00,1,0,98,0
11.01.2020,21:00,0,0,123,0
11.01.2020,22:00,0,0,112,0
11.01.2020,23:00,0,0,101,0
12.01.2020,00:00,0,0,47,0
12.01.2020,01:00,0,0,0,0
12.01.2020,02:00,0,0,0,0
12.01.2020,03:00,0,0,0,0
12.01.2020,04:00,0,0,0,0
12.01.2020,05:00,0,0,0,0
12.01.2020,06:00,0,0,0,0
12.01.2020,07:00,0,0,0,0
12.01.2020,08:00,0,0,0,0
12.01.2020,09:00,0,0,0,0
12.01.2020,10:00,0,0,0,0
12.01.2020,11:00,0,0,0,0
12.01.2020,12:00,0,0,0,0
12.01.2020,13:00,0,0,0,0
12.01.2020,14:00,0,0,0,0
12.01.2020,15:00,2,0,0,0
12.01.2020,16:00,90,0,0,0
12.01.2020,17:00,62,0,0,0
12.01.2020,18:00,81,0,0,0
12.01.2020,19:00,61,0,0,0
12.01.2020,20:00,60,0,0,0
12.01.2020,21:00,61,0,0,0
12.01.2020,22:00,24,0,0,0
12.01.2020,23:00,60,0,0,0
13.01.2020,00:00,1,0,0,0
13.01.2020,01:00,0,0,0,0
13.01.2020,02:00,0,0,0,0
13.01.2020,03:00,0,0,0,0
13.01.2020,04:00,42,0,0,0
13.01.2020,05:00,150,0,0,0
13.01.2020,06:00,175,3,142,0
13.01.2020,07:00,275,266,272,265
13.01.2020,08:00,234,248,230,251
13.01.2020,09:00,244,250,241,253
13.01.2020,10:00,288,263,287,267
13.01.2020,11:00,277,245,275,249
13.01.2020,12:00,0,1,54,0
