Datum,Uhrzeit,Generation_DE KraftwerkG[MW]
01.01.2020,00:00,1360
01.01.2020,01:00,1364
01.01.2020,02:00,1356
01.01.2020,03:00,1347
01.01.2020,04:00,1347
01.01.2020,05:00,1346
01.01.2020,06:00,1350
01.01.2020,07:00,1370
01.01.2020,08:00,1374
01.01.2020,09:00,1371
01.01.2020,10:00,1371
01.01.2020,11:00,1369
01.01.2020,12:00,1367
01.01.2020,13:00,1363
01.01.2020,14:00,1363
01.01.2020,15:00,1362
01.01.2020,16:00,1363
01.01.2020,17:00,1361
01.01.2020,18:00,1361
01.01.2020,19:00,1361
01.01.2020,20:00,1361
01.01.2020,21:00,1350
01.01.2020,22:00,1345
01.01.2020,23:00,1343
02.01.2020,00:00,1351
02.01.2020,01:00,1362
02.01.2020,02:00,1364
02.01.2020,03:00,1365
02.01.2020,04:00,1364
02.01.2020,05:00,1362
02.01.2020,06:00,1357
02.01.2020,07:00,1242
02.01.2020,08:00,1363
02.01.2020,09:00,1366
02.01.2020,10:00,1366
02.01.2020,11:00,1365
02.01.2020,12:00,1366
02.01.2020,13:00,1366
02.01.2020,14:00,1368
02.01.2020,15:00,1369
02.01.2020,16:00,1294
02.01.2020,17:00,1270
02.01.2020,18:00,1203
02.01.2020,19:00,1171
02.01.2020,20:00,1173
02.01.2020,21:00,1171
02.01.2020,22:00,1172
02.01.2020,23:00,1170
03.01.2020,00:00,1171
03.01.2020,01:00,1175
03.01.2020,02:00,1172
03.01.2020,03:00,1173
03.01.2020,04:00,1169
03.01.2020,05:00,1120
03.01.2020,06:00,1120
03.01.2020,07:00,1107
03.01.2020,08:00,1075
03.01.2020,09:00,1072
03.01.2020,10:00,1072
03.01.2020,11:00,1042
03.01.2020,12:00,1043
03.01.2020,13:00,1042
03.01.2020,14:00,1045
03.01.2020,15:00,1042
03.01.2020,16:00,1070
03.01.2020,17:00,1072
03.01.2020,18:00,984
03.01.2020,19:00,984
03.01.2020,20:00,1120
03.01.2020,21:00,1170
03.01.2020,22:00,1266
03.01.2020,23:00,1204
04.01.2020,00:00,1186
04.01.2020,01:00,1185
04.01.2020,02:00,1185
04.01.2020,03:00,1186
04.01.2020,04:00,1186
04.01.2020,05:00,1185
04.01.2020,06:00,1182
04.01.2020,07:00,1085
04.01.2020,08:00,1055
04.01.2020,09:00,961
04.01.2020,10:00,960
04.01.2020,11:00,961
04.01.2020,12:00,961
04.01.2020,13:00,961
04.01.2020,14:00,964
04.01.2020,15:00,964
04.01.2020,16:00,964
04.01.2020,17:00,965
04.01.2020,18:00,1048
04.01.2020,19:00,1052
04.01.2020,20:00,1052
04.01.2020,21:00,1069
04.01.2020,22:00,1185
04.01.2020,23:00,1187
05.01.2020,00:00,1195
05.01.2020,01:00,1197
05.01.2020,02:00,1329
05.01.2020,03:00,1361
05.01.2020,04:00,1359
05.01.2020,05:00,1359
05.01.2020,06:00,1361
05.01.2020,07:00,1361
05.01.2020,08:00,1366
05.01.2020,09:00,1365
05.01.2020,10:00,1365
05.01.2020,11:00,1363
05.01.2020,12:00,1362
05.01.2020,13:00,1362
05.01.2020,14:00,1362
05.01.2020,15:00,1362
05.01.2020,16:00,1360
05.01.2020,17:00,1357
05.01.2020,18:00,1356
05.01.2020,19:00,1356
05.01.2020,20:00,1355
05.01.2020,21:00,1355
05.01.2020,22:00,1355
05.01.2020,23:00,1351
06.01.2020,00:00,1337
06.01.2020,01:00,1337
06.01.2020,02:00,1338
06.01.2020,03:00,1339
06.01.2020,04:00,1354
06.01.2020,05:00,1357
06.01.2020,06:00,1358
06.01.2020,07:00,1356
06.01.2020,08:00,1357
06.01.2020,09:00,1358
06.01.2020,10:00,1358
06.01.2020,11:00,1358
06.01.2020,12:00,1358
06.01.2020,13:00,1358
06.01.2020,14:00,1359
06.01.2020,15:00,1361
06.01.2020,16:00,1360
06.01.2020,17:00,1360
06.01.2020,18:00,1362
06.01.2020,19:00,1363
06.01.2020,20:00,1363
06.01.2020,21:00,1363
06.01.2020,22:00,1363
06.01.2020,23:00,1364
07.01.2020,00:00,1365
07.01.2020,01:00,1362
07.01.2020,02:00,1363
07.01.2020,03:00,1362
07.01.2020,04:00,1361
07.01.2020,05:00,1361
07.01.2020,06:00,1360
07.01.2020,07:00,1358
07.01.2020,08:00,1359
07.01.2020,09:00,1358
07.01.2020,10:00,1356
07.01.2020,11:00,1355
07.01.2020,12:00,1353
07.01.2020,13:00,1348
07.01.2020,14:00,1248
