Datum,Uhrzeit,Generation_DE ALT GT E (solo)[MW],Generation_DE ALT GT A (Solo)[MW],Generation_DE ALT GT B[MW],Generation_DE ALT GT C[MW],Generation_DE ALT Heizkraftwerk 1[MW],Generation_DE ALT Heizkraftwerk 2 (DT Solobetrieb)[MW]
01.01.2020,00:00,0,0,0,0,0,236
01.01.2020,01:00,0,0,0,0,0,166
01.01.2020,02:00,0,0,0,0,0,115
01.01.2020,03:00,0,0,0,0,0,117
01.01.2020,04:00,0,0,0,0,0,116
01.01.2020,05:00,0,0,0,0,0,113
01.01.2020,06:00,0,0,0,0,0,116
01.01.2020,07:00,0,0,0,0,0,116
01.01.2020,08:00,0,0,0,0,0,115
01.01.2020,09:00,0,0,0,0,0,114
01.01.2020,10:00,0,0,0,0,0,115
01.01.2020,11:00,0,0,0,0,0,115
01.01.2020,12:00,0,0,0,0,0,117
01.01.2020,13:00,0,0,0,0,0,116
01.01.2020,14:00,0,0,0,0,0,150
01.01.2020,15:00,0,0,0,0,0,283
01.01.2020,16:00,0,0,0,0,0,288
01.01.2020,17:00,0,0,0,0,0,288
01.01.2020,18:00,0,0,0,0,0,250
01.01.2020,19:00,0,0,0,0,0,105
01.01.2020,20:00,0,0,0,0,0,97
01.01.2020,21:00,0,0,0,0,0,96
01.01.2020,22:00,0,0,0,0,0,95
01.01.2020,23:00,0,0,0,0,0,94
02.01.2020,00:00,0,0,0,0,0,95
02.01.2020,01:00,0,0,0,0,0,98
02.01.2020,02:00,0,0,0,0,0,97
02.01.2020,03:00,0,0,0,0,0,98
02.01.2020,04:00,0,0,0,0,0,97
02.01.2020,05:00,0,0,0,0,0,100
02.01.2020,06:00,0,0,0,0,0,107
02.01.2020,07:00,0,0,0,0,0,107
02.01.2020,08:00,0,0,0,0,0,221
02.01.2020,09:00,0,0,0,0,0,275
02.01.2020,10:00,0,0,0,0,0,278
02.01.2020,11:00,0,0,0,0,0,279
02.01.2020,12:00,0,0,0,0,0,280
02.01.2020,13:00,0,0,0,0,0,280
02.01.2020,14:00,0,0,0,0,0,280
02.01.2020,15:00,0,0,0,0,0,281
02.01.2020,16:00,0,0,0,0,0,275
02.01.2020,17:00,0,0,0,0,0,279
02.01.2020,18:00,0,0,0,0,0,281
02.01.2020,19:00,0,0,0,0,0,281
02.01.2020,20:00,0,0,0,0,0,183
02.01.2020,21:00,0,0,0,0,0,101
02.01.2020,22:00,0,0,0,0,0,96
02.01.2020,23:00,0,0,0,0,0,99
03.01.2020,00:00,0,0,0,0,0,100
03.01.2020,01:00,0,0,0,0,0,99
03.01.2020,02:00,0,0,0,0,0,101
03.01.2020,03:00,0,0,0,0,0,101
03.01.2020,04:00,0,0,0,0,0,99
03.01.2020,05:00,0,0,0,0,0,96
03.01.2020,06:00,0,0,0,0,0,103
03.01.2020,07:00,0,0,0,0,0,105
03.01.2020,08:00,0,0,0,0,0,106
03.01.2020,09:00,0,0,0,0,0,107
03.01.2020,10:00,0,0,0,0,0,105
03.01.2020,11:00,0,0,0,0,0,105
03.01.2020,12:00,0,0,0,0,0,108
03.01.2020,13:00,0,0,0,0,0,106
03.01.2020,14:00,0,0,0,0,0,107
03.01.2020,15:00,0,0,0,0,0,107
03.01.2020,16:00,0,0,0,0,0,108
03.01.2020,17:00,0,0,0,0,0,147
03.01.2020,18:00,0,0,0,0,0,283
03.01.2020,19:00,0,0,0,0,0,285
03.01.2020,20:00,0,0,0,0,0,284
03.01.2020,21:00,0,0,0,0,0,230
03.01.2020,22:00,0,0,0,0,0,99
03.01.2020,23:00,0,0,0,0,0,102
04.01.2020,00:00,0,0,0,0,0,101
04.01.2020,01:00,0,0,0,0,0,100
04.01.2020,02:00,0,0,0,0,0,100
04.01.2020,03:00,0,0,0,0,0,100
04.01.2020,04:00,0,0,0,0,0,100
04.01.2020,05:00,0,0,0,0,0,99
04.01.2020,06:00,0,0,0,0,0,100
04.01.2020,07:00,0,0,0,0,0,166
04.01.2020,08:00,0,0,0,0,0,272
04.01.2020,09:00,0,0,0,0,0,289
04.01.2020,10:00,0,0,0,0,0,212
04.01.2020,11:00,0,0,0,0,0,206
04.01.2020,12:00,0,0,0,0,0,205
04.01.2020,13:00,0,0,0,0,0,205
04.01.2020,14:00,0,0,0,0,0,206
04.01.2020,15:00,0,0,0,0,0,132
04.01.2020,16:00,0,0,0,0,0,102
04.01.2020,17:00,0,0,0,0,0,102
04.01.2020,18:00,0,0,0,0,0,103
04.01.2020,19:00,0,0,0,0,0,105
04.01.2020,20:00,0,0,0,0,0,239
04.01.2020,21:00,0,0,0,0,0,289
04.01.2020,22:00,0,0,0,0,0,290
04.01.2020,23:00,0,0,0,0,0,289
05.01.2020,00:00,0,0,0,0,0,133
05.01.2020,01:00,0,0,0,0,0,101
05.01.2020,02:00,0,0,0,0,0,102
05.01.2020,03:00,0,0,0,0,0,101
05.01.2020,04:00,0,0,0,0,0,101
05.01.2020,05:00,0,0,0,0,0,102
05.01.2020,06:00,0,0,0,0,0,101
05.01.2020,07:00,0,0,0,0,0,100
05.01.2020,08:00,0,0,0,0,0,101
05.01.2020,09:00,0,0,0,0,0,102
05.01.2020,10:00,0,0,0,0,0,101
05.01.2020,11:00,0,0,0,0,0,102
05.01.2020,12:00,0,0,0,0,0,102
05.01.2020,13:00,0,0,0,0,0,101
05.01.2020,14:00,0,0,0,0,0,101
05.01.2020,15:00,0,0,0,0,0,101
05.01.2020,16:00,0,0,0,0,0,152
05.01.2020,17:00,0,0,0,0,0,282
05.01.2020,18:00,0,0,0,0,0,286
05.01.2020,19:00,0,0,0,0,0,285
05.01.2020,20:00,0,0,0,0,0,228
05.01.2020,21:00,0,0,0,0,0,150
05.01.2020,22:00,0,0,0,0,0,109
05.01.2020,23:00,0,0,0,0,0,102
06.01.2020,00:00,0,0,0,0,0,103
06.01.2020,01:00,0,0,0,0,0,104
06.01.2020,02:00,0,0,0,0,0,103
06.01.2020,03:00,0,0,0,0,0,103
06.01.2020,04:00,0,0,0,0,0,103
06.01.2020,05:00,0,0,0,0,0,103
06.01.2020,06:00,0,0,0,0,0,164
06.01.2020,07:00,0,0,0,0,0,267
06.01.2020,08:00,0,0,0,0,0,284
06.01.2020,09:00,0,0,0,0,0,287
06.01.2020,10:00,0,0,0,0,0,234
06.01.2020,11:00,0,0,0,0,0,135
06.01.2020,12:00,0,0,0,0,0,198
06.01.2020,13:00,0,0,0,0,0,109
06.01.2020,14:00,0,0,0,0,0,107
06.01.2020,15:00,0,0,0,0,0,132
06.01.2020,16:00,0,0,0,0,0,273
06.01.2020,17:00,0,0,0,0,0,288
06.01.2020,18:00,0,0,0,0,0,288
06.01.2020,19:00,0,0,0,0,0,288
06.01.2020,20:00,0,0,0,0,0,288
06.01.2020,21:00,0,0,0,0,0,281
06.01.2020,22:00,0,0,0,0,0,276
06.01.2020,23:00,0,0,0,0,0,277
07.01.2020,00:00,0,0,0,0,0,261
07.01.2020,01:00,0,0,0,0,0,253
07.01.2020,02:00,0,0,0,0,0,121
07.01.2020,03:00,0,0,0,0,0,106
07.01.2020,04:00,0,0,0,0,0,108
07.01.2020,05:00,0,0,0,0,0,109
07.01.2020,06:00,0,0,0,0,0,120
07.01.2020,07:00,0,0,0,0,0,246
07.01.2020,08:00,0,0,0,0,0,280
07.01.2020,09:00,0,0,0,0,0,284
07.01.2020,10:00,0,0,0,0,0,284
07.01.2020,11:00,0,0,0,0,0,285
07.01.2020,12:00,0,0,0,0,0,276
07.01.2020,13:00,0,0,0,0,0,254
07.01.2020,14:00,0,0,0,0,0,252
07.01.2020,15:00,0,0,0,0,0,252
07.01.2020,16:00,0,0,0,0,0,254
07.01.2020,17:00,0,0,0,0,0,253
07.01.2020,18:00,0,0,0,0,0,254
07.01.2020,19:00,0,0,0,0,0,256
07.01.2020,20:00,0,0,0,0,0,155
07.01.2020,21:00,0,0,0,0,0,116
07.01.2020,22:00,0,0,0,0,0,116
07.01.2020,23:00,0,0,0,0,0,117
08.01.2020,00:00,0,0,0,0,0,117
08.01.2020,01:00,0,0,0,0,0,117
08.01.2020,02:00,0,0,0,0,0,117
08.01.2020,03:00,0,0,0,0,0,117
08.01.2020,04:00,0,0,0,0,0,117
08.01.2020,05:00,0,0,0,0,0,117
08.01.2020,06:00,0,0,0,0,0,117
08.01.2020,07:00,0,0,0,0,0,181
08.01.2020,08:00,0,0,0,0,0,255
08.01.2020,09:00,0,0,0,0,0,254
08.01.2020,10:00,0,0,0,0,0,254
08.01.2020,11:00,0,0,0,0,0,253
