Datum,Uhrzeit,Generation_DE Block E GTE1[MW],Generation_DE Block E GTE2[MW],Generation_DE GuD F[MW],Generation_DE AGas0und0Dampfturbinen[MW],Generation_DE Block E[MW]
01.01.2020,00:00,0,0,351,0,0
01.01.2020,01:00,0,0,348,0,0
01.01.2020,02:00,0,0,353,0,0
01.01.2020,03:00,0,0,366,0,0
01.01.2020,04:00,0,0,353,0,0
01.01.2020,05:00,0,0,350,0,0
01.01.2020,06:00,0,0,350,0,0
01.01.2020,07:00,0,0,373,0,0
01.01.2020,08:00,0,0,453,0,0
01.01.2020,09:00,0,0,499,0,0
01.01.2020,10:00,0,0,499,0,0
01.01.2020,11:00,0,0,488,0,0
01.01.2020,12:00,0,0,460,0,0
01.01.2020,13:00,0,0,467,0,0
01.01.2020,14:00,0,0,496,0,0
01.01.2020,15:00,0,0,504,0,0
01.01.2020,16:00,0,0,569,0,0
01.01.2020,17:00,0,0,568,0,0
01.01.2020,18:00,0,0,570,0,0
01.01.2020,19:00,0,0,563,0,0
01.01.2020,20:00,0,0,563,0,0
01.01.2020,21:00,0,0,567,0,0
01.01.2020,22:00,0,0,565,0,0
01.01.2020,23:00,0,0,416,0,0
02.01.2020,00:00,0,0,365,0,0
02.01.2020,01:00,0,0,362,0,0
02.01.2020,02:00,0,0,364,0,0
02.01.2020,03:00,0,0,352,0,0
02.01.2020,04:00,0,0,360,0,0
02.01.2020,05:00,0,0,400,0,0
02.01.2020,06:00,0,0,361,3,0
02.01.2020,07:00,0,0,502,22,0
02.01.2020,08:00,0,0,551,70,0
02.01.2020,09:00,0,0,563,76,0
02.01.2020,10:00,0,0,565,76,0
02.01.2020,11:00,0,0,565,76,0
02.01.2020,12:00,0,0,565,76,0
02.01.2020,13:00,0,0,565,76,0
02.01.2020,14:00,0,0,579,76,0
02.01.2020,15:00,0,0,580,76,0
02.01.2020,16:00,0,0,564,76,0
02.01.2020,17:00,0,0,564,76,0
02.01.2020,18:00,0,0,564,76,0
02.01.2020,19:00,0,0,563,76,0
02.01.2020,20:00,0,0,508,76,0
02.01.2020,21:00,0,0,454,76,0
02.01.2020,22:00,0,0,242,69,0
02.01.2020,23:00,0,0,0,68,0
03.01.2020,00:00,0,0,0,68,0
03.01.2020,01:00,0,0,0,68,0
03.01.2020,02:00,0,0,0,68,0
03.01.2020,03:00,0,0,0,68,0
03.01.2020,04:00,0,0,0,68,0
03.01.2020,05:00,0,0,0,69,0
03.01.2020,06:00,0,0,0,68,0
03.01.2020,07:00,0,0,0,82,0
03.01.2020,08:00,0,0,0,87,0
03.01.2020,09:00,0,0,0,87,0
03.01.2020,10:00,0,0,0,87,0
03.01.2020,11:00,0,0,0,87,0
03.01.2020,12:00,0,0,0,88,0
03.01.2020,13:00,0,0,0,88,0
03.01.2020,14:00,0,0,0,87,0
03.01.2020,15:00,0,0,0,82,0
03.01.2020,16:00,0,0,0,82,0
03.01.2020,17:00,0,0,0,88,0
03.01.2020,18:00,0,0,0,87,0
03.01.2020,19:00,0,0,0,87,0
03.01.2020,20:00,0,0,0,86,0
03.01.2020,21:00,0,0,0,86,0
03.01.2020,22:00,0,0,0,86,0
03.01.2020,23:00,0,0,0,85,0
04.01.2020,00:00,0,0,0,78,0
04.01.2020,01:00,0,0,0,78,0
04.01.2020,02:00,0,0,0,78,0
04.01.2020,03:00,0,0,0,77,0
04.01.2020,04:00,0,0,0,76,0
04.01.2020,05:00,0,0,0,77,0
04.01.2020,06:00,0,0,0,78,0
04.01.2020,07:00,0,0,0,77,0
04.01.2020,08:00,0,0,0,79,0
04.01.2020,09:00,0,0,0,79,0
04.01.2020,10:00,0,0,0,79,0
04.01.2020,11:00,0,0,0,79,0
04.01.2020,12:00,0,0,0,84,0
04.01.2020,13:00,0,0,0,86,0
04.01.2020,14:00,0,0,0,86,0
04.01.2020,15:00,0,0,0,86,0
04.01.2020,16:00,0,0,0,86,0
04.01.2020,17:00,0,0,0,86,0
04.01.2020,18:00,0,0,0,85,0
04.01.2020,19:00,0,0,0,85,0
04.01.2020,20:00,0,0,0,84,0
04.01.2020,21:00,0,0,0,83,0
04.01.2020,22:00,0,0,0,83,0
04.01.2020,23:00,0,0,0,83,0
05.01.2020,00:00,0,0,0,83,0
05.01.2020,01:00,0,0,0,83,0
05.01.2020,02:00,0,0,0,83,0
05.01.2020,03:00,0,0,0,83,0
05.01.2020,04:00,0,0,0,82,0
05.01.2020,05:00,0,0,0,79,0
05.01.2020,06:00,0,0,0,79,0
05.01.2020,07:00,0,0,0,78,0
05.01.2020,08:00,0,0,0,72,0
05.01.2020,09:00,0,0,0,72,0
05.01.2020,10:00,0,0,0,72,0
05.01.2020,11:00,0,0,0,72,0
05.01.2020,12:00,0,0,0,79,0
05.01.2020,13:00,0,0,0,80,0
05.01.2020,14:00,0,0,0,80,0
05.01.2020,15:00,0,0,0,80,0
05.01.2020,16:00,0,0,0,80,0
05.01.2020,17:00,0,0,0,80,0
05.01.2020,18:00,0,0,41,80,0
05.01.2020,19:00,0,0,98,72,0
05.01.2020,20:00,0,0,100,73,0
05.01.2020,21:00,0,0,452,80,0
05.01.2020,22:00,0,0,548,70,0
05.01.2020,23:00,0,0,543,68,0
06.01.2020,00:00,0,0,541,23,0
06.01.2020,01:00,0,0,544,0,0
06.01.2020,02:00,0,0,534,0,0
06.01.2020,03:00,0,0,542,0,0
06.01.2020,04:00,0,0,541,0,0
06.01.2020,05:00,0,0,560,0,0
06.01.2020,06:00,0,0,558,0,0
06.01.2020,07:00,0,0,564,0,0
06.01.2020,08:00,0,0,491,0,0
06.01.2020,09:00,0,0,560,0,0
06.01.2020,10:00,0,0,555,0,0
06.01.2020,11:00,0,0,573,0,0
06.01.2020,12:00,0,0,581,0,0
06.01.2020,13:00,0,0,591,0,0
06.01.2020,14:00,0,0,590,0,0
06.01.2020,15:00,0,0,591,0,0
06.01.2020,16:00,0,0,592,0,0
06.01.2020,17:00,0,0,592,0,0
06.01.2020,18:00,0,0,594,0,0
06.01.2020,19:00,0,0,595,0,0
06.01.2020,20:00,0,0,539,0,0
06.01.2020,21:00,0,0,542,0,0
06.01.2020,22:00,0,0,549,0,0
06.01.2020,23:00,0,0,533,0,0
07.01.2020,00:00,0,0,544,0,0
07.01.2020,01:00,0,0,524,0,0
07.01.2020,02:00,0,0,496,0,0
07.01.2020,03:00,0,0,454,0,0
07.01.2020,04:00,0,0,448,0,0
07.01.2020,05:00,0,0,548,0,0
07.01.2020,06:00,0,0,559,0,0
07.01.2020,07:00,0,0,582,0,0
07.01.2020,08:00,0,0,583,0,0
07.01.2020,09:00,0,0,583,0,0
07.01.2020,10:00,0,0,582,0,0
07.01.2020,11:00,0,0,608,0,0
07.01.2020,12:00,0,0,608,0,0
07.01.2020,13:00,0,0,573,0,0
07.01.2020,14:00,0,0,573,0,0
07.01.2020,15:00,0,0,538,0,0
07.01.2020,16:00,0,0,538,0,0
07.01.2020,17:00,0,0,574,0,0
07.01.2020,18:00,0,0,575,0,0
07.01.2020,19:00,0,0,542,0,0
07.01.2020,20:00,0,0,534,0,0
07.01.2020,21:00,0,0,534,0,0
07.01.2020,22:00,0,0,533,0,0
07.01.2020,23:00,0,0,335,0,0
08.01.2020,00:00,0,0,9,0,0
08.01.2020,01:00,0,0,0,0,0
08.01.2020,02:00,0,0,0,0,0
08.01.2020,03:00,0,0,0,0,0
08.01.2020,04:00,0,0,0,0,0
08.01.2020,05:00,0,0,18,0,0
08.01.2020,06:00,0,0,234,0,0
08.01.2020,07:00,0,0,522,0,0
08.01.2020,08:00,0,0,527,0,0
08.01.2020,09:00,0,0,529,0,0
08.01.2020,10:00,0,0,561,0,0
08.01.2020,11:00,0,0,561,0,0
08.01.2020,12:00,0,0,562,0,0
08.01.2020,13:00,0,0,561,0,0
08.01.2020,14:00,0,0,558,0,0
08.01.2020,15:00,0,0,563,0,0
08.01.2020,16:00,0,0,563,0,0
08.01.2020,17:00,0,0,564,0,0
08.01.2020,18:00,0,0,564,0,0
08.01.2020,19:00,0,0,563,0,0
08.01.2020,20:00,0,0,563,0,0
08.01.2020,21:00,0,0,563,0,0
08.01.2020,22:00,0,0,562,0,0
08.01.2020,23:00,0,0,564,0,0
09.01.2020,00:00,0,0,568,0,0
09.01.2020,01:00,0,0,568,0,0
09.01.2020,02:00,0,0,526,0,0
09.01.2020,03:00,0,0,526,0,0
09.01.2020,04:00,0,0,532,0,0
09.01.2020,05:00,0,0,565,0,0
09.01.2020,06:00,0,0,568,0,0
09.01.2020,07:00,0,0,568,0,0
09.01.2020,08:00,0,0,575,0,0
09.01.2020,09:00,0,0,574,0,0
