Datum,Uhrzeit,Generation_DE [MW]
01.01.2020,00:00,129
01.01.2020,01:00,89
01.01.2020,02:00,77
01.01.2020,03:00,77
01.01.2020,04:00,78
01.01.2020,05:00,77
01.01.2020,06:00,91
01.01.2020,07:00,120
01.01.2020,08:00,150
01.01.2020,09:00,164
01.01.2020,10:00,166
01.01.2020,11:00,166
01.01.2020,12:00,166
01.01.2020,13:00,165
01.01.2020,14:00,165
01.01.2020,15:00,165
01.01.2020,16:00,165
01.01.2020,17:00,152
01.01.2020,18:00,152
01.01.2020,19:00,151
01.01.2020,20:00,154
01.01.2020,21:00,154
01.01.2020,22:00,153
01.01.2020,23:00,154
02.01.2020,00:00,145
02.01.2020,01:00,128
02.01.2020,02:00,116
02.01.2020,03:00,120
02.01.2020,04:00,133
02.01.2020,05:00,149
02.01.2020,06:00,155
02.01.2020,07:00,154
02.01.2020,08:00,153
02.01.2020,09:00,153
02.01.2020,10:00,152
02.01.2020,11:00,150
02.01.2020,12:00,150
02.01.2020,13:00,149
02.01.2020,14:00,150
02.01.2020,15:00,160
02.01.2020,16:00,162
02.01.2020,17:00,157
02.01.2020,18:00,156
02.01.2020,19:00,152
02.01.2020,20:00,152
02.01.2020,21:00,152
02.01.2020,22:00,152
02.01.2020,23:00,152
03.01.2020,00:00,122
03.01.2020,01:00,83
03.01.2020,02:00,63
03.01.2020,03:00,62
03.01.2020,04:00,62
03.01.2020,05:00,62
03.01.2020,06:00,83
03.01.2020,07:00,126
03.01.2020,08:00,148
03.01.2020,09:00,149
03.01.2020,10:00,148
03.01.2020,11:00,148
03.01.2020,12:00,148
03.01.2020,13:00,148
03.01.2020,14:00,128
03.01.2020,15:00,125
03.01.2020,16:00,145
03.01.2020,17:00,147
03.01.2020,18:00,147
03.01.2020,19:00,147
03.01.2020,20:00,128
03.01.2020,21:00,86
03.01.2020,22:00,50
03.01.2020,23:00,33
04.01.2020,00:00,33
04.01.2020,01:00,33
04.01.2020,02:00,33
04.01.2020,03:00,34
04.01.2020,04:00,55
04.01.2020,05:00,81
04.01.2020,06:00,81
04.01.2020,07:00,84
04.01.2020,08:00,117
04.01.2020,09:00,146
04.01.2020,10:00,158
04.01.2020,11:00,163
04.01.2020,12:00,154
04.01.2020,13:00,124
04.01.2020,14:00,121
04.01.2020,15:00,121
04.01.2020,16:00,133
04.01.2020,17:00,150
04.01.2020,18:00,151
04.01.2020,19:00,151
04.01.2020,20:00,151
04.01.2020,21:00,150
04.01.2020,22:00,150
04.01.2020,23:00,150
05.01.2020,00:00,118
05.01.2020,01:00,81
05.01.2020,02:00,65
05.01.2020,03:00,63
05.01.2020,04:00,63
05.01.2020,05:00,68
05.01.2020,06:00,96
05.01.2020,07:00,132
05.01.2020,08:00,153
05.01.2020,09:00,153
05.01.2020,10:00,153
05.01.2020,11:00,153
05.01.2020,12:00,152
05.01.2020,13:00,152
05.01.2020,14:00,149
05.01.2020,15:00,152
05.01.2020,16:00,152
05.01.2020,17:00,159
05.01.2020,18:00,163
05.01.2020,19:00,163
05.01.2020,20:00,163
05.01.2020,21:00,163
05.01.2020,22:00,163
05.01.2020,23:00,155
06.01.2020,00:00,118
06.01.2020,01:00,81
06.01.2020,02:00,65
06.01.2020,03:00,63
06.01.2020,04:00,67
06.01.2020,05:00,95
06.01.2020,06:00,128
06.01.2020,07:00,151
06.01.2020,08:00,151
06.01.2020,09:00,151
06.01.2020,10:00,151
06.01.2020,11:00,150
06.01.2020,12:00,149
06.01.2020,13:00,149
06.01.2020,14:00,149
06.01.2020,15:00,149
06.01.2020,16:00,150
06.01.2020,17:00,150
06.01.2020,18:00,150
06.01.2020,19:00,150
06.01.2020,20:00,150
06.01.2020,21:00,150
06.01.2020,22:00,150
06.01.2020,23:00,150
07.01.2020,00:00,151
07.01.2020,01:00,125
07.01.2020,02:00,103
07.01.2020,03:00,103
07.01.2020,04:00,103
07.01.2020,05:00,126
07.01.2020,06:00,152
07.01.2020,07:00,152
07.01.2020,08:00,152
07.01.2020,09:00,152
07.01.2020,10:00,152
07.01.2020,11:00,153
07.01.2020,12:00,151
07.01.2020,13:00,152
07.01.2020,14:00,157
07.01.2020,15:00,152
07.01.2020,16:00,158
07.01.2020,17:00,163
07.01.2020,18:00,164
07.01.2020,19:00,153
07.01.2020,20:00,147
07.01.2020,21:00,150
07.01.2020,22:00,135
07.01.2020,23:00,104
08.01.2020,00:00,83
08.01.2020,01:00,80
08.01.2020,02:00,83
08.01.2020,03:00,83
08.01.2020,04:00,84
08.01.2020,05:00,85
08.01.2020,06:00,110
08.01.2020,07:00,143
08.01.2020,08:00,150
08.01.2020,09:00,152
08.01.2020,10:00,156
08.01.2020,11:00,156
08.01.2020,12:00,149
08.01.2020,13:00,148
08.01.2020,14:00,149
08.01.2020,15:00,153
08.01.2020,16:00,155
08.01.2020,17:00,152
08.01.2020,18:00,149
08.01.2020,19:00,148
08.01.2020,20:00,141
08.01.2020,21:00,146
08.01.2020,22:00,146
08.01.2020,23:00,145
09.01.2020,00:00,147
09.01.2020,01:00,148
09.01.2020,02:00,148
09.01.2020,03:00,148
09.01.2020,04:00,148
09.01.2020,05:00,148
09.01.2020,06:00,148
09.01.2020,07:00,148
09.01.2020,08:00,141
09.01.2020,09:00,137
09.01.2020,10:00,140
09.01.2020,11:00,141
09.01.2020,12:00,136
09.01.2020,13:00,130
09.01.2020,14:00,134
09.01.2020,15:00,143
09.01.2020,16:00,142
09.01.2020,17:00,140
09.01.2020,18:00,142
09.01.2020,19:00,143
09.01.2020,20:00,144
09.01.2020,21:00,144
09.01.2020,22:00,130
09.01.2020,23:00,99
10.01.2020,00:00,79
10.01.2020,01:00,63
10.01.2020,02:00,63
10.01.2020,03:00,63
10.01.2020,04:00,72
10.01.2020,05:00,110
10.01.2020,06:00,138
10.01.2020,07:00,146
10.01.2020,08:00,145
10.01.2020,09:00,145
10.01.2020,10:00,145
10.01.2020,11:00,145
10.01.2020,12:00,145
10.01.2020,13:00,145
10.01.2020,14:00,145
10.01.2020,15:00,145
10.01.2020,16:00,145
10.01.2020,17:00,143
10.01.2020,18:00,142
10.01.2020,19:00,142
10.01.2020,20:00,143
10.01.2020,21:00,143
10.01.2020,22:00,142
10.01.2020,23:00,132
11.01.2020,00:00,148
11.01.2020,01:00,150
11.01.2020,02:00,151
11.01.2020,03:00,151
11.01.2020,04:00,151
11.01.2020,05:00,151
11.01.2020,06:00,151
11.01.2020,07:00,151
11.01.2020,08:00,151
11.01.2020,09:00,150
11.01.2020,10:00,148
11.01.2020,11:00,148
11.01.2020,12:00,148
11.01.2020,13:00,127
11.01.2020,14:00,147
11.01.2020,15:00,149
11.01.2020,16:00,150
11.01.2020,17:00,150
11.01.2020,18:00,150
11.01.2020,19:00,150
11.01.2020,20:00,126
11.01.2020,21:00,107
11.01.2020,22:00,81
11.01.2020,23:00,63
12.01.2020,00:00,56
12.01.2020,01:00,56
12.01.2020,02:00,67
12.01.2020,03:00,68
12.01.2020,04:00,68
12.01.2020,05:00,68
12.01.2020,06:00,71
12.01.2020,07:00,76
12.01.2020,08:00,78
12.01.2020,09:00,78
12.01.2020,10:00,77
12.01.2020,11:00,77
12.01.2020,12:00,77
12.01.2020,13:00,76
12.01.2020,14:00,76
12.01.2020,15:00,77
12.01.2020,16:00,77
12.01.2020,17:00,77
12.01.2020,18:00,77
12.01.2020,19:00,77
12.01.2020,20:00,77
12.01.2020,21:00,77
12.01.2020,22:00,73
12.01.2020,23:00,63
13.01.2020,00:00,48
13.01.2020,01:00,36
13.01.2020,02:00,40
13.01.2020,03:00,55
13.01.2020,04:00,67
13.01.2020,05:00,69
13.01.2020,06:00,87
13.01.2020,07:00,115
13.01.2020,08:00,146
13.01.2020,09:00,146
13.01.2020,10:00,149
13.01.2020,11:00,150
13.01.2020,12:00,158
13.01.2020,13:00,162
13.01.2020,14:00,162
13.01.2020,15:00,162
13.01.2020,16:00,162
13.01.2020,17:00,162
13.01.2020,18:00,162
13.01.2020,19:00,162
13.01.2020,20:00,152
13.01.2020,21:00,147
13.01.2020,22:00,135
13.01.2020,23:00,113
14.01.2020,00:00,72
14.01.2020,01:00,46
14.01.2020,02:00,42
14.01.2020,03:00,47
14.01.2020,04:00,47
14.01.2020,05:00,48
14.01.2020,06:00,54
14.01.2020,07:00,61
14.01.2020,08:00,67
14.01.2020,09:00,62
14.01.2020,10:00,65
14.01.2020,11:00,61
14.01.2020,12:00,59
14.01.2020,13:00,65
14.01.2020,14:00,69
14.01.2020,15:00,63
14.01.2020,16:00,68
14.01.2020,17:00,68
14.01.2020,18:00,69
14.01.2020,19:00,70
14.01.2020,20:00,68
14.01.2020,21:00,70
14.01.2020,22:00,60
14.01.2020,23:00,43
15.01.2020,00:00,36
15.01.2020,01:00,29
15.01.2020,02:00,29
15.01.2020,03:00,29
15.01.2020,04:00,29
15.01.2020,05:00,29
15.01.2020,06:00,39
15.01.2020,07:00,58
15.01.2020,08:00,74
15.01.2020,09:00,78
15.01.2020,10:00,79
15.01.2020,11:00,74
15.01.2020,12:00,70
15.01.2020,13:00,69
15.01.2020,14:00,70
15.01.2020,15:00,70
15.01.2020,16:00,70
15.01.2020,17:00,70
15.01.2020,18:00,71
15.01.2020,19:00,71
15.01.2020,20:00,72
15.01.2020,21:00,72
15.01.2020,22:00,56
15.01.2020,23:00,32
16.01.2020,00:00,36
16.01.2020,01:00,73
16.01.2020,02:00,96
16.01.2020,03:00,123
16.01.2020,04:00,146
16.01.2020,05:00,156
16.01.2020,06:00,163
16.01.2020,07:00,164
16.01.2020,08:00,165
16.01.2020,09:00,164
16.01.2020,10:00,159
16.01.2020,11:00,147
16.01.2020,12:00,130
16.01.2020,13:00,130
16.01.2020,14:00,146
16.01.2020,15:00,155
16.01.2020,16:00,163
16.01.2020,17:00,159
16.01.2020,18:00,162
16.01.2020,19:00,147
16.01.2020,20:00,148
16.01.2020,21:00,149
16.01.2020,22:00,150
16.01.2020,23:00,133
17.01.2020,00:00,103
17.01.2020,01:00,75
17.01.2020,02:00,63
17.01.2020,03:00,64
17.01.2020,04:00,85
17.01.2020,05:00,129
17.01.2020,06:00,151
17.01.2020,07:00,150
17.01.2020,08:00,151
17.01.2020,09:00,148
17.01.2020,10:00,149
17.01.2020,11:00,148
17.01.2020,12:00,147
17.01.2020,13:00,147
17.01.2020,14:00,146
17.01.2020,15:00,147
17.01.2020,16:00,147
17.01.2020,17:00,148
17.01.2020,18:00,148
17.01.2020,19:00,148
17.01.2020,20:00,144
17.01.2020,21:00,109
17.01.2020,22:00,98
17.01.2020,23:00,100
18.01.2020,00:00,99
18.01.2020,01:00,99
18.01.2020,02:00,97
18.01.2020,03:00,97
18.01.2020,04:00,97
18.01.2020,05:00,102
18.01.2020,06:00,136
18.01.2020,07:00,150
18.01.2020,08:00,150
18.01.2020,09:00,150
18.01.2020,10:00,150
18.01.2020,11:00,149
18.01.2020,12:00,149
18.01.2020,13:00,149
18.01.2020,14:00,149
18.01.2020,15:00,149
18.01.2020,16:00,149
18.01.2020,17:00,149
18.01.2020,18:00,147
18.01.2020,19:00,150
18.01.2020,20:00,150
18.01.2020,21:00,150
18.01.2020,22:00,150
18.01.2020,23:00,151
19.01.2020,00:00,151
19.01.2020,01:00,126
19.01.2020,02:00,84
19.01.2020,03:00,65
19.01.2020,04:00,63
19.01.2020,05:00,63
19.01.2020,06:00,63
19.01.2020,07:00,89
19.01.2020,08:00,131
19.01.2020,09:00,150
19.01.2020,10:00,153
19.01.2020,11:00,152
19.01.2020,12:00,152
19.01.2020,13:00,151
19.01.2020,14:00,151
19.01.2020,15:00,151
19.01.2020,16:00,156
19.01.2020,17:00,161
19.01.2020,18:00,168
19.01.2020,19:00,168
19.01.2020,20:00,168
19.01.2020,21:00,168
19.01.2020,22:00,169
19.01.2020,23:00,169
20.01.2020,00:00,171
20.01.2020,01:00,165
20.01.2020,02:00,152
20.01.2020,03:00,152
20.01.2020,04:00,151
20.01.2020,05:00,153
20.01.2020,06:00,164
20.01.2020,07:00,172
20.01.2020,08:00,172
20.01.2020,09:00,173
20.01.2020,10:00,173
20.01.2020,11:00,170
20.01.2020,12:00,170
20.01.2020,13:00,169
20.01.2020,14:00,169
20.01.2020,15:00,171
20.01.2020,16:00,171
20.01.2020,17:00,170
20.01.2020,18:00,171
20.01.2020,19:00,171
20.01.2020,20:00,171
20.01.2020,21:00,170
20.01.2020,22:00,167
20.01.2020,23:00,159
21.01.2020,00:00,153
21.01.2020,01:00,152
21.01.2020,02:00,131
21.01.2020,03:00,61
21.01.2020,04:00,82
21.01.2020,05:00,105
21.01.2020,06:00,126
21.01.2020,07:00,126
21.01.2020,08:00,123
21.01.2020,09:00,121
21.01.2020,10:00,121
21.01.2020,11:00,121
21.01.2020,12:00,121
21.01.2020,13:00,114
21.01.2020,14:00,82
21.01.2020,15:00,76
21.01.2020,16:00,91
21.01.2020,17:00,117
21.01.2020,18:00,121
21.01.2020,19:00,121
21.01.2020,20:00,121
21.01.2020,21:00,121
21.01.2020,22:00,121
21.01.2020,23:00,121
22.01.2020,00:00,121
22.01.2020,01:00,121
22.01.2020,02:00,121
22.01.2020,03:00,121
22.01.2020,04:00,121
22.01.2020,05:00,121
22.01.2020,06:00,121
