Datum,Uhrzeit,Generation_DE Süd DT1[MW],Generation_DE Süd GT3[MW],Generation_DE Süd GT2[MW]
01.01.2020,00:00,0,0,0
01.01.2020,01:00,0,0,0
01.01.2020,02:00,0,0,0
01.01.2020,03:00,0,0,0
01.01.2020,04:00,0,0,0
01.01.2020,05:00,0,0,0
01.01.2020,06:00,0,0,0
01.01.2020,07:00,0,0,0
01.01.2020,08:00,0,0,0
01.01.2020,09:00,0,0,0
01.01.2020,10:00,0,0,0
01.01.2020,11:00,0,0,0
01.01.2020,12:00,0,0,0
01.01.2020,13:00,0,0,0
01.01.2020,14:00,0,0,0
01.01.2020,15:00,0,0,0
01.01.2020,16:00,0,0,0
01.01.2020,17:00,0,0,0
01.01.2020,18:00,0,0,0
01.01.2020,19:00,0,0,0
01.01.2020,20:00,0,0,0
01.01.2020,21:00,0,0,0
01.01.2020,22:00,0,0,0
01.01.2020,23:00,0,0,0
02.01.2020,00:00,0,0,0
02.01.2020,01:00,0,0,0
02.01.2020,02:00,0,0,0
02.01.2020,03:00,0,0,0
02.01.2020,04:00,0,0,0
02.01.2020,05:00,0,0,0
02.01.2020,06:00,0,0,0
02.01.2020,07:00,0,0,0
02.01.2020,08:00,0,0,0
02.01.2020,09:00,0,0,0
02.01.2020,10:00,0,0,0
02.01.2020,11:00,0,0,0
02.01.2020,12:00,0,0,0
02.01.2020,13:00,0,0,0
02.01.2020,14:00,0,0,0
02.01.2020,15:00,0,0,57
02.01.2020,16:00,0,0,70
02.01.2020,17:00,0,0,74
02.01.2020,18:00,0,0,88
02.01.2020,19:00,0,0,90
02.01.2020,20:00,0,0,84
02.01.2020,21:00,0,0,80
02.01.2020,22:00,0,0,25
02.01.2020,23:00,0,0,0
03.01.2020,00:00,0,0,0
03.01.2020,01:00,0,0,0
03.01.2020,02:00,0,0,0
03.01.2020,03:00,0,0,0
03.01.2020,04:00,0,0,0
03.01.2020,05:00,0,0,0
03.01.2020,06:00,0,0,0
03.01.2020,07:00,0,0,0
03.01.2020,08:00,0,0,0
03.01.2020,09:00,0,0,0
03.01.2020,10:00,0,0,0
03.01.2020,11:00,0,0,0
03.01.2020,12:00,0,0,0
03.01.2020,13:00,0,0,0
03.01.2020,14:00,0,0,0
03.01.2020,15:00,0,0,0
03.01.2020,16:00,0,0,0
03.01.2020,17:00,0,0,0
03.01.2020,18:00,0,0,0
03.01.2020,19:00,0,0,0
03.01.2020,20:00,0,0,0
03.01.2020,21:00,0,0,0
03.01.2020,22:00,0,0,0
03.01.2020,23:00,0,0,0
04.01.2020,00:00,0,0,0
04.01.2020,01:00,0,0,0
04.01.2020,02:00,0,0,0
04.01.2020,03:00,0,0,0
04.01.2020,04:00,0,0,0
04.01.2020,05:00,0,0,0
04.01.2020,06:00,0,0,0
04.01.2020,07:00,0,0,0
04.01.2020,08:00,0,0,0
04.01.2020,09:00,0,0,0
04.01.2020,10:00,0,0,0
04.01.2020,11:00,0,0,0
04.01.2020,12:00,0,0,0
04.01.2020,13:00,0,0,0
04.01.2020,14:00,0,0,0
04.01.2020,15:00,0,0,0
04.01.2020,16:00,0,0,0
04.01.2020,17:00,0,0,0
04.01.2020,18:00,0,0,0
04.01.2020,19:00,0,0,0
04.01.2020,20:00,0,0,0
04.01.2020,21:00,0,0,0
04.01.2020,22:00,0,0,0
04.01.2020,23:00,0,0,0
05.01.2020,00:00,0,0,0
05.01.2020,01:00,0,0,0
05.01.2020,02:00,0,0,0
05.01.2020,03:00,0,0,0
05.01.2020,04:00,0,0,0
05.01.2020,05:00,0,0,0
05.01.2020,06:00,0,0,0
05.01.2020,07:00,0,0,0
05.01.2020,08:00,0,0,0
05.01.2020,09:00,0,0,0
05.01.2020,10:00,0,0,0
05.01.2020,11:00,0,0,0
05.01.2020,12:00,0,0,0
05.01.2020,13:00,0,0,0
05.01.2020,14:00,0,0,0
05.01.2020,15:00,0,0,0
05.01.2020,16:00,0,0,0
05.01.2020,17:00,0,0,0
05.01.2020,18:00,0,0,0
05.01.2020,19:00,0,0,0
05.01.2020,20:00,0,0,0
05.01.2020,21:00,0,0,0
05.01.2020,22:00,0,0,0
05.01.2020,23:00,0,0,0
06.01.2020,00:00,0,0,0
06.01.2020,01:00,0,0,0
06.01.2020,02:00,0,0,0
06.01.2020,03:00,0,0,0
06.01.2020,04:00,0,0,0
06.01.2020,05:00,0,0,0
06.01.2020,06:00,0,0,57
06.01.2020,07:00,0,0,88
06.01.2020,08:00,0,0,90
06.01.2020,09:00,0,0,90
06.01.2020,10:00,0,0,90
06.01.2020,11:00,0,0,90
06.01.2020,12:00,0,0,73
06.01.2020,13:00,0,0,20
06.01.2020,14:00,0,0,0
06.01.2020,15:00,0,0,0
06.01.2020,16:00,0,0,0
06.01.2020,17:00,0,0,0
06.01.2020,18:00,0,0,0
06.01.2020,19:00,0,0,0
06.01.2020,20:00,0,0,0
06.01.2020,21:00,0,0,0
06.01.2020,22:00,0,0,0
06.01.2020,23:00,0,0,0
07.01.2020,00:00,0,0,0
07.01.2020,01:00,0,0,0
07.01.2020,02:00,0,0,0
07.01.2020,03:00,0,0,0
07.01.2020,04:00,0,0,0
07.01.2020,05:00,0,0,2
07.01.2020,06:00,0,0,70
07.01.2020,07:00,0,0,79
07.01.2020,08:00,0,28,84
07.01.2020,09:00,0,79,88
07.01.2020,10:00,0,78,89
07.01.2020,11:00,0,69,88
07.01.2020,12:00,0,69,84
07.01.2020,13:00,0,69,79
07.01.2020,14:00,0,69,80
07.01.2020,15:00,0,72,78
07.01.2020,16:00,0,75,77
07.01.2020,17:00,0,84,81
07.01.2020,18:00,0,80,79
07.01.2020,19:00,0,77,78
07.01.2020,20:00,0,6,70
07.01.2020,21:00,0,0,28
07.01.2020,22:00,0,0,0
07.01.2020,23:00,0,0,0
08.01.2020,00:00,0,0,0
08.01.2020,01:00,0,0,0
08.01.2020,02:00,0,0,0
08.01.2020,03:00,0,0,0
08.01.2020,04:00,0,0,0
08.01.2020,05:00,0,0,35
08.01.2020,06:00,0,0,84
08.01.2020,07:00,0,0,90
08.01.2020,08:00,0,0,90
08.01.2020,09:00,0,0,90
08.01.2020,10:00,0,0,90
