Datum,Uhrzeit,Generation_DE Block 4[MW],Generation_DE Block 6[MW],Generation_DE Gas0und0Dampfturbinen[MW]
09.03.2020,00:00,0,0,0
09.03.2020,01:00,0,0,0
09.03.2020,02:00,0,0,0
09.03.2020,03:00,0,0,0
09.03.2020,04:00,0,0,0
09.03.2020,05:00,0,0,0
09.03.2020,06:00,0,0,0
09.03.2020,07:00,0,0,0
09.03.2020,08:00,0,0,0
09.03.2020,09:00,0,0,0
09.03.2020,10:00,0,0,0
09.03.2020,11:00,0,0,0
09.03.2020,12:00,0,0,0
09.03.2020,13:00,0,0,0
09.03.2020,14:00,0,0,0
09.03.2020,15:00,0,0,0
09.03.2020,16:00,0,0,0
09.03.2020,17:00,0,0,0
09.03.2020,18:00,0,0,0
09.03.2020,19:00,0,0,0
09.03.2020,20:00,0,0,0
09.03.2020,21:00,0,0,0
09.03.2020,22:00,0,0,0
09.03.2020,23:00,0,0,0
10.03.2020,00:00,0,0,0
10.03.2020,01:00,0,0,0
10.03.2020,02:00,0,0,0
10.03.2020,03:00,0,0,0
10.03.2020,04:00,0,0,0
10.03.2020,05:00,0,0,0
10.03.2020,06:00,0,0,0
10.03.2020,07:00,0,0,0
10.03.2020,08:00,0,0,0
10.03.2020,09:00,0,0,0
10.03.2020,10:00,0,0,0
10.03.2020,11:00,0,0,0
10.03.2020,12:00,0,0,0
10.03.2020,13:00,0,0,0
10.03.2020,14:00,0,0,0
10.03.2020,15:00,0,0,0
10.03.2020,16:00,0,0,0
10.03.2020,17:00,0,0,0
10.03.2020,18:00,0,0,0
10.03.2020,19:00,0,0,0
10.03.2020,20:00,0,0,0
10.03.2020,21:00,0,0,0
10.03.2020,22:00,0,0,0
10.03.2020,23:00,0,0,0
11.03.2020,00:00,0,0,67
11.03.2020,01:00,0,0,67
11.03.2020,02:00,0,0,67
11.03.2020,03:00,0,0,67
11.03.2020,04:00,0,0,67
11.03.2020,05:00,0,0,67
11.03.2020,06:00,0,0,67
11.03.2020,07:00,0,0,67
11.03.2020,08:00,0,0,70
11.03.2020,09:00,0,0,93
11.03.2020,10:00,0,0,93
11.03.2020,11:00,0,0,93
11.03.2020,12:00,0,0,69
11.03.2020,13:00,0,0,65
11.03.2020,14:00,0,0,66
11.03.2020,15:00,0,0,66
11.03.2020,16:00,0,0,66
11.03.2020,17:00,0,0,66
11.03.2020,18:00,0,0,66
11.03.2020,19:00,0,0,66
11.03.2020,20:00,0,0,66
11.03.2020,21:00,0,0,66
11.03.2020,22:00,0,0,66
11.03.2020,23:00,0,0,66
12.03.2020,00:00,0,0,0
12.03.2020,01:00,0,0,0
12.03.2020,02:00,0,0,0
12.03.2020,03:00,0,0,0
12.03.2020,04:00,0,0,0
12.03.2020,05:00,0,0,0
12.03.2020,06:00,0,0,0
12.03.2020,07:00,0,0,0
12.03.2020,08:00,0,0,0
12.03.2020,09:00,0,0,0
12.03.2020,10:00,0,0,0
12.03.2020,11:00,0,0,0
12.03.2020,12:00,0,0,0
12.03.2020,13:00,0,0,0
12.03.2020,14:00,0,0,0
12.03.2020,15:00,0,0,0
12.03.2020,16:00,0,0,0
12.03.2020,17:00,0,0,0
12.03.2020,18:00,0,0,0
12.03.2020,19:00,0,0,0
12.03.2020,20:00,0,0,0
12.03.2020,21:00,0,0,0
12.03.2020,22:00,0,0,0
12.03.2020,23:00,0,0,0
13.03.2020,00:00,0,0,0
13.03.2020,01:00,0,0,0
13.03.2020,02:00,0,0,0
13.03.2020,03:00,0,0,0
13.03.2020,04:00,0,0,0
13.03.2020,05:00,0,0,0
13.03.2020,06:00,0,0,0
13.03.2020,07:00,0,0,0
13.03.2020,08:00,0,0,0
13.03.2020,09:00,0,0,0
13.03.2020,10:00,0,0,0
13.03.2020,11:00,0,0,0
13.03.2020,12:00,0,0,0
13.03.2020,13:00,0,0,0
13.03.2020,14:00,0,0,0
13.03.2020,15:00,0,0,0
13.03.2020,16:00,0,0,0
13.03.2020,17:00,0,0,0
13.03.2020,18:00,0,0,0
13.03.2020,19:00,0,0,0
13.03.2020,20:00,0,0,0
13.03.2020,21:00,0,0,0
13.03.2020,22:00,0,0,0
13.03.2020,23:00,0,0,0
14.03.2020,00:00,0,0,0
14.03.2020,01:00,0,0,0
14.03.2020,02:00,0,0,0
14.03.2020,03:00,0,0,0
14.03.2020,04:00,0,0,0
14.03.2020,05:00,0,0,0
14.03.2020,06:00,0,0,0
14.03.2020,07:00,0,0,0
14.03.2020,08:00,0,0,0
14.03.2020,09:00,0,0,0
14.03.2020,10:00,0,0,0
14.03.2020,11:00,0,0,0
14.03.2020,12:00,0,0,0
14.03.2020,13:00,0,0,0
14.03.2020,14:00,0,0,0
14.03.2020,15:00,0,0,0
14.03.2020,16:00,0,0,0
14.03.2020,17:00,0,0,0
14.03.2020,18:00,0,0,0
14.03.2020,19:00,0,0,0
14.03.2020,20:00,0,0,0
14.03.2020,21:00,0,0,0
14.03.2020,22:00,0,0,0
14.03.2020,23:00,0,0,0
15.03.2020,00:00,0,0,0
15.03.2020,01:00,0,0,0
15.03.2020,02:00,0,0,0
15.03.2020,03:00,0,0,0
15.03.2020,04:00,0,0,0
15.03.2020,05:00,0,0,0
15.03.2020,06:00,0,0,0
15.03.2020,07:00,0,0,0
15.03.2020,08:00,0,0,0
15.03.2020,09:00,0,0,0
15.03.2020,10:00,0,0,0
15.03.2020,11:00,0,0,0
15.03.2020,12:00,0,0,0
15.03.2020,13:00,0,0,0
15.03.2020,14:00,0,0,0
15.03.2020,15:00,0,0,0
15.03.2020,16:00,0,0,0
15.03.2020,17:00,0,0,0
15.03.2020,18:00,0,0,0
15.03.2020,19:00,0,0,0
15.03.2020,20:00,0,0,0
15.03.2020,21:00,0,0,0
15.03.2020,22:00,0,0,0
15.03.2020,23:00,0,0,0
30.03.2020,00:00,0,0,0
30.03.2020,01:00,0,0,0
30.03.2020,02:00,0,0,0
30.03.2020,03:00,0,0,0
30.03.2020,04:00,0,0,0
30.03.2020,05:00,0,0,0
30.03.2020,06:00,0,0,0
30.03.2020,07:00,0,0,0
30.03.2020,08:00,0,0,0
30.03.2020,09:00,0,0,0
30.03.2020,10:00,0,0,0
30.03.2020,11:00,0,0,0
30.03.2020,12:00,0,0,0
30.03.2020,13:00,0,0,0
30.03.2020,14:00,0,0,0
30.03.2020,15:00,0,0,0
30.03.2020,16:00,0,0,0
30.03.2020,17:00,0,0,0
30.03.2020,18:00,0,0,0
30.03.2020,19:00,0,0,0
30.03.2020,20:00,0,0,0
30.03.2020,21:00,0,0,0
30.03.2020,22:00,0,0,0
30.03.2020,23:00,0,0,0
31.03.2020,00:00,0,0,90
31.03.2020,01:00,0,0,91
31.03.2020,02:00,0,0,91
31.03.2020,03:00,0,0,91
31.03.2020,04:00,0,0,91
31.03.2020,05:00,0,0,90
31.03.2020,06:00,0,0,88
31.03.2020,07:00,0,0,89
31.03.2020,08:00,0,0,89
31.03.2020,09:00,0,0,88
31.03.2020,10:00,0,0,88
31.03.2020,11:00,0,0,88
31.03.2020,12:00,0,0,88
31.03.2020,13:00,0,0,88
31.03.2020,14:00,0,0,88
31.03.2020,15:00,0,0,88
31.03.2020,16:00,0,0,88
31.03.2020,17:00,0,0,88
31.03.2020,18:00,0,0,88
31.03.2020,19:00,0,0,88
31.03.2020,20:00,0,0,88
31.03.2020,21:00,0,0,88
31.03.2020,22:00,0,0,88
31.03.2020,23:00,0,0,89
01.04.2020,00:00,0,0,91
01.04.2020,01:00,0,0,91
01.04.2020,02:00,0,0,91
01.04.2020,03:00,0,0,91
01.04.2020,04:00,0,0,90
01.04.2020,05:00,0,0,89
01.04.2020,06:00,0,0,89
01.04.2020,07:00,0,0,89
01.04.2020,08:00,0,0,89
01.04.2020,09:00,0,0,89
01.04.2020,10:00,0,0,89
01.04.2020,11:00,0,0,89
01.04.2020,12:00,0,0,88
01.04.2020,13:00,0,0,88
01.04.2020,14:00,0,0,89
01.04.2020,15:00,0,0,89
01.04.2020,16:00,0,0,89
01.04.2020,17:00,0,0,89
01.04.2020,18:00,0,0,89
01.04.2020,19:00,0,0,88
01.04.2020,20:00,0,0,88
01.04.2020,21:00,0,0,89
01.04.2020,22:00,0,0,89
01.04.2020,23:00,0,0,89
02.04.2020,00:00,0,0,0
02.04.2020,01:00,0,0,0
02.04.2020,02:00,0,0,0
02.04.2020,03:00,0,0,0
02.04.2020,04:00,0,0,0
02.04.2020,05:00,0,0,0
02.04.2020,06:00,0,0,0
02.04.2020,07:00,0,0,0
02.04.2020,08:00,0,0,0
02.04.2020,09:00,0,0,0
02.04.2020,10:00,0,0,0
02.04.2020,11:00,0,0,0
02.04.2020,12:00,0,0,0
02.04.2020,13:00,0,0,0
02.04.2020,14:00,0,0,0
02.04.2020,15:00,0,0,0
02.04.2020,16:00,0,0,0
02.04.2020,17:00,0,0,0
02.04.2020,18:00,0,0,0
02.04.2020,19:00,0,0,0
02.04.2020,20:00,0,0,0
02.04.2020,21:00,0,0,0
02.04.2020,22:00,0,0,0
02.04.2020,23:00,0,0,0
03.04.2020,00:00,0,0,0
03.04.2020,01:00,0,0,0
03.04.2020,02:00,0,0,0
03.04.2020,03:00,0,0,0
03.04.2020,04:00,0,0,0
03.04.2020,05:00,0,0,0
03.04.2020,06:00,0,0,0
03.04.2020,07:00,0,0,0
03.04.2020,08:00,0,0,0
03.04.2020,09:00,0,0,0
03.04.2020,10:00,0,0,0
03.04.2020,11:00,0,0,0
03.04.2020,12:00,0,0,0
03.04.2020,13:00,0,0,0
03.04.2020,14:00,0,0,0
03.04.2020,15:00,0,0,0
03.04.2020,16:00,0,0,0
03.04.2020,17:00,0,0,0
03.04.2020,18:00,0,0,0
03.04.2020,19:00,0,0,0
03.04.2020,20:00,0,0,0
03.04.2020,21:00,0,0,0
03.04.2020,22:00,0,0,0
03.04.2020,23:00,0,0,0
04.04.2020,00:00,0,0,0
04.04.2020,01:00,0,0,0
04.04.2020,02:00,0,0,0
04.04.2020,03:00,0,0,0
04.04.2020,04:00,0,0,0
04.04.2020,05:00,0,0,0
04.04.2020,06:00,0,0,0
04.04.2020,07:00,0,0,0
04.04.2020,08:00,0,0,0
04.04.2020,09:00,0,0,0
04.04.2020,10:00,0,0,0
04.04.2020,11:00,0,0,0
04.04.2020,12:00,0,0,0
04.04.2020,13:00,0,0,0
04.04.2020,14:00,0,0,0
04.04.2020,15:00,0,0,0
04.04.2020,16:00,0,0,0
04.04.2020,17:00,0,0,0
04.04.2020,18:00,0,0,0
04.04.2020,19:00,0,0,0
04.04.2020,20:00,0,0,0
04.04.2020,21:00,0,0,0
04.04.2020,22:00,0,0,0
04.04.2020,23:00,0,0,0
05.04.2020,00:00,0,0,75
05.04.2020,01:00,0,0,69
05.04.2020,02:00,0,0,68
05.04.2020,03:00,0,0,68
05.04.2020,04:00,0,0,69
05.04.2020,05:00,0,0,74
05.04.2020,06:00,0,0,74
05.04.2020,07:00,0,0,76
05.04.2020,08:00,0,0,75
05.04.2020,09:00,0,0,74
05.04.2020,10:00,0,0,74
05.04.2020,11:00,0,0,74
05.04.2020,12:00,0,0,74
05.04.2020,13:00,0,0,72
05.04.2020,14:00,0,0,72
05.04.2020,15:00,0,0,72
05.04.2020,16:00,0,0,72
05.04.2020,17:00,0,0,72
05.04.2020,18:00,0,0,73
05.04.2020,19:00,0,0,88
05.04.2020,20:00,0,0,79
05.04.2020,21:00,0,0,71
05.04.2020,22:00,0,0,71
05.04.2020,23:00,0,0,71
06.04.2020,00:00,0,0,71
06.04.2020,01:00,0,0,71
06.04.2020,02:00,0,0,71
06.04.2020,03:00,0,0,71
06.04.2020,04:00,0,0,71
06.04.2020,05:00,0,0,71
06.04.2020,06:00,0,0,73
06.04.2020,07:00,0,0,92
06.04.2020,08:00,0,0,92
06.04.2020,09:00,0,0,92
06.04.2020,10:00,0,0,86
06.04.2020,11:00,0,0,65
06.04.2020,12:00,0,0,65
06.04.2020,13:00,0,0,67
06.04.2020,14:00,0,0,69
06.04.2020,15:00,0,0,69
06.04.2020,16:00,0,0,75
