Datum,Uhrzeit,Generation_DE Gas0und0Dampfturbinen[MW],Generation_DE Niehl 3[MW]
01.01.2020,00:00,0,303
01.01.2020,01:00,0,306
01.01.2020,02:00,0,308
01.01.2020,03:00,0,308
01.01.2020,04:00,0,238
01.01.2020,05:00,0,254
01.01.2020,06:00,0,251
01.01.2020,07:00,0,290
01.01.2020,08:00,0,274
01.01.2020,09:00,0,275
01.01.2020,10:00,0,261
01.01.2020,11:00,0,276
01.01.2020,12:00,0,252
01.01.2020,13:00,0,240
01.01.2020,14:00,0,309
01.01.2020,15:00,0,306
01.01.2020,16:00,0,301
01.01.2020,17:00,0,302
01.01.2020,18:00,0,303
01.01.2020,19:00,0,288
01.01.2020,20:00,0,305
01.01.2020,21:00,0,310
01.01.2020,22:00,0,312
01.01.2020,23:00,0,281
02.01.2020,00:00,0,302
02.01.2020,01:00,0,321
02.01.2020,02:00,0,323
02.01.2020,03:00,0,252
02.01.2020,04:00,0,322
02.01.2020,05:00,0,315
02.01.2020,06:00,0,302
02.01.2020,07:00,0,302
02.01.2020,08:00,0,308
02.01.2020,09:00,0,312
02.01.2020,10:00,0,311
02.01.2020,11:00,0,308
02.01.2020,12:00,0,301
02.01.2020,13:00,0,299
02.01.2020,14:00,0,298
02.01.2020,15:00,0,295
02.01.2020,16:00,0,293
02.01.2020,17:00,0,306
02.01.2020,18:00,0,308
02.01.2020,19:00,0,294
02.01.2020,20:00,0,305
02.01.2020,21:00,0,310
02.01.2020,22:00,0,309
02.01.2020,23:00,0,202
03.01.2020,00:00,0,329
03.01.2020,01:00,0,157
03.01.2020,02:00,0,160
03.01.2020,03:00,0,159
03.01.2020,04:00,0,175
03.01.2020,05:00,0,203
03.01.2020,06:00,0,254
03.01.2020,07:00,0,243
03.01.2020,08:00,0,249
03.01.2020,09:00,0,283
03.01.2020,10:00,0,274
03.01.2020,11:00,0,271
03.01.2020,12:00,0,303
03.01.2020,13:00,0,307
03.01.2020,14:00,0,220
03.01.2020,15:00,0,205
03.01.2020,16:00,0,288
03.01.2020,17:00,0,202
03.01.2020,18:00,0,201
03.01.2020,19:00,0,190
03.01.2020,20:00,0,225
03.01.2020,21:00,0,174
03.01.2020,22:00,0,162
03.01.2020,23:00,0,139
04.01.2020,00:00,0,0
04.01.2020,01:00,0,0
04.01.2020,02:00,0,0
04.01.2020,03:00,0,0
04.01.2020,04:00,0,0
04.01.2020,05:00,0,0
04.01.2020,06:00,0,0
04.01.2020,07:00,0,0
04.01.2020,08:00,0,0
04.01.2020,09:00,0,0
04.01.2020,10:00,0,0
04.01.2020,11:00,0,0
04.01.2020,12:00,0,0
04.01.2020,13:00,0,0
04.01.2020,14:00,0,0
04.01.2020,15:00,0,0
04.01.2020,16:00,0,0
04.01.2020,17:00,0,0
04.01.2020,18:00,0,0
04.01.2020,19:00,0,0
04.01.2020,20:00,0,0
04.01.2020,21:00,0,0
04.01.2020,22:00,0,0
04.01.2020,23:00,0,0
05.01.2020,00:00,226,0
05.01.2020,01:00,228,0
05.01.2020,02:00,132,0
05.01.2020,03:00,206,0
05.01.2020,04:00,149,0
05.01.2020,05:00,179,0
05.01.2020,06:00,247,0
05.01.2020,07:00,248,0
05.01.2020,08:00,248,0
05.01.2020,09:00,250,0
05.01.2020,10:00,246,0
05.01.2020,11:00,248,0
05.01.2020,12:00,246,0
05.01.2020,13:00,246,0
05.01.2020,14:00,246,0
05.01.2020,15:00,246,0
05.01.2020,16:00,246,0
05.01.2020,17:00,246,0
05.01.2020,18:00,246,0
05.01.2020,19:00,246,0
05.01.2020,20:00,246,0
05.01.2020,21:00,247,0
05.01.2020,22:00,248,0
05.01.2020,23:00,250,0
06.01.2020,00:00,245,0
06.01.2020,01:00,185,0
06.01.2020,02:00,183,0
06.01.2020,03:00,187,0
06.01.2020,04:00,204,0
06.01.2020,05:00,244,0
06.01.2020,06:00,260,0
06.01.2020,07:00,268,0
06.01.2020,08:00,269,0
06.01.2020,09:00,270,0
06.01.2020,10:00,270,0
06.01.2020,11:00,262,0
06.01.2020,12:00,242,0
06.01.2020,13:00,242,0
06.01.2020,14:00,245,0
06.01.2020,15:00,244,0
06.01.2020,16:00,242,0
06.01.2020,17:00,253,0
06.01.2020,18:00,268,0
06.01.2020,19:00,268,0
06.01.2020,20:00,268,0
06.01.2020,21:00,269,0
06.01.2020,22:00,269,0
06.01.2020,23:00,266,0
07.01.2020,00:00,261,272
07.01.2020,01:00,203,140
07.01.2020,02:00,202,120
07.01.2020,03:00,129,120
07.01.2020,04:00,132,115
07.01.2020,05:00,205,155
07.01.2020,06:00,266,301
07.01.2020,07:00,267,289
07.01.2020,08:00,268,281
07.01.2020,09:00,268,281
07.01.2020,10:00,268,281
07.01.2020,11:00,268,286
07.01.2020,12:00,268,299
07.01.2020,13:00,268,311
07.01.2020,14:00,268,309
07.01.2020,15:00,267,290
07.01.2020,16:00,267,282
07.01.2020,17:00,268,264
07.01.2020,18:00,269,250
07.01.2020,19:00,269,239
07.01.2020,20:00,268,277
07.01.2020,21:00,228,208
07.01.2020,22:00,266,291
07.01.2020,23:00,234,139
08.01.2020,00:00,241,247
08.01.2020,01:00,124,118
08.01.2020,02:00,125,161
08.01.2020,03:00,164,165
08.01.2020,04:00,161,193
08.01.2020,05:00,213,330
08.01.2020,06:00,219,313
08.01.2020,07:00,265,292
08.01.2020,08:00,265,281
08.01.2020,09:00,265,270
08.01.2020,10:00,266,283
08.01.2020,11:00,266,284
08.01.2020,12:00,266,282
08.01.2020,13:00,266,285
08.01.2020,14:00,265,286
08.01.2020,15:00,265,285
08.01.2020,16:00,266,289
08.01.2020,17:00,266,279
08.01.2020,18:00,265,276
08.01.2020,19:00,266,284
08.01.2020,20:00,266,240
08.01.2020,21:00,266,281
08.01.2020,22:00,266,301
08.01.2020,23:00,266,302
09.01.2020,00:00,266,334
09.01.2020,01:00,266,344
09.01.2020,02:00,265,348
09.01.2020,03:00,251,329
09.01.2020,04:00,168,139
09.01.2020,05:00,263,330
09.01.2020,06:00,264,315
09.01.2020,07:00,263,292
09.01.2020,08:00,263,237
09.01.2020,09:00,263,199
09.01.2020,10:00,262,253
09.01.2020,11:00,212,206
09.01.2020,12:00,232,164
09.01.2020,13:00,147,207
09.01.2020,14:00,217,215
09.01.2020,15:00,260,243
09.01.2020,16:00,262,277
09.01.2020,17:00,262,273
09.01.2020,18:00,262,276
09.01.2020,19:00,262,281
09.01.2020,20:00,263,288
09.01.2020,21:00,263,295
09.01.2020,22:00,263,305
09.01.2020,23:00,263,306
10.01.2020,00:00,0,311
10.01.2020,01:00,213,235
10.01.2020,02:00,159,111
10.01.2020,03:00,126,95
10.01.2020,04:00,149,220
10.01.2020,05:00,261,325
10.01.2020,06:00,263,262
10.01.2020,07:00,264,286
10.01.2020,08:00,264,271
10.01.2020,09:00,264,278
10.01.2020,10:00,265,271
10.01.2020,11:00,265,206
10.01.2020,12:00,265,263
10.01.2020,13:00,265,284
10.01.2020,14:00,266,283
10.01.2020,15:00,266,188
10.01.2020,16:00,267,183
10.01.2020,17:00,267,167
10.01.2020,18:00,268,280
10.01.2020,19:00,269,279
10.01.2020,20:00,269,232
10.01.2020,21:00,270,212
10.01.2020,22:00,271,290
10.01.2020,23:00,271,316
11.01.2020,00:00,0,334
11.01.2020,01:00,0,345
11.01.2020,02:00,0,343
11.01.2020,03:00,0,241
11.01.2020,04:00,0,137
11.01.2020,05:00,0,252
11.01.2020,06:00,0,243
11.01.2020,07:00,0,250
11.01.2020,08:00,0,261
11.01.2020,09:00,0,302
11.01.2020,10:00,0,244
11.01.2020,11:00,0,198
11.01.2020,12:00,0,236
11.01.2020,13:00,0,170
11.01.2020,14:00,0,287
11.01.2020,15:00,0,287
11.01.2020,16:00,0,272
11.01.2020,17:00,0,239
11.01.2020,18:00,0,258
11.01.2020,19:00,0,230
11.01.2020,20:00,0,301
11.01.2020,21:00,0,304
11.01.2020,22:00,0,318
11.01.2020,23:00,0,299
12.01.2020,00:00,0,154
12.01.2020,01:00,0,173
12.01.2020,02:00,0,165
12.01.2020,03:00,0,211
12.01.2020,04:00,0,172
12.01.2020,05:00,0,202
12.01.2020,06:00,0,236
12.01.2020,07:00,0,268
12.01.2020,08:00,0,254
12.01.2020,09:00,0,280
12.01.2020,10:00,0,282
12.01.2020,11:00,0,268
12.01.2020,12:00,0,256
12.01.2020,13:00,0,286
12.01.2020,14:00,0,245
12.01.2020,15:00,0,178
12.01.2020,16:00,0,208
12.01.2020,17:00,0,197
12.01.2020,18:00,0,256
12.01.2020,19:00,0,304
12.01.2020,20:00,0,189
12.01.2020,21:00,0,185
12.01.2020,22:00,0,159
12.01.2020,23:00,0,234
13.01.2020,00:00,0,148
13.01.2020,01:00,0,314
13.01.2020,02:00,0,133
13.01.2020,03:00,0,197
13.01.2020,04:00,0,148
13.01.2020,05:00,0,185
13.01.2020,06:00,0,307
13.01.2020,07:00,0,290
13.01.2020,08:00,0,284
13.01.2020,09:00,0,280
13.01.2020,10:00,0,278
13.01.2020,11:00,0,277
13.01.2020,12:00,0,286
13.01.2020,13:00,0,283
13.01.2020,14:00,0,282
13.01.2020,15:00,0,284
13.01.2020,16:00,0,281
13.01.2020,17:00,0,278
13.01.2020,18:00,0,240
13.01.2020,19:00,0,253
13.01.2020,20:00,0,157
13.01.2020,21:00,0,191
13.01.2020,22:00,0,298
13.01.2020,23:00,0,282
14.01.2020,00:00,0,225
14.01.2020,01:00,0,264
14.01.2020,02:00,0,93
14.01.2020,03:00,0,100
14.01.2020,04:00,0,189
14.01.2020,05:00,0,251
14.01.2020,06:00,0,174
14.01.2020,07:00,0,281
14.01.2020,08:00,0,263
14.01.2020,09:00,0,199
14.01.2020,10:00,0,227
14.01.2020,11:00,0,166
14.01.2020,12:00,0,138
14.01.2020,13:00,0,212
14.01.2020,14:00,0,267
14.01.2020,15:00,0,233
