Datum,Uhrzeit,Generation_DE Gas0und0Dampfturbinen0Anlage[MW],Generation_DE Kohleanlage[MW]
01.01.2020,00:00,0,31
01.01.2020,01:00,0,31
01.01.2020,02:00,0,31
01.01.2020,03:00,0,31
01.01.2020,04:00,0,31
01.01.2020,05:00,0,32
01.01.2020,06:00,0,32
01.01.2020,07:00,0,32
01.01.2020,08:00,0,32
01.01.2020,09:00,0,32
01.01.2020,10:00,0,32
01.01.2020,11:00,0,32
01.01.2020,12:00,0,32
01.01.2020,13:00,0,32
01.01.2020,14:00,0,31
01.01.2020,15:00,0,31
01.01.2020,16:00,0,31
01.01.2020,17:00,0,31
01.01.2020,18:00,0,31
01.01.2020,19:00,0,32
01.01.2020,20:00,0,32
01.01.2020,21:00,0,32
01.01.2020,22:00,0,31
01.01.2020,23:00,0,31
02.01.2020,00:00,0,31
02.01.2020,01:00,0,31
02.01.2020,02:00,0,31
02.01.2020,03:00,0,31
02.01.2020,04:00,0,31
02.01.2020,05:00,0,32
02.01.2020,06:00,0,32
02.01.2020,07:00,0,32
02.01.2020,08:00,0,33
02.01.2020,09:00,0,33
02.01.2020,10:00,0,32
02.01.2020,11:00,0,37
02.01.2020,12:00,0,37
02.01.2020,13:00,0,37
02.01.2020,14:00,0,37
02.01.2020,15:00,0,37
02.01.2020,16:00,0,37
02.01.2020,17:00,0,37
02.01.2020,18:00,0,36
02.01.2020,19:00,0,36
02.01.2020,20:00,0,36
02.01.2020,21:00,0,35
02.01.2020,22:00,0,32
02.01.2020,23:00,0,31
03.01.2020,00:00,0,29
03.01.2020,01:00,0,28
03.01.2020,02:00,0,28
03.01.2020,03:00,0,28
03.01.2020,04:00,0,32
03.01.2020,05:00,0,33
03.01.2020,06:00,0,35
03.01.2020,07:00,0,36
03.01.2020,08:00,0,37
03.01.2020,09:00,0,37
03.01.2020,10:00,0,37
03.01.2020,11:00,0,37
03.01.2020,12:00,0,37
03.01.2020,13:00,0,38
03.01.2020,14:00,0,36
03.01.2020,15:00,0,36
03.01.2020,16:00,0,36
03.01.2020,17:00,0,35
03.01.2020,18:00,0,19
03.01.2020,19:00,0,21
03.01.2020,20:00,0,21
03.01.2020,21:00,0,19
03.01.2020,22:00,0,17
03.01.2020,23:00,0,17
04.01.2020,00:00,0,15
04.01.2020,01:00,0,13
04.01.2020,02:00,0,13
04.01.2020,03:00,0,12
04.01.2020,04:00,0,12
04.01.2020,05:00,0,12
04.01.2020,06:00,0,14
04.01.2020,07:00,0,15
04.01.2020,08:00,0,19
04.01.2020,09:00,0,21
04.01.2020,10:00,0,21
04.01.2020,11:00,0,21
04.01.2020,12:00,0,21
04.01.2020,13:00,0,21
04.01.2020,14:00,0,22
04.01.2020,15:00,0,21
04.01.2020,16:00,0,21
04.01.2020,17:00,0,21
04.01.2020,18:00,0,21
04.01.2020,19:00,0,21
04.01.2020,20:00,0,21
04.01.2020,21:00,0,21
