Datum,Uhrzeit,Generation_DE KKI 2[MW]
01.01.2020,00:00,1425
01.01.2020,01:00,1426
01.01.2020,02:00,1428
01.01.2020,03:00,1426
01.01.2020,04:00,1425
01.01.2020,05:00,1426
01.01.2020,06:00,1428
01.01.2020,07:00,1427
01.01.2020,08:00,1428
01.01.2020,09:00,1427
01.01.2020,10:00,1356
01.01.2020,11:00,1220
01.01.2020,12:00,1215
01.01.2020,13:00,1378
01.01.2020,14:00,1418
01.01.2020,15:00,1426
01.01.2020,16:00,1425
01.01.2020,17:00,1425
01.01.2020,18:00,1425
01.01.2020,19:00,1427
01.01.2020,20:00,1423
01.01.2020,21:00,1427
01.01.2020,22:00,1426
01.01.2020,23:00,1427
02.01.2020,00:00,1428
02.01.2020,01:00,1429
02.01.2020,02:00,1429
02.01.2020,03:00,1428
02.01.2020,04:00,1429
02.01.2020,05:00,1430
02.01.2020,06:00,1370
02.01.2020,07:00,1427
02.01.2020,08:00,1430
02.01.2020,09:00,1431
02.01.2020,10:00,1431
02.01.2020,11:00,1429
02.01.2020,12:00,1430
02.01.2020,13:00,1430
02.01.2020,14:00,1429
02.01.2020,15:00,1428
02.01.2020,16:00,1429
02.01.2020,17:00,1428
02.01.2020,18:00,1429
02.01.2020,19:00,1429
02.01.2020,20:00,1413
02.01.2020,21:00,1424
02.01.2020,22:00,1429
02.01.2020,23:00,1428
03.01.2020,00:00,1428
03.01.2020,01:00,1428
03.01.2020,02:00,1423
03.01.2020,03:00,1369
03.01.2020,04:00,1278
03.01.2020,05:00,1349
03.01.2020,06:00,1367
03.01.2020,07:00,1323
03.01.2020,08:00,1275
03.01.2020,09:00,1418
03.01.2020,10:00,1416
03.01.2020,11:00,1399
03.01.2020,12:00,1428
03.01.2020,13:00,1384
03.01.2020,14:00,1367
03.01.2020,15:00,1340
03.01.2020,16:00,1359
03.01.2020,17:00,1229
03.01.2020,18:00,1226
03.01.2020,19:00,1234
03.01.2020,20:00,1321
03.01.2020,21:00,1294
03.01.2020,22:00,1234
03.01.2020,23:00,1287
04.01.2020,00:00,1311
04.01.2020,01:00,1394
04.01.2020,02:00,1393
04.01.2020,03:00,1362
04.01.2020,04:00,1297
04.01.2020,05:00,1371
04.01.2020,06:00,1355
04.01.2020,07:00,1364
04.01.2020,08:00,1370
04.01.2020,09:00,1357
04.01.2020,10:00,1323
04.01.2020,11:00,1341
04.01.2020,12:00,1389
04.01.2020,13:00,1382
04.01.2020,14:00,1342
04.01.2020,15:00,1324
04.01.2020,16:00,1405
04.01.2020,17:00,1390
04.01.2020,18:00,1397
04.01.2020,19:00,1415
04.01.2020,20:00,1374
04.01.2020,21:00,1410
04.01.2020,22:00,1415
04.01.2020,23:00,1403
05.01.2020,00:00,1367
05.01.2020,01:00,1369
05.01.2020,02:00,1372
05.01.2020,03:00,1416
05.01.2020,04:00,1409
05.01.2020,05:00,1405
05.01.2020,06:00,1416
05.01.2020,07:00,1416
05.01.2020,08:00,1411
05.01.2020,09:00,1393
05.01.2020,10:00,1409
05.01.2020,11:00,1421
05.01.2020,12:00,1420
05.01.2020,13:00,1420
05.01.2020,14:00,1420
05.01.2020,15:00,1420
05.01.2020,16:00,1418
