Datum,Uhrzeit,Generation_DE KKE[MW]
01.01.2020,00:00,1358
01.01.2020,01:00,1358
01.01.2020,02:00,1358
01.01.2020,03:00,1358
01.01.2020,04:00,1358
01.01.2020,05:00,1358
01.01.2020,06:00,1358
01.01.2020,07:00,1358
01.01.2020,08:00,1358
01.01.2020,09:00,1360
01.01.2020,10:00,1358
01.01.2020,11:00,1357
01.01.2020,12:00,1359
01.01.2020,13:00,1360
01.01.2020,14:00,1360
01.01.2020,15:00,1360
01.01.2020,16:00,1360
01.01.2020,17:00,1359
01.01.2020,18:00,1358
01.01.2020,19:00,1358
01.01.2020,20:00,1358
01.01.2020,21:00,1355
01.01.2020,22:00,1355
01.01.2020,23:00,1354
02.01.2020,00:00,1357
02.01.2020,01:00,1358
02.01.2020,02:00,1359
02.01.2020,03:00,1359
02.01.2020,04:00,1358
02.01.2020,05:00,1359
02.01.2020,06:00,1357
02.01.2020,07:00,1356
02.01.2020,08:00,1357
02.01.2020,09:00,1356
02.01.2020,10:00,1357
02.01.2020,11:00,1357
02.01.2020,12:00,1357
02.01.2020,13:00,1357
02.01.2020,14:00,1358
02.01.2020,15:00,1358
02.01.2020,16:00,1356
02.01.2020,17:00,1356
02.01.2020,18:00,1354
02.01.2020,19:00,1352
02.01.2020,20:00,1352
02.01.2020,21:00,1352
02.01.2020,22:00,1352
02.01.2020,23:00,1349
03.01.2020,00:00,1350
03.01.2020,01:00,1350
03.01.2020,02:00,1350
03.01.2020,03:00,1348
03.01.2020,04:00,1344
03.01.2020,05:00,1345
03.01.2020,06:00,1344
03.01.2020,07:00,1344
03.01.2020,08:00,1343
03.01.2020,09:00,1344
03.01.2020,10:00,1344
03.01.2020,11:00,1343
03.01.2020,12:00,1342
03.01.2020,13:00,1343
03.01.2020,14:00,1346
03.01.2020,15:00,1343
03.01.2020,16:00,1342
03.01.2020,17:00,1343
03.01.2020,18:00,1345
03.01.2020,19:00,1350
03.01.2020,20:00,1349
03.01.2020,21:00,1348
03.01.2020,22:00,1351
03.01.2020,23:00,1352
04.01.2020,00:00,1353
04.01.2020,01:00,1352
04.01.2020,02:00,1352
04.01.2020,03:00,1352
04.01.2020,04:00,1352
04.01.2020,05:00,1352
04.01.2020,06:00,1352
04.01.2020,07:00,1351
04.01.2020,08:00,1351
04.01.2020,09:00,1348
04.01.2020,10:00,1349
04.01.2020,11:00,1347
04.01.2020,12:00,1343
04.01.2020,13:00,1346
04.01.2020,14:00,1344
04.01.2020,15:00,1344
04.01.2020,16:00,1345
04.01.2020,17:00,1347
04.01.2020,18:00,1349
04.01.2020,19:00,1352
04.01.2020,20:00,1353
04.01.2020,21:00,1354
04.01.2020,22:00,1353
04.01.2020,23:00,1354
05.01.2020,00:00,1354
05.01.2020,01:00,1354
05.01.2020,02:00,1354
05.01.2020,03:00,1353
05.01.2020,04:00,1356
05.01.2020,05:00,1356
05.01.2020,06:00,1356
05.01.2020,07:00,1355
05.01.2020,08:00,1354
05.01.2020,09:00,1353
05.01.2020,10:00,1353
05.01.2020,11:00,1350
05.01.2020,12:00,1350
05.01.2020,13:00,1350
05.01.2020,14:00,1350
05.01.2020,15:00,1349
05.01.2020,16:00,1349
05.01.2020,17:00,1349
05.01.2020,18:00,1349
05.01.2020,19:00,1350
05.01.2020,20:00,1351
05.01.2020,21:00,1351
05.01.2020,22:00,1351
05.01.2020,23:00,1350
06.01.2020,00:00,1351
06.01.2020,01:00,1352
06.01.2020,02:00,1352
06.01.2020,03:00,1351
06.01.2020,04:00,1351
06.01.2020,05:00,1351
06.01.2020,06:00,1351
06.01.2020,07:00,1350
06.01.2020,08:00,1350
06.01.2020,09:00,1351
06.01.2020,10:00,1350
06.01.2020,11:00,1351
06.01.2020,12:00,1351
06.01.2020,13:00,1350
06.01.2020,14:00,1350
06.01.2020,15:00,1351
06.01.2020,16:00,1353
06.01.2020,17:00,1353
06.01.2020,18:00,1353
06.01.2020,19:00,1352
06.01.2020,20:00,1352
06.01.2020,21:00,1351
06.01.2020,22:00,1351
06.01.2020,23:00,1352
07.01.2020,00:00,1352
07.01.2020,01:00,1351
07.01.2020,02:00,1351
07.01.2020,03:00,1351
07.01.2020,04:00,1352
07.01.2020,05:00,1350
07.01.2020,06:00,1349
07.01.2020,07:00,1349
07.01.2020,08:00,1349
07.01.2020,09:00,1352
07.01.2020,10:00,1347
07.01.2020,11:00,1346
07.01.2020,12:00,1345
07.01.2020,13:00,1347
07.01.2020,14:00,1348
07.01.2020,15:00,1347
07.01.2020,16:00,1347
07.01.2020,17:00,1347
07.01.2020,18:00,1346
07.01.2020,19:00,1345
07.01.2020,20:00,1345
07.01.2020,21:00,1344
07.01.2020,22:00,1346
07.01.2020,23:00,1347
08.01.2020,00:00,1345
08.01.2020,01:00,1344
08.01.2020,02:00,1344
08.01.2020,03:00,1343
08.01.2020,04:00,1343
08.01.2020,05:00,1341
08.01.2020,06:00,1340
08.01.2020,07:00,1340
08.01.2020,08:00,1337
08.01.2020,09:00,1339
08.01.2020,10:00,1338
08.01.2020,11:00,1338
08.01.2020,12:00,1340
08.01.2020,13:00,1339
08.01.2020,14:00,1339
08.01.2020,15:00,1339
08.01.2020,16:00,1340
08.01.2020,17:00,1340
08.01.2020,18:00,1339
08.01.2020,19:00,1340
08.01.2020,20:00,1341
08.01.2020,21:00,1342
08.01.2020,22:00,1343
08.01.2020,23:00,1343
09.01.2020,00:00,1343
09.01.2020,01:00,1342
09.01.2020,02:00,1342
09.01.2020,03:00,1346
09.01.2020,04:00,1344
09.01.2020,05:00,1342
09.01.2020,06:00,1339
09.01.2020,07:00,1336
