Datum,Uhrzeit,Generation_DE Klingenberg[MW]
01.01.2020,00:00,138
01.01.2020,01:00,138
01.01.2020,02:00,138
01.01.2020,03:00,138
01.01.2020,04:00,138
01.01.2020,05:00,138
01.01.2020,06:00,137
01.01.2020,07:00,137
01.01.2020,08:00,137
01.01.2020,09:00,137
01.01.2020,10:00,137
01.01.2020,11:00,138
01.01.2020,12:00,138
01.01.2020,13:00,138
01.01.2020,14:00,138
01.01.2020,15:00,137
01.01.2020,16:00,137
01.01.2020,17:00,137
01.01.2020,18:00,137
01.01.2020,19:00,137
01.01.2020,20:00,137
01.01.2020,21:00,138
01.01.2020,22:00,137
01.01.2020,23:00,137
02.01.2020,00:00,138
02.01.2020,01:00,139
02.01.2020,02:00,139
02.01.2020,03:00,138
02.01.2020,04:00,138
02.01.2020,05:00,141
02.01.2020,06:00,141
02.01.2020,07:00,141
02.01.2020,08:00,141
02.01.2020,09:00,141
02.01.2020,10:00,141
02.01.2020,11:00,141
02.01.2020,12:00,142
02.01.2020,13:00,135
02.01.2020,14:00,123
02.01.2020,15:00,122
02.01.2020,16:00,124
02.01.2020,17:00,141
02.01.2020,18:00,141
02.01.2020,19:00,141
02.01.2020,20:00,142
02.01.2020,21:00,142
02.01.2020,22:00,142
02.01.2020,23:00,142
03.01.2020,00:00,140
03.01.2020,01:00,135
03.01.2020,02:00,134
03.01.2020,03:00,104
03.01.2020,04:00,104
03.01.2020,05:00,104
03.01.2020,06:00,114
03.01.2020,07:00,133
03.01.2020,08:00,134
03.01.2020,09:00,133
03.01.2020,10:00,133
03.01.2020,11:00,121
03.01.2020,12:00,105
03.01.2020,13:00,109
03.01.2020,14:00,124
03.01.2020,15:00,132
03.01.2020,16:00,132
03.01.2020,17:00,132
03.01.2020,18:00,135
03.01.2020,19:00,114
03.01.2020,20:00,109
03.01.2020,21:00,109
03.01.2020,22:00,110
03.01.2020,23:00,108
04.01.2020,00:00,86
04.01.2020,01:00,87
04.01.2020,02:00,104
04.01.2020,03:00,104
04.01.2020,04:00,104
04.01.2020,05:00,105
04.01.2020,06:00,129
04.01.2020,07:00,133
04.01.2020,08:00,133
04.01.2020,09:00,131
04.01.2020,10:00,114
04.01.2020,11:00,115
04.01.2020,12:00,127
04.01.2020,13:00,133
04.01.2020,14:00,133
04.01.2020,15:00,133
04.01.2020,16:00,133
04.01.2020,17:00,133
04.01.2020,18:00,133
04.01.2020,19:00,133
04.01.2020,20:00,133
04.01.2020,21:00,133
04.01.2020,22:00,133
04.01.2020,23:00,132
05.01.2020,00:00,132
05.01.2020,01:00,133
05.01.2020,02:00,132
05.01.2020,03:00,133
05.01.2020,04:00,133
05.01.2020,05:00,133
05.01.2020,06:00,134
05.01.2020,07:00,135
05.01.2020,08:00,135
05.01.2020,09:00,134
05.01.2020,10:00,134
05.01.2020,11:00,133
05.01.2020,12:00,133
05.01.2020,13:00,133
05.01.2020,14:00,132
05.01.2020,15:00,132
05.01.2020,16:00,132
05.01.2020,17:00,132
05.01.2020,18:00,132
05.01.2020,19:00,132
05.01.2020,20:00,132
05.01.2020,21:00,132
05.01.2020,22:00,132
05.01.2020,23:00,132
06.01.2020,00:00,132
06.01.2020,01:00,133
06.01.2020,02:00,132
06.01.2020,03:00,133
06.01.2020,04:00,133
06.01.2020,05:00,132
06.01.2020,06:00,132
06.01.2020,07:00,132
06.01.2020,08:00,132
06.01.2020,09:00,132
06.01.2020,10:00,132
06.01.2020,11:00,132
06.01.2020,12:00,132
06.01.2020,13:00,133
06.01.2020,14:00,133
06.01.2020,15:00,133
06.01.2020,16:00,133
06.01.2020,17:00,133
06.01.2020,18:00,133
06.01.2020,19:00,133
06.01.2020,20:00,133
06.01.2020,21:00,130
06.01.2020,22:00,106
06.01.2020,23:00,106
07.01.2020,00:00,106
07.01.2020,01:00,106
07.01.2020,02:00,106
07.01.2020,03:00,105
07.01.2020,04:00,128
07.01.2020,05:00,133
07.01.2020,06:00,133
07.01.2020,07:00,133
07.01.2020,08:00,133
07.01.2020,09:00,133
07.01.2020,10:00,133
07.01.2020,11:00,133
07.01.2020,12:00,133
07.01.2020,13:00,133
07.01.2020,14:00,133
07.01.2020,15:00,133
07.01.2020,16:00,134
07.01.2020,17:00,137
07.01.2020,18:00,137
07.01.2020,19:00,136
07.01.2020,20:00,138
07.01.2020,21:00,138
07.01.2020,22:00,138
07.01.2020,23:00,137
08.01.2020,00:00,115
08.01.2020,01:00,114
08.01.2020,02:00,114
08.01.2020,03:00,114
08.01.2020,04:00,114
08.01.2020,05:00,132
08.01.2020,06:00,133
