Datum,Uhrzeit,Generation_DE Koepchenwerk[MW]
01.01.2020,00:00,0
01.01.2020,01:00,0
01.01.2020,02:00,0
01.01.2020,03:00,0
01.01.2020,04:00,0
01.01.2020,05:00,0
01.01.2020,06:00,0
01.01.2020,07:00,0
01.01.2020,08:00,0
01.01.2020,09:00,0
01.01.2020,10:00,0
01.01.2020,11:00,0
01.01.2020,12:00,0
01.01.2020,13:00,0
01.01.2020,14:00,54
01.01.2020,15:00,3
01.01.2020,16:00,0
01.01.2020,17:00,56
01.01.2020,18:00,135
01.01.2020,19:00,80
01.01.2020,20:00,0
01.01.2020,21:00,0
01.01.2020,22:00,0
01.01.2020,23:00,0
02.01.2020,00:00,0
02.01.2020,01:00,0
02.01.2020,02:00,0
02.01.2020,03:00,0
02.01.2020,04:00,0
02.01.2020,05:00,43
02.01.2020,06:00,0
02.01.2020,07:00,0
02.01.2020,08:00,0
02.01.2020,09:00,0
02.01.2020,10:00,152
02.01.2020,11:00,21
02.01.2020,12:00,0
02.01.2020,13:00,0
02.01.2020,14:00,0
02.01.2020,15:00,0
02.01.2020,16:00,0
02.01.2020,17:00,83
02.01.2020,18:00,5
02.01.2020,19:00,0
02.01.2020,20:00,0
02.01.2020,21:00,0
02.01.2020,22:00,0
02.01.2020,23:00,0
03.01.2020,00:00,4
03.01.2020,01:00,0
03.01.2020,02:00,0
03.01.2020,03:00,0
03.01.2020,04:00,0
03.01.2020,05:00,0
03.01.2020,06:00,0
03.01.2020,07:00,0
03.01.2020,08:00,0
03.01.2020,09:00,0
03.01.2020,10:00,0
03.01.2020,11:00,0
03.01.2020,12:00,0
03.01.2020,13:00,0
03.01.2020,14:00,1
03.01.2020,15:00,94
03.01.2020,16:00,153
03.01.2020,17:00,7
03.01.2020,18:00,0
03.01.2020,19:00,0
03.01.2020,20:00,0
03.01.2020,21:00,38
03.01.2020,22:00,0
03.01.2020,23:00,0
04.01.2020,00:00,0
04.01.2020,01:00,0
04.01.2020,02:00,0
04.01.2020,03:00,0
04.01.2020,04:00,0
04.01.2020,05:00,0
04.01.2020,06:00,0
04.01.2020,07:00,0
04.01.2020,08:00,0
04.01.2020,09:00,0
04.01.2020,10:00,0
04.01.2020,11:00,0
04.01.2020,12:00,0
04.01.2020,13:00,0
04.01.2020,14:00,0
04.01.2020,15:00,0
04.01.2020,16:00,0
04.01.2020,17:00,0
04.01.2020,18:00,0
04.01.2020,19:00,0
04.01.2020,20:00,0
04.01.2020,21:00,0
04.01.2020,22:00,0
04.01.2020,23:00,0
05.01.2020,00:00,0
05.01.2020,01:00,0
05.01.2020,02:00,0
05.01.2020,03:00,0
05.01.2020,04:00,0
05.01.2020,05:00,0
05.01.2020,06:00,0
05.01.2020,07:00,0
05.01.2020,08:00,0
05.01.2020,09:00,0
05.01.2020,10:00,0
05.01.2020,11:00,0
05.01.2020,12:00,0
05.01.2020,13:00,0
05.01.2020,14:00,0
05.01.2020,15:00,0
05.01.2020,16:00,0
05.01.2020,17:00,73
05.01.2020,18:00,72
05.01.2020,19:00,42
05.01.2020,20:00,0
05.01.2020,21:00,0
05.01.2020,22:00,49
05.01.2020,23:00,0
06.01.2020,00:00,0
06.01.2020,01:00,0
06.01.2020,02:00,0
06.01.2020,03:00,0
06.01.2020,04:00,0
06.01.2020,05:00,0
06.01.2020,06:00,0
06.01.2020,07:00,0
06.01.2020,08:00,0
06.01.2020,09:00,50
06.01.2020,10:00,76
06.01.2020,11:00,66
06.01.2020,12:00,51
06.01.2020,13:00,8
06.01.2020,14:00,0
06.01.2020,15:00,0
06.01.2020,16:00,0
06.01.2020,17:00,0
06.01.2020,18:00,0
06.01.2020,19:00,0
06.01.2020,20:00,0
06.01.2020,21:00,0
06.01.2020,22:00,0
06.01.2020,23:00,0
07.01.2020,00:00,0
07.01.2020,01:00,0
07.01.2020,02:00,0
07.01.2020,03:00,0
07.01.2020,04:00,0
07.01.2020,05:00,0
07.01.2020,06:00,0
07.01.2020,07:00,15
07.01.2020,08:00,109
07.01.2020,09:00,114
07.01.2020,10:00,63
07.01.2020,11:00,0
07.01.2020,12:00,0
07.01.2020,13:00,0
07.01.2020,14:00,0
07.01.2020,15:00,0
07.01.2020,16:00,0
07.01.2020,17:00,0
07.01.2020,18:00,0
07.01.2020,19:00,0
07.01.2020,20:00,0
07.01.2020,21:00,0
07.01.2020,22:00,0
07.01.2020,23:00,0
08.01.2020,00:00,0
08.01.2020,01:00,0
08.01.2020,02:00,0
08.01.2020,03:00,0
08.01.2020,04:00,0
08.01.2020,05:00,0
08.01.2020,06:00,0
08.01.2020,07:00,0
08.01.2020,08:00,0
08.01.2020,09:00,0
08.01.2020,10:00,0
08.01.2020,11:00,0
08.01.2020,12:00,0
08.01.2020,13:00,0
08.01.2020,14:00,0
08.01.2020,15:00,0
08.01.2020,16:00,17
08.01.2020,17:00,1
08.01.2020,18:00,145
08.01.2020,19:00,109
08.01.2020,20:00,1
08.01.2020,21:00,0
08.01.2020,22:00,0
08.01.2020,23:00,0
09.01.2020,00:00,0
09.01.2020,01:00,0
09.01.2020,02:00,0
09.01.2020,03:00,0
09.01.2020,04:00,0
09.01.2020,05:00,0
09.01.2020,06:00,0
09.01.2020,07:00,0
09.01.2020,08:00,0
09.01.2020,09:00,0
09.01.2020,10:00,0
09.01.2020,11:00,0
09.01.2020,12:00,0
09.01.2020,13:00,0
09.01.2020,14:00,0
09.01.2020,15:00,0
09.01.2020,16:00,90
09.01.2020,17:00,86
09.01.2020,18:00,25
09.01.2020,19:00,0
09.01.2020,20:00,0
09.01.2020,21:00,0
09.01.2020,22:00,0
09.01.2020,23:00,0
10.01.2020,00:00,0
10.01.2020,01:00,0
10.01.2020,02:00,0
10.01.2020,03:00,0
10.01.2020,04:00,0
10.01.2020,05:00,0
10.01.2020,06:00,0
10.01.2020,07:00,0
10.01.2020,08:00,0
10.01.2020,09:00,0
10.01.2020,10:00,0
10.01.2020,11:00,0
10.01.2020,12:00,0
10.01.2020,13:00,0
10.01.2020,14:00,0
10.01.2020,15:00,0
10.01.2020,16:00,0
10.01.2020,17:00,0
10.01.2020,18:00,0
10.01.2020,19:00,56
10.01.2020,20:00,63
10.01.2020,21:00,51
10.01.2020,22:00,64
10.01.2020,23:00,27
11.01.2020,00:00,0
11.01.2020,01:00,0
