Datum,Uhrzeit,Generation_DE Block 14[MW],Generation_DE Block 15[MW]
01.01.2020,00:00,0,80
01.01.2020,01:00,0,80
01.01.2020,02:00,0,81
01.01.2020,03:00,0,80
01.01.2020,04:00,0,74
01.01.2020,05:00,0,74
01.01.2020,06:00,0,74
01.01.2020,07:00,0,74
01.01.2020,08:00,0,74
01.01.2020,09:00,0,74
01.01.2020,10:00,0,75
01.01.2020,11:00,0,75
01.01.2020,12:00,0,74
01.01.2020,13:00,0,75
01.01.2020,14:00,0,83
01.01.2020,15:00,0,83
01.01.2020,16:00,0,84
01.01.2020,17:00,0,89
01.01.2020,18:00,0,92
01.01.2020,19:00,0,93
01.01.2020,20:00,0,90
01.01.2020,21:00,0,81
01.01.2020,22:00,0,79
01.01.2020,23:00,0,0
02.01.2020,00:00,0,79
02.01.2020,01:00,0,79
02.01.2020,02:00,0,79
02.01.2020,03:00,0,78
02.01.2020,04:00,0,79
02.01.2020,05:00,0,79
02.01.2020,06:00,0,82
02.01.2020,07:00,0,89
02.01.2020,08:00,0,89
02.01.2020,09:00,0,88
02.01.2020,10:00,0,90
02.01.2020,11:00,0,94
02.01.2020,12:00,0,93
02.01.2020,13:00,0,95
02.01.2020,14:00,0,93
02.01.2020,15:00,0,96
02.01.2020,16:00,0,93
02.01.2020,17:00,0,84
02.01.2020,18:00,0,83
02.01.2020,19:00,0,84
02.01.2020,20:00,0,88
02.01.2020,21:00,0,89
02.01.2020,22:00,0,79
02.01.2020,23:00,0,0
03.01.2020,00:00,0,80
03.01.2020,01:00,0,80
03.01.2020,02:00,0,81
03.01.2020,03:00,0,80
03.01.2020,04:00,0,81
03.01.2020,05:00,0,80
03.01.2020,06:00,0,79
03.01.2020,07:00,0,84
03.01.2020,08:00,0,84
03.01.2020,09:00,0,83
03.01.2020,10:00,0,79
03.01.2020,11:00,0,79
03.01.2020,12:00,0,82
03.01.2020,13:00,0,85
03.01.2020,14:00,0,85
03.01.2020,15:00,0,81
03.01.2020,16:00,0,75
03.01.2020,17:00,0,76
03.01.2020,18:00,0,75
03.01.2020,19:00,0,76
03.01.2020,20:00,0,76
03.01.2020,21:00,0,75
03.01.2020,22:00,0,75
03.01.2020,23:00,0,0
04.01.2020,00:00,0,75
04.01.2020,01:00,0,75
04.01.2020,02:00,0,75
04.01.2020,03:00,0,75
04.01.2020,04:00,0,75
04.01.2020,05:00,0,75
04.01.2020,06:00,0,87
04.01.2020,07:00,0,88
04.01.2020,08:00,0,89
04.01.2020,09:00,0,89
04.01.2020,10:00,0,89
04.01.2020,11:00,0,89
04.01.2020,12:00,0,88
04.01.2020,13:00,0,93
04.01.2020,14:00,0,94
04.01.2020,15:00,0,95
04.01.2020,16:00,0,95
04.01.2020,17:00,0,103
04.01.2020,18:00,0,105
04.01.2020,19:00,0,108
04.01.2020,20:00,0,96
04.01.2020,21:00,0,80
04.01.2020,22:00,0,99
04.01.2020,23:00,0,0
05.01.2020,00:00,0,93
05.01.2020,01:00,0,90
05.01.2020,02:00,0,88
05.01.2020,03:00,0,89
05.01.2020,04:00,0,88
05.01.2020,05:00,0,89
05.01.2020,06:00,0,87
05.01.2020,07:00,0,91
05.01.2020,08:00,0,100
05.01.2020,09:00,0,104
05.01.2020,10:00,0,99
05.01.2020,11:00,0,95
05.01.2020,12:00,0,89
05.01.2020,13:00,0,89
05.01.2020,14:00,0,89
05.01.2020,15:00,0,89
05.01.2020,16:00,0,93
05.01.2020,17:00,0,101
05.01.2020,18:00,0,106
05.01.2020,19:00,0,107
05.01.2020,20:00,0,102
05.01.2020,21:00,0,101
05.01.2020,22:00,0,93
05.01.2020,23:00,0,0
06.01.2020,00:00,0,97
06.01.2020,01:00,0,90
06.01.2020,02:00,0,80
06.01.2020,03:00,0,75
06.01.2020,04:00,0,75
06.01.2020,05:00,0,75
06.01.2020,06:00,0,92
06.01.2020,07:00,0,96
06.01.2020,08:00,0,97
06.01.2020,09:00,0,102
06.01.2020,10:00,0,103
06.01.2020,11:00,0,94
06.01.2020,12:00,0,89
06.01.2020,13:00,0,87
06.01.2020,14:00,0,88
06.01.2020,15:00,0,89
06.01.2020,16:00,0,88
06.01.2020,17:00,0,88
06.01.2020,18:00,0,87
06.01.2020,19:00,0,88
06.01.2020,20:00,0,87
06.01.2020,21:00,0,88
06.01.2020,22:00,0,89
06.01.2020,23:00,0,0
07.01.2020,00:00,0,93
07.01.2020,01:00,0,85
07.01.2020,02:00,0,84
07.01.2020,03:00,0,84
07.01.2020,04:00,0,80
07.01.2020,05:00,0,86
07.01.2020,06:00,0,105
07.01.2020,07:00,0,99
07.01.2020,08:00,0,95
07.01.2020,09:00,0,95
07.01.2020,10:00,0,96
07.01.2020,11:00,0,96
07.01.2020,12:00,0,93
07.01.2020,13:00,0,93
07.01.2020,14:00,0,92
07.01.2020,15:00,0,95
07.01.2020,16:00,0,96
07.01.2020,17:00,0,94
07.01.2020,18:00,0,92
07.01.2020,19:00,0,91
07.01.2020,20:00,0,88
07.01.2020,21:00,0,90
07.01.2020,22:00,0,88
07.01.2020,23:00,0,0
08.01.2020,00:00,0,81
08.01.2020,01:00,0,81
08.01.2020,02:00,0,80
08.01.2020,03:00,0,81
08.01.2020,04:00,0,80
08.01.2020,05:00,0,80
08.01.2020,06:00,0,95
08.01.2020,07:00,0,100
08.01.2020,08:00,0,102
08.01.2020,09:00,0,103
08.01.2020,10:00,0,103
08.01.2020,11:00,0,103
08.01.2020,12:00,0,101
08.01.2020,13:00,0,103
08.01.2020,14:00,0,0
08.01.2020,15:00,0,0
08.01.2020,16:00,0,0
08.01.2020,17:00,0,0
08.01.2020,18:00,0,106
08.01.2020,19:00,0,106
08.01.2020,20:00,0,105
08.01.2020,21:00,0,104
08.01.2020,22:00,0,104
08.01.2020,23:00,0,0
09.01.2020,00:00,0,103
09.01.2020,01:00,0,97
09.01.2020,02:00,0,95
09.01.2020,03:00,0,94
09.01.2020,04:00,0,94
09.01.2020,05:00,0,95
09.01.2020,06:00,0,100
09.01.2020,07:00,0,104
09.01.2020,08:00,0,104
09.01.2020,09:00,0,102
09.01.2020,10:00,0,103
09.01.2020,11:00,0,106
09.01.2020,12:00,0,107
09.01.2020,13:00,0,107
09.01.2020,14:00,0,107
09.01.2020,15:00,0,103
09.01.2020,16:00,0,105
09.01.2020,17:00,0,105
09.01.2020,18:00,0,107
09.01.2020,19:00,0,106
09.01.2020,20:00,0,107
09.01.2020,21:00,0,108
09.01.2020,22:00,0,99
09.01.2020,23:00,0,0
10.01.2020,00:00,0,0
10.01.2020,01:00,0,80
10.01.2020,02:00,0,80
10.01.2020,03:00,0,80
10.01.2020,04:00,0,81
10.01.2020,05:00,0,79
10.01.2020,06:00,0,92
10.01.2020,07:00,0,103
10.01.2020,08:00,0,100
10.01.2020,09:00,0,104
10.01.2020,10:00,0,104
10.01.2020,11:00,0,98
10.01.2020,12:00,0,99
10.01.2020,13:00,0,98
10.01.2020,14:00,0,98
10.01.2020,15:00,0,97
10.01.2020,16:00,0,97
10.01.2020,17:00,0,97
10.01.2020,18:00,0,97
10.01.2020,19:00,0,98
10.01.2020,20:00,0,97
10.01.2020,21:00,0,97
10.01.2020,22:00,0,90
10.01.2020,23:00,0,0
11.01.2020,00:00,0,0
11.01.2020,01:00,0,83
11.01.2020,02:00,0,73
11.01.2020,03:00,0,73
11.01.2020,04:00,0,76
11.01.2020,05:00,0,86
11.01.2020,06:00,0,89
11.01.2020,07:00,0,96
11.01.2020,08:00,0,95
11.01.2020,09:00,0,96
11.01.2020,10:00,0,98
11.01.2020,11:00,0,89
11.01.2020,12:00,0,83
11.01.2020,13:00,0,80
11.01.2020,14:00,0,79
11.01.2020,15:00,0,79
11.01.2020,16:00,0,81
11.01.2020,17:00,0,79
11.01.2020,18:00,0,80
11.01.2020,19:00,0,80
11.01.2020,20:00,0,81
11.01.2020,21:00,0,80
11.01.2020,22:00,0,81
11.01.2020,23:00,0,0
12.01.2020,00:00,0,0
12.01.2020,01:00,0,75
12.01.2020,02:00,0,75
12.01.2020,03:00,0,75
12.01.2020,04:00,0,76
12.01.2020,05:00,0,75
12.01.2020,06:00,0,75
12.01.2020,07:00,0,75
12.01.2020,08:00,0,75
12.01.2020,09:00,0,76
12.01.2020,10:00,0,75
12.01.2020,11:00,0,75
12.01.2020,12:00,0,75
12.01.2020,13:00,0,75
12.01.2020,14:00,0,76
12.01.2020,15:00,0,75
12.01.2020,16:00,0,74
12.01.2020,17:00,0,91
12.01.2020,18:00,0,100
12.01.2020,19:00,0,102
12.01.2020,20:00,0,99
12.01.2020,21:00,0,80
12.01.2020,22:00,0,81
12.01.2020,23:00,0,0
13.01.2020,00:00,0,0
13.01.2020,01:00,0,75
13.01.2020,02:00,0,75
13.01.2020,03:00,0,75
13.01.2020,04:00,0,74
