Datum,Uhrzeit,Generation_DE Herne 2[MW],Generation_DE Herne 3[MW],Generation_DE Herne 4[MW]
01.01.2020,00:00,0,0,125
01.01.2020,01:00,0,0,107
01.01.2020,02:00,0,0,106
01.01.2020,03:00,0,0,121
01.01.2020,04:00,0,0,120
01.01.2020,05:00,0,0,139
01.01.2020,06:00,0,0,156
01.01.2020,07:00,0,0,165
01.01.2020,08:00,0,0,164
01.01.2020,09:00,0,0,163
01.01.2020,10:00,0,0,146
01.01.2020,11:00,0,0,136
01.01.2020,12:00,0,0,123
01.01.2020,13:00,0,0,117
01.01.2020,14:00,0,0,105
01.01.2020,15:00,0,0,117
01.01.2020,16:00,0,0,118
01.01.2020,17:00,0,0,129
01.01.2020,18:00,0,0,151
01.01.2020,19:00,0,0,152
01.01.2020,20:00,0,0,153
01.01.2020,21:00,0,0,150
01.01.2020,22:00,0,0,138
01.01.2020,23:00,0,0,132
02.01.2020,00:00,0,0,119
02.01.2020,01:00,0,0,118
02.01.2020,02:00,0,0,140
02.01.2020,03:00,0,0,149
02.01.2020,04:00,0,0,167
02.01.2020,05:00,0,0,180
02.01.2020,06:00,0,0,199
02.01.2020,07:00,0,0,215
02.01.2020,08:00,0,0,299
02.01.2020,09:00,0,0,333
02.01.2020,10:00,0,0,370
02.01.2020,11:00,0,0,315
02.01.2020,12:00,0,0,322
02.01.2020,13:00,0,0,356
02.01.2020,14:00,0,0,370
02.01.2020,15:00,0,0,370
02.01.2020,16:00,0,0,347
02.01.2020,17:00,0,0,266
02.01.2020,18:00,0,0,262
02.01.2020,19:00,0,0,254
02.01.2020,20:00,0,0,171
02.01.2020,21:00,0,0,131
02.01.2020,22:00,0,0,123
02.01.2020,23:00,0,0,136
03.01.2020,00:00,0,0,138
03.01.2020,01:00,0,0,142
03.01.2020,02:00,0,0,135
03.01.2020,03:00,0,0,127
03.01.2020,04:00,0,0,111
03.01.2020,05:00,0,0,122
03.01.2020,06:00,0,0,141
03.01.2020,07:00,0,0,150
03.01.2020,08:00,0,0,151
03.01.2020,09:00,0,0,138
03.01.2020,10:00,0,0,141
03.01.2020,11:00,0,0,150
03.01.2020,12:00,0,0,150
03.01.2020,13:00,0,0,142
03.01.2020,14:00,0,0,133
03.01.2020,15:00,0,0,123
03.01.2020,16:00,0,0,113
03.01.2020,17:00,0,0,112
03.01.2020,18:00,0,0,112
03.01.2020,19:00,0,0,121
03.01.2020,20:00,0,0,132
03.01.2020,21:00,0,0,124
03.01.2020,22:00,0,0,125
03.01.2020,23:00,0,0,120
04.01.2020,00:00,0,0,118
04.01.2020,01:00,0,0,131
04.01.2020,02:00,0,0,134
04.01.2020,03:00,0,0,133
04.01.2020,04:00,0,0,137
04.01.2020,05:00,0,0,149
04.01.2020,06:00,0,0,140
04.01.2020,07:00,0,0,144
04.01.2020,08:00,0,0,141
04.01.2020,09:00,0,0,143
04.01.2020,10:00,0,0,161
04.01.2020,11:00,0,0,166
04.01.2020,12:00,0,0,159
04.01.2020,13:00,0,0,150
04.01.2020,14:00,0,0,153
04.01.2020,15:00,0,0,193
04.01.2020,16:00,0,0,192
04.01.2020,17:00,0,0,140
04.01.2020,18:00,0,0,131
04.01.2020,19:00,0,0,137
04.01.2020,20:00,0,0,129
04.01.2020,21:00,0,0,129
04.01.2020,22:00,0,0,157
04.01.2020,23:00,0,0,91
05.01.2020,00:00,0,0,112
05.01.2020,01:00,0,0,109
05.01.2020,02:00,0,0,118
05.01.2020,03:00,0,0,140
05.01.2020,04:00,0,0,136
05.01.2020,05:00,0,0,132
05.01.2020,06:00,0,0,157
05.01.2020,07:00,0,0,160
05.01.2020,08:00,0,0,161
05.01.2020,09:00,0,0,161
05.01.2020,10:00,0,0,161
05.01.2020,11:00,0,0,160
05.01.2020,12:00,0,0,153
05.01.2020,13:00,0,0,154
05.01.2020,14:00,0,0,153
05.01.2020,15:00,0,0,153
05.01.2020,16:00,0,0,157
05.01.2020,17:00,0,0,161
05.01.2020,18:00,0,0,161
05.01.2020,19:00,0,0,177
05.01.2020,20:00,0,0,206
05.01.2020,21:00,0,0,205
05.01.2020,22:00,0,0,165
05.01.2020,23:00,0,0,106
06.01.2020,00:00,0,0,133
06.01.2020,01:00,0,0,116
06.01.2020,02:00,0,0,111
06.01.2020,03:00,0,0,116
06.01.2020,04:00,0,0,129
06.01.2020,05:00,0,0,174
06.01.2020,06:00,0,0,238
06.01.2020,07:00,0,0,281
06.01.2020,08:00,0,0,315
06.01.2020,09:00,0,0,274
06.01.2020,10:00,0,0,191
06.01.2020,11:00,0,0,180
06.01.2020,12:00,0,0,173
