Datum,Uhrzeit,Generation_DE E[MW],Generation_DE D[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE B[MW],Generation_DE A[MW]
01.01.2020,00:00,0,491,488,0,473,0
01.01.2020,01:00,0,494,492,0,477,0
01.01.2020,02:00,0,495,490,0,478,0
01.01.2020,03:00,0,497,492,0,476,0
01.01.2020,04:00,0,490,494,0,476,0
01.01.2020,05:00,0,494,493,0,478,0
01.01.2020,06:00,0,493,494,0,472,0
01.01.2020,07:00,0,495,493,0,470,0
01.01.2020,08:00,0,482,482,0,457,0
01.01.2020,09:00,0,480,482,0,462,0
01.01.2020,10:00,0,478,478,0,455,0
01.01.2020,11:00,0,407,461,0,425,0
01.01.2020,12:00,0,468,471,0,449,0
01.01.2020,13:00,0,405,468,0,435,0
01.01.2020,14:00,0,490,497,0,474,0
01.01.2020,15:00,0,494,496,0,475,0
01.01.2020,16:00,0,496,496,0,475,0
01.01.2020,17:00,0,481,484,0,461,0
01.01.2020,18:00,0,473,475,0,454,0
01.01.2020,19:00,0,387,451,0,408,0
01.01.2020,20:00,0,482,481,0,459,0
01.01.2020,21:00,0,491,494,0,475,0
01.01.2020,22:00,0,494,497,0,479,0
01.01.2020,23:00,0,494,496,0,477,0
02.01.2020,00:00,0,486,489,0,469,0
02.01.2020,01:00,0,495,497,0,477,0
02.01.2020,02:00,0,495,495,0,474,0
02.01.2020,03:00,0,433,484,0,455,0
02.01.2020,04:00,0,366,435,0,427,0
02.01.2020,05:00,0,403,467,0,431,0
02.01.2020,06:00,0,437,467,0,432,0
02.01.2020,07:00,0,415,481,0,412,0
02.01.2020,08:00,0,491,496,0,452,0
02.01.2020,09:00,0,496,498,0,467,0
02.01.2020,10:00,0,493,495,0,464,0
02.01.2020,11:00,0,494,497,0,461,0
02.01.2020,12:00,0,495,498,0,461,0
02.01.2020,13:00,0,497,499,0,465,0
02.01.2020,14:00,0,494,487,0,451,0
02.01.2020,15:00,0,488,477,0,446,0
02.01.2020,16:00,0,483,473,0,442,0
02.01.2020,17:00,0,488,476,0,438,0
02.01.2020,18:00,0,486,474,0,437,0
02.01.2020,19:00,0,487,476,0,445,0
02.01.2020,20:00,0,487,490,0,440,0
02.01.2020,21:00,0,476,480,0,431,0
02.01.2020,22:00,0,474,491,0,437,0
02.01.2020,23:00,0,354,419,0,390,0
03.01.2020,00:00,0,295,347,0,372,0
03.01.2020,01:00,0,297,314,0,378,0
03.01.2020,02:00,0,295,307,0,370,0
03.01.2020,03:00,0,298,307,0,368,0
03.01.2020,04:00,0,297,308,0,373,0
03.01.2020,05:00,0,300,306,0,369,0
03.01.2020,06:00,0,298,306,0,341,0
03.01.2020,07:00,0,301,307,0,349,0
03.01.2020,08:00,0,313,331,0,373,0
03.01.2020,09:00,0,332,345,0,407,0
03.01.2020,10:00,0,318,332,0,391,0
03.01.2020,11:00,0,334,353,0,389,0
03.01.2020,12:00,0,336,357,0,388,0
03.01.2020,13:00,0,312,331,0,374,0
03.01.2020,14:00,0,315,352,0,371,0
03.01.2020,15:00,0,317,342,0,358,0
03.01.2020,16:00,0,331,427,0,342,0
03.01.2020,17:00,0,352,368,0,344,0
03.01.2020,18:00,0,337,388,0,341,0
03.01.2020,19:00,0,350,385,0,353,0
03.01.2020,20:00,0,328,383,0,331,0
03.01.2020,21:00,0,328,382,0,336,0
03.01.2020,22:00,0,341,201,0,385,0
03.01.2020,23:00,0,316,113,0,361,0
04.01.2020,00:00,0,306,0,0,353,0
04.01.2020,01:00,0,304,0,0,341,0
04.01.2020,02:00,0,301,0,0,349,0
04.01.2020,03:00,0,304,0,0,346,0
04.01.2020,04:00,0,304,0,0,365,0
04.01.2020,05:00,0,305,0,0,362,0
04.01.2020,06:00,0,304,0,0,361,0
04.01.2020,07:00,0,307,0,0,358,0
04.01.2020,08:00,0,309,0,0,353,0
04.01.2020,09:00,0,309,0,0,360,0
04.01.2020,10:00,0,308,0,0,359,0
04.01.2020,11:00,0,309,0,0,359,0
04.01.2020,12:00,0,309,0,0,363,0
04.01.2020,13:00,0,307,0,0,364,0
04.01.2020,14:00,0,313,0,0,366,0
04.01.2020,15:00,0,311,0,0,366,0
04.01.2020,16:00,0,320,0,0,374,0
04.01.2020,17:00,0,434,0,0,446,0
04.01.2020,18:00,0,417,0,0,425,0
04.01.2020,19:00,0,396,0,0,410,0
04.01.2020,20:00,0,397,0,0,419,0
04.01.2020,21:00,0,333,0,0,390,0
04.01.2020,22:00,0,458,0,0,449,0
04.01.2020,23:00,0,471,0,0,450,0
05.01.2020,00:00,0,411,0,0,426,0
05.01.2020,01:00,0,425,0,0,428,0
05.01.2020,02:00,0,408,0,0,413,0
05.01.2020,03:00,0,406,0,0,412,0
05.01.2020,04:00,0,436,0,0,434,3
05.01.2020,05:00,0,388,0,0,425,73
05.01.2020,06:00,0,466,0,0,444,96
05.01.2020,07:00,0,469,0,0,453,139
05.01.2020,08:00,0,457,0,0,452,152
05.01.2020,09:00,0,464,0,0,441,145
05.01.2020,10:00,0,454,0,0,447,153
05.01.2020,11:00,0,486,0,0,468,181
05.01.2020,12:00,0,489,0,0,476,187
05.01.2020,13:00,0,495,0,0,482,181
05.01.2020,14:00,0,488,0,0,478,257
05.01.2020,15:00,0,456,0,0,476,369
05.01.2020,16:00,0,463,0,0,463,419
05.01.2020,17:00,0,489,0,0,471,460
05.01.2020,18:00,0,493,0,0,475,487
05.01.2020,19:00,0,492,0,0,479,498
05.01.2020,20:00,0,480,0,0,469,495
05.01.2020,21:00,0,482,0,0,469,491
05.01.2020,22:00,0,485,0,0,474,490
05.01.2020,23:00,0,475,0,0,462,491
06.01.2020,00:00,0,474,0,0,470,485
06.01.2020,01:00,0,446,0,0,462,470
06.01.2020,02:00,0,418,0,0,447,449
06.01.2020,03:00,0,300,0,0,387,308
06.01.2020,04:00,0,327,0,0,398,359
06.01.2020,05:00,0,433,0,0,450,452
06.01.2020,06:00,0,472,0,0,466,491
06.01.2020,07:00,0,452,0,0,448,480
06.01.2020,08:00,0,479,0,0,458,491
06.01.2020,09:00,0,475,0,0,456,486
06.01.2020,10:00,0,470,0,0,448,481
06.01.2020,11:00,0,474,0,0,461,487
06.01.2020,12:00,0,475,0,0,456,487
06.01.2020,13:00,0,467,0,0,452,484
06.01.2020,14:00,0,479,0,0,456,493
06.01.2020,15:00,0,485,0,0,439,495
06.01.2020,16:00,0,469,25,0,423,480
06.01.2020,17:00,0,448,99,0,425,479
06.01.2020,18:00,0,448,132,0,443,480
06.01.2020,19:00,0,478,155,0,453,495
06.01.2020,20:00,0,465,171,0,433,482
06.01.2020,21:00,0,449,171,0,436,482
06.01.2020,22:00,0,470,167,0,433,487
06.01.2020,23:00,0,416,159,0,405,447
07.01.2020,00:00,0,405,202,0,396,438
07.01.2020,01:00,0,379,338,0,390,402
07.01.2020,02:00,0,383,349,0,384,375
07.01.2020,03:00,0,308,342,0,365,331
07.01.2020,04:00,0,407,351,0,410,441
07.01.2020,05:00,0,408,441,0,398,443
07.01.2020,06:00,0,483,476,0,439,497
07.01.2020,07:00,0,437,484,0,422,471
07.01.2020,08:00,0,406,463,0,396,440
07.01.2020,09:00,0,483,491,0,443,496
07.01.2020,10:00,0,484,491,0,451,497
07.01.2020,11:00,0,478,486,0,434,493
07.01.2020,12:00,0,441,456,0,405,462
07.01.2020,13:00,0,416,475,0,413,454
07.01.2020,14:00,0,480,485,0,438,498
07.01.2020,15:00,0,420,477,0,410,453
07.01.2020,16:00,0,481,489,0,438,496
07.01.2020,17:00,0,479,489,0,436,497
07.01.2020,18:00,0,474,486,0,432,493
07.01.2020,19:00,0,430,482,0,407,464
07.01.2020,20:00,0,405,463,0,397,439
07.01.2020,21:00,0,451,489,0,441,484
07.01.2020,22:00,0,457,479,0,430,487
07.01.2020,23:00,0,328,322,0,357,328
08.01.2020,00:00,0,294,298,0,351,292
08.01.2020,01:00,0,292,295,0,361,300
08.01.2020,02:00,0,292,295,0,362,298
08.01.2020,03:00,0,290,295,0,354,296
08.01.2020,04:00,0,290,291,0,359,297
08.01.2020,05:00,0,290,295,0,363,297
08.01.2020,06:00,0,329,295,0,381,302
08.01.2020,07:00,0,339,378,0,383,355
08.01.2020,08:00,0,342,386,0,380,372
