Datum,Uhrzeit,Generation_DE GT 3[MW],Generation_DE Block 4[MW],Generation_DE Block 3[MW]
01.01.2020,00:00,0,164,0
01.01.2020,01:00,0,149,0
01.01.2020,02:00,0,163,0
01.01.2020,03:00,0,144,0
01.01.2020,04:00,0,152,0
01.01.2020,05:00,0,154,0
01.01.2020,06:00,0,145,0
01.01.2020,07:00,0,144,0
01.01.2020,08:00,0,141,0
01.01.2020,09:00,0,132,0
01.01.2020,10:00,0,135,0
01.01.2020,11:00,0,151,0
01.01.2020,12:00,0,158,0
01.01.2020,13:00,0,148,0
01.01.2020,14:00,0,150,0
01.01.2020,15:00,0,127,0
01.01.2020,16:00,0,97,0
01.01.2020,17:00,0,103,0
01.01.2020,18:00,0,120,0
01.01.2020,19:00,0,144,0
01.01.2020,20:00,0,154,0
01.01.2020,21:00,0,135,0
01.01.2020,22:00,0,128,0
01.01.2020,23:00,0,0,0
02.01.2020,00:00,0,56,0
02.01.2020,01:00,0,56,0
02.01.2020,02:00,0,105,0
02.01.2020,03:00,0,127,0
02.01.2020,04:00,0,122,0
02.01.2020,05:00,0,150,0
02.01.2020,06:00,0,151,0
02.01.2020,07:00,0,149,0
02.01.2020,08:00,0,146,0
02.01.2020,09:00,0,111,0
02.01.2020,10:00,0,77,0
02.01.2020,11:00,0,86,0
02.01.2020,12:00,0,90,0
02.01.2020,13:00,0,90,0
02.01.2020,14:00,0,83,0
02.01.2020,15:00,0,68,0
02.01.2020,16:00,0,62,0
02.01.2020,17:00,0,72,0
02.01.2020,18:00,0,67,0
02.01.2020,19:00,0,76,0
02.01.2020,20:00,0,83,0
02.01.2020,21:00,0,68,0
02.01.2020,22:00,0,87,0
02.01.2020,23:00,0,0,0
03.01.2020,00:00,0,91,0
03.01.2020,01:00,0,96,0
03.01.2020,02:00,0,105,0
03.01.2020,03:00,0,99,0
03.01.2020,04:00,0,114,0
03.01.2020,05:00,0,117,0
03.01.2020,06:00,0,90,0
03.01.2020,07:00,0,121,0
03.01.2020,08:00,0,120,0
03.01.2020,09:00,0,118,0
03.01.2020,10:00,0,115,0
03.01.2020,11:00,0,112,0
03.01.2020,12:00,0,111,0
03.01.2020,13:00,0,111,0
03.01.2020,14:00,0,108,0
03.01.2020,15:00,0,102,0
03.01.2020,16:00,0,127,0
03.01.2020,17:00,0,131,0
03.01.2020,18:00,0,144,0
03.01.2020,19:00,0,139,0
03.01.2020,20:00,0,102,0
03.01.2020,21:00,0,109,0
03.01.2020,22:00,0,110,0
03.01.2020,23:00,0,0,0
04.01.2020,00:00,0,86,0
04.01.2020,01:00,0,83,0
04.01.2020,02:00,0,80,0
04.01.2020,03:00,0,73,0
04.01.2020,04:00,0,71,0
04.01.2020,05:00,0,95,0
04.01.2020,06:00,0,92,0
04.01.2020,07:00,0,88,0
04.01.2020,08:00,0,88,0
04.01.2020,09:00,0,96,0
04.01.2020,10:00,0,97,0
04.01.2020,11:00,0,97,0
04.01.2020,12:00,0,98,0
04.01.2020,13:00,0,101,0
04.01.2020,14:00,0,113,0
04.01.2020,15:00,0,113,0
04.01.2020,16:00,0,113,0
04.01.2020,17:00,0,118,0
04.01.2020,18:00,0,130,0
04.01.2020,19:00,0,111,0
04.01.2020,20:00,0,100,0
04.01.2020,21:00,0,108,0
04.01.2020,22:00,0,106,0
04.01.2020,23:00,0,0,0
05.01.2020,00:00,0,103,0
05.01.2020,01:00,0,111,0
05.01.2020,02:00,0,113,0
05.01.2020,03:00,0,120,0
05.01.2020,04:00,0,112,0
05.01.2020,05:00,0,116,0
05.01.2020,06:00,0,122,0
05.01.2020,07:00,0,122,0
05.01.2020,08:00,0,122,0
05.01.2020,09:00,0,121,0
05.01.2020,10:00,0,121,0
05.01.2020,11:00,0,123,0
05.01.2020,12:00,0,134,0
05.01.2020,13:00,0,131,0
05.01.2020,14:00,0,120,0
05.01.2020,15:00,0,123,0
05.01.2020,16:00,0,132,0
05.01.2020,17:00,0,133,0
05.01.2020,18:00,0,133,0
05.01.2020,19:00,0,140,0
05.01.2020,20:00,0,127,0
05.01.2020,21:00,0,125,0
05.01.2020,22:00,0,107,0
05.01.2020,23:00,0,0,0
06.01.2020,00:00,0,121,0
06.01.2020,01:00,0,133,0
06.01.2020,02:00,0,133,0
06.01.2020,03:00,0,133,0
06.01.2020,04:00,0,133,0
06.01.2020,05:00,0,133,0
06.01.2020,06:00,0,128,0
06.01.2020,07:00,0,145,0
06.01.2020,08:00,0,131,0
06.01.2020,09:00,0,137,0
06.01.2020,10:00,0,133,0
06.01.2020,11:00,0,140,0
06.01.2020,12:00,0,143,0
06.01.2020,13:00,0,144,0
06.01.2020,14:00,0,144,0
06.01.2020,15:00,0,153,0
06.01.2020,16:00,0,156,0
06.01.2020,17:00,0,154,0
06.01.2020,18:00,0,146,0
06.01.2020,19:00,0,146,0
06.01.2020,20:00,0,138,0
06.01.2020,21:00,0,126,0
06.01.2020,22:00,0,120,0
06.01.2020,23:00,0,0,0
07.01.2020,00:00,0,120,0
07.01.2020,01:00,0,119,0
07.01.2020,02:00,0,118,0
07.01.2020,03:00,0,122,0
07.01.2020,04:00,0,139,0
07.01.2020,05:00,0,148,0
07.01.2020,06:00,0,169,0
07.01.2020,07:00,0,170,0
07.01.2020,08:00,0,164,0
07.01.2020,09:00,0,165,0
07.01.2020,10:00,0,168,0
07.01.2020,11:00,0,168,0
07.01.2020,12:00,0,167,0
07.01.2020,13:00,0,167,0
07.01.2020,14:00,0,167,0
07.01.2020,15:00,0,170,0
07.01.2020,16:00,0,169,0
07.01.2020,17:00,0,172,0
07.01.2020,18:00,0,168,0
07.01.2020,19:00,0,142,0
07.01.2020,20:00,0,138,0
07.01.2020,21:00,0,119,0
07.01.2020,22:00,0,115,0
07.01.2020,23:00,0,0,0
08.01.2020,00:00,0,160,0
08.01.2020,01:00,0,165,0
08.01.2020,02:00,0,168,0
08.01.2020,03:00,0,173,0
08.01.2020,04:00,0,166,0
08.01.2020,05:00,0,115,0
08.01.2020,06:00,0,103,0
08.01.2020,07:00,0,85,0
08.01.2020,08:00,0,79,0
08.01.2020,09:00,0,75,0
08.01.2020,10:00,0,68,0
08.01.2020,11:00,0,68,0
08.01.2020,12:00,0,69,0
08.01.2020,13:00,0,82,0
08.01.2020,14:00,0,0,0
08.01.2020,15:00,0,0,0
08.01.2020,16:00,0,0,0
08.01.2020,17:00,0,0,0
08.01.2020,18:00,0,176,0
08.01.2020,19:00,0,169,0
08.01.2020,20:00,0,172,0
08.01.2020,21:00,0,175,0
08.01.2020,22:00,0,153,0
08.01.2020,23:00,0,0,0
09.01.2020,00:00,0,122,0
09.01.2020,01:00,0,120,0
09.01.2020,02:00,0,138,0
09.01.2020,03:00,0,154,0
09.01.2020,04:00,0,171,0
09.01.2020,05:00,0,171,0
09.01.2020,06:00,0,138,0
09.01.2020,07:00,0,162,0
09.01.2020,08:00,0,165,0
09.01.2020,09:00,0,160,0
09.01.2020,10:00,0,138,0
