Datum,Uhrzeit,Generation_DE Walsum 10[MW],Generation_DE Walsum 9[MW],Generation_DE Walsum 7[MW]
01.01.2020,00:00,0,83,0
01.01.2020,01:00,0,84,0
01.01.2020,02:00,0,83,0
01.01.2020,03:00,0,83,0
01.01.2020,04:00,0,83,0
01.01.2020,05:00,0,83,0
01.01.2020,06:00,0,83,0
01.01.2020,07:00,0,83,0
01.01.2020,08:00,0,83,0
01.01.2020,09:00,0,82,0
01.01.2020,10:00,0,83,0
01.01.2020,11:00,0,83,0
01.01.2020,12:00,0,84,0
01.01.2020,13:00,0,82,0
01.01.2020,14:00,0,83,0
01.01.2020,15:00,0,94,0
01.01.2020,16:00,0,86,0
01.01.2020,17:00,0,83,0
01.01.2020,18:00,0,83,0
01.01.2020,19:00,0,83,0
01.01.2020,20:00,0,83,0
01.01.2020,21:00,0,84,0
01.01.2020,22:00,0,83,0
01.01.2020,23:00,0,83,0
02.01.2020,00:00,0,84,0
02.01.2020,01:00,0,82,0
02.01.2020,02:00,0,83,0
02.01.2020,03:00,0,82,0
02.01.2020,04:00,0,83,0
02.01.2020,05:00,0,82,0
02.01.2020,06:00,0,83,0
02.01.2020,07:00,0,90,0
02.01.2020,08:00,0,123,0
02.01.2020,09:00,0,143,0
02.01.2020,10:00,0,216,0
02.01.2020,11:00,0,184,0
02.01.2020,12:00,0,184,0
02.01.2020,13:00,0,223,0
02.01.2020,14:00,0,245,0
02.01.2020,15:00,0,263,0
02.01.2020,16:00,0,224,0
02.01.2020,17:00,0,151,0
02.01.2020,18:00,0,111,0
02.01.2020,19:00,0,84,0
02.01.2020,20:00,0,83,0
02.01.2020,21:00,0,94,0
02.01.2020,22:00,0,83,0
02.01.2020,23:00,0,88,0
03.01.2020,00:00,0,90,0
03.01.2020,01:00,0,84,0
03.01.2020,02:00,0,91,0
03.01.2020,03:00,0,91,0
03.01.2020,04:00,0,83,0
03.01.2020,05:00,0,83,0
03.01.2020,06:00,0,83,0
03.01.2020,07:00,0,83,0
03.01.2020,08:00,0,83,0
03.01.2020,09:00,0,83,0
03.01.2020,10:00,0,83,0
03.01.2020,11:00,0,83,0
03.01.2020,12:00,0,83,0
03.01.2020,13:00,0,83,0
03.01.2020,14:00,0,82,0
03.01.2020,15:00,0,83,0
03.01.2020,16:00,0,83,0
03.01.2020,17:00,0,83,0
03.01.2020,18:00,0,83,0
03.01.2020,19:00,0,82,0
03.01.2020,20:00,0,82,0
03.01.2020,21:00,0,83,0
03.01.2020,22:00,0,83,0
03.01.2020,23:00,0,81,0
04.01.2020,00:00,0,82,0
04.01.2020,01:00,0,83,0
04.01.2020,02:00,0,82,0
04.01.2020,03:00,0,82,0
04.01.2020,04:00,0,82,0
04.01.2020,05:00,0,82,0
04.01.2020,06:00,0,82,0
04.01.2020,07:00,0,81,0
04.01.2020,08:00,0,82,0
04.01.2020,09:00,0,82,0
04.01.2020,10:00,0,83,0
04.01.2020,11:00,0,81,0
04.01.2020,12:00,0,82,0
04.01.2020,13:00,0,81,0
04.01.2020,14:00,0,86,0
04.01.2020,15:00,0,111,0
04.01.2020,16:00,0,112,0
04.01.2020,17:00,0,88,0
04.01.2020,18:00,0,83,0
04.01.2020,19:00,0,83,0
04.01.2020,20:00,0,83,0
04.01.2020,21:00,0,84,0
04.01.2020,22:00,0,99,0
04.01.2020,23:00,0,62,0
05.01.2020,00:00,0,83,0
05.01.2020,01:00,0,83,0
05.01.2020,02:00,0,84,0
05.01.2020,03:00,0,82,0
05.01.2020,04:00,0,83,0
05.01.2020,05:00,0,83,0
05.01.2020,06:00,0,82,0
05.01.2020,07:00,0,83,0
05.01.2020,08:00,0,83,0
05.01.2020,09:00,0,82,0
05.01.2020,10:00,0,84,0
05.01.2020,11:00,0,83,0
05.01.2020,12:00,0,83,0
05.01.2020,13:00,0,83,0
05.01.2020,14:00,0,87,0
05.01.2020,15:00,0,102,0
05.01.2020,16:00,0,110,0
05.01.2020,17:00,0,112,0
05.01.2020,18:00,0,113,0
05.01.2020,19:00,0,118,0
05.01.2020,20:00,0,124,0
05.01.2020,21:00,0,119,0
05.01.2020,22:00,0,113,0
05.01.2020,23:00,0,85,0
06.01.2020,00:00,0,117,0
06.01.2020,01:00,0,113,0
06.01.2020,02:00,0,113,0
06.01.2020,03:00,0,112,0
06.01.2020,04:00,0,111,0
06.01.2020,05:00,0,113,0
06.01.2020,06:00,91,121,0
06.01.2020,07:00,279,123,0
06.01.2020,08:00,359,121,0
06.01.2020,09:00,590,109,0
06.01.2020,10:00,596,84,0
06.01.2020,11:00,511,84,0
06.01.2020,12:00,520,83,0
06.01.2020,13:00,461,84,0
06.01.2020,14:00,568,84,0
06.01.2020,15:00,551,84,0
06.01.2020,16:00,543,84,0
06.01.2020,17:00,545,84,0
06.01.2020,18:00,633,84,0
06.01.2020,19:00,712,83,0
06.01.2020,20:00,606,83,0
06.01.2020,21:00,488,83,0
06.01.2020,22:00,489,84,0
06.01.2020,23:00,295,83,0
07.01.2020,00:00,221,86,0
07.01.2020,01:00,188,85,0
07.01.2020,02:00,190,83,0
07.01.2020,03:00,185,83,0
07.01.2020,04:00,184,84,0
07.01.2020,05:00,192,85,0
07.01.2020,06:00,365,163,0
07.01.2020,07:00,686,296,0
07.01.2020,08:00,663,307,0
07.01.2020,09:00,691,332,0
07.01.2020,10:00,703,307,0
07.01.2020,11:00,709,300,0
07.01.2020,12:00,708,300,0
07.01.2020,13:00,702,272,0
07.01.2020,14:00,711,300,0
07.01.2020,15:00,714,301,0
07.01.2020,16:00,712,301,0
07.01.2020,17:00,705,300,0
07.01.2020,18:00,703,241,0
07.01.2020,19:00,648,146,0
07.01.2020,20:00,537,85,0
07.01.2020,21:00,287,80,0
07.01.2020,22:00,203,82,0
07.01.2020,23:00,211,81,0
08.01.2020,00:00,200,82,0
08.01.2020,01:00,191,81,0
08.01.2020,02:00,180,81,0
08.01.2020,03:00,183,80,0
08.01.2020,04:00,192,81,0
08.01.2020,05:00,198,81,0
08.01.2020,06:00,295,85,0
08.01.2020,07:00,620,122,0
08.01.2020,08:00,708,105,0
08.01.2020,09:00,706,125,0
08.01.2020,10:00,702,175,0
08.01.2020,11:00,705,251,0
08.01.2020,12:00,707,252,0
08.01.2020,13:00,705,274,0
08.01.2020,14:00,708,301,0
08.01.2020,15:00,711,301,0
08.01.2020,16:00,715,309,0
08.01.2020,17:00,710,309,0
08.01.2020,18:00,710,300,0
08.01.2020,19:00,691,270,0
08.01.2020,20:00,706,300,0
08.01.2020,21:00,710,301,0
08.01.2020,22:00,707,185,0
08.01.2020,23:00,695,90,0
09.01.2020,00:00,694,83,0
09.01.2020,01:00,617,82,0
09.01.2020,02:00,499,82,0
09.01.2020,03:00,352,82,0
09.01.2020,04:00,295,83,0
09.01.2020,05:00,326,81,0
09.01.2020,06:00,644,81,0
09.01.2020,07:00,703,83,0
09.01.2020,08:00,707,142,0
09.01.2020,09:00,701,212,0
09.01.2020,10:00,709,211,0
09.01.2020,11:00,695,210,0
09.01.2020,12:00,457,210,0
09.01.2020,13:00,307,211,0
09.01.2020,14:00,295,211,0
09.01.2020,15:00,309,230,0
09.01.2020,16:00,621,280,0
09.01.2020,17:00,652,268,0
09.01.2020,18:00,646,336,0
09.01.2020,19:00,644,334,0
09.01.2020,20:00,426,246,0
09.01.2020,21:00,3,134,0
09.01.2020,22:00,0,98,0
09.01.2020,23:00,0,71,0
10.01.2020,00:00,0,82,0
10.01.2020,01:00,0,83,0
10.01.2020,02:00,0,82,0
10.01.2020,03:00,0,83,0
10.01.2020,04:00,0,86,0
10.01.2020,05:00,0,109,0
10.01.2020,06:00,0,141,0
10.01.2020,07:00,0,168,0
10.01.2020,08:00,0,239,0
10.01.2020,09:00,0,297,0
10.01.2020,10:00,0,263,0
10.01.2020,11:00,0,253,0
10.01.2020,12:00,0,184,0
10.01.2020,13:00,0,179,0
10.01.2020,14:00,0,181,0
10.01.2020,15:00,0,180,0
10.01.2020,16:00,0,182,0
10.01.2020,17:00,0,180,0
10.01.2020,18:00,0,181,0
10.01.2020,19:00,0,131,0
10.01.2020,20:00,0,98,0
10.01.2020,21:00,0,87,0
10.01.2020,22:00,0,84,0
10.01.2020,23:00,0,63,0
11.01.2020,00:00,0,108,0
11.01.2020,01:00,0,84,0
11.01.2020,02:00,0,83,0
11.01.2020,03:00,0,80,0
11.01.2020,04:00,0,82,0
11.01.2020,05:00,0,80,0
11.01.2020,06:00,0,82,0
11.01.2020,07:00,0,81,0
11.01.2020,08:00,0,82,0
11.01.2020,09:00,0,81,0
