Datum,Uhrzeit,Generation_DE 10[MW],Generation_DE 30[MW],Generation_DE 20[MW]
01.01.2020,00:00,0,0,142
01.01.2020,01:00,0,0,147
01.01.2020,02:00,0,0,158
01.01.2020,03:00,0,0,163
01.01.2020,04:00,0,0,171
01.01.2020,05:00,0,0,189
01.01.2020,06:00,0,0,197
01.01.2020,07:00,0,0,193
01.01.2020,08:00,0,0,199
01.01.2020,09:00,0,0,202
01.01.2020,10:00,0,0,200
01.01.2020,11:00,0,0,196
01.01.2020,12:00,0,0,198
01.01.2020,13:00,0,0,202
01.01.2020,14:00,0,0,202
01.01.2020,15:00,0,0,201
01.01.2020,16:00,0,0,202
01.01.2020,17:00,0,0,202
01.01.2020,18:00,0,0,202
01.01.2020,19:00,0,0,203
01.01.2020,20:00,0,0,201
01.01.2020,21:00,0,0,200
01.01.2020,22:00,0,0,200
01.01.2020,23:00,0,0,199
02.01.2020,00:00,0,0,195
02.01.2020,01:00,0,0,196
02.01.2020,02:00,0,0,193
02.01.2020,03:00,0,0,188
02.01.2020,04:00,0,0,194
02.01.2020,05:00,0,0,197
02.01.2020,06:00,0,0,200
02.01.2020,07:00,0,0,201
02.01.2020,08:00,0,0,199
02.01.2020,09:00,0,0,197
02.01.2020,10:00,0,0,196
02.01.2020,11:00,0,0,193
02.01.2020,12:00,0,0,194
02.01.2020,13:00,0,0,198
02.01.2020,14:00,0,0,200
02.01.2020,15:00,0,0,203
02.01.2020,16:00,0,0,207
02.01.2020,17:00,0,0,206
02.01.2020,18:00,0,0,205
02.01.2020,19:00,0,0,200
02.01.2020,20:00,0,0,199
02.01.2020,21:00,0,0,202
02.01.2020,22:00,0,0,204
02.01.2020,23:00,0,0,203
03.01.2020,00:00,0,0,203
03.01.2020,01:00,0,0,203
03.01.2020,02:00,0,0,198
03.01.2020,03:00,0,0,202
03.01.2020,04:00,0,0,204
03.01.2020,05:00,0,0,204
03.01.2020,06:00,0,0,204
03.01.2020,07:00,0,0,199
03.01.2020,08:00,0,0,199
03.01.2020,09:00,0,0,202
03.01.2020,10:00,0,0,201
03.01.2020,11:00,0,0,196
03.01.2020,12:00,0,0,196
03.01.2020,13:00,0,0,199
03.01.2020,14:00,0,0,198
03.01.2020,15:00,0,0,195
03.01.2020,16:00,0,0,203
03.01.2020,17:00,0,0,201
03.01.2020,18:00,0,0,185
03.01.2020,19:00,0,0,164
03.01.2020,20:00,0,0,193
03.01.2020,21:00,0,0,199
03.01.2020,22:00,0,0,194
03.01.2020,23:00,0,0,181
04.01.2020,00:00,0,0,167
04.01.2020,01:00,0,0,166
04.01.2020,02:00,0,0,172
04.01.2020,03:00,0,0,182
04.01.2020,04:00,0,0,176
04.01.2020,05:00,0,0,174
04.01.2020,06:00,0,0,180
04.01.2020,07:00,0,0,175
04.01.2020,08:00,0,0,172
04.01.2020,09:00,0,0,160
04.01.2020,10:00,0,0,161
04.01.2020,11:00,0,0,158
04.01.2020,12:00,0,0,156
04.01.2020,13:00,0,0,154
04.01.2020,14:00,0,0,151
04.01.2020,15:00,0,0,152
04.01.2020,16:00,0,0,153
04.01.2020,17:00,0,0,153
04.01.2020,18:00,0,0,154
04.01.2020,19:00,0,0,154
04.01.2020,20:00,0,0,152
04.01.2020,21:00,0,0,150
04.01.2020,22:00,0,0,147
04.01.2020,23:00,0,0,147
05.01.2020,00:00,0,0,146
05.01.2020,01:00,0,0,150
05.01.2020,02:00,0,0,150
05.01.2020,03:00,0,0,149
05.01.2020,04:00,0,0,148
05.01.2020,05:00,0,0,149
05.01.2020,06:00,0,0,148
05.01.2020,07:00,0,0,149
05.01.2020,08:00,0,0,151
05.01.2020,09:00,0,0,152
05.01.2020,10:00,0,0,153
05.01.2020,11:00,0,0,152
05.01.2020,12:00,0,0,151
05.01.2020,13:00,0,0,151
05.01.2020,14:00,0,0,152
05.01.2020,15:00,0,0,152
05.01.2020,16:00,0,0,153
05.01.2020,17:00,0,0,152
05.01.2020,18:00,0,0,151
05.01.2020,19:00,0,0,152
05.01.2020,20:00,0,0,154
05.01.2020,21:00,0,0,154
05.01.2020,22:00,0,0,152
05.01.2020,23:00,0,0,151
06.01.2020,00:00,0,0,152
06.01.2020,01:00,0,0,153
06.01.2020,02:00,0,0,153
06.01.2020,03:00,0,0,154
06.01.2020,04:00,0,0,153
06.01.2020,05:00,0,0,155
06.01.2020,06:00,0,0,153
06.01.2020,07:00,0,0,152
06.01.2020,08:00,0,0,152
06.01.2020,09:00,0,0,152
06.01.2020,10:00,0,0,153
06.01.2020,11:00,0,0,151
06.01.2020,12:00,0,0,152
06.01.2020,13:00,0,0,152
06.01.2020,14:00,0,0,150
06.01.2020,15:00,0,0,149
06.01.2020,16:00,0,0,149
06.01.2020,17:00,0,0,150
06.01.2020,18:00,0,0,152
06.01.2020,19:00,0,0,153
06.01.2020,20:00,0,0,153
06.01.2020,21:00,0,0,153
06.01.2020,22:00,0,0,153
06.01.2020,23:00,0,0,152
07.01.2020,00:00,0,0,151
07.01.2020,01:00,0,0,152
07.01.2020,02:00,0,0,151
07.01.2020,03:00,0,0,152
07.01.2020,04:00,0,0,152
07.01.2020,05:00,0,0,153
07.01.2020,06:00,0,0,151
07.01.2020,07:00,0,0,154
07.01.2020,08:00,0,0,153
07.01.2020,09:00,0,0,171
07.01.2020,10:00,0,0,215
07.01.2020,11:00,0,0,178
07.01.2020,12:00,0,0,146
07.01.2020,13:00,0,0,151
07.01.2020,14:00,0,0,150
07.01.2020,15:00,0,0,149
07.01.2020,16:00,0,0,150
07.01.2020,17:00,0,0,151
07.01.2020,18:00,0,0,152
07.01.2020,19:00,0,0,152
07.01.2020,20:00,0,0,149
07.01.2020,21:00,0,0,149
07.01.2020,22:00,0,0,153
07.01.2020,23:00,0,0,153
08.01.2020,00:00,0,0,152
08.01.2020,01:00,0,0,153
08.01.2020,02:00,0,0,153
08.01.2020,03:00,0,0,153
08.01.2020,04:00,0,0,156
08.01.2020,05:00,0,0,155
08.01.2020,06:00,0,0,154
08.01.2020,07:00,0,0,153
08.01.2020,08:00,0,0,152
08.01.2020,09:00,0,0,152
08.01.2020,10:00,0,0,151
08.01.2020,11:00,0,0,154
08.01.2020,12:00,0,0,152
08.01.2020,13:00,0,0,152
08.01.2020,14:00,0,0,151
08.01.2020,15:00,0,0,152
08.01.2020,16:00,0,0,145
08.01.2020,17:00,0,0,168
08.01.2020,18:00,0,0,151
08.01.2020,19:00,0,0,150
08.01.2020,20:00,0,0,147
08.01.2020,21:00,0,0,151
08.01.2020,22:00,0,0,148
08.01.2020,23:00,0,0,134
09.01.2020,00:00,0,0,114
09.01.2020,01:00,0,0,98
09.01.2020,02:00,0,0,98
09.01.2020,03:00,0,0,107
09.01.2020,04:00,0,0,130
09.01.2020,05:00,0,0,147
09.01.2020,06:00,0,0,151
09.01.2020,07:00,0,0,151
09.01.2020,08:00,0,0,150
09.01.2020,09:00,0,0,153
09.01.2020,10:00,0,0,149
09.01.2020,11:00,0,0,124
09.01.2020,12:00,0,0,92
09.01.2020,13:00,0,0,115
09.01.2020,14:00,0,0,139
09.01.2020,15:00,0,0,150
09.01.2020,16:00,0,0,151
09.01.2020,17:00,0,0,151
09.01.2020,18:00,0,0,150
09.01.2020,19:00,0,0,150
09.01.2020,20:00,0,0,145
09.01.2020,21:00,0,0,139
09.01.2020,22:00,0,0,147
09.01.2020,23:00,0,0,120
10.01.2020,00:00,0,0,120
10.01.2020,01:00,0,0,120
10.01.2020,02:00,0,0,120
10.01.2020,03:00,0,0,121
10.01.2020,04:00,0,0,127
10.01.2020,05:00,0,0,195
10.01.2020,06:00,0,0,201
10.01.2020,07:00,0,0,218
10.01.2020,08:00,0,0,200
10.01.2020,09:00,0,0,200
10.01.2020,10:00,0,0,155
10.01.2020,11:00,0,0,131
10.01.2020,12:00,0,0,117
10.01.2020,13:00,0,0,123
10.01.2020,14:00,0,0,131
10.01.2020,15:00,0,0,140
10.01.2020,16:00,0,0,142
10.01.2020,17:00,0,0,141
10.01.2020,18:00,0,0,132
10.01.2020,19:00,0,0,130
10.01.2020,20:00,0,0,125
10.01.2020,21:00,0,0,121
10.01.2020,22:00,0,0,121
10.01.2020,23:00,0,0,116
11.01.2020,00:00,0,0,117
11.01.2020,01:00,0,0,115
11.01.2020,02:00,0,0,106
11.01.2020,03:00,0,0,101
11.01.2020,04:00,0,0,104
11.01.2020,05:00,0,0,115
11.01.2020,06:00,0,0,139
11.01.2020,07:00,0,0,138
11.01.2020,08:00,0,0,151
11.01.2020,09:00,0,0,157
11.01.2020,10:00,0,0,154
11.01.2020,11:00,0,0,149
11.01.2020,12:00,0,0,148
11.01.2020,13:00,0,0,151
11.01.2020,14:00,0,0,154
11.01.2020,15:00,0,0,155
11.01.2020,16:00,0,0,170
11.01.2020,17:00,0,0,175
11.01.2020,18:00,0,0,178
11.01.2020,19:00,0,0,186
11.01.2020,20:00,0,0,187
11.01.2020,21:00,0,0,189
11.01.2020,22:00,0,0,178
11.01.2020,23:00,0,0,174
12.01.2020,00:00,0,0,179
12.01.2020,01:00,0,0,181
12.01.2020,02:00,0,0,180
12.01.2020,03:00,0,0,185
12.01.2020,04:00,0,0,191
12.01.2020,05:00,0,0,193
12.01.2020,06:00,0,0,194
12.01.2020,07:00,0,0,198
12.01.2020,08:00,0,0,203
12.01.2020,09:00,0,0,200
12.01.2020,10:00,0,0,198
12.01.2020,11:00,0,0,193
12.01.2020,12:00,0,0,184
12.01.2020,13:00,0,0,169
12.01.2020,14:00,0,0,169
12.01.2020,15:00,0,0,173
12.01.2020,16:00,0,0,175
12.01.2020,17:00,0,0,183
12.01.2020,18:00,0,0,189
12.01.2020,19:00,0,0,196
12.01.2020,20:00,0,0,197
12.01.2020,21:00,0,0,191
12.01.2020,22:00,0,0,183
12.01.2020,23:00,0,0,165
13.01.2020,00:00,0,0,158
13.01.2020,01:00,0,0,174
13.01.2020,02:00,0,0,179
13.01.2020,03:00,0,0,173
13.01.2020,04:00,0,0,182
13.01.2020,05:00,0,0,174
13.01.2020,06:00,0,0,192
13.01.2020,07:00,0,0,198
13.01.2020,08:00,0,0,197
13.01.2020,09:00,0,0,205
13.01.2020,10:00,0,0,205
13.01.2020,11:00,0,0,182
13.01.2020,12:00,0,0,157
13.01.2020,13:00,0,0,165
13.01.2020,14:00,0,0,163
13.01.2020,15:00,0,0,157
13.01.2020,16:00,0,0,168
13.01.2020,17:00,0,0,177
13.01.2020,18:00,0,0,187
13.01.2020,19:00,0,0,200
13.01.2020,20:00,0,0,193
13.01.2020,21:00,0,0,196
13.01.2020,22:00,0,0,198
13.01.2020,23:00,0,0,187
14.01.2020,00:00,0,0,157
14.01.2020,01:00,0,0,147
14.01.2020,02:00,0,0,136
14.01.2020,03:00,0,0,151
14.01.2020,04:00,0,0,167
14.01.2020,05:00,0,0,195
14.01.2020,06:00,0,0,202
14.01.2020,07:00,0,0,200
14.01.2020,08:00,0,0,199
14.01.2020,09:00,0,0,199
14.01.2020,10:00,0,0,182
14.01.2020,11:00,0,0,163
14.01.2020,12:00,0,0,148
14.01.2020,13:00,0,0,139
14.01.2020,14:00,0,0,140
14.01.2020,15:00,0,0,134
14.01.2020,16:00,0,0,131
14.01.2020,17:00,0,0,160
14.01.2020,18:00,0,0,171
14.01.2020,19:00,0,0,182
