Datum,Uhrzeit,Generation_DE PSS B[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS F[MW],Generation_DE PSS E[MW],Generation_DE PSS A[MW]
01.01.2020,00:00,0,0,0,0,0,0
01.01.2020,01:00,0,0,0,0,0,0
01.01.2020,02:00,0,0,0,0,0,0
01.01.2020,03:00,0,0,0,0,0,0
01.01.2020,04:00,0,0,0,0,0,0
01.01.2020,05:00,0,0,0,0,0,0
01.01.2020,06:00,0,0,0,0,0,0
01.01.2020,07:00,0,0,0,0,0,0
01.01.2020,08:00,0,0,0,0,0,0
01.01.2020,09:00,0,0,0,0,0,0
01.01.2020,10:00,0,0,0,0,0,0
01.01.2020,11:00,0,0,0,0,0,0
01.01.2020,12:00,0,0,0,0,0,0
01.01.2020,13:00,0,0,0,0,0,0
01.01.2020,14:00,0,0,0,0,0,0
01.01.2020,15:00,0,0,0,0,0,0
01.01.2020,16:00,0,1,1,0,0,1
01.01.2020,17:00,0,160,160,157,161,159
01.01.2020,18:00,0,158,159,159,159,158
01.01.2020,19:00,0,150,149,149,152,149
01.01.2020,20:00,0,108,5,108,108,0
01.01.2020,21:00,0,1,0,1,0,0
01.01.2020,22:00,0,0,0,0,0,0
01.01.2020,23:00,0,0,0,0,0,0
02.01.2020,00:00,0,0,0,0,0,0
02.01.2020,01:00,0,0,0,0,0,0
02.01.2020,02:00,0,0,0,0,0,0
02.01.2020,03:00,0,0,0,0,0,0
02.01.2020,04:00,0,0,0,0,0,0
02.01.2020,05:00,0,0,0,0,0,0
02.01.2020,06:00,0,1,0,0,0,0
02.01.2020,07:00,0,160,158,152,155,160
02.01.2020,08:00,0,159,160,160,160,159
02.01.2020,09:00,0,156,156,156,157,156
02.01.2020,10:00,0,1,1,1,1,0
02.01.2020,11:00,0,0,0,0,0,0
02.01.2020,12:00,0,96,0,0,0,0
02.01.2020,13:00,0,118,0,0,0,0
02.01.2020,14:00,0,68,0,0,0,0
02.01.2020,15:00,0,0,0,0,0,0
02.01.2020,16:00,0,3,2,0,2,2
02.01.2020,17:00,0,147,147,1,149,147
02.01.2020,18:00,0,144,144,144,145,144
02.01.2020,19:00,0,4,2,3,2,0
02.01.2020,20:00,0,0,0,0,0,0
02.01.2020,21:00,0,0,0,0,0,0
02.01.2020,22:00,0,0,0,0,0,0
02.01.2020,23:00,0,0,48,0,0,0
03.01.2020,00:00,0,0,0,0,0,0
03.01.2020,01:00,0,0,0,0,0,0
03.01.2020,02:00,0,0,0,0,0,0
