Datum,Uhrzeit,Generation_DE G[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE A[MW],Generation_DE B[MW],Generation_DE D[MW],Generation_DE E[MW]
01.01.2020,00:00,1055,0,1061,0,262,0,0
01.01.2020,01:00,1055,0,1065,0,267,0,0
01.01.2020,02:00,1056,0,1066,0,265,0,0
01.01.2020,03:00,1054,0,1065,0,265,0,0
01.01.2020,04:00,1058,0,1063,0,266,0,0
01.01.2020,05:00,1051,0,1063,0,252,0,0
01.01.2020,06:00,1051,0,1067,0,212,0,0
01.01.2020,07:00,1056,0,1065,0,162,0,0
01.01.2020,08:00,1056,0,1062,0,165,0,0
01.01.2020,09:00,1060,0,1063,0,165,0,0
01.01.2020,10:00,1056,0,1066,0,166,0,0
01.01.2020,11:00,1051,0,1064,0,163,0,0
01.01.2020,12:00,1054,0,1063,0,162,0,0
01.01.2020,13:00,1049,0,1061,0,161,0,0
01.01.2020,14:00,1050,0,1062,0,165,0,0
01.01.2020,15:00,1047,0,1072,0,243,0,0
01.01.2020,16:00,1048,0,1074,0,252,0,0
01.01.2020,17:00,1046,0,1071,0,270,0,0
01.01.2020,18:00,1048,0,1071,0,271,0,0
01.01.2020,19:00,1051,0,1072,0,273,0,0
01.01.2020,20:00,1049,0,1070,0,272,0,0
01.01.2020,21:00,1049,0,1070,0,273,0,0
01.01.2020,22:00,1049,0,1072,0,260,0,0
01.01.2020,23:00,1052,0,1070,0,266,0,0
02.01.2020,00:00,1053,0,1072,0,199,0,0
02.01.2020,01:00,1054,0,1073,0,156,0,0
02.01.2020,02:00,1053,0,1071,0,154,0,0
02.01.2020,03:00,955,0,984,0,174,0,0
02.01.2020,04:00,530,0,536,0,185,0,0
02.01.2020,05:00,664,0,653,0,248,0,0
02.01.2020,06:00,976,0,990,0,262,0,0
02.01.2020,07:00,1053,0,1063,0,262,0,0
02.01.2020,08:00,1053,0,1068,0,262,0,0
02.01.2020,09:00,1055,0,1069,0,263,0,0
02.01.2020,10:00,1051,0,1063,0,264,0,0
02.01.2020,11:00,1051,0,1066,0,264,0,0
02.01.2020,12:00,1054,0,1068,0,264,0,0
02.01.2020,13:00,1050,0,1068,0,263,0,0
02.01.2020,14:00,1049,0,1062,0,263,0,0
02.01.2020,15:00,1047,0,1064,0,265,0,0
02.01.2020,16:00,1052,0,1058,0,267,0,0
02.01.2020,17:00,1058,0,1062,0,273,0,0
02.01.2020,18:00,1058,0,1061,0,270,0,0
02.01.2020,19:00,1053,0,1063,0,269,0,0
02.01.2020,20:00,1058,0,1062,0,270,0,0
02.01.2020,21:00,1058,0,1040,0,179,0,0
02.01.2020,22:00,1053,0,1043,0,168,0,0
02.01.2020,23:00,838,0,812,0,160,0,0
03.01.2020,00:00,1036,0,852,0,158,0,0
03.01.2020,01:00,830,0,751,0,158,0,0
03.01.2020,02:00,496,0,485,0,157,0,0
03.01.2020,03:00,486,0,492,0,157,0,0
