Datum,Uhrzeit,Generation_DE G[MW],Generation_DE H[MW],Generation_DE D[MW],Generation_DE E[MW],Generation_DE C[MW],Generation_DE B[MW],Generation_DE F[MW],Generation_DE K[MW],Generation_DE A[MW]
01.01.2020,00:00,0,0,0,0,268,0,0,934,0
01.01.2020,01:00,0,0,0,0,279,0,0,932,0
01.01.2020,02:00,0,0,0,0,279,0,0,927,0
01.01.2020,03:00,0,0,0,0,280,0,0,929,0
01.01.2020,04:00,0,0,0,0,278,0,0,929,0
01.01.2020,05:00,0,0,0,0,214,0,0,927,0
01.01.2020,06:00,0,0,0,0,155,0,0,927,0
01.01.2020,07:00,0,0,0,0,149,0,0,933,0
01.01.2020,08:00,0,0,0,0,150,0,0,927,0
01.01.2020,09:00,0,0,0,0,150,0,0,929,0
01.01.2020,10:00,0,0,0,0,150,0,0,927,0
01.01.2020,11:00,0,0,0,0,150,0,0,902,0
01.01.2020,12:00,0,0,0,0,150,0,0,907,0
01.01.2020,13:00,0,0,0,0,150,0,0,848,0
01.01.2020,14:00,0,0,0,0,175,0,0,928,0
01.01.2020,15:00,0,0,0,0,254,0,0,926,0
01.01.2020,16:00,0,0,0,0,278,0,0,931,0
01.01.2020,17:00,0,0,0,0,284,0,0,928,0
01.01.2020,18:00,0,0,0,0,284,0,0,931,0
01.01.2020,19:00,0,0,0,0,284,0,0,930,0
01.01.2020,20:00,0,0,0,0,280,0,0,929,0
01.01.2020,21:00,0,0,0,0,279,0,0,931,0
01.01.2020,22:00,0,0,0,0,275,0,0,930,0
01.01.2020,23:00,0,0,0,0,277,0,0,924,0
02.01.2020,00:00,0,0,0,0,219,0,0,925,0
02.01.2020,01:00,0,0,0,0,160,0,0,926,0
02.01.2020,02:00,0,0,0,0,149,0,0,928,0
02.01.2020,03:00,0,0,0,0,161,0,0,929,0
02.01.2020,04:00,0,0,0,0,153,0,0,917,0
02.01.2020,05:00,0,0,0,0,183,0,0,928,0
02.01.2020,06:00,0,0,0,0,262,0,0,923,0
02.01.2020,07:00,0,0,0,0,271,0,0,927,0
02.01.2020,08:00,0,0,0,0,249,0,0,925,0
02.01.2020,09:00,0,0,0,0,244,0,0,925,0
02.01.2020,10:00,0,0,0,0,245,0,0,929,0
02.01.2020,11:00,0,0,0,0,244,0,0,929,0
02.01.2020,12:00,0,0,0,0,245,0,0,928,0
02.01.2020,13:00,0,0,0,0,243,0,0,924,0
02.01.2020,14:00,0,0,0,0,245,0,0,926,0
02.01.2020,15:00,0,0,0,0,243,0,0,926,0
02.01.2020,16:00,0,0,0,0,242,0,0,928,0
02.01.2020,17:00,0,0,0,0,244,0,0,924,0
02.01.2020,18:00,0,0,0,0,243,0,0,928,0
02.01.2020,19:00,0,0,0,0,243,0,0,927,0
02.01.2020,20:00,0,0,0,0,240,0,0,928,0
02.01.2020,21:00,0,0,0,0,178,0,0,892,0
02.01.2020,22:00,0,0,0,0,172,0,0,825,0
02.01.2020,23:00,0,0,0,0,148,0,0,493,0
03.01.2020,00:00,0,0,0,0,148,0,0,568,0
03.01.2020,01:00,0,0,0,0,150,0,0,566,0
03.01.2020,02:00,0,0,0,0,150,0,0,487,0
03.01.2020,03:00,0,0,0,0,150,0,0,521,0
03.01.2020,04:00,0,0,0,0,150,0,0,514,0
03.01.2020,05:00,0,0,0,0,150,0,0,449,0
03.01.2020,06:00,0,0,0,0,149,0,0,365,0
03.01.2020,07:00,0,0,0,0,150,0,0,652,0
03.01.2020,08:00,0,0,0,0,150,0,0,794,0
03.01.2020,09:00,0,0,0,0,151,0,0,782,0
03.01.2020,10:00,0,0,0,0,151,0,0,911,0
03.01.2020,11:00,0,0,0,0,150,0,0,928,0
03.01.2020,12:00,0,0,0,0,151,0,0,924,0
03.01.2020,13:00,0,0,0,0,182,0,0,931,0
03.01.2020,14:00,0,0,0,0,177,0,0,922,0
03.01.2020,15:00,0,0,0,0,169,0,0,925,0
03.01.2020,16:00,0,0,0,0,170,0,0,925,0
03.01.2020,17:00,0,0,0,0,163,0,0,921,0
03.01.2020,18:00,0,0,0,0,148,0,0,684,0
03.01.2020,19:00,0,0,0,0,150,0,0,382,0
03.01.2020,20:00,0,0,0,0,150,0,0,368,0
03.01.2020,21:00,0,0,0,0,150,0,0,385,0
03.01.2020,22:00,0,0,0,0,150,0,0,402,0
03.01.2020,23:00,0,0,0,0,150,0,0,369,0
04.01.2020,00:00,0,0,0,0,153,0,0,370,0
04.01.2020,01:00,0,0,0,0,151,0,0,368,0
04.01.2020,02:00,0,0,0,0,150,0,0,407,0
04.01.2020,03:00,0,0,0,0,151,0,0,360,0
04.01.2020,04:00,0,0,0,0,152,0,0,374,0
04.01.2020,05:00,0,0,0,0,150,0,0,370,0
04.01.2020,06:00,0,0,0,0,150,0,0,374,0
04.01.2020,07:00,0,0,0,0,149,0,0,369,0
04.01.2020,08:00,0,0,0,0,149,0,0,377,0
04.01.2020,09:00,0,0,0,0,151,0,0,369,0
04.01.2020,10:00,0,0,0,0,149,0,0,376,0
04.01.2020,11:00,0,0,0,0,150,0,0,408,0
04.01.2020,12:00,0,0,0,0,150,0,0,385,0
04.01.2020,13:00,0,0,0,0,151,0,0,422,0
04.01.2020,14:00,0,0,0,0,150,0,0,384,0
04.01.2020,15:00,0,0,0,0,150,0,0,417,0
04.01.2020,16:00,0,0,0,0,160,0,0,437,0
04.01.2020,17:00,0,0,0,0,159,0,0,431,0
04.01.2020,18:00,0,0,0,0,148,0,0,432,0
04.01.2020,19:00,0,0,0,0,150,0,0,429,0
04.01.2020,20:00,0,0,0,0,150,0,0,439,0
04.01.2020,21:00,0,0,0,0,150,0,0,504,0
04.01.2020,22:00,0,0,0,0,180,0,0,530,0
04.01.2020,23:00,0,0,0,0,262,0,0,718,0
05.01.2020,00:00,0,0,0,0,196,0,0,914,0
05.01.2020,01:00,0,0,0,0,149,0,0,924,0
05.01.2020,02:00,0,0,0,0,150,0,0,927,0
05.01.2020,03:00,0,0,0,0,150,0,0,917,0
05.01.2020,04:00,0,0,0,0,150,0,0,925,0
05.01.2020,05:00,0,0,0,0,150,0,0,930,0
05.01.2020,06:00,0,0,0,0,149,0,0,929,0
05.01.2020,07:00,0,0,0,0,152,0,0,927,0
05.01.2020,08:00,0,0,0,0,221,0,0,926,0
05.01.2020,09:00,0,0,0,0,286,0,0,923,0
05.01.2020,10:00,0,0,0,0,283,0,0,923,0
05.01.2020,11:00,0,0,0,0,280,0,0,929,0
05.01.2020,12:00,0,0,0,0,248,0,0,922,0
05.01.2020,13:00,0,0,0,0,200,0,0,925,0
05.01.2020,14:00,0,0,0,0,266,0,0,928,0
05.01.2020,15:00,0,0,0,0,279,0,0,925,0
05.01.2020,16:00,0,0,0,0,283,0,0,926,0
05.01.2020,17:00,0,0,0,0,285,0,0,924,0
05.01.2020,18:00,0,0,0,0,283,0,0,931,0
05.01.2020,19:00,0,0,0,0,284,0,0,927,0
05.01.2020,20:00,0,0,0,0,284,0,0,929,0
05.01.2020,21:00,0,0,0,0,285,0,0,925,0
05.01.2020,22:00,0,0,0,0,285,0,0,920,0
05.01.2020,23:00,0,0,0,0,284,0,0,909,0
06.01.2020,00:00,0,0,0,0,252,0,0,907,0
06.01.2020,01:00,0,0,0,0,160,0,0,926,0
06.01.2020,02:00,0,0,0,0,149,0,0,933,0
06.01.2020,03:00,0,0,0,0,150,0,0,919,0
06.01.2020,04:00,0,0,0,0,150,0,0,925,0
06.01.2020,05:00,0,0,0,0,201,0,0,925,0
06.01.2020,06:00,0,0,0,0,272,0,0,923,0
06.01.2020,07:00,0,0,0,0,270,0,0,924,0
06.01.2020,08:00,0,0,0,0,285,0,0,923,0
06.01.2020,09:00,0,0,0,0,284,0,0,927,0
06.01.2020,10:00,0,0,0,0,284,0,0,926,0
06.01.2020,11:00,0,0,0,0,285,0,0,925,0
06.01.2020,12:00,0,0,0,0,284,0,0,927,0
06.01.2020,13:00,0,0,0,0,284,0,0,926,0
06.01.2020,14:00,0,0,0,0,284,0,0,930,0
06.01.2020,15:00,0,0,0,0,276,0,0,920,0
06.01.2020,16:00,0,0,0,0,269,0,0,914,0
06.01.2020,17:00,0,0,0,0,274,0,0,912,0
06.01.2020,18:00,0,0,0,0,274,0,0,909,0
06.01.2020,19:00,0,0,0,0,274,0,0,914,0
06.01.2020,20:00,0,0,0,0,273,0,0,909,0
06.01.2020,21:00,0,0,0,0,229,0,0,914,0
06.01.2020,22:00,0,0,0,0,222,0,0,911,0
06.01.2020,23:00,0,0,0,0,189,0,0,912,0
07.01.2020,00:00,0,0,0,0,189,0,0,914,0
07.01.2020,01:00,0,0,0,0,190,0,0,913,0
07.01.2020,02:00,0,0,0,0,190,0,0,913,0
07.01.2020,03:00,0,0,0,0,190,0,0,916,0
07.01.2020,04:00,15,0,0,0,191,0,0,910,0
07.01.2020,05:00,221,0,0,0,214,0,0,910,0
07.01.2020,06:00,407,0,0,0,273,0,0,914,0
07.01.2020,07:00,575,0,0,0,272,0,0,913,0
07.01.2020,08:00,587,0,0,0,274,0,0,915,0
07.01.2020,09:00,611,0,0,0,274,0,0,914,0
07.01.2020,10:00,614,0,0,0,274,0,0,914,0
07.01.2020,11:00,634,0,0,0,273,0,0,918,0
07.01.2020,12:00,614,0,0,0,271,0,0,918,0
07.01.2020,13:00,611,0,0,0,273,0,0,924,0
07.01.2020,14:00,618,0,0,0,274,0,0,934,0
07.01.2020,15:00,612,0,0,0,274,0,0,931,0
07.01.2020,16:00,610,0,0,0,274,0,0,936,0
07.01.2020,17:00,615,0,0,0,273,0,0,938,0
07.01.2020,18:00,615,0,0,0,275,0,0,926,0
07.01.2020,19:00,615,0,0,0,274,0,0,934,0
07.01.2020,20:00,617,0,0,0,261,0,0,933,0
07.01.2020,21:00,520,0,0,0,226,0,0,932,0
07.01.2020,22:00,353,0,0,0,187,0,0,936,0
07.01.2020,23:00,317,0,0,0,159,0,0,881,0
08.01.2020,00:00,302,0,0,0,153,0,0,497,0
