Datum,Uhrzeit,Generation_DE MÜN GT17[MW],Generation_DE MÜN GT18[MW],Generation_DE MÜN GT16[MW],Generation_DE MÜN DT15[MW],Generation_DE MÜN DT12[MW],Generation_DE MÜN DT19 neu[MW]
01.01.2020,00:00,0,0,0,0,0,52
01.01.2020,01:00,0,0,0,0,0,51
01.01.2020,02:00,0,0,0,0,0,49
01.01.2020,03:00,0,0,0,0,0,49
01.01.2020,04:00,0,0,0,0,0,53
01.01.2020,05:00,0,0,0,0,0,54
01.01.2020,06:00,0,0,0,0,0,53
01.01.2020,07:00,0,0,0,0,0,55
01.01.2020,08:00,0,0,0,0,0,62
01.01.2020,09:00,0,0,0,0,0,62
01.01.2020,10:00,0,0,0,0,0,63
01.01.2020,11:00,0,0,0,0,0,54
01.01.2020,12:00,0,0,0,0,0,48
01.01.2020,13:00,0,0,0,0,0,45
01.01.2020,14:00,0,0,0,0,0,44
01.01.2020,15:00,0,0,0,0,0,51
01.01.2020,16:00,0,0,0,0,0,53
01.01.2020,17:00,0,0,0,0,0,58
01.01.2020,18:00,0,0,0,0,0,58
01.01.2020,19:00,0,0,0,0,0,58
01.01.2020,20:00,0,0,0,0,0,59
01.01.2020,21:00,0,0,0,0,0,59
01.01.2020,22:00,0,0,0,0,0,59
01.01.2020,23:00,0,0,0,0,0,59
02.01.2020,00:00,0,0,0,0,0,57
02.01.2020,01:00,0,0,0,0,0,56
02.01.2020,02:00,0,0,0,0,0,53
02.01.2020,03:00,0,0,0,0,0,55
02.01.2020,04:00,0,0,0,0,0,56
02.01.2020,05:00,0,0,0,0,0,58
02.01.2020,06:00,0,0,0,0,0,59
02.01.2020,07:00,0,0,0,0,0,59
02.01.2020,08:00,0,0,0,0,0,60
02.01.2020,09:00,0,0,0,0,0,62
02.01.2020,10:00,0,0,0,0,0,63
02.01.2020,11:00,0,0,0,0,0,61
02.01.2020,12:00,0,0,0,0,0,59
02.01.2020,13:00,0,0,0,0,0,60
02.01.2020,14:00,0,0,0,0,0,57
02.01.2020,15:00,0,0,0,0,0,56
02.01.2020,16:00,0,0,0,0,0,52
02.01.2020,17:00,0,0,0,0,0,57
02.01.2020,18:00,0,0,0,0,0,62
02.01.2020,19:00,0,0,0,0,0,61
02.01.2020,20:00,0,0,0,0,0,60
02.01.2020,21:00,0,0,0,0,0,57
02.01.2020,22:00,0,0,0,0,0,50
02.01.2020,23:00,0,0,0,0,0,47
03.01.2020,00:00,0,0,0,0,0,47
03.01.2020,01:00,0,0,0,0,0,46
03.01.2020,02:00,0,0,0,0,0,46
03.01.2020,03:00,0,0,0,0,0,45
03.01.2020,04:00,0,0,0,0,0,44
03.01.2020,05:00,0,0,0,0,0,45
03.01.2020,06:00,0,0,0,0,0,45
03.01.2020,07:00,0,0,0,0,0,49
03.01.2020,08:00,0,0,0,0,0,56
03.01.2020,09:00,0,0,0,0,0,56
03.01.2020,10:00,0,0,0,0,0,55
03.01.2020,11:00,0,0,0,0,0,53
03.01.2020,12:00,0,0,0,0,0,52
03.01.2020,13:00,0,0,0,0,0,48
03.01.2020,14:00,0,0,0,0,0,52
03.01.2020,15:00,0,0,0,0,0,53
03.01.2020,16:00,0,0,0,0,0,53
03.01.2020,17:00,0,0,0,0,0,52
03.01.2020,18:00,0,0,0,0,0,53
03.01.2020,19:00,0,0,0,0,0,53
03.01.2020,20:00,0,0,0,0,0,51
03.01.2020,21:00,0,0,0,0,0,50
03.01.2020,22:00,0,0,0,0,0,44
03.01.2020,23:00,0,0,0,0,0,46
04.01.2020,00:00,0,0,0,0,0,46
04.01.2020,01:00,0,0,0,0,0,49
04.01.2020,02:00,0,0,0,0,0,50
04.01.2020,03:00,0,0,0,0,0,48
04.01.2020,04:00,0,0,0,0,0,46
04.01.2020,05:00,0,0,0,0,0,46
04.01.2020,06:00,0,0,0,0,0,44
04.01.2020,07:00,0,0,0,0,0,46
04.01.2020,08:00,0,0,0,0,0,48
04.01.2020,09:00,0,0,0,0,0,48
04.01.2020,10:00,0,0,0,0,0,50
04.01.2020,11:00,0,0,0,0,0,47
04.01.2020,12:00,0,0,0,0,0,46
04.01.2020,13:00,0,0,0,0,0,45
04.01.2020,14:00,0,0,0,0,0,50
04.01.2020,15:00,0,0,0,0,0,53
04.01.2020,16:00,0,0,0,0,0,53
04.01.2020,17:00,0,0,0,0,0,52
04.01.2020,18:00,0,0,0,0,0,54
04.01.2020,19:00,0,0,0,0,0,53
04.01.2020,20:00,0,0,0,0,0,51
04.01.2020,21:00,0,0,0,0,0,54
04.01.2020,22:00,0,0,0,0,0,47
04.01.2020,23:00,0,0,0,0,0,45
05.01.2020,00:00,0,0,0,0,0,45
05.01.2020,01:00,0,0,0,0,0,46
05.01.2020,02:00,0,0,0,0,0,48
05.01.2020,03:00,0,0,0,0,0,46
05.01.2020,04:00,0,0,0,0,0,45
05.01.2020,05:00,0,0,0,0,0,47
05.01.2020,06:00,0,0,0,0,0,45
05.01.2020,07:00,0,0,0,0,0,44
05.01.2020,08:00,0,0,0,0,0,45
05.01.2020,09:00,0,0,0,0,0,46
05.01.2020,10:00,0,0,0,0,0,44
05.01.2020,11:00,0,0,0,0,0,48
05.01.2020,12:00,0,0,0,0,0,46
05.01.2020,13:00,0,0,0,0,0,47
05.01.2020,14:00,0,0,0,0,0,45
05.01.2020,15:00,0,0,0,0,0,46
05.01.2020,16:00,0,0,0,0,0,45
05.01.2020,17:00,0,0,0,0,0,45
05.01.2020,18:00,0,0,0,0,0,51
05.01.2020,19:00,0,0,0,0,0,51
05.01.2020,20:00,0,0,0,0,0,51
05.01.2020,21:00,0,0,0,0,0,50
05.01.2020,22:00,0,0,0,0,0,48
05.01.2020,23:00,0,0,0,0,0,48
06.01.2020,00:00,0,0,0,0,0,48
06.01.2020,01:00,0,0,0,0,0,48
06.01.2020,02:00,0,0,0,0,0,49
06.01.2020,03:00,0,0,0,0,0,50
06.01.2020,04:00,0,0,0,0,0,51
06.01.2020,05:00,0,0,0,0,0,56
06.01.2020,06:00,0,0,0,0,0,54
06.01.2020,07:00,0,0,0,0,0,57
06.01.2020,08:00,0,0,0,0,0,55
06.01.2020,09:00,0,0,0,0,0,57
06.01.2020,10:00,0,0,0,0,0,56
06.01.2020,11:00,0,0,0,0,0,52
06.01.2020,12:00,0,0,0,0,0,52
06.01.2020,13:00,0,0,0,0,0,53
06.01.2020,14:00,0,0,0,0,0,52
06.01.2020,15:00,0,0,0,0,0,53
06.01.2020,16:00,0,0,0,0,0,52
06.01.2020,17:00,0,0,0,0,0,54
06.01.2020,18:00,0,0,0,0,0,56
06.01.2020,19:00,0,0,0,0,0,58
06.01.2020,20:00,0,0,0,0,0,60
06.01.2020,21:00,0,0,0,0,0,58
06.01.2020,22:00,0,0,0,0,0,55
06.01.2020,23:00,0,0,0,0,0,55
07.01.2020,00:00,0,0,0,0,0,52
07.01.2020,01:00,0,0,0,0,0,53
07.01.2020,02:00,0,0,0,0,0,52
07.01.2020,03:00,0,0,0,0,0,51
07.01.2020,04:00,0,0,0,0,0,51
07.01.2020,05:00,0,0,0,0,0,57
07.01.2020,06:00,0,0,0,0,0,58
07.01.2020,07:00,0,0,0,0,0,58
07.01.2020,08:00,0,0,0,0,0,60
07.01.2020,09:00,0,0,0,0,0,61
07.01.2020,10:00,0,0,0,0,0,59
07.01.2020,11:00,0,0,0,0,0,57
07.01.2020,12:00,0,0,0,0,0,56
07.01.2020,13:00,0,0,0,0,0,56
07.01.2020,14:00,0,0,0,0,0,59
07.01.2020,15:00,0,0,0,0,0,58
07.01.2020,16:00,0,0,0,0,0,60
07.01.2020,17:00,0,0,0,0,0,61
07.01.2020,18:00,0,0,0,0,0,63
07.01.2020,19:00,0,0,0,0,0,62
07.01.2020,20:00,0,0,0,0,0,61
07.01.2020,21:00,0,0,0,0,0,57
07.01.2020,22:00,0,0,0,0,0,59
07.01.2020,23:00,0,0,0,0,0,48
08.01.2020,00:00,0,0,0,0,0,49
08.01.2020,01:00,0,0,0,0,0,53
08.01.2020,02:00,0,0,0,0,0,49
08.01.2020,03:00,0,0,0,0,0,49
08.01.2020,04:00,0,0,0,0,0,49
08.01.2020,05:00,0,0,0,0,0,53
08.01.2020,06:00,0,0,0,0,0,56
08.01.2020,07:00,0,0,0,0,0,58
08.01.2020,08:00,0,0,0,0,0,57
08.01.2020,09:00,0,0,0,0,0,58
08.01.2020,10:00,0,0,0,0,0,59
08.01.2020,11:00,0,0,0,0,0,55
08.01.2020,12:00,0,0,0,0,0,54
08.01.2020,13:00,0,0,0,0,0,55
08.01.2020,14:00,0,0,0,0,0,58
08.01.2020,15:00,0,0,0,0,0,59
08.01.2020,16:00,0,0,0,0,0,58
08.01.2020,17:00,0,0,0,0,0,59
08.01.2020,18:00,0,0,0,0,0,60
08.01.2020,19:00,0,0,0,0,0,57
08.01.2020,20:00,0,0,0,0,0,55
08.01.2020,21:00,0,0,0,0,0,50
08.01.2020,22:00,0,0,0,0,0,45
08.01.2020,23:00,0,0,0,0,0,42
09.01.2020,00:00,0,0,0,0,0,43
09.01.2020,01:00,0,0,0,0,0,42
09.01.2020,02:00,0,0,0,0,0,41
09.01.2020,03:00,0,0,0,0,0,42
09.01.2020,04:00,0,0,0,0,0,41
09.01.2020,05:00,0,0,0,0,0,43
09.01.2020,06:00,0,0,0,0,0,44
09.01.2020,07:00,0,0,0,0,0,45
09.01.2020,08:00,0,0,0,0,0,48
09.01.2020,09:00,0,0,0,0,0,47
09.01.2020,10:00,0,0,0,0,0,44
09.01.2020,11:00,0,0,0,0,0,45
09.01.2020,12:00,0,0,0,0,0,45
09.01.2020,13:00,0,0,0,0,0,45
09.01.2020,14:00,0,0,0,0,0,43
09.01.2020,15:00,0,0,0,0,0,45
09.01.2020,16:00,0,0,0,0,0,43
09.01.2020,17:00,0,0,0,0,0,50
09.01.2020,18:00,0,0,0,0,0,51
09.01.2020,19:00,0,0,0,0,0,53
09.01.2020,20:00,0,0,0,0,0,56
09.01.2020,21:00,0,0,0,0,0,55
09.01.2020,22:00,0,0,0,0,0,56
09.01.2020,23:00,0,0,0,0,0,58
10.01.2020,00:00,0,0,0,0,0,58
10.01.2020,01:00,0,0,0,0,0,58
10.01.2020,02:00,0,0,0,0,0,55
10.01.2020,03:00,0,0,0,0,0,56
10.01.2020,04:00,0,0,0,0,0,54
10.01.2020,05:00,0,0,0,0,0,49
10.01.2020,06:00,0,0,0,0,0,48
10.01.2020,07:00,0,0,0,0,0,46
10.01.2020,08:00,0,0,0,0,0,46
10.01.2020,09:00,0,0,0,0,0,48
10.01.2020,10:00,0,0,0,0,0,48
10.01.2020,11:00,0,0,0,0,0,46
10.01.2020,12:00,0,0,0,0,0,46
10.01.2020,13:00,0,0,0,0,0,49
10.01.2020,14:00,0,0,0,0,0,47
10.01.2020,15:00,0,0,0,0,0,48
10.01.2020,16:00,0,0,0,0,0,49
10.01.2020,17:00,0,0,0,0,0,51
10.01.2020,18:00,0,0,0,0,0,49
10.01.2020,19:00,0,0,0,0,0,48
10.01.2020,20:00,0,0,0,0,0,49
10.01.2020,21:00,0,0,0,0,0,50
10.01.2020,22:00,0,0,0,0,0,54
10.01.2020,23:00,0,0,0,0,0,55
11.01.2020,00:00,0,0,0,0,0,55
11.01.2020,01:00,0,0,0,0,0,55
11.01.2020,02:00,0,0,0,0,0,56
11.01.2020,03:00,0,0,0,0,0,55
11.01.2020,04:00,0,0,0,0,0,54
11.01.2020,05:00,0,0,0,0,0,53
11.01.2020,06:00,0,0,0,0,0,53
11.01.2020,07:00,0,0,0,0,0,53
11.01.2020,08:00,0,0,0,0,0,52
11.01.2020,09:00,0,0,0,0,0,45
11.01.2020,10:00,0,0,0,0,0,45
11.01.2020,11:00,0,0,0,0,0,44
11.01.2020,12:00,0,0,0,0,0,44
11.01.2020,13:00,0,0,0,0,0,47
11.01.2020,14:00,0,0,0,0,0,46
11.01.2020,15:00,0,0,0,0,0,46
