Datum,Uhrzeit,Generation_DE Reuter West D[MW],Generation_DE Reuter West E[MW]
01.01.2020,00:00,181,0
01.01.2020,01:00,181,0
01.01.2020,02:00,181,0
01.01.2020,03:00,181,0
01.01.2020,04:00,181,0
01.01.2020,05:00,181,0
01.01.2020,06:00,181,0
01.01.2020,07:00,181,0
01.01.2020,08:00,181,0
01.01.2020,09:00,181,0
01.01.2020,10:00,181,0
01.01.2020,11:00,181,0
01.01.2020,12:00,181,0
01.01.2020,13:00,181,0
01.01.2020,14:00,181,0
01.01.2020,15:00,181,0
01.01.2020,16:00,181,0
01.01.2020,17:00,181,0
01.01.2020,18:00,181,0
01.01.2020,19:00,181,0
01.01.2020,20:00,181,0
01.01.2020,21:00,181,0
01.01.2020,22:00,181,0
01.01.2020,23:00,181,0
02.01.2020,00:00,169,0
02.01.2020,01:00,164,0
02.01.2020,02:00,166,0
02.01.2020,03:00,168,0
02.01.2020,04:00,168,0
02.01.2020,05:00,168,0
02.01.2020,06:00,168,0
02.01.2020,07:00,168,0
02.01.2020,08:00,168,0
02.01.2020,09:00,168,0
02.01.2020,10:00,167,0
02.01.2020,11:00,144,0
02.01.2020,12:00,149,0
02.01.2020,13:00,140,0
02.01.2020,14:00,140,0
02.01.2020,15:00,140,0
02.01.2020,16:00,140,0
02.01.2020,17:00,140,0
02.01.2020,18:00,140,0
02.01.2020,19:00,140,0
02.01.2020,20:00,140,0
02.01.2020,21:00,140,0
02.01.2020,22:00,140,0
02.01.2020,23:00,140,0
03.01.2020,00:00,140,0
03.01.2020,01:00,137,0
03.01.2020,02:00,138,0
03.01.2020,03:00,137,0
03.01.2020,04:00,138,0
03.01.2020,05:00,140,0
03.01.2020,06:00,140,0
03.01.2020,07:00,140,0
03.01.2020,08:00,140,0
03.01.2020,09:00,140,0
03.01.2020,10:00,140,0
03.01.2020,11:00,140,0
03.01.2020,12:00,140,38
03.01.2020,13:00,140,83
03.01.2020,14:00,139,101
03.01.2020,15:00,140,112
03.01.2020,16:00,135,118
03.01.2020,17:00,138,117
03.01.2020,18:00,140,135
03.01.2020,19:00,140,171
03.01.2020,20:00,138,180
03.01.2020,21:00,135,181
03.01.2020,22:00,135,185
03.01.2020,23:00,135,185
04.01.2020,00:00,135,152
04.01.2020,01:00,135,149
04.01.2020,02:00,135,149
04.01.2020,03:00,135,149
04.01.2020,04:00,137,149
04.01.2020,05:00,135,149
04.01.2020,06:00,135,149
04.01.2020,07:00,135,149
04.01.2020,08:00,135,149
04.01.2020,09:00,135,149
