Datum,Uhrzeit,Generation_DE RDK 8[MW],Generation_DE RDK 7[MW],Generation_DE RDK 4S[MW]
01.01.2020,00:00,0,0,0
01.01.2020,01:00,0,0,0
01.01.2020,02:00,0,0,0
01.01.2020,03:00,0,0,0
01.01.2020,04:00,0,0,0
01.01.2020,05:00,0,0,0
01.01.2020,06:00,0,0,0
01.01.2020,07:00,0,0,0
01.01.2020,08:00,0,0,0
01.01.2020,09:00,0,0,0
01.01.2020,10:00,0,0,0
01.01.2020,11:00,0,0,0
01.01.2020,12:00,0,0,0
01.01.2020,13:00,0,0,0
01.01.2020,14:00,0,0,0
01.01.2020,15:00,0,0,0
01.01.2020,16:00,0,0,0
01.01.2020,17:00,0,0,0
01.01.2020,18:00,0,0,0
01.01.2020,19:00,0,0,0
01.01.2020,20:00,0,0,0
01.01.2020,21:00,0,0,0
01.01.2020,22:00,0,0,0
01.01.2020,23:00,0,0,0
02.01.2020,00:00,0,0,0
02.01.2020,01:00,0,0,0
02.01.2020,02:00,0,0,0
02.01.2020,03:00,0,0,0
02.01.2020,04:00,0,0,0
02.01.2020,05:00,0,0,0
02.01.2020,06:00,0,0,0
02.01.2020,07:00,0,0,0
02.01.2020,08:00,0,0,0
02.01.2020,09:00,0,0,0
02.01.2020,10:00,0,0,0
02.01.2020,11:00,0,0,0
02.01.2020,12:00,0,0,0
02.01.2020,13:00,0,0,0
02.01.2020,14:00,0,0,0
02.01.2020,15:00,0,0,0
02.01.2020,16:00,0,0,0
02.01.2020,17:00,83,0,0
02.01.2020,18:00,249,0,0
02.01.2020,19:00,343,0,0
02.01.2020,20:00,456,0,0
02.01.2020,21:00,464,0,0
02.01.2020,22:00,459,0,0
02.01.2020,23:00,293,0,0
03.01.2020,00:00,266,0,0
03.01.2020,01:00,268,0,0
03.01.2020,02:00,272,0,0
03.01.2020,03:00,273,0,0
03.01.2020,04:00,271,0,0
03.01.2020,05:00,269,0,0
03.01.2020,06:00,270,0,0
03.01.2020,07:00,395,0,0
03.01.2020,08:00,582,0,0
03.01.2020,09:00,725,0,0
03.01.2020,10:00,752,0,0
03.01.2020,11:00,756,0,0
03.01.2020,12:00,768,0,0
03.01.2020,13:00,783,0,0
03.01.2020,14:00,669,0,0
03.01.2020,15:00,670,0,0
03.01.2020,16:00,670,0,0
03.01.2020,17:00,669,0,0
03.01.2020,18:00,669,0,0
03.01.2020,19:00,670,0,0
03.01.2020,20:00,723,0,0
03.01.2020,21:00,741,0,0
03.01.2020,22:00,740,0,0
03.01.2020,23:00,676,0,0
04.01.2020,00:00,511,0,0
04.01.2020,01:00,321,0,0
04.01.2020,02:00,270,0,0
04.01.2020,03:00,271,0,0
04.01.2020,04:00,269,0,0
04.01.2020,05:00,270,0,0
04.01.2020,06:00,270,0,0
04.01.2020,07:00,276,0,0
04.01.2020,08:00,448,0,0
04.01.2020,09:00,658,0,0
04.01.2020,10:00,515,0,0
04.01.2020,11:00,477,0,0
04.01.2020,12:00,382,0,0
04.01.2020,13:00,342,0,0
04.01.2020,14:00,343,0,0
04.01.2020,15:00,305,0,0
04.01.2020,16:00,415,0,0
04.01.2020,17:00,678,0,0
04.01.2020,18:00,532,0,0
04.01.2020,19:00,327,0,0
04.01.2020,20:00,646,0,0
04.01.2020,21:00,811,0,0
04.01.2020,22:00,814,0,0
04.01.2020,23:00,524,0,0
05.01.2020,00:00,273,0,0
05.01.2020,01:00,284,0,0
05.01.2020,02:00,14,0,0
05.01.2020,03:00,0,0,0
05.01.2020,04:00,0,0,0
05.01.2020,05:00,0,0,0
05.01.2020,06:00,0,0,0
05.01.2020,07:00,0,0,0
05.01.2020,08:00,0,0,0
05.01.2020,09:00,0,0,0
05.01.2020,10:00,0,0,0
05.01.2020,11:00,0,0,0
05.01.2020,12:00,0,0,0
05.01.2020,13:00,0,0,0
05.01.2020,14:00,0,0,0
05.01.2020,15:00,0,0,0
05.01.2020,16:00,0,0,0
05.01.2020,17:00,52,0,0
05.01.2020,18:00,320,0,0
05.01.2020,19:00,416,0,0
05.01.2020,20:00,454,0,0
05.01.2020,21:00,455,0,0
05.01.2020,22:00,326,0,0
05.01.2020,23:00,277,0,0
06.01.2020,00:00,541,0,0
06.01.2020,01:00,577,0,0
06.01.2020,02:00,575,0,0
06.01.2020,03:00,575,0,0
06.01.2020,04:00,578,28,0
06.01.2020,05:00,783,192,0
06.01.2020,06:00,818,325,0
06.01.2020,07:00,814,387,0
06.01.2020,08:00,817,473,0
06.01.2020,09:00,818,481,0
06.01.2020,10:00,816,480,0
06.01.2020,11:00,816,481,0
06.01.2020,12:00,817,480,0
06.01.2020,13:00,817,480,0
06.01.2020,14:00,812,492,0
06.01.2020,15:00,813,499,0
06.01.2020,16:00,812,498,0
06.01.2020,17:00,811,499,0
06.01.2020,18:00,812,498,0
06.01.2020,19:00,812,499,0
06.01.2020,20:00,812,499,0
06.01.2020,21:00,812,498,0
06.01.2020,22:00,812,440,0
06.01.2020,23:00,697,367,0
07.01.2020,00:00,514,293,0
07.01.2020,01:00,505,266,0
07.01.2020,02:00,375,266,0
07.01.2020,03:00,356,296,0
07.01.2020,04:00,355,225,0
07.01.2020,05:00,441,235,0
07.01.2020,06:00,598,376,0
07.01.2020,07:00,793,498,0
07.01.2020,08:00,811,500,0
07.01.2020,09:00,812,500,0
07.01.2020,10:00,814,501,0
07.01.2020,11:00,818,503,0
07.01.2020,12:00,826,504,0
07.01.2020,13:00,832,504,0
07.01.2020,14:00,832,502,0
07.01.2020,15:00,830,498,0
07.01.2020,16:00,826,498,0
07.01.2020,17:00,823,499,0
07.01.2020,18:00,816,499,0
07.01.2020,19:00,815,499,0
07.01.2020,20:00,816,497,0
07.01.2020,21:00,816,326,0
07.01.2020,22:00,760,302,0
07.01.2020,23:00,471,274,0
08.01.2020,00:00,349,225,0
08.01.2020,01:00,354,167,0
08.01.2020,02:00,356,168,0
08.01.2020,03:00,357,167,0
08.01.2020,04:00,414,167,0
08.01.2020,05:00,497,167,0
08.01.2020,06:00,619,266,0
08.01.2020,07:00,786,478,0
08.01.2020,08:00,812,503,0
08.01.2020,09:00,813,504,0
08.01.2020,10:00,805,502,0
