Datum,Uhrzeit,Generation_DE Iffezheim M10M5[MW]
01.01.2020,00:00,103
01.01.2020,01:00,105
01.01.2020,02:00,104
01.01.2020,03:00,103
01.01.2020,04:00,105
01.01.2020,05:00,104
01.01.2020,06:00,101
01.01.2020,07:00,103
01.01.2020,08:00,104
01.01.2020,09:00,105
01.01.2020,10:00,102
01.01.2020,11:00,101
01.01.2020,12:00,103
01.01.2020,13:00,103
01.01.2020,14:00,101
01.01.2020,15:00,100
01.01.2020,16:00,100
01.01.2020,17:00,100
01.01.2020,18:00,99
01.01.2020,19:00,99
01.01.2020,20:00,98
01.01.2020,21:00,101
01.01.2020,22:00,98
01.01.2020,23:00,98
02.01.2020,00:00,97
02.01.2020,01:00,96
02.01.2020,02:00,98
02.01.2020,03:00,98
02.01.2020,04:00,96
02.01.2020,05:00,96
02.01.2020,06:00,100
02.01.2020,07:00,99
02.01.2020,08:00,96
02.01.2020,09:00,95
02.01.2020,10:00,97
02.01.2020,11:00,95
02.01.2020,12:00,96
02.01.2020,13:00,102
02.01.2020,14:00,99
02.01.2020,15:00,97
02.01.2020,16:00,104
02.01.2020,17:00,99
02.01.2020,18:00,99
02.01.2020,19:00,97
02.01.2020,20:00,101
02.01.2020,21:00,99
02.01.2020,22:00,98
02.01.2020,23:00,98
03.01.2020,00:00,95
03.01.2020,01:00,95
03.01.2020,02:00,95
03.01.2020,03:00,93
03.01.2020,04:00,95
03.01.2020,05:00,93
03.01.2020,06:00,91
03.01.2020,07:00,92
03.01.2020,08:00,92
03.01.2020,09:00,93
03.01.2020,10:00,96
03.01.2020,11:00,93
03.01.2020,12:00,93
03.01.2020,13:00,93
03.01.2020,14:00,92
03.01.2020,15:00,91
03.01.2020,16:00,90
03.01.2020,17:00,90
03.01.2020,18:00,88
03.01.2020,19:00,88
03.01.2020,20:00,87
03.01.2020,21:00,89
03.01.2020,22:00,88
03.01.2020,23:00,89
04.01.2020,00:00,91
04.01.2020,01:00,93
04.01.2020,02:00,92
04.01.2020,03:00,90
04.01.2020,04:00,88
04.01.2020,05:00,88
04.01.2020,06:00,87
04.01.2020,07:00,86
04.01.2020,08:00,86
04.01.2020,09:00,85
04.01.2020,10:00,85
04.01.2020,11:00,86
04.01.2020,12:00,86
04.01.2020,13:00,86
04.01.2020,14:00,85
04.01.2020,15:00,84
04.01.2020,16:00,88
04.01.2020,17:00,85
04.01.2020,18:00,87
04.01.2020,19:00,86
04.01.2020,20:00,86
04.01.2020,21:00,88
04.01.2020,22:00,87
04.01.2020,23:00,86
05.01.2020,00:00,90
05.01.2020,01:00,91
05.01.2020,02:00,91
05.01.2020,03:00,90
05.01.2020,04:00,90
05.01.2020,05:00,89
05.01.2020,06:00,88
05.01.2020,07:00,90
05.01.2020,08:00,87
05.01.2020,09:00,91
05.01.2020,10:00,88
05.01.2020,11:00,88
05.01.2020,12:00,88
05.01.2020,13:00,88
05.01.2020,14:00,89
05.01.2020,15:00,89
05.01.2020,16:00,89
05.01.2020,17:00,87
05.01.2020,18:00,89
05.01.2020,19:00,91
05.01.2020,20:00,89
05.01.2020,21:00,89
05.01.2020,22:00,89
05.01.2020,23:00,88
06.01.2020,00:00,87
06.01.2020,01:00,87
06.01.2020,02:00,83
06.01.2020,03:00,80
06.01.2020,04:00,83
06.01.2020,05:00,83
06.01.2020,06:00,83
06.01.2020,07:00,85
06.01.2020,08:00,85
06.01.2020,09:00,86
06.01.2020,10:00,88
06.01.2020,11:00,88
06.01.2020,12:00,87
06.01.2020,13:00,84
06.01.2020,14:00,81
06.01.2020,15:00,81
06.01.2020,16:00,81
06.01.2020,17:00,82
06.01.2020,18:00,82
06.01.2020,19:00,81
06.01.2020,20:00,83
06.01.2020,21:00,83
06.01.2020,22:00,86
06.01.2020,23:00,87
07.01.2020,00:00,83
07.01.2020,01:00,77
07.01.2020,02:00,82
07.01.2020,03:00,82
07.01.2020,04:00,83
07.01.2020,05:00,82
07.01.2020,06:00,81
07.01.2020,07:00,85
07.01.2020,08:00,86
07.01.2020,09:00,88
07.01.2020,10:00,84
07.01.2020,11:00,85
07.01.2020,12:00,83
07.01.2020,13:00,83
07.01.2020,14:00,82
07.01.2020,15:00,83
07.01.2020,16:00,81
07.01.2020,17:00,81
07.01.2020,18:00,83
07.01.2020,19:00,84
07.01.2020,20:00,82
07.01.2020,21:00,86
07.01.2020,22:00,87
07.01.2020,23:00,85
08.01.2020,00:00,83
08.01.2020,01:00,82
08.01.2020,02:00,79
08.01.2020,03:00,78
08.01.2020,04:00,81
08.01.2020,05:00,82
08.01.2020,06:00,84
08.01.2020,07:00,87
08.01.2020,08:00,83
08.01.2020,09:00,82
08.01.2020,10:00,79
08.01.2020,11:00,79
08.01.2020,12:00,80
08.01.2020,13:00,80
08.01.2020,14:00,81
08.01.2020,15:00,80
08.01.2020,16:00,76
08.01.2020,17:00,75
08.01.2020,18:00,76
08.01.2020,19:00,73
08.01.2020,20:00,76
08.01.2020,21:00,80
08.01.2020,22:00,79
08.01.2020,23:00,81
09.01.2020,00:00,81
09.01.2020,01:00,85
09.01.2020,02:00,84
09.01.2020,03:00,83
09.01.2020,04:00,85
