Datum,Uhrzeit,Generation_DE Säckingen[MW]
01.01.2020,00:00,21
01.01.2020,01:00,4
01.01.2020,02:00,17
01.01.2020,03:00,0
01.01.2020,04:00,0
01.01.2020,05:00,0
01.01.2020,06:00,0
01.01.2020,07:00,0
01.01.2020,08:00,0
01.01.2020,09:00,0
01.01.2020,10:00,0
01.01.2020,11:00,0
01.01.2020,12:00,0
01.01.2020,13:00,0
01.01.2020,14:00,75
01.01.2020,15:00,41
01.01.2020,16:00,74
01.01.2020,17:00,1
01.01.2020,18:00,0
01.01.2020,19:00,0
01.01.2020,20:00,0
01.01.2020,21:00,1
01.01.2020,22:00,45
01.01.2020,23:00,26
02.01.2020,00:00,0
02.01.2020,01:00,0
02.01.2020,02:00,0
02.01.2020,03:00,0
02.01.2020,04:00,0
02.01.2020,05:00,0
02.01.2020,06:00,0
02.01.2020,07:00,2
02.01.2020,08:00,141
02.01.2020,09:00,52
02.01.2020,10:00,140
02.01.2020,11:00,43
02.01.2020,12:00,62
02.01.2020,13:00,55
02.01.2020,14:00,0
02.01.2020,15:00,0
02.01.2020,16:00,3
02.01.2020,17:00,9
02.01.2020,18:00,123
02.01.2020,19:00,39
02.01.2020,20:00,42
02.01.2020,21:00,0
02.01.2020,22:00,0
02.01.2020,23:00,0
03.01.2020,00:00,0
03.01.2020,01:00,0
03.01.2020,02:00,0
03.01.2020,03:00,0
03.01.2020,04:00,0
03.01.2020,05:00,0
03.01.2020,06:00,0
03.01.2020,07:00,0
03.01.2020,08:00,0
03.01.2020,09:00,0
03.01.2020,10:00,2
03.01.2020,11:00,51
03.01.2020,12:00,60
03.01.2020,13:00,79
03.01.2020,14:00,0
03.01.2020,15:00,30
03.01.2020,16:00,140
03.01.2020,17:00,150
03.01.2020,18:00,147
03.01.2020,19:00,173
03.01.2020,20:00,127
03.01.2020,21:00,22
03.01.2020,22:00,0
03.01.2020,23:00,0
04.01.2020,00:00,0
04.01.2020,01:00,0
04.01.2020,02:00,0
04.01.2020,03:00,0
04.01.2020,04:00,0
04.01.2020,05:00,0
04.01.2020,06:00,0
04.01.2020,07:00,0
04.01.2020,08:00,0
04.01.2020,09:00,0
04.01.2020,10:00,0
04.01.2020,11:00,0
04.01.2020,12:00,0
04.01.2020,13:00,0
04.01.2020,14:00,0
04.01.2020,15:00,0
04.01.2020,16:00,11
04.01.2020,17:00,16
04.01.2020,18:00,115
04.01.2020,19:00,95
04.01.2020,20:00,78
04.01.2020,21:00,115
04.01.2020,22:00,92
04.01.2020,23:00,93
05.01.2020,00:00,0
05.01.2020,01:00,0
05.01.2020,02:00,4
05.01.2020,03:00,0
05.01.2020,04:00,0
05.01.2020,05:00,0
05.01.2020,06:00,0
05.01.2020,07:00,0
05.01.2020,08:00,0
05.01.2020,09:00,0
05.01.2020,10:00,0
05.01.2020,11:00,0
05.01.2020,12:00,0
05.01.2020,13:00,0
05.01.2020,14:00,0
05.01.2020,15:00,0
05.01.2020,16:00,0
05.01.2020,17:00,0
05.01.2020,18:00,44
05.01.2020,19:00,49
05.01.2020,20:00,38
05.01.2020,21:00,60
05.01.2020,22:00,48
05.01.2020,23:00,6
06.01.2020,00:00,13
06.01.2020,01:00,0
06.01.2020,02:00,0
06.01.2020,03:00,0
06.01.2020,04:00,0
06.01.2020,05:00,0
06.01.2020,06:00,47
06.01.2020,07:00,57
06.01.2020,08:00,50
06.01.2020,09:00,56
06.01.2020,10:00,22
06.01.2020,11:00,31
06.01.2020,12:00,0
06.01.2020,13:00,0
06.01.2020,14:00,0
06.01.2020,15:00,0
06.01.2020,16:00,0
06.01.2020,17:00,77
06.01.2020,18:00,85
06.01.2020,19:00,80
06.01.2020,20:00,13
06.01.2020,21:00,0
06.01.2020,22:00,0
06.01.2020,23:00,0
07.01.2020,00:00,0
07.01.2020,01:00,0
07.01.2020,02:00,0
07.01.2020,03:00,0
07.01.2020,04:00,0
07.01.2020,05:00,0
07.01.2020,06:00,0
07.01.2020,07:00,51
07.01.2020,08:00,36
07.01.2020,09:00,77
07.01.2020,10:00,86
07.01.2020,11:00,46
07.01.2020,12:00,22
07.01.2020,13:00,26
07.01.2020,14:00,15
07.01.2020,15:00,21
07.01.2020,16:00,0
07.01.2020,17:00,72
07.01.2020,18:00,110
07.01.2020,19:00,21
07.01.2020,20:00,0
07.01.2020,21:00,0
07.01.2020,22:00,0
07.01.2020,23:00,0
08.01.2020,00:00,0
08.01.2020,01:00,0
08.01.2020,02:00,0
08.01.2020,03:00,0
08.01.2020,04:00,0
08.01.2020,05:00,0
08.01.2020,06:00,0
08.01.2020,07:00,0
08.01.2020,08:00,0
08.01.2020,09:00,0
08.01.2020,10:00,0
08.01.2020,11:00,0
08.01.2020,12:00,0
08.01.2020,13:00,0
08.01.2020,14:00,0
08.01.2020,15:00,0
08.01.2020,16:00,0
08.01.2020,17:00,11
08.01.2020,18:00,60
08.01.2020,19:00,11
08.01.2020,20:00,0
08.01.2020,21:00,0
08.01.2020,22:00,0
08.01.2020,23:00,0
09.01.2020,00:00,0
09.01.2020,01:00,0
09.01.2020,02:00,0
09.01.2020,03:00,0
09.01.2020,04:00,0
09.01.2020,05:00,0
09.01.2020,06:00,39
09.01.2020,07:00,85
09.01.2020,08:00,63
09.01.2020,09:00,0
09.01.2020,10:00,0
09.01.2020,11:00,0
09.01.2020,12:00,0
09.01.2020,13:00,0
09.01.2020,14:00,38
09.01.2020,15:00,69
09.01.2020,16:00,22
09.01.2020,17:00,26
09.01.2020,18:00,23
09.01.2020,19:00,27
09.01.2020,20:00,16
09.01.2020,21:00,0
09.01.2020,22:00,0
09.01.2020,23:00,0
10.01.2020,00:00,0
10.01.2020,01:00,0
10.01.2020,02:00,0
10.01.2020,03:00,0
10.01.2020,04:00,0
10.01.2020,05:00,0
10.01.2020,06:00,0
10.01.2020,07:00,0
10.01.2020,08:00,0
10.01.2020,09:00,0
10.01.2020,10:00,0
10.01.2020,11:00,0
10.01.2020,12:00,0
10.01.2020,13:00,0
10.01.2020,14:00,28
10.01.2020,15:00,59
10.01.2020,16:00,67
10.01.2020,17:00,1
10.01.2020,18:00,0
10.01.2020,19:00,38
10.01.2020,20:00,51
10.01.2020,21:00,78
10.01.2020,22:00,46
10.01.2020,23:00,0
11.01.2020,00:00,26
11.01.2020,01:00,0
11.01.2020,02:00,0
11.01.2020,03:00,0
11.01.2020,04:00,0
11.01.2020,05:00,0
11.01.2020,06:00,0
11.01.2020,07:00,0
11.01.2020,08:00,0
11.01.2020,09:00,0
11.01.2020,10:00,0
11.01.2020,11:00,0
11.01.2020,12:00,35
11.01.2020,13:00,11
11.01.2020,14:00,37
11.01.2020,15:00,39
11.01.2020,16:00,37
11.01.2020,17:00,35
11.01.2020,18:00,75
11.01.2020,19:00,36
11.01.2020,20:00,40
11.01.2020,21:00,28
11.01.2020,22:00,34
11.01.2020,23:00,14
12.01.2020,00:00,0
12.01.2020,01:00,0
12.01.2020,02:00,0
12.01.2020,03:00,0
12.01.2020,04:00,0
12.01.2020,05:00,0
12.01.2020,06:00,0
12.01.2020,07:00,0
12.01.2020,08:00,0
12.01.2020,09:00,0
12.01.2020,10:00,0
12.01.2020,11:00,24
12.01.2020,12:00,0
12.01.2020,13:00,0
12.01.2020,14:00,0
12.01.2020,15:00,0
12.01.2020,16:00,27
12.01.2020,17:00,15
12.01.2020,18:00,4
12.01.2020,19:00,0
12.01.2020,20:00,0
12.01.2020,21:00,0
12.01.2020,22:00,0
12.01.2020,23:00,0
13.01.2020,00:00,24
13.01.2020,01:00,57
13.01.2020,02:00,55
13.01.2020,03:00,2
13.01.2020,04:00,0
13.01.2020,05:00,0
13.01.2020,06:00,33
13.01.2020,07:00,149
13.01.2020,08:00,66
13.01.2020,09:00,92
13.01.2020,10:00,96
13.01.2020,11:00,0
13.01.2020,12:00,49
13.01.2020,13:00,8
13.01.2020,14:00,40
13.01.2020,15:00,78
13.01.2020,16:00,35
13.01.2020,17:00,19
13.01.2020,18:00,21
13.01.2020,19:00,10
13.01.2020,20:00,0
13.01.2020,21:00,28
13.01.2020,22:00,30
13.01.2020,23:00,0
14.01.2020,00:00,0
14.01.2020,01:00,0
14.01.2020,02:00,0
14.01.2020,03:00,0
14.01.2020,04:00,0
14.01.2020,05:00,0
14.01.2020,06:00,22
14.01.2020,07:00,56
14.01.2020,08:00,69
14.01.2020,09:00,45
14.01.2020,10:00,30
14.01.2020,11:00,18
14.01.2020,12:00,1
14.01.2020,13:00,0
14.01.2020,14:00,87
14.01.2020,15:00,80
14.01.2020,16:00,66
14.01.2020,17:00,58
14.01.2020,18:00,77
14.01.2020,19:00,97
14.01.2020,20:00,9
14.01.2020,21:00,2
14.01.2020,22:00,0
14.01.2020,23:00,0
15.01.2020,00:00,0
15.01.2020,01:00,0
15.01.2020,02:00,0
15.01.2020,03:00,0
15.01.2020,04:00,0
15.01.2020,05:00,0
15.01.2020,06:00,29
15.01.2020,07:00,75
15.01.2020,08:00,144
15.01.2020,09:00,167
15.01.2020,10:00,28
15.01.2020,11:00,11
15.01.2020,12:00,35
15.01.2020,13:00,50
15.01.2020,14:00,15
15.01.2020,15:00,16
15.01.2020,16:00,7
15.01.2020,17:00,2
15.01.2020,18:00,12
15.01.2020,19:00,8
15.01.2020,20:00,0
15.01.2020,21:00,0
15.01.2020,22:00,0
15.01.2020,23:00,0
