Datum,Uhrzeit,Generation_DE B[MW],Generation_DE A[MW]
01.01.2020,00:00,0,235
01.01.2020,01:00,0,238
01.01.2020,02:00,0,238
01.01.2020,03:00,0,237
01.01.2020,04:00,0,237
01.01.2020,05:00,0,239
01.01.2020,06:00,0,236
01.01.2020,07:00,0,233
01.01.2020,08:00,0,223
01.01.2020,09:00,0,221
01.01.2020,10:00,0,223
01.01.2020,11:00,0,222
01.01.2020,12:00,0,221
01.01.2020,13:00,0,222
01.01.2020,14:00,0,222
01.01.2020,15:00,0,222
01.01.2020,16:00,0,222
01.01.2020,17:00,0,220
01.01.2020,18:00,0,222
01.01.2020,19:00,0,207
01.01.2020,20:00,0,208
01.01.2020,21:00,0,208
01.01.2020,22:00,0,208
01.01.2020,23:00,0,217
02.01.2020,00:00,0,221
02.01.2020,01:00,0,222
02.01.2020,02:00,0,220
02.01.2020,03:00,0,223
02.01.2020,04:00,0,220
02.01.2020,05:00,0,222
02.01.2020,06:00,0,214
02.01.2020,07:00,0,216
02.01.2020,08:00,0,218
02.01.2020,09:00,0,217
02.01.2020,10:00,0,225
02.01.2020,11:00,0,230
02.01.2020,12:00,0,232
02.01.2020,13:00,0,245
02.01.2020,14:00,0,245
02.01.2020,15:00,0,245
02.01.2020,16:00,0,245
02.01.2020,17:00,0,245
02.01.2020,18:00,0,244
02.01.2020,19:00,0,245
02.01.2020,20:00,0,227
02.01.2020,21:00,0,213
02.01.2020,22:00,0,214
02.01.2020,23:00,0,214
03.01.2020,00:00,0,213
03.01.2020,01:00,0,214
03.01.2020,02:00,0,214
03.01.2020,03:00,0,214
03.01.2020,04:00,0,211
03.01.2020,05:00,0,213
03.01.2020,06:00,0,212
03.01.2020,07:00,0,212
03.01.2020,08:00,0,214
03.01.2020,09:00,0,212
03.01.2020,10:00,0,214
03.01.2020,11:00,0,213
03.01.2020,12:00,0,213
03.01.2020,13:00,0,214
03.01.2020,14:00,0,213
03.01.2020,15:00,0,215
03.01.2020,16:00,0,213
03.01.2020,17:00,0,213
03.01.2020,18:00,0,213
03.01.2020,19:00,0,213
03.01.2020,20:00,0,214
03.01.2020,21:00,0,213
03.01.2020,22:00,0,215
03.01.2020,23:00,0,212
04.01.2020,00:00,0,213
04.01.2020,01:00,0,214
04.01.2020,02:00,0,214
04.01.2020,03:00,0,213
04.01.2020,04:00,0,212
04.01.2020,05:00,0,213
04.01.2020,06:00,0,214
04.01.2020,07:00,0,211
04.01.2020,08:00,0,213
04.01.2020,09:00,0,212
04.01.2020,10:00,0,219
04.01.2020,11:00,0,216
04.01.2020,12:00,0,214
04.01.2020,13:00,0,213
04.01.2020,14:00,0,217
04.01.2020,15:00,0,215
04.01.2020,16:00,0,218
04.01.2020,17:00,0,213
04.01.2020,18:00,0,212
04.01.2020,19:00,0,213
04.01.2020,20:00,0,214
04.01.2020,21:00,0,212
04.01.2020,22:00,0,214
04.01.2020,23:00,0,214
05.01.2020,00:00,0,214
05.01.2020,01:00,0,213
05.01.2020,02:00,0,213
05.01.2020,03:00,0,214
05.01.2020,04:00,0,213
05.01.2020,05:00,0,213
05.01.2020,06:00,0,212
05.01.2020,07:00,0,213
05.01.2020,08:00,0,214
05.01.2020,09:00,0,214
05.01.2020,10:00,0,213
05.01.2020,11:00,0,214
05.01.2020,12:00,0,213
05.01.2020,13:00,0,211
05.01.2020,14:00,0,214
05.01.2020,15:00,0,214
05.01.2020,16:00,0,214
05.01.2020,17:00,0,212
05.01.2020,18:00,0,219
05.01.2020,19:00,0,212
05.01.2020,20:00,0,214
05.01.2020,21:00,0,213
05.01.2020,22:00,0,214
05.01.2020,23:00,0,211
06.01.2020,00:00,0,215
06.01.2020,01:00,0,214
06.01.2020,02:00,0,213
06.01.2020,03:00,0,213
06.01.2020,04:00,0,213
06.01.2020,05:00,0,213
06.01.2020,06:00,0,213
06.01.2020,07:00,0,214
06.01.2020,08:00,0,213
06.01.2020,09:00,0,214
06.01.2020,10:00,0,212
06.01.2020,11:00,0,213
06.01.2020,12:00,0,215
06.01.2020,13:00,0,213
06.01.2020,14:00,0,213
06.01.2020,15:00,0,214
06.01.2020,16:00,0,213
06.01.2020,17:00,0,226
06.01.2020,18:00,0,315
06.01.2020,19:00,0,320
06.01.2020,20:00,0,252
06.01.2020,21:00,0,223
06.01.2020,22:00,0,217
06.01.2020,23:00,0,211
07.01.2020,00:00,0,208
07.01.2020,01:00,0,211
07.01.2020,02:00,0,209
07.01.2020,03:00,0,208
07.01.2020,04:00,0,209
07.01.2020,05:00,0,209
07.01.2020,06:00,0,230
07.01.2020,07:00,0,269
07.01.2020,08:00,0,271
07.01.2020,09:00,0,295
07.01.2020,10:00,0,312
07.01.2020,11:00,0,306
07.01.2020,12:00,0,262
07.01.2020,13:00,0,266
07.01.2020,14:00,0,235
07.01.2020,15:00,0,228
07.01.2020,16:00,0,265
07.01.2020,17:00,0,268
07.01.2020,18:00,0,253
07.01.2020,19:00,0,232
07.01.2020,20:00,0,228
07.01.2020,21:00,0,235
07.01.2020,22:00,0,229
07.01.2020,23:00,0,235
08.01.2020,00:00,0,236
08.01.2020,01:00,0,235
08.01.2020,02:00,0,236
08.01.2020,03:00,0,234
08.01.2020,04:00,0,236
08.01.2020,05:00,0,235
08.01.2020,06:00,0,235
08.01.2020,07:00,0,235
08.01.2020,08:00,0,235
08.01.2020,09:00,0,235
08.01.2020,10:00,0,234
08.01.2020,11:00,0,236
08.01.2020,12:00,0,235
08.01.2020,13:00,0,235
08.01.2020,14:00,0,238
08.01.2020,15:00,0,261
08.01.2020,16:00,0,231
08.01.2020,17:00,0,282
08.01.2020,18:00,0,271
08.01.2020,19:00,0,289
08.01.2020,20:00,0,297
08.01.2020,21:00,0,294
08.01.2020,22:00,0,258
08.01.2020,23:00,0,252
09.01.2020,00:00,0,247
09.01.2020,01:00,0,248
09.01.2020,02:00,0,249
09.01.2020,03:00,0,249
09.01.2020,04:00,0,231
09.01.2020,05:00,9,227
09.01.2020,06:00,134,226
09.01.2020,07:00,184,286
09.01.2020,08:00,249,255
09.01.2020,09:00,275,246
09.01.2020,10:00,295,238
09.01.2020,11:00,242,215
09.01.2020,12:00,238,0
09.01.2020,13:00,238,0
09.01.2020,14:00,200,0
09.01.2020,15:00,186,0
09.01.2020,16:00,181,0
09.01.2020,17:00,179,0
09.01.2020,18:00,179,0
09.01.2020,19:00,180,0
09.01.2020,20:00,178,0
09.01.2020,21:00,181,0
09.01.2020,22:00,179,0
09.01.2020,23:00,180,0
10.01.2020,00:00,179,0
10.01.2020,01:00,182,0
10.01.2020,02:00,182,0
10.01.2020,03:00,179,0
10.01.2020,04:00,179,0
10.01.2020,05:00,181,0
10.01.2020,06:00,183,0
10.01.2020,07:00,267,0
10.01.2020,08:00,297,0
10.01.2020,09:00,299,0
10.01.2020,10:00,300,0
10.01.2020,11:00,300,0
10.01.2020,12:00,284,0
10.01.2020,13:00,266,0
10.01.2020,14:00,266,0
10.01.2020,15:00,268,0
10.01.2020,16:00,269,0
10.01.2020,17:00,284,0
10.01.2020,18:00,300,0
10.01.2020,19:00,299,0
10.01.2020,20:00,295,0
10.01.2020,21:00,247,0
10.01.2020,22:00,262,0
10.01.2020,23:00,226,0
11.01.2020,00:00,199,0
11.01.2020,01:00,200,0
11.01.2020,02:00,198,0
11.01.2020,03:00,196,0
11.01.2020,04:00,197,0
11.01.2020,05:00,201,0
11.01.2020,06:00,200,0
11.01.2020,07:00,193,0
11.01.2020,08:00,187,0
11.01.2020,09:00,193,0
11.01.2020,10:00,204,0
11.01.2020,11:00,204,0
11.01.2020,12:00,199,0
11.01.2020,13:00,198,0
11.01.2020,14:00,195,0
11.01.2020,15:00,189,0
11.01.2020,16:00,184,0
11.01.2020,17:00,183,0
11.01.2020,18:00,177,0
11.01.2020,19:00,176,0
11.01.2020,20:00,174,0
11.01.2020,21:00,174,0
11.01.2020,22:00,177,0
11.01.2020,23:00,177,0
12.01.2020,00:00,184,0
12.01.2020,01:00,194,0
12.01.2020,02:00,193,0
12.01.2020,03:00,197,0
12.01.2020,04:00,198,0
12.01.2020,05:00,198,0
12.01.2020,06:00,210,0
12.01.2020,07:00,215,0
12.01.2020,08:00,212,0
12.01.2020,09:00,204,0
12.01.2020,10:00,197,0
12.01.2020,11:00,199,0
12.01.2020,12:00,196,0
12.01.2020,13:00,202,0
12.01.2020,14:00,203,0
12.01.2020,15:00,200,0
12.01.2020,16:00,196,0
12.01.2020,17:00,197,0
12.01.2020,18:00,198,0
12.01.2020,19:00,199,0
12.01.2020,20:00,198,0
12.01.2020,21:00,192,0
12.01.2020,22:00,189,0
12.01.2020,23:00,192,0
13.01.2020,00:00,183,0
13.01.2020,01:00,184,0
13.01.2020,02:00,187,0
13.01.2020,03:00,186,0
13.01.2020,04:00,186,0
13.01.2020,05:00,186,0
13.01.2020,06:00,193,0
13.01.2020,07:00,288,0
13.01.2020,08:00,314,0
13.01.2020,09:00,314,0
13.01.2020,10:00,318,0
13.01.2020,11:00,318,0
13.01.2020,12:00,319,0
13.01.2020,13:00,321,0
13.01.2020,14:00,320,0
13.01.2020,15:00,319,0
13.01.2020,16:00,297,0
13.01.2020,17:00,314,0
13.01.2020,18:00,289,0
13.01.2020,19:00,193,0
13.01.2020,20:00,182,0
13.01.2020,21:00,173,0
13.01.2020,22:00,197,0
13.01.2020,23:00,186,0
14.01.2020,00:00,185,0
14.01.2020,01:00,184,0
14.01.2020,02:00,186,0
14.01.2020,03:00,184,0
14.01.2020,04:00,187,0
14.01.2020,05:00,185,0
14.01.2020,06:00,186,0
14.01.2020,07:00,183,0
14.01.2020,08:00,184,0
14.01.2020,09:00,184,0
14.01.2020,10:00,184,0
14.01.2020,11:00,183,0
14.01.2020,12:00,185,0
14.01.2020,13:00,186,0
14.01.2020,14:00,179,0
14.01.2020,15:00,163,0
14.01.2020,16:00,159,0
14.01.2020,17:00,160,0
14.01.2020,18:00,160,0
14.01.2020,19:00,158,0
14.01.2020,20:00,161,0
14.01.2020,21:00,162,0
14.01.2020,22:00,170,0
14.01.2020,23:00,171,0
15.01.2020,00:00,171,0
15.01.2020,01:00,171,0
15.01.2020,02:00,172,0
15.01.2020,03:00,171,0
15.01.2020,04:00,170,0
15.01.2020,05:00,170,0
15.01.2020,06:00,173,0
15.01.2020,07:00,173,0
15.01.2020,08:00,171,0
15.01.2020,09:00,171,0
15.01.2020,10:00,171,0
15.01.2020,11:00,171,0
15.01.2020,12:00,171,0
15.01.2020,13:00,169,0
15.01.2020,14:00,165,0
15.01.2020,15:00,201,0
15.01.2020,16:00,209,0
15.01.2020,17:00,190,0
15.01.2020,18:00,190,0
15.01.2020,19:00,190,0
15.01.2020,20:00,188,6
15.01.2020,21:00,184,157
15.01.2020,22:00,182,223
15.01.2020,23:00,180,252
16.01.2020,00:00,182,250
16.01.2020,01:00,197,241
16.01.2020,02:00,96,233
16.01.2020,03:00,0,223
16.01.2020,04:00,0,222
16.01.2020,05:00,0,223
16.01.2020,06:00,0,241
16.01.2020,07:00,0,294
16.01.2020,08:00,0,333
16.01.2020,09:00,0,333
16.01.2020,10:00,0,333
16.01.2020,11:00,0,333
16.01.2020,12:00,0,246
16.01.2020,13:00,0,209
16.01.2020,14:00,0,214
16.01.2020,15:00,0,305
16.01.2020,16:00,0,329
16.01.2020,17:00,0,324
16.01.2020,18:00,0,280
16.01.2020,19:00,0,219
16.01.2020,20:00,0,216
16.01.2020,21:00,0,218
16.01.2020,22:00,0,227
16.01.2020,23:00,0,226
17.01.2020,00:00,0,226
17.01.2020,01:00,0,226
17.01.2020,02:00,0,243
17.01.2020,03:00,0,283
17.01.2020,04:00,0,291
17.01.2020,05:00,0,282
17.01.2020,06:00,169,262
17.01.2020,07:00,231,266
17.01.2020,08:00,235,266
17.01.2020,09:00,236,272
17.01.2020,10:00,231,56
17.01.2020,11:00,196,0
17.01.2020,12:00,184,0
17.01.2020,13:00,175,0
17.01.2020,14:00,172,0
17.01.2020,15:00,171,0
17.01.2020,16:00,170,0
17.01.2020,17:00,169,0
17.01.2020,18:00,173,0
17.01.2020,19:00,173,0
17.01.2020,20:00,168,0
17.01.2020,21:00,170,0
17.01.2020,22:00,171,0
17.01.2020,23:00,170,0
18.01.2020,00:00,172,0
18.01.2020,01:00,170,0
18.01.2020,02:00,171,0
18.01.2020,03:00,170,0
18.01.2020,04:00,171,0
18.01.2020,05:00,170,0
18.01.2020,06:00,171,0
18.01.2020,07:00,172,0
18.01.2020,08:00,170,0
18.01.2020,09:00,154,0
18.01.2020,10:00,161,0
18.01.2020,11:00,159,0
18.01.2020,12:00,160,0
18.01.2020,13:00,159,0
18.01.2020,14:00,158,0
18.01.2020,15:00,162,0
18.01.2020,16:00,159,0
18.01.2020,17:00,160,0
18.01.2020,18:00,159,0
18.01.2020,19:00,159,0
18.01.2020,20:00,172,0
18.01.2020,21:00,169,0
18.01.2020,22:00,169,0
18.01.2020,23:00,193,0
19.01.2020,00:00,213,0
19.01.2020,01:00,212,0
19.01.2020,02:00,214,0
19.01.2020,03:00,212,0
19.01.2020,04:00,211,0
19.01.2020,05:00,210,0
19.01.2020,06:00,210,0
19.01.2020,07:00,190,0
19.01.2020,08:00,170,0
19.01.2020,09:00,164,0
19.01.2020,10:00,163,0
19.01.2020,11:00,162,0
19.01.2020,12:00,162,0
19.01.2020,13:00,161,0
19.01.2020,14:00,160,0
19.01.2020,15:00,162,0
19.01.2020,16:00,163,0
19.01.2020,17:00,165,0
19.01.2020,18:00,289,0
19.01.2020,19:00,308,0
19.01.2020,20:00,309,0
19.01.2020,21:00,299,0
19.01.2020,22:00,198,0
19.01.2020,23:00,209,0
20.01.2020,00:00,173,0
20.01.2020,01:00,170,0
20.01.2020,02:00,168,0
20.01.2020,03:00,171,0
20.01.2020,04:00,167,0
20.01.2020,05:00,172,0
20.01.2020,06:00,171,0
20.01.2020,07:00,171,0
20.01.2020,08:00,286,0
20.01.2020,09:00,307,0
