Datum,Uhrzeit,Generation_DE B[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE E[MW],Generation_DE D[MW]
01.01.2020,00:00,0,180,0,0,0
01.01.2020,01:00,0,147,0,0,0
01.01.2020,02:00,0,151,0,0,0
01.01.2020,03:00,0,217,0,0,0
01.01.2020,04:00,0,215,0,0,0
01.01.2020,05:00,0,212,0,0,0
01.01.2020,06:00,0,215,0,0,0
01.01.2020,07:00,0,217,0,0,0
01.01.2020,08:00,0,249,0,0,0
01.01.2020,09:00,0,253,0,0,0
01.01.2020,10:00,0,261,0,0,0
01.01.2020,11:00,0,261,0,0,0
01.01.2020,12:00,0,285,0,0,0
01.01.2020,13:00,0,293,0,0,0
01.01.2020,14:00,0,288,0,0,0
01.01.2020,15:00,0,287,0,0,0
01.01.2020,16:00,0,292,0,0,0
01.01.2020,17:00,0,296,0,0,0
01.01.2020,18:00,0,289,0,0,0
01.01.2020,19:00,0,287,0,0,0
01.01.2020,20:00,0,286,0,0,0
01.01.2020,21:00,0,291,0,0,0
01.01.2020,22:00,0,301,0,0,0
01.01.2020,23:00,0,300,0,0,0
02.01.2020,00:00,0,235,0,0,0
02.01.2020,01:00,0,198,0,0,0
02.01.2020,02:00,0,196,0,0,0
02.01.2020,03:00,0,197,0,0,0
02.01.2020,04:00,0,197,0,0,0
02.01.2020,05:00,0,156,0,0,0
02.01.2020,06:00,0,188,0,0,0
02.01.2020,07:00,0,186,0,0,0
02.01.2020,08:00,0,204,0,0,0
02.01.2020,09:00,0,207,0,0,0
02.01.2020,10:00,0,205,0,0,0
02.01.2020,11:00,0,206,0,0,0
02.01.2020,12:00,0,207,0,0,0
02.01.2020,13:00,0,250,0,0,0
02.01.2020,14:00,0,278,0,0,0
02.01.2020,15:00,0,279,0,0,0
02.01.2020,16:00,0,282,0,0,0
02.01.2020,17:00,0,281,0,0,0
02.01.2020,18:00,0,281,0,0,0
02.01.2020,19:00,0,279,0,0,0
02.01.2020,20:00,0,272,0,0,0
02.01.2020,21:00,0,264,0,0,0
02.01.2020,22:00,0,235,0,0,0
02.01.2020,23:00,0,159,0,0,0
03.01.2020,00:00,0,124,0,0,0
03.01.2020,01:00,0,126,0,0,0
03.01.2020,02:00,0,126,0,0,0
03.01.2020,03:00,0,127,0,0,0
03.01.2020,04:00,0,127,0,0,0
03.01.2020,05:00,7,165,0,0,0
03.01.2020,06:00,58,240,0,0,0
03.01.2020,07:00,140,176,0,0,0
03.01.2020,08:00,164,161,0,0,0
03.01.2020,09:00,176,138,0,0,0
03.01.2020,10:00,167,148,0,0,0
03.01.2020,11:00,166,145,0,0,0
03.01.2020,12:00,166,148,0,0,0
03.01.2020,13:00,175,147,0,0,0
03.01.2020,14:00,177,146,0,0,0
03.01.2020,15:00,176,149,0,0,0
03.01.2020,16:00,177,148,0,0,0
03.01.2020,17:00,176,151,0,0,0
03.01.2020,18:00,176,150,0,0,0
03.01.2020,19:00,175,148,0,0,0
03.01.2020,20:00,174,145,0,0,0
03.01.2020,21:00,164,139,0,0,0
03.01.2020,22:00,131,125,0,0,0
03.01.2020,23:00,121,126,0,0,0
04.01.2020,00:00,122,125,0,0,0
04.01.2020,01:00,122,127,0,0,0
04.01.2020,02:00,134,130,0,0,0
04.01.2020,03:00,137,129,0,0,0
04.01.2020,04:00,132,128,0,0,0
04.01.2020,05:00,127,128,0,0,0
04.01.2020,06:00,127,129,0,0,0
04.01.2020,07:00,159,147,0,0,0
04.01.2020,08:00,166,147,0,0,0
04.01.2020,09:00,169,147,0,0,0
04.01.2020,10:00,176,149,0,0,0
04.01.2020,11:00,175,147,0,0,0
04.01.2020,12:00,175,147,0,0,0
04.01.2020,13:00,175,146,0,0,0
04.01.2020,14:00,178,150,0,0,0
04.01.2020,15:00,261,246,0,0,0
04.01.2020,16:00,270,246,0,0,0
04.01.2020,17:00,187,158,0,0,0
04.01.2020,18:00,175,151,0,0,0
04.01.2020,19:00,175,148,0,0,0
04.01.2020,20:00,156,128,0,0,0
04.01.2020,21:00,126,126,0,0,0
04.01.2020,22:00,135,128,0,0,0
04.01.2020,23:00,138,129,0,0,0
05.01.2020,00:00,137,129,0,0,0
05.01.2020,01:00,136,128,0,0,0
05.01.2020,02:00,136,128,0,0,0
05.01.2020,03:00,136,127,0,0,0
05.01.2020,04:00,136,129,0,0,0
05.01.2020,05:00,136,128,0,0,0
05.01.2020,06:00,164,129,0,0,0
05.01.2020,07:00,167,148,0,0,0
05.01.2020,08:00,156,142,0,0,0
05.01.2020,09:00,162,141,0,0,0
05.01.2020,10:00,161,143,0,0,0
05.01.2020,11:00,161,142,0,0,0
05.01.2020,12:00,160,142,0,0,0
05.01.2020,13:00,161,142,0,0,0
05.01.2020,14:00,160,143,0,0,0
