Datum,Uhrzeit,Generation_DE Block 2 Tiefstack[MW],Generation_DE Gas0und0Dampfturbinen Tiefstack[MW]
01.01.2020,00:00,147,0
01.01.2020,01:00,147,0
01.01.2020,02:00,147,0
01.01.2020,03:00,148,0
01.01.2020,04:00,148,0
01.01.2020,05:00,147,0
01.01.2020,06:00,145,0
01.01.2020,07:00,145,0
01.01.2020,08:00,147,0
01.01.2020,09:00,143,0
01.01.2020,10:00,141,0
01.01.2020,11:00,143,0
01.01.2020,12:00,145,0
01.01.2020,13:00,146,0
01.01.2020,14:00,145,0
01.01.2020,15:00,145,0
01.01.2020,16:00,144,0
01.01.2020,17:00,144,0
01.01.2020,18:00,145,0
01.01.2020,19:00,145,0
01.01.2020,20:00,146,0
01.01.2020,21:00,146,0
01.01.2020,22:00,147,0
01.01.2020,23:00,148,0
02.01.2020,00:00,146,0
02.01.2020,01:00,147,0
02.01.2020,02:00,145,0
02.01.2020,03:00,145,0
02.01.2020,04:00,146,0
02.01.2020,05:00,147,0
02.01.2020,06:00,146,0
02.01.2020,07:00,146,0
02.01.2020,08:00,146,0
02.01.2020,09:00,146,0
02.01.2020,10:00,146,0
02.01.2020,11:00,147,0
02.01.2020,12:00,147,0
02.01.2020,13:00,147,0
02.01.2020,14:00,147,0
02.01.2020,15:00,147,0
02.01.2020,16:00,149,0
02.01.2020,17:00,147,0
02.01.2020,18:00,146,0
02.01.2020,19:00,146,0
02.01.2020,20:00,148,0
02.01.2020,21:00,151,0
02.01.2020,22:00,153,0
02.01.2020,23:00,146,0
03.01.2020,00:00,143,0
03.01.2020,01:00,143,0
03.01.2020,02:00,144,0
03.01.2020,03:00,132,0
03.01.2020,04:00,133,0
03.01.2020,05:00,146,0
03.01.2020,06:00,144,0
03.01.2020,07:00,139,0
03.01.2020,08:00,139,0
03.01.2020,09:00,139,0
03.01.2020,10:00,141,0
03.01.2020,11:00,145,0
03.01.2020,12:00,147,0
03.01.2020,13:00,147,0
03.01.2020,14:00,149,0
03.01.2020,15:00,150,0
03.01.2020,16:00,146,0
03.01.2020,17:00,147,0
03.01.2020,18:00,148,0
03.01.2020,19:00,147,0
03.01.2020,20:00,147,0
03.01.2020,21:00,151,0
