,Hours,produced_total,given_p_total,consumed_total,Nettoexport
0,0,22172.0,,42336,-1029
1,1,21896.0,,41187,-1024
2,2,21820.0,39017.0,40399,-1390
3,3,21930.0,39118.0,38919,-578
4,4,21903.0,39330.0,38879,-326
5,5,21888.0,39402.0,39163,46
6,6,21851.0,39295.0,37511,2452
7,7,22039.0,39499.0,37893,3384
8,8,22760.0,40210.0,38679,2917
9,9,23008.0,43248.0,41091,3745
10,10,23075.0,46945.0,43095,4178
11,11,22792.0,49592.0,45249,4256
12,12,22724.0,50897.0,46499,5005
13,13,22717.0,50581.0,46328,5785
14,14,23880.0,48744.0,45115,5022
15,15,24655.0,45260.0,45039,2148
16,16,24659.0,44185.0,47314,-927
17,17,26385.0,48349.0,51195,-1000
18,18,26444.0,51211.0,51755,1141
19,19,25621.0,51178.0,50732,1898
20,20,25569.0,51046.0,48592,4150
21,21,24464.0,49718.0,47665,3851
22,22,24524.0,48599.0,46995,3832
23,23,23729.0,46898.0,44106,4535
24,24,23325.0,45434.0,42548,2984
25,25,23210.0,44932.0,41195,3122
26,26,23001.0,44594.0,40773,2951
27,27,22479.0,43507.0,40796,1377
28,28,21190.0,42472.0,41776,-297
29,29,21991.0,43869.0,43961,1564
30,30,23293.0,46608.0,47851,-294
31,31,25813.0,50901.0,52827,-59
32,32,27716.0,55062.0,56329,1340
33,33,27538.0,58103.0,58781,2004
34,34,26641.0,60265.0,59589,3206
35,35,26007.0,59874.0,60170,2550
36,36,26103.0,59422.0,60787,1636
37,37,26273.0,58234.0,60273,1109
38,38,25513.0,56121.0,59483,-444
39,39,25215.0,53762.0,59173,-2338
40,40,25164.0,54275.0,60092,-3468
41,41,26223.0,58176.0,62599,-1926
42,42,27282.0,60990.0,62923,1297
43,43,26504.0,60513.0,61933,2089
44,44,25461.0,60271.0,58422,5288
45,45,24277.0,58636.0,55661,6168
46,46,23524.0,57363.0,54103,5984
47,47,20414.0,54847.0,50733,6241
48,48,20139.0,55487.0,47642,7716
49,49,19192.0,55934.0,46072,8491
50,50,18481.0,55973.0,45485,9389
51,51,18177.0,56532.0,45301,9340
52,52,18123.0,57520.0,46072,9281
53,53,18320.0,58887.0,47895,9765
54,54,18872.0,61432.0,51787,10565
55,55,20512.0,64199.0,55935,10632
56,56,22857.0,67472.0,59496,10585
57,57,22226.0,67829.0,60889,10470
58,58,22209.0,69384.0,61751,10527
59,59,22673.0,70523.0,63205,10811
60,60,23458.0,70461.0,63230,10772
61,61,22942.0,68625.0,61577,10046
62,62,22496.0,67270.0,60450,9377
63,63,22850.0,67581.0,59983,9439
64,64,23569.0,69052.0,60758,10343
65,65,23701.0,70202.0,62491,9706
66,66,22571.0,70989.0,62157,10928
67,67,21907.0,69617.0,60932,10831
68,68,20415.0,67248.0,56911,11861
69,69,19718.0,64732.0,53806,12565
70,70,19222.0,62980.0,52541,11957
71,71,18345.0,61533.0,49360,13021
72,72,17083.0,59507.0,46772,13419
73,73,17025.0,58073.0,45003,13234
74,74,17519.0,57081.0,44345,12440
75,75,17712.0,56627.0,43801,10622
76,76,17092.0,57266.0,44502,10295
77,77,17518.0,59514.0,45049,11722
78,78,17607.0,61843.0,46138,12736
79,79,17742.0,63152.0,48877,12843
80,80,18576.0,65280.0,51876,14076
81,81,18990.0,68203.0,55338,14059
82,82,18233.0,69659.0,57584,12863
83,83,18688.0,72481.0,59444,14545
84,84,19070.0,73094.0,59873,14446
85,85,18874.0,72263.0,58500,14605
86,86,19456.0,70851.0,57625,13685
87,87,19846.0,69097.0,56651,12771
88,88,20978.0,69724.0,58144,12440
89,89,22481.0,70129.0,60437,11035
90,90,23172.0,69503.0,59972,11217
91,91,23151.0,67258.0,58093,10877
92,92,23362.0,63779.0,54604,10526
93,93,23147.0,60198.0,52029,10039
94,94,24182.0,58011.0,50723,9488
95,95,23196.0,53959.0,47995,8055
96,96,22467.0,49602.0,44881,6154
97,97,22276.0,47447.0,42639,5870
98,98,21969.0,45437.0,41865,5187
99,99,22061.0,44816.0,40753,4900
100,100,22226.0,43905.0,40755,3957
101,101,22318.0,43690.0,40410,4033
102,102,22570.0,43910.0,39751,5014
103,103,23221.0,44186.0,41954,4334
104,104,23791.0,44396.0,43752,2604
105,105,24280.0,46646.0,47045,1430
106,106,24694.0,48948.0,50398,188
107,107,25201.0,50761.0,52745,-88
108,108,25044.0,50793.0,52825,-369
109,109,25096.0,50161.0,51568,358
110,110,25293.0,48918.0,50470,264
111,111,25730.0,49382.0,50177,902
112,112,25949.0,50555.0,51652,455
113,113,27500.0,54598.0,55601,981
114,114,28557.0,56745.0,56413,2461
115,115,28251.0,56982.0,54808,4497
116,116,27424.0,56321.0,52478,6044
117,117,26370.0,55055.0,50973,6269
118,118,25918.0,54243.0,50439,6461
119,119,24772.0,53041.0,47399,7358
120,120,24311.0,52593.0,45226,7269
121,121,23901.0,51611.0,43646,6034
122,122,24019.0,51274.0,42812,6563
123,123,23771.0,50664.0,43214,5466
124,124,24511.0,51494.0,44464,5235
125,125,25940.0,52975.0,47111,5600
126,126,27628.0,54378.0,51822,4796
127,127,29615.0,56139.0,57075,2428
128,128,31830.0,58617.0,59509,1987
129,129,31967.0,60791.0,61131,2665
130,130,31223.0,62024.0,62337,2440
131,131,30392.0,62623.0,63191,2042
132,132,30557.0,63888.0,63404,3065
133,133,30392.0,62786.0,62372,2691
134,134,30855.0,61442.0,61578,2654
135,135,31050.0,58843.0,61264,583
136,136,31657.0,59076.0,62277,13
137,137,33506.0,63770.0,66018,1171
138,138,33613.0,65379.0,66215,2744
139,139,33480.0,66066.0,64831,5059
140,140,31303.0,63854.0,61349,5939
141,141,29432.0,62149.0,58822,6505
142,142,28599.0,61494.0,56577,7930
143,143,26845.0,59724.0,52904,7421
144,144,26618.0,59419.0,50709,9425
145,145,26562.0,59105.0,49617,9532
146,146,25918.0,57994.0,48105,8852
147,147,25332.0,57716.0,48554,8187
148,148,26186.0,58603.0,50055,7354
149,149,28029.0,60547.0,53241,7136
150,150,32270.0,64862.0,60420,6435
151,151,37091.0,69308.0,66528,5849
152,152,38465.0,69718.0,69198,3674
153,153,39703.0,70231.0,69408,3930
154,154,39421.0,68403.0,69895,1983
155,155,38846.0,67323.0,70089,383
156,156,37623.0,67320.0,69367,106
157,157,36619.0,68043.0,69465,791
158,158,36756.0,68874.0,68855,2564
159,159,36326.0,67305.0,68089,2084
160,160,36630.0,68071.0,68574,2310
161,161,37805.0,72340.0,70913,4391
162,162,37008.0,73638.0,70678,6043
163,163,34914.0,72855.0,68991,6777
164,164,32455.0,71308.0,65235,8444
165,165,29717.0,68799.0,61997,7791
166,166,28204.0,66670.0,59031,9159
167,167,24369.0,63286.0,55344,8562
168,168,21758.0,62070.0,52693,9022
169,169,21186.0,62232.0,51191,9856
170,170,20610.0,62121.0,50409,9503
171,171,20624.0,61951.0,50722,8930
172,172,21169.0,62130.0,51914,8909
173,173,23502.0,64854.0,55304,8236
174,174,26759.0,68984.0,62245,7646
175,175,32259.0,76572.0,68822,9749
176,176,34217.0,78669.0,71946,9232
177,177,34819.0,79815.0,71866,10089
178,178,35670.0,81185.0,72734,10480
179,179,36444.0,81595.0,72968,10386
180,180,36327.0,79059.0,72631,8917
181,181,36866.0,77081.0,72026,7583
182,182,36975.0,75326.0,70682,7088
183,183,38753.0,74393.0,69730,6856
184,184,38680.0,71320.0,69482,4275
185,185,39541.0,70792.0,70845,2403
186,186,40261.0,69780.0,70155,2384
187,187,39840.0,67766.0,68282,2256
188,188,39176.0,65446.0,64281,3971
189,189,37974.0,62037.0,60511,3850
190,190,36399.0,58760.0,57517,2924
191,191,33799.0,55292.0,53154,3864
192,192,32224.0,51056.0,49321,2652
193,193,31135.0,48946.0,47329,2226
194,194,30426.0,48158.0,47094,411
195,195,29583.0,48167.0,47423,-678
196,196,28696.0,48702.0,49340,-1324
197,197,29760.0,52359.0,53630,598
198,198,32658.0,59459.0,62226,1372
199,199,35023.0,66528.0,67998,2116
200,200,34565.0,69919.0,70414,3346
201,201,32580.0,71668.0,70887,3662
202,202,31139.0,74199.0,71591,5546
