,fossile_fuel,nuclear,renewable,storage
Bergkamen_202001010000_202004302345_28,1,0,0,0
Boxberg_202001010000_202004302345_71,1,0,0,0
Braunkohlekraftwerk_Lippendorf_202001010000_202004302345_136,1,0,0,0
Brokdorf_202001010000_202004302345_150,0,1,0,0
Burghausen_GT_202001010000_202004302345_36,1,0,0,0
Buschhaus_202001010000_202004302345_146,1,0,0,0
Cuno_Heizkraftwerk_Herdecke_202001010000_202004302345_17,1,0,0,0
Datteln_202001010000_202004302345_156,1,0,0,0
Dormagen_202001010000_202004302345_70,1,0,0,0
Duisburg_Hamborn_202001010000_202004302345_43,1,0,0,0
Duisburg_Heizkraftwerk_III_202001010000_202004302345_18,1,0,0,0
Duisburg_Ruhrort_202001010000_202004302345_5,1,0,0,0
E0Werk_Wilhelmshaven_202001010000_202004302345_79,1,0,0,0
Emsland_202001010000_202004302345_87,1,0,0,0
Farge_202001010000_202004302345_52,1,0,0,0
Franken_1_202001010000_202004302345_104,1,0,0,0
Gas0und0Dampfturbinen_Kraftwerk_Mitte_202001010000_202004302345_49,1,0,0,0
Gaskraftwerk_Irsching_202001010000_202004302345_97,1,0,0,0
Gemeinschaftskernkraftwerk_Neckarwestheim_II_202001010000_202004302345_44,0,1,0,0
Gersteinwerk_202001010000_202004302345_147,0,0,0,0
GKH_St_cken_202001010000_202004302345_54,1,0,0,0
Goldisthal_202001010000_202004302345_108,0,0,0,1
Grohnde_202001010000_202004302345_148,0,1,0,0
Heizkraftwerk_Altbach_Deizisau_202001010000_202004302345_10,1,0,0,0
Heizkraftwerk_Dresden0Nossener_Br_cke_202001010000_202004302345_92,1,0,0,0
Heizkraftwerk_Heilbronn_202001010000_202004302345_62,1,0,0,0
Heizkraftwerk_Lausward_202001010000_202004302345_74,1,0,0,0
Heizkraftwerk_Leipzig0Nord_202001010000_202004302345_80,1,0,0,0
Heizkraftwerk_Merkenich_202001010000_202004302345_102,1,0,0,0
Heizkraftwerk_M_nchen_S_d_GUD1__202001010000_202004302345_9,1,0,0,0
Heizkraftwerk_M_nchen_S_d_GUD2_202001010000_202004302345_141,1,0,0,0
Heizkraftwerk_Niehl_202001010000_202004302345_93,1,0,0,0
Heizkraftwerk_R_merbr_cke_202001010000_202004302345_73,1,0,0,0
Heizkraftwerk_West_Wolfsburg_202001010000_202004302345_124,1,0,0,0
Heizkraftwerk_West__Frankfurt__202001010000_202004302345_67,1,0,0,0
Heyden_202001010000_202004302345_140,1,0,0,0
Huntorf_202001010000_202004302345_30,1,0,0,0
Ibbenb_ren_202001010000_202004302345_114,1,0,0,0
IKS_PCK_Schwedt_202001010000_202004302345_89,1,0,0,0
Isar_2_202001010000_202004302345_66,1,0,0,0
Kernkraftwerk_Emsland_202001010000_202004302345_138,0,1,0,0
Kernkraft_Gundremmingen__202001010000_202004302345_116,0,1,0,0
Klingenberg_202001010000_202004302345_48,0,1,0,0
Knapsack_Gas_II_202001010000_202004302345_103,1,0,0,0
Knapsack_Gas_I_202001010000_202004302345_113,1,0,0,0
KNG_Kraftwerk_Rostock_202001010000_202004302345_35,1,0,0,0
Koepchenwerk_202001010000_202004302345_134,0,0,0,1
Kraftwerk_BASF_Ludwigshafen_Mitte_202001010000_202004302345_20,1,0,0,0
Kraftwerk_BASF_Ludwigshafen_S_d_202001010000_202004302345_42,1,0,0,0
Kraftwerk_Bexbach_202001010000_202004302345_154,1,0,0,0
Kraftwerk_Bremer_Hafen_202001010000_202004302345_83,1,0,0,0
Kraftwerk_Hastedt_202001010000_202004302345_118,1,0,0,0
Kraftwerk_Herne_202001010000_202004302345_115,1,0,0,0
Kraftwerk_Ingolstadt_202001010000_202004302345_100,1,0,0,0
Kraftwerk_J_nschwalde_202001010000_202004302345_153,1,0,0,0
Kraftwerk_Mainz_202001010000_202004302345_50,1,0,0,0
Kraftwerk_Mittelsb_ren_202001010000_202004302345_4,1,0,0,0
Kraftwerk_Rheinfelden_202001010000_202004302345_78,,0,1,0
Kraftwerk_Walheim_202001010000_202004302345_85,1,0,0,0
Kraftwerk_Walsum_202001010000_202004302345_94,1,0,0,0
KWH_Hannover_202001010000_202004302345_53,1,0,0,0
KWM_Mehrum_202001010000_202004302345_107,1,0,0,0
K_stenkraftwerk_KIEL_202001010000_202004302345_72,1,0,0,0
Markersbach_202001010000_202004302345_121,,0,0,1
