Datum,Uhrzeit,Physikalischer Nettoexport[MWh],Niederlande (Export)[MWh],Niederlande (Import)[MWh],Schweiz (Export)[MWh],Schweiz (Import)[MWh],Dänemark (Export)[MWh],Dänemark (Import)[MWh],Tschechien (Export)[MWh],Tschechien (Import)[MWh],Luxemburg (Export)[MWh],Luxemburg (Import)[MWh],Schweden (Export)[MWh],Schweden (Import)[MWh],Österreich (Export)[MWh],Österreich (Import)[MWh],Frankreich (Export)[MWh],Frankreich (Import)[MWh],Polen (Export)[MWh],Polen (Import)[MWh]
01.01.2020,00:00,-1029,592,-570,1982,0,0,-1896,58,-1077,379,0,0,-607,964,-522,0,-795,602,-139
01.01.2020,01:00,-1024,660,-177,1589,0,0,-1932,0,-1172,371,0,0,-608,1031,-493,0,-1077,784,0
01.01.2020,02:00,-1390,892,-1,1507,0,0,-2006,0,-1504,358,0,0,-607,965,-562,0,-971,539,0
01.01.2020,03:00,-578,894,0,1591,0,0,-1857,0,-975,350,0,0,-608,981,-346,0,-1370,762,0
01.01.2020,04:00,-326,727,0,1284,0,0,-1675,27,-715,350,0,0,-608,1018,-135,0,-1575,976,0
01.01.2020,05:00,46,1159,0,1400,0,0,-1731,17,-717,353,0,0,-609,1010,-179,0,-1604,947,0
01.01.2020,06:00,2452,1795,0,1671,0,0,-1063,135,-787,315,0,0,-608,1194,-181,0,-1078,1059,0
01.01.2020,07:00,3384,2340,0,1830,0,0,-1200,162,-842,325,0,0,-608,1251,-210,0,-615,951,0
01.01.2020,08:00,2917,2896,0,1554,0,0,-1922,174,-883,326,0,0,-608,1225,-354,0,-454,963,0
01.01.2020,09:00,3745,3126,0,1858,-40,0,-1780,8,-985,331,0,0,-608,1472,-323,20,-183,849,0
01.01.2020,10:00,4178,3211,0,1561,-104,0,-1589,3,-827,340,0,0,-608,1641,-279,180,-193,842,0
01.01.2020,11:00,4256,3366,0,1285,-183,0,-1824,8,-848,368,0,0,-608,1764,-280,415,-35,828,0
01.01.2020,12:00,5005,3420,0,1624,-232,0,-1905,119,-761,392,0,0,-607,1904,-359,675,0,735,0
01.01.2020,13:00,5785,3626,0,1405,-211,0,-1828,240,-575,390,0,0,-607,1990,-217,755,0,817,0
