Datum,Uhrzeit,Gesamt[MWh]
01.01.2020,00:00,10696
01.01.2020,00:15,10594
01.01.2020,00:30,10526
01.01.2020,00:45,10520
01.01.2020,01:00,10434
01.01.2020,01:15,10300
01.01.2020,01:30,10253
01.01.2020,01:45,10200
01.01.2020,02:00,10162
01.01.2020,02:15,10110
01.01.2020,02:30,10078
01.01.2020,02:45,10049
01.01.2020,03:00,9836
01.01.2020,03:15,9728
01.01.2020,03:30,9691
01.01.2020,03:45,9664
01.01.2020,04:00,9777
01.01.2020,04:15,9704
01.01.2020,04:30,9701
01.01.2020,04:45,9697
01.01.2020,05:00,9869
01.01.2020,05:15,9789
01.01.2020,05:30,9788
01.01.2020,05:45,9717
01.01.2020,06:00,9415
01.01.2020,06:15,9361
01.01.2020,06:30,9353
01.01.2020,06:45,9382
01.01.2020,07:00,9451
01.01.2020,07:15,9503
01.01.2020,07:30,9466
01.01.2020,07:45,9473
01.01.2020,08:00,9552
01.01.2020,08:15,9613
01.01.2020,08:30,9686
01.01.2020,08:45,9828
01.01.2020,09:00,10020
01.01.2020,09:15,10182
01.01.2020,09:30,10334
01.01.2020,09:45,10555
01.01.2020,10:00,10618
01.01.2020,10:15,10716
01.01.2020,10:30,10821
01.01.2020,10:45,10940
01.01.2020,11:00,11136
01.01.2020,11:15,11284
01.01.2020,11:30,11395
01.01.2020,11:45,11434
01.01.2020,12:00,11607
01.01.2020,12:15,11638
01.01.2020,12:30,11612
01.01.2020,12:45,11642
01.01.2020,13:00,11612
01.01.2020,13:15,11571
01.01.2020,13:30,11595
01.01.2020,13:45,11550
01.01.2020,14:00,11387
01.01.2020,14:15,11330
01.01.2020,14:30,11190
01.01.2020,14:45,11208
01.01.2020,15:00,11305
01.01.2020,15:15,11248
01.01.2020,15:30,11242
01.01.2020,15:45,11244
01.01.2020,16:00,11427
01.01.2020,16:15,11630
01.01.2020,16:30,11945
01.01.2020,16:45,12312
01.01.2020,17:00,12659
01.01.2020,17:15,12746
01.01.2020,17:30,12883
01.01.2020,17:45,12907
01.01.2020,18:00,12988
01.01.2020,18:15,12950
01.01.2020,18:30,12967
01.01.2020,18:45,12850
01.01.2020,19:00,12892
01.01.2020,19:15,12707
01.01.2020,19:30,12621
01.01.2020,19:45,12512
01.01.2020,20:00,12368
01.01.2020,20:15,12219
01.01.2020,20:30,12079
01.01.2020,20:45,11926
01.01.2020,21:00,11952
01.01.2020,21:15,11905
01.01.2020,21:30,11935
01.01.2020,21:45,11873
01.01.2020,22:00,12012
01.01.2020,22:15,11878
01.01.2020,22:30,11660
01.01.2020,22:45,11445
01.01.2020,23:00,11271
01.01.2020,23:15,11166
01.01.2020,23:30,10930
01.01.2020,23:45,10739
02.01.2020,00:00,10733
02.01.2020,00:15,10643
02.01.2020,00:30,10630
02.01.2020,00:45,10542
02.01.2020,01:00,10382
02.01.2020,01:15,10300
02.01.2020,01:30,10243
02.01.2020,01:45,10270
02.01.2020,02:00,10239
02.01.2020,02:15,10176
02.01.2020,02:30,10200
