Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
01.01.2020;00:00;323;0;478;502
01.01.2020;01:00;387;0;487;502
01.01.2020;02:00;471;0;494;501
01.01.2020;03:00;561;0;492;504
01.01.2020;04:00;606;0;492;503
01.01.2020;05:00;609;0;495;503
01.01.2020;06:00;606;0;497;503
01.01.2020;07:00;607;0;495;503
01.01.2020;08:00;606;0;496;504
01.01.2020;09:00;608;0;495;502
01.01.2020;10:00;607;0;496;504
01.01.2020;11:00;607;0;495;501
01.01.2020;12:00;608;0;495;501
01.01.2020;13:00;608;0;498;473
01.01.2020;14:00;607;0;496;501
01.01.2020;15:00;607;0;493;501
01.01.2020;16:00;606;0;494;501
01.01.2020;17:00;607;0;494;494
01.01.2020;18:00;608;0;495;485
01.01.2020;19:00;606;0;493;476
01.01.2020;20:00;606;0;478;483
01.01.2020;21:00;608;0;490;500
01.01.2020;22:00;607;0;493;502
01.01.2020;23:00;606;0;489;502
02.01.2020;00:00;604;0;479;496
02.01.2020;01:00;607;0;485;501
02.01.2020;02:00;607;0;486;501
02.01.2020;03:00;597;0;479;494
02.01.2020;04:00;600;0;483;501
02.01.2020;05:00;572;0;472;485
02.01.2020;06:00;533;0;451;464
02.01.2020;07:00;552;0;473;454
02.01.2020;08:00;564;0;482;499
02.01.2020;09:00;569;0;487;500
02.01.2020;10:00;599;0;486;500
02.01.2020;11:00;589;0;486;501
02.01.2020;12:00;574;0;487;500
02.01.2020;13:00;578;0;485;502
02.01.2020;14:00;570;0;481;502
02.01.2020;15:00;577;0;479;501
02.01.2020;16:00;574;0;479;497
02.01.2020;17:00;577;0;479;501
02.01.2020;18:00;576;0;480;499
02.01.2020;19:00;580;0;480;502
02.01.2020;20:00;577;0;480;499
02.01.2020;21:00;582;0;484;500
02.01.2020;22:00;579;0;483;495
02.01.2020;23:00;568;0;469;430
03.01.2020;00:00;325;0;482;408
03.01.2020;01:00;219;0;483;411
03.01.2020;02:00;218;0;484;413
03.01.2020;03:00;275;0;419;410
03.01.2020;04:00;229;0;380;410
03.01.2020;05:00;253;0;381;409
03.01.2020;06:00;289;0;372;410
03.01.2020;07:00;248;0;389;409
03.01.2020;08:00;318;0;399;419
03.01.2020;09:00;401;0;415;439
03.01.2020;10:00;465;0;398;421
03.01.2020;11:00;553;0;415;439
03.01.2020;12:00;570;0;477;441
03.01.2020;13:00;579;0;470;430
03.01.2020;14:00;563;0;460;422
03.01.2020;15:00;563;0;471;431
03.01.2020;16:00;557;0;451;427
03.01.2020;17:00;556;0;421;407
03.01.2020;18:00;502;0;411;408
03.01.2020;19:00;380;0;371;425
03.01.2020;20:00;382;0;182;405
03.01.2020;21:00;288;0;176;400
03.01.2020;22:00;318;0;173;402
03.01.2020;23:00;298;0;172;400
04.01.2020;00:00;275;0;169;401
04.01.2020;01:00;281;0;169;401
04.01.2020;02:00;435;0;196;402
04.01.2020;03:00;569;0;198;401
04.01.2020;04:00;450;0;170;400
04.01.2020;05:00;456;0;193;401
04.01.2020;06:00;457;0;193;401
04.01.2020;07:00;533;0;190;402
04.01.2020;08:00;305;0;189;405
04.01.2020;09:00;309;0;182;409
04.01.2020;10:00;362;0;180;406
04.01.2020;11:00;406;0;182;406
04.01.2020;12:00;485;0;181;401
04.01.2020;13:00;352;0;172;402
04.01.2020;14:00;441;0;209;401
04.01.2020;15:00;536;0;400;399
04.01.2020;16:00;584;0;403;418
04.01.2020;17:00;585;0;483;501
04.01.2020;18:00;584;0;483;500
04.01.2020;19:00;583;0;484;500
04.01.2020;20:00;575;0;484;500
04.01.2020;21:00;582;0;487;499
04.01.2020;22:00;582;0;488;498
04.01.2020;23:00;581;0;487;499
05.01.2020;00:00;582;0;486;492
05.01.2020;01:00;583;0;485;491
05.01.2020;02:00;580;0;488;499
05.01.2020;03:00;590;0;489;500
05.01.2020;04:00;578;0;488;498
05.01.2020;05:00;578;0;488;499
05.01.2020;06:00;569;0;488;503
05.01.2020;07:00;572;0;486;500
05.01.2020;08:00;574;0;485;498
05.01.2020;09:00;584;0;485;486
05.01.2020;10:00;583;0;487;494
05.01.2020;11:00;580;0;489;497
05.01.2020;12:00;580;0;489;500
05.01.2020;13:00;591;0;488;501
05.01.2020;14:00;600;0;488;499
05.01.2020;15:00;597;0;489;501
