Datum;Uhrzeit;Generation_DE Burghausen_GT 1[MW];Generation_DE BGH - O1[MW]
01.01.2020;00:00;0;-
01.01.2020;01:00;0;-
01.01.2020;02:00;0;-
01.01.2020;03:00;0;-
01.01.2020;04:00;0;-
01.01.2020;05:00;0;-
01.01.2020;06:00;0;-
01.01.2020;07:00;0;-
01.01.2020;08:00;0;-
01.01.2020;09:00;0;-
01.01.2020;10:00;0;-
01.01.2020;11:00;0;-
01.01.2020;12:00;0;-
01.01.2020;13:00;0;-
01.01.2020;14:00;0;-
01.01.2020;15:00;0;-
01.01.2020;16:00;0;-
01.01.2020;17:00;0;-
01.01.2020;18:00;0;-
01.01.2020;19:00;0;-
01.01.2020;20:00;0;-
01.01.2020;21:00;0;-
01.01.2020;22:00;0;-
01.01.2020;23:00;0;-
02.01.2020;00:00;0;-
02.01.2020;01:00;0;-
02.01.2020;02:00;0;-
02.01.2020;03:00;0;-
02.01.2020;04:00;0;-
02.01.2020;05:00;0;-
02.01.2020;06:00;0;-
02.01.2020;07:00;0;-
02.01.2020;08:00;0;-
02.01.2020;09:00;0;-
02.01.2020;10:00;0;-
02.01.2020;11:00;0;-
02.01.2020;12:00;0;-
02.01.2020;13:00;0;-
02.01.2020;14:00;0;-
02.01.2020;15:00;0;-
02.01.2020;16:00;0;-
02.01.2020;17:00;0;-
02.01.2020;18:00;0;-
02.01.2020;19:00;0;-
02.01.2020;20:00;0;-
02.01.2020;21:00;0;-
02.01.2020;22:00;0;-
02.01.2020;23:00;0;-
03.01.2020;00:00;0;-
03.01.2020;01:00;0;-
03.01.2020;02:00;0;-
03.01.2020;03:00;0;-
03.01.2020;04:00;0;-
03.01.2020;05:00;0;-
03.01.2020;06:00;0;-
03.01.2020;07:00;0;-
03.01.2020;08:00;0;-
03.01.2020;09:00;0;-
03.01.2020;10:00;0;-
03.01.2020;11:00;0;-
03.01.2020;12:00;0;-
03.01.2020;13:00;0;-
03.01.2020;14:00;0;-
03.01.2020;15:00;0;-
03.01.2020;16:00;0;-
03.01.2020;17:00;0;-
03.01.2020;18:00;0;-
03.01.2020;19:00;0;-
03.01.2020;20:00;0;-
03.01.2020;21:00;0;-
03.01.2020;22:00;0;-
03.01.2020;23:00;0;-
04.01.2020;00:00;0;-
04.01.2020;01:00;0;-
04.01.2020;02:00;0;-
04.01.2020;03:00;0;-
04.01.2020;04:00;0;-
04.01.2020;05:00;0;-
04.01.2020;06:00;0;-
04.01.2020;07:00;4;-
04.01.2020;08:00;2;-
04.01.2020;09:00;13;-
04.01.2020;10:00;22;-
04.01.2020;11:00;25;-
04.01.2020;12:00;28;-
04.01.2020;13:00;31;-
04.01.2020;14:00;31;-
04.01.2020;15:00;31;-
04.01.2020;16:00;31;-
04.01.2020;17:00;31;-
04.01.2020;18:00;32;-
04.01.2020;19:00;32;-
04.01.2020;20:00;32;-
04.01.2020;21:00;34;-
04.01.2020;22:00;22;-
04.01.2020;23:00;10;-
05.01.2020;00:00;0;-
05.01.2020;01:00;0;-
05.01.2020;02:00;0;-
05.01.2020;03:00;0;-
05.01.2020;04:00;0;-
05.01.2020;05:00;10;-
05.01.2020;06:00;13;-
05.01.2020;07:00;11;-
05.01.2020;08:00;27;-
05.01.2020;09:00;26;-
05.01.2020;10:00;34;-
05.01.2020;11:00;25;-
05.01.2020;12:00;29;-
05.01.2020;13:00;18;-
05.01.2020;14:00;19;-
05.01.2020;15:00;11;-
05.01.2020;16:00;13;-
05.01.2020;17:00;11;-
05.01.2020;18:00;15;-
05.01.2020;19:00;11;-
05.01.2020;20:00;15;-
05.01.2020;21:00;11;-
05.01.2020;22:00;15;-
05.01.2020;23:00;11;-
06.01.2020;00:00;0;-
06.01.2020;01:00;0;-
06.01.2020;02:00;0;-
06.01.2020;03:00;0;-
06.01.2020;04:00;0;-
06.01.2020;05:00;11;-
06.01.2020;06:00;15;-
06.01.2020;07:00;11;-
06.01.2020;08:00;14;-
06.01.2020;09:00;11;-
06.01.2020;10:00;29;-
06.01.2020;11:00;25;-
06.01.2020;12:00;34;-
06.01.2020;13:00;26;-
06.01.2020;14:00;21;-
06.01.2020;15:00;14;-
06.01.2020;16:00;22;-
06.01.2020;17:00;17;-
06.01.2020;18:00;22;-
06.01.2020;19:00;17;-
06.01.2020;20:00;22;-
06.01.2020;21:00;17;-
06.01.2020;22:00;22;-
06.01.2020;23:00;17;-
07.01.2020;00:00;0;-
07.01.2020;01:00;0;-
07.01.2020;02:00;0;-
07.01.2020;03:00;0;-
07.01.2020;04:00;17;-
07.01.2020;05:00;22;-
07.01.2020;06:00;17;-
07.01.2020;07:00;17;-
07.01.2020;08:00;11;-
07.01.2020;09:00;15;-
07.01.2020;10:00;11;-
07.01.2020;11:00;15;-
07.01.2020;12:00;11;-
07.01.2020;13:00;15;-
07.01.2020;14:00;15;-
07.01.2020;15:00;16;-
07.01.2020;16:00;11;-
07.01.2020;17:00;22;-
07.01.2020;18:00;17;-
07.01.2020;19:00;23;-
07.01.2020;20:00;17;-
07.01.2020;21:00;23;-
07.01.2020;22:00;17;-
07.01.2020;23:00;17;-
08.01.2020;00:00;0;-
08.01.2020;01:00;0;-
08.01.2020;02:00;0;-
08.01.2020;03:00;0;-
08.01.2020;04:00;17;-
08.01.2020;05:00;22;-
08.01.2020;06:00;17;-
08.01.2020;07:00;22;-
08.01.2020;08:00;16;-
08.01.2020;09:00;15;-
08.01.2020;10:00;15;-
08.01.2020;11:00;15;-
08.01.2020;12:00;15;-
08.01.2020;13:00;15;-
08.01.2020;14:00;15;-
08.01.2020;15:00;15;-
08.01.2020;16:00;16;-
08.01.2020;17:00;22;-
08.01.2020;18:00;22;-
08.01.2020;19:00;22;-
08.01.2020;20:00;22;-
08.01.2020;21:00;22;-
08.01.2020;22:00;22;-
08.01.2020;23:00;17;-
09.01.2020;00:00;0;-
09.01.2020;01:00;0;-
09.01.2020;02:00;0;-
09.01.2020;03:00;0;-
09.01.2020;04:00;0;-
09.01.2020;05:00;17;-
09.01.2020;06:00;22;-
09.01.2020;07:00;17;-
09.01.2020;08:00;22;-
09.01.2020;09:00;15;-
09.01.2020;10:00;15;-
09.01.2020;11:00;14;-
09.01.2020;12:00;19;-
09.01.2020;13:00;18;-
09.01.2020;14:00;32;-
09.01.2020;15:00;20;-
