Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
01.01.2020;00:00;-;39;136
01.01.2020;01:00;-;39;145
01.01.2020;02:00;-;44;150
01.01.2020;03:00;-;43;146
01.01.2020;04:00;-;40;137
01.01.2020;05:00;-;41;138
01.01.2020;06:00;-;42;156
01.01.2020;07:00;-;49;176
01.01.2020;08:00;-;55;189
01.01.2020;09:00;-;73;205
01.01.2020;10:00;-;78;207
01.01.2020;11:00;-;75;211
01.01.2020;12:00;-;69;216
01.01.2020;13:00;-;78;219
01.01.2020;14:00;-;80;218
01.01.2020;15:00;-;76;219
01.01.2020;16:00;-;73;219
01.01.2020;17:00;-;64;215
01.01.2020;18:00;-;70;219
01.01.2020;19:00;-;73;219
01.01.2020;20:00;-;57;206
01.01.2020;21:00;-;47;203
01.01.2020;22:00;-;57;204
01.01.2020;23:00;-;62;205
02.01.2020;00:00;-;65;214
02.01.2020;01:00;-;65;216
02.01.2020;02:00;-;57;183
02.01.2020;03:00;-;56;190
02.01.2020;04:00;-;47;170
02.01.2020;05:00;-;53;176
02.01.2020;06:00;-;47;200
02.01.2020;07:00;-;44;205
02.01.2020;08:00;-;55;203
02.01.2020;09:00;-;54;174
02.01.2020;10:00;-;43;150
02.01.2020;11:00;-;48;166
02.01.2020;12:00;-;44;178
02.01.2020;13:00;-;42;209
02.01.2020;14:00;-;43;209
02.01.2020;15:00;-;40;198
02.01.2020;16:00;-;43;180
02.01.2020;17:00;-;50;202
02.01.2020;18:00;-;75;210
02.01.2020;19:00;-;63;201
02.01.2020;20:00;-;54;186
02.01.2020;21:00;-;41;155
02.01.2020;22:00;-;41;168
02.01.2020;23:00;-;53;177
03.01.2020;00:00;-;49;191
03.01.2020;01:00;-;56;209
03.01.2020;02:00;-;44;199
03.01.2020;03:00;-;42;193
03.01.2020;04:00;-;40;207
03.01.2020;05:00;-;78;215
03.01.2020;06:00;-;80;218
03.01.2020;07:00;-;62;194
03.01.2020;08:00;-;50;177
03.01.2020;09:00;-;61;172
03.01.2020;10:00;-;64;180
03.01.2020;11:00;-;61;184
03.01.2020;12:00;-;72;204
03.01.2020;13:00;-;70;208
03.01.2020;14:00;-;77;215
03.01.2020;15:00;-;82;215
03.01.2020;16:00;-;79;209
03.01.2020;17:00;-;79;202
03.01.2020;18:00;-;48;170
03.01.2020;19:00;-;46;170
03.01.2020;20:00;-;51;181
