Datum;Uhrzeit;Generation_DE III/A[MW];Generation_DE III/B[MW]
01.01.2020;00:00;-;149
01.01.2020;01:00;-;209
01.01.2020;02:00;-;209
01.01.2020;03:00;-;209
01.01.2020;04:00;-;209
01.01.2020;05:00;-;209
01.01.2020;06:00;-;209
01.01.2020;07:00;-;208
01.01.2020;08:00;-;208
01.01.2020;09:00;-;208
01.01.2020;10:00;-;209
01.01.2020;11:00;-;209
01.01.2020;12:00;-;208
01.01.2020;13:00;-;209
01.01.2020;14:00;-;204
01.01.2020;15:00;-;207
01.01.2020;16:00;-;209
01.01.2020;17:00;-;208
01.01.2020;18:00;-;209
01.01.2020;19:00;-;209
01.01.2020;20:00;-;208
01.01.2020;21:00;-;209
01.01.2020;22:00;-;209
01.01.2020;23:00;-;209
02.01.2020;00:00;-;208
02.01.2020;01:00;-;177
02.01.2020;02:00;-;150
02.01.2020;03:00;-;146
02.01.2020;04:00;-;157
02.01.2020;05:00;-;186
02.01.2020;06:00;-;201
02.01.2020;07:00;-;184
02.01.2020;08:00;-;214
02.01.2020;09:00;-;217
02.01.2020;10:00;-;218
02.01.2020;11:00;-;211
02.01.2020;12:00;-;215
02.01.2020;13:00;-;218
02.01.2020;14:00;-;216
02.01.2020;15:00;-;217
02.01.2020;16:00;-;209
02.01.2020;17:00;-;209
02.01.2020;18:00;-;208
02.01.2020;19:00;-;210
02.01.2020;20:00;-;211
02.01.2020;21:00;-;210
02.01.2020;22:00;-;166
02.01.2020;23:00;-;73
03.01.2020;00:00;-;57
03.01.2020;01:00;-;58
03.01.2020;02:00;-;58
03.01.2020;03:00;-;58
03.01.2020;04:00;-;58
03.01.2020;05:00;-;58
03.01.2020;06:00;-;58
03.01.2020;07:00;-;59
03.01.2020;08:00;-;58
03.01.2020;09:00;-;59
03.01.2020;10:00;-;61
03.01.2020;11:00;-;81
03.01.2020;12:00;-;96
03.01.2020;13:00;-;98
03.01.2020;14:00;-;98
03.01.2020;15:00;-;101
03.01.2020;16:00;-;101
03.01.2020;17:00;-;101
03.01.2020;18:00;-;101
03.01.2020;19:00;-;84
03.01.2020;20:00;-;94
03.01.2020;21:00;-;93
