Datum;Uhrzeit;Generation_DE Block2[MW];Generation_DE Block1[MW]
01.01.2020;00:00;51;111
01.01.2020;01:00;57;108
01.01.2020;02:00;56;109
01.01.2020;03:00;56;110
01.01.2020;04:00;54;109
01.01.2020;05:00;54;112
01.01.2020;06:00;54;111
01.01.2020;07:00;54;111
01.01.2020;08:00;50;112
01.01.2020;09:00;51;112
01.01.2020;10:00;52;112
01.01.2020;11:00;50;113
01.01.2020;12:00;51;113
01.01.2020;13:00;50;113
01.01.2020;14:00;51;113
01.01.2020;15:00;50;112
01.01.2020;16:00;50;112
01.01.2020;17:00;49;112
01.01.2020;18:00;50;112
01.01.2020;19:00;51;113
01.01.2020;20:00;51;113
01.01.2020;21:00;50;114
01.01.2020;22:00;50;100
01.01.2020;23:00;49;91
02.01.2020;00:00;49;89
02.01.2020;01:00;50;88
02.01.2020;02:00;50;88
02.01.2020;03:00;50;92
02.01.2020;04:00;50;98
02.01.2020;05:00;50;104
02.01.2020;06:00;51;109
02.01.2020;07:00;50;113
02.01.2020;08:00;50;115
02.01.2020;09:00;50;108
02.01.2020;10:00;51;109
02.01.2020;11:00;51;102
02.01.2020;12:00;51;103
02.01.2020;13:00;50;115
02.01.2020;14:00;59;115
02.01.2020;15:00;86;121
02.01.2020;16:00;81;121
02.01.2020;17:00;61;109
02.01.2020;18:00;56;109
02.01.2020;19:00;51;99
02.01.2020;20:00;52;100
02.01.2020;21:00;65;118
02.01.2020;22:00;59;109
02.01.2020;23:00;54;98
03.01.2020;00:00;50;85
03.01.2020;01:00;50;86
03.01.2020;02:00;51;84
03.01.2020;03:00;51;84
03.01.2020;04:00;51;93
03.01.2020;05:00;51;103
03.01.2020;06:00;55;105
03.01.2020;07:00;60;104
03.01.2020;08:00;57;103
03.01.2020;09:00;56;100
03.01.2020;10:00;55;101
03.01.2020;11:00;56;100
03.01.2020;12:00;56;112
03.01.2020;13:00;57;113
03.01.2020;14:00;59;114
03.01.2020;15:00;58;115
03.01.2020;16:00;58;116
03.01.2020;17:00;59;114
03.01.2020;18:00;59;111
03.01.2020;19:00;59;110
03.01.2020;20:00;50;104
03.01.2020;21:00;50;103
03.01.2020;22:00;49;92
03.01.2020;23:00;51;87
04.01.2020;00:00;50;83
04.01.2020;01:00;79;73
04.01.2020;02:00;73;79
04.01.2020;03:00;59;98
04.01.2020;04:00;56;98
04.01.2020;05:00;61;105
04.01.2020;06:00;63;98
04.01.2020;07:00;63;99
04.01.2020;08:00;74;82
04.01.2020;09:00;73;85
04.01.2020;10:00;69;83
04.01.2020;11:00;56;88
04.01.2020;12:00;55;85
04.01.2020;13:00;55;86
04.01.2020;14:00;52;85
04.01.2020;15:00;49;86
04.01.2020;16:00;50;86
04.01.2020;17:00;50;87
04.01.2020;18:00;51;90
04.01.2020;19:00;50;86
04.01.2020;20:00;51;88
04.01.2020;21:00;50;86
04.01.2020;22:00;58;85
04.01.2020;23:00;56;85
05.01.2020;00:00;50;84
05.01.2020;01:00;50;84
05.01.2020;02:00;51;85
05.01.2020;03:00;50;85
05.01.2020;04:00;50;85
05.01.2020;05:00;50;85
05.01.2020;06:00;50;85
05.01.2020;07:00;50;85
05.01.2020;08:00;60;73
05.01.2020;09:00;83;51
05.01.2020;10:00;71;49
05.01.2020;11:00;59;62
05.01.2020;12:00;53;66
05.01.2020;13:00;53;66
05.01.2020;14:00;53;65
05.01.2020;15:00;53;64
05.01.2020;16:00;53;65
05.01.2020;17:00;52;65
05.01.2020;18:00;52;66
05.01.2020;19:00;52;66
05.01.2020;20:00;53;67
05.01.2020;21:00;60;80
05.01.2020;22:00;59;83
05.01.2020;23:00;55;69
06.01.2020;00:00;51;65
06.01.2020;01:00;50;64
06.01.2020;02:00;50;65
06.01.2020;03:00;50;65
06.01.2020;04:00;49;65
06.01.2020;05:00;51;64
06.01.2020;06:00;60;57
06.01.2020;07:00;87;57
06.01.2020;08:00;90;55
06.01.2020;09:00;87;55
06.01.2020;10:00;85;55
06.01.2020;11:00;78;57
06.01.2020;12:00;86;55
06.01.2020;13:00;90;56
06.01.2020;14:00;89;55
06.01.2020;15:00;87;59
06.01.2020;16:00;75;79
06.01.2020;17:00;71;98
06.01.2020;18:00;70;105
06.01.2020;19:00;61;91
06.01.2020;20:00;59;84
06.01.2020;21:00;46;76
06.01.2020;22:00;47;74
06.01.2020;23:00;44;75
07.01.2020;00:00;44;76
07.01.2020;01:00;50;79
07.01.2020;02:00;55;67
07.01.2020;03:00;52;70
07.01.2020;04:00;50;75
07.01.2020;05:00;49;81
07.01.2020;06:00;58;81
07.01.2020;07:00;76;90
07.01.2020;08:00;85;89
07.01.2020;09:00;92;89
07.01.2020;10:00;99;81
07.01.2020;11:00;107;91
07.01.2020;12:00;106;87
07.01.2020;13:00;89;90
07.01.2020;14:00;95;89
07.01.2020;15:00;94;90
07.01.2020;16:00;97;86
07.01.2020;17:00;115;105
07.01.2020;18:00;105;95
07.01.2020;19:00;87;66
07.01.2020;20:00;66;65
07.01.2020;21:00;57;72
07.01.2020;22:00;61;71
07.01.2020;23:00;69;58
08.01.2020;00:00;68;56
08.01.2020;01:00;60;60
08.01.2020;02:00;56;70
08.01.2020;03:00;60;64
08.01.2020;04:00;55;73
08.01.2020;05:00;65;63
08.01.2020;06:00;64;59
08.01.2020;07:00;62;60
08.01.2020;08:00;61;59
08.01.2020;09:00;61;59
08.01.2020;10:00;61;56
08.01.2020;11:00;80;57
08.01.2020;12:00;64;62
08.01.2020;13:00;60;65
08.01.2020;14:00;79;74
08.01.2020;15:00;90;79
08.01.2020;16:00;108;80
08.01.2020;17:00;121;92
08.01.2020;18:00;112;100
08.01.2020;19:00;111;100
08.01.2020;20:00;89;93
08.01.2020;21:00;56;85
08.01.2020;22:00;51;86
08.01.2020;23:00;51;86
09.01.2020;00:00;50;65
09.01.2020;01:00;50;66
09.01.2020;02:00;50;63
09.01.2020;03:00;50;63
09.01.2020;04:00;49;64
09.01.2020;05:00;48;65
09.01.2020;06:00;51;66
09.01.2020;07:00;53;77
09.01.2020;08:00;65;92
09.01.2020;09:00;53;66
09.01.2020;10:00;52;64
09.01.2020;11:00;54;66
09.01.2020;12:00;51;74
09.01.2020;13:00;51;74
09.01.2020;14:00;52;75
09.01.2020;15:00;50;66
09.01.2020;16:00;50;66
09.01.2020;17:00;50;72
09.01.2020;18:00;49;75
09.01.2020;19:00;49;75
09.01.2020;20:00;49;74
09.01.2020;21:00;49;73
09.01.2020;22:00;49;75
09.01.2020;23:00;50;73
10.01.2020;00:00;51;75
10.01.2020;01:00;51;75
10.01.2020;02:00;50;74
10.01.2020;03:00;50;74
10.01.2020;04:00;56;77
10.01.2020;05:00;81;94
10.01.2020;06:00;83;99
10.01.2020;07:00;84;100
10.01.2020;08:00;83;100
10.01.2020;09:00;90;94
10.01.2020;10:00;103;66
10.01.2020;11:00;64;60
10.01.2020;12:00;58;64
10.01.2020;13:00;51;71
10.01.2020;14:00;53;78
10.01.2020;15:00;52;68
