Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
01.01.2020;00:00;425
01.01.2020;01:00;422
01.01.2020;02:00;422
01.01.2020;03:00;444
01.01.2020;04:00;444
01.01.2020;05:00;443
01.01.2020;06:00;440
01.01.2020;07:00;440
01.01.2020;08:00;440
01.01.2020;09:00;441
01.01.2020;10:00;441
01.01.2020;11:00;441
01.01.2020;12:00;441
01.01.2020;13:00;441
01.01.2020;14:00;442
01.01.2020;15:00;442
01.01.2020;16:00;442
01.01.2020;17:00;443
01.01.2020;18:00;442
01.01.2020;19:00;441
01.01.2020;20:00;441
01.01.2020;21:00;443
01.01.2020;22:00;444
01.01.2020;23:00;444
02.01.2020;00:00;443
02.01.2020;01:00;443
02.01.2020;02:00;442
02.01.2020;03:00;441
02.01.2020;04:00;441
02.01.2020;05:00;441
02.01.2020;06:00;440
02.01.2020;07:00;440
02.01.2020;08:00;441
02.01.2020;09:00;441
02.01.2020;10:00;441
02.01.2020;11:00;438
02.01.2020;12:00;436
02.01.2020;13:00;432
02.01.2020;14:00;431
02.01.2020;15:00;431
02.01.2020;16:00;432
02.01.2020;17:00;432
02.01.2020;18:00;431
02.01.2020;19:00;431
02.01.2020;20:00;431
02.01.2020;21:00;431
02.01.2020;22:00;431
02.01.2020;23:00;432
03.01.2020;00:00;432
03.01.2020;01:00;433
03.01.2020;02:00;432
03.01.2020;03:00;432
03.01.2020;04:00;432
03.01.2020;05:00;432
03.01.2020;06:00;431
03.01.2020;07:00;431
03.01.2020;08:00;431
03.01.2020;09:00;431
03.01.2020;10:00;431
03.01.2020;11:00;431
03.01.2020;12:00;431
03.01.2020;13:00;431
03.01.2020;14:00;431
03.01.2020;15:00;431
03.01.2020;16:00;431
03.01.2020;17:00;431
03.01.2020;18:00;423
03.01.2020;19:00;369
03.01.2020;20:00;323
03.01.2020;21:00;256
03.01.2020;22:00;199
03.01.2020;23:00;194
04.01.2020;00:00;136
04.01.2020;01:00;137
04.01.2020;02:00;232
04.01.2020;03:00;232
04.01.2020;04:00;238
04.01.2020;05:00;324
04.01.2020;06:00;428
04.01.2020;07:00;436
04.01.2020;08:00;436
04.01.2020;09:00;436
04.01.2020;10:00;435
04.01.2020;11:00;436
04.01.2020;12:00;436
04.01.2020;13:00;435
04.01.2020;14:00;436
04.01.2020;15:00;435
04.01.2020;16:00;435
04.01.2020;17:00;435
04.01.2020;18:00;435
04.01.2020;19:00;435
04.01.2020;20:00;436
04.01.2020;21:00;436
04.01.2020;22:00;436
04.01.2020;23:00;436
05.01.2020;00:00;436
05.01.2020;01:00;436
05.01.2020;02:00;436
05.01.2020;03:00;436
05.01.2020;04:00;437
05.01.2020;05:00;442
05.01.2020;06:00;444
05.01.2020;07:00;444
05.01.2020;08:00;444
05.01.2020;09:00;444
05.01.2020;10:00;444
05.01.2020;11:00;443
05.01.2020;12:00;443
05.01.2020;13:00;444
05.01.2020;14:00;444
05.01.2020;15:00;444
05.01.2020;16:00;444
05.01.2020;17:00;444
05.01.2020;18:00;444
05.01.2020;19:00;443
05.01.2020;20:00;444
05.01.2020;21:00;444
05.01.2020;22:00;443
05.01.2020;23:00;443
06.01.2020;00:00;412
06.01.2020;01:00;412
06.01.2020;02:00;412
06.01.2020;03:00;412
06.01.2020;04:00;412
06.01.2020;05:00;414
06.01.2020;06:00;441
06.01.2020;07:00;439
06.01.2020;08:00;439
06.01.2020;09:00;439
06.01.2020;10:00;439
06.01.2020;11:00;439
06.01.2020;12:00;438
06.01.2020;13:00;437
06.01.2020;14:00;435
06.01.2020;15:00;435
