Datum;Uhrzeit;Generation_DE GKN II[MW]
01.01.2020;00:00;1.309
01.01.2020;01:00;1.312
01.01.2020;02:00;1.311
01.01.2020;03:00;1.311
01.01.2020;04:00;1.312
01.01.2020;05:00;1.310
01.01.2020;06:00;1.313
01.01.2020;07:00;1.310
01.01.2020;08:00;1.310
01.01.2020;09:00;1.311
01.01.2020;10:00;1.311
01.01.2020;11:00;1.313
01.01.2020;12:00;1.313
01.01.2020;13:00;1.311
01.01.2020;14:00;1.312
01.01.2020;15:00;1.313
01.01.2020;16:00;1.311
01.01.2020;17:00;1.310
01.01.2020;18:00;1.311
01.01.2020;19:00;1.314
01.01.2020;20:00;1.314
01.01.2020;21:00;1.314
01.01.2020;22:00;1.314
01.01.2020;23:00;1.313
02.01.2020;00:00;1.314
02.01.2020;01:00;1.315
02.01.2020;02:00;1.314
02.01.2020;03:00;1.314
02.01.2020;04:00;1.315
02.01.2020;05:00;1.316
02.01.2020;06:00;1.318
02.01.2020;07:00;1.320
02.01.2020;08:00;1.320
02.01.2020;09:00;1.320
02.01.2020;10:00;1.319
02.01.2020;11:00;1.320
02.01.2020;12:00;1.320
02.01.2020;13:00;1.320
02.01.2020;14:00;1.319
02.01.2020;15:00;1.318
02.01.2020;16:00;1.317
02.01.2020;17:00;1.317
02.01.2020;18:00;1.318
02.01.2020;19:00;1.318
02.01.2020;20:00;1.316
02.01.2020;21:00;1.315
02.01.2020;22:00;1.316
02.01.2020;23:00;1.315
03.01.2020;00:00;1.312
03.01.2020;01:00;1.315
03.01.2020;02:00;1.311
03.01.2020;03:00;1.313
03.01.2020;04:00;1.313
03.01.2020;05:00;1.312
03.01.2020;06:00;1.312
03.01.2020;07:00;1.312
03.01.2020;08:00;1.313
03.01.2020;09:00;1.313
03.01.2020;10:00;1.313
03.01.2020;11:00;1.313
03.01.2020;12:00;1.313
03.01.2020;13:00;1.313
03.01.2020;14:00;1.314
03.01.2020;15:00;1.311
03.01.2020;16:00;1.310
03.01.2020;17:00;1.310
03.01.2020;18:00;1.310
03.01.2020;19:00;1.307
03.01.2020;20:00;1.305
03.01.2020;21:00;1.307
03.01.2020;22:00;1.306
03.01.2020;23:00;1.305
04.01.2020;00:00;1.306
04.01.2020;01:00;1.310
04.01.2020;02:00;1.311
04.01.2020;03:00;1.312
04.01.2020;04:00;1.312
04.01.2020;05:00;1.312
04.01.2020;06:00;1.315
04.01.2020;07:00;1.313
04.01.2020;08:00;1.313
04.01.2020;09:00;1.313
04.01.2020;10:00;1.313
04.01.2020;11:00;1.313
04.01.2020;12:00;1.313
04.01.2020;13:00;1.313
04.01.2020;14:00;1.314
04.01.2020;15:00;1.314
04.01.2020;16:00;1.314
04.01.2020;17:00;1.314
04.01.2020;18:00;1.314
04.01.2020;19:00;1.314
04.01.2020;20:00;1.313
04.01.2020;21:00;1.313
04.01.2020;22:00;1.317
04.01.2020;23:00;1.314
05.01.2020;00:00;1.315
05.01.2020;01:00;1.315
05.01.2020;02:00;1.316
05.01.2020;03:00;1.314
05.01.2020;04:00;1.315
05.01.2020;05:00;1.315
05.01.2020;06:00;1.317
05.01.2020;07:00;1.317
05.01.2020;08:00;1.317
05.01.2020;09:00;1.315
05.01.2020;10:00;1.317
05.01.2020;11:00;1.318
05.01.2020;12:00;1.317
05.01.2020;13:00;1.318
05.01.2020;14:00;1.315
05.01.2020;15:00;1.314
05.01.2020;16:00;1.314
05.01.2020;17:00;1.313
05.01.2020;18:00;1.314
05.01.2020;19:00;1.314
05.01.2020;20:00;1.311
05.01.2020;21:00;1.311
05.01.2020;22:00;1.314
05.01.2020;23:00;1.313
06.01.2020;00:00;1.314
06.01.2020;01:00;1.315
06.01.2020;02:00;1.314
06.01.2020;03:00;1.314
06.01.2020;04:00;1.316
06.01.2020;05:00;1.317
06.01.2020;06:00;1.315
06.01.2020;07:00;1.313
06.01.2020;08:00;1.313
06.01.2020;09:00;1.313
06.01.2020;10:00;1.315
06.01.2020;11:00;1.315
06.01.2020;12:00;1.312
06.01.2020;13:00;1.314
06.01.2020;14:00;1.314
06.01.2020;15:00;1.314
06.01.2020;16:00;1.312
06.01.2020;17:00;1.313
06.01.2020;18:00;1.314
06.01.2020;19:00;1.314
06.01.2020;20:00;1.311
06.01.2020;21:00;1.310
06.01.2020;22:00;1.312
06.01.2020;23:00;1.311
07.01.2020;00:00;1.314
07.01.2020;01:00;1.319
07.01.2020;02:00;1.322
07.01.2020;03:00;1.321
07.01.2020;04:00;1.321
07.01.2020;05:00;1.316
07.01.2020;06:00;1.313
07.01.2020;07:00;1.310
07.01.2020;08:00;1.311
07.01.2020;09:00;1.311
07.01.2020;10:00;1.310
07.01.2020;11:00;1.310
07.01.2020;12:00;1.309
07.01.2020;13:00;1.309
07.01.2020;14:00;1.309
07.01.2020;15:00;1.312
07.01.2020;16:00;1.313
07.01.2020;17:00;1.312
07.01.2020;18:00;1.312
07.01.2020;19:00;1.313
07.01.2020;20:00;1.311
