Datum;Uhrzeit;Generation_DE KraftwerkG[MW]
01.01.2020;00:00;1.360
01.01.2020;01:00;1.364
01.01.2020;02:00;1.356
01.01.2020;03:00;1.347
01.01.2020;04:00;1.347
01.01.2020;05:00;1.346
01.01.2020;06:00;1.350
01.01.2020;07:00;1.370
01.01.2020;08:00;1.374
01.01.2020;09:00;1.371
01.01.2020;10:00;1.371
01.01.2020;11:00;1.369
01.01.2020;12:00;1.367
01.01.2020;13:00;1.363
01.01.2020;14:00;1.363
01.01.2020;15:00;1.362
01.01.2020;16:00;1.363
01.01.2020;17:00;1.361
01.01.2020;18:00;1.361
01.01.2020;19:00;1.361
01.01.2020;20:00;1.361
01.01.2020;21:00;1.350
01.01.2020;22:00;1.345
01.01.2020;23:00;1.343
02.01.2020;00:00;1.351
02.01.2020;01:00;1.362
02.01.2020;02:00;1.364
02.01.2020;03:00;1.365
02.01.2020;04:00;1.364
02.01.2020;05:00;1.362
02.01.2020;06:00;1.357
02.01.2020;07:00;1.242
02.01.2020;08:00;1.363
02.01.2020;09:00;1.366
02.01.2020;10:00;1.366
02.01.2020;11:00;1.365
02.01.2020;12:00;1.366
02.01.2020;13:00;1.366
02.01.2020;14:00;1.368
02.01.2020;15:00;1.369
02.01.2020;16:00;1.294
02.01.2020;17:00;1.270
02.01.2020;18:00;1.203
02.01.2020;19:00;1.171
02.01.2020;20:00;1.173
02.01.2020;21:00;1.171
02.01.2020;22:00;1.172
02.01.2020;23:00;1.170
03.01.2020;00:00;1.171
03.01.2020;01:00;1.175
03.01.2020;02:00;1.172
03.01.2020;03:00;1.173
03.01.2020;04:00;1.169
03.01.2020;05:00;1.120
03.01.2020;06:00;1.120
03.01.2020;07:00;1.107
03.01.2020;08:00;1.075
03.01.2020;09:00;1.072
03.01.2020;10:00;1.072
03.01.2020;11:00;1.042
03.01.2020;12:00;1.043
03.01.2020;13:00;1.042
03.01.2020;14:00;1.045
03.01.2020;15:00;1.042
03.01.2020;16:00;1.070
03.01.2020;17:00;1.072
03.01.2020;18:00;984
03.01.2020;19:00;984
03.01.2020;20:00;1.120
03.01.2020;21:00;1.170
03.01.2020;22:00;1.266
03.01.2020;23:00;1.204
04.01.2020;00:00;1.186
04.01.2020;01:00;1.185
04.01.2020;02:00;1.185
04.01.2020;03:00;1.186
04.01.2020;04:00;1.186
04.01.2020;05:00;1.185
04.01.2020;06:00;1.182
04.01.2020;07:00;1.085
04.01.2020;08:00;1.055
04.01.2020;09:00;961
04.01.2020;10:00;960
04.01.2020;11:00;961
04.01.2020;12:00;961
04.01.2020;13:00;961
04.01.2020;14:00;964
04.01.2020;15:00;964
04.01.2020;16:00;964
04.01.2020;17:00;965
04.01.2020;18:00;1.048
04.01.2020;19:00;1.052
04.01.2020;20:00;1.052
04.01.2020;21:00;1.069
04.01.2020;22:00;1.185
04.01.2020;23:00;1.187
05.01.2020;00:00;1.195
05.01.2020;01:00;1.197
05.01.2020;02:00;1.329
05.01.2020;03:00;1.361
05.01.2020;04:00;1.359
05.01.2020;05:00;1.359
05.01.2020;06:00;1.361
05.01.2020;07:00;1.361
05.01.2020;08:00;1.366
05.01.2020;09:00;1.365
05.01.2020;10:00;1.365
05.01.2020;11:00;1.363
05.01.2020;12:00;1.362
05.01.2020;13:00;1.362
05.01.2020;14:00;1.362
05.01.2020;15:00;1.362
05.01.2020;16:00;1.360
05.01.2020;17:00;1.357
05.01.2020;18:00;1.356
05.01.2020;19:00;1.356
05.01.2020;20:00;1.355
05.01.2020;21:00;1.355
05.01.2020;22:00;1.355
05.01.2020;23:00;1.351
06.01.2020;00:00;1.337
06.01.2020;01:00;1.337
06.01.2020;02:00;1.338
06.01.2020;03:00;1.339
06.01.2020;04:00;1.354
06.01.2020;05:00;1.357
06.01.2020;06:00;1.358
06.01.2020;07:00;1.356
06.01.2020;08:00;1.357
06.01.2020;09:00;1.358
06.01.2020;10:00;1.358
06.01.2020;11:00;1.358
06.01.2020;12:00;1.358
06.01.2020;13:00;1.358
06.01.2020;14:00;1.359
06.01.2020;15:00;1.361
06.01.2020;16:00;1.360
06.01.2020;17:00;1.360
06.01.2020;18:00;1.362
06.01.2020;19:00;1.363
06.01.2020;20:00;1.363
06.01.2020;21:00;1.363
06.01.2020;22:00;1.363
06.01.2020;23:00;1.364
07.01.2020;00:00;1.365
07.01.2020;01:00;1.362
07.01.2020;02:00;1.363
07.01.2020;03:00;1.362
07.01.2020;04:00;1.361
