Datum;Uhrzeit;Generation_DE ALT GT E (solo)[MW];Generation_DE ALT GT A (Solo)[MW];Generation_DE ALT GT B[MW];Generation_DE ALT GT C[MW];Generation_DE ALT Heizkraftwerk 1[MW];Generation_DE ALT Heizkraftwerk 2 (DT Solobetrieb)[MW]
01.01.2020;00:00;-;-;-;-;-;236
01.01.2020;01:00;-;-;-;-;-;166
01.01.2020;02:00;-;-;-;-;-;115
01.01.2020;03:00;-;-;-;-;-;117
01.01.2020;04:00;-;-;-;-;-;116
01.01.2020;05:00;-;-;-;-;-;113
01.01.2020;06:00;-;-;-;-;-;116
01.01.2020;07:00;-;-;-;-;-;116
01.01.2020;08:00;-;-;-;-;-;115
01.01.2020;09:00;-;-;-;-;-;114
01.01.2020;10:00;-;-;-;-;-;115
01.01.2020;11:00;-;-;-;-;-;115
01.01.2020;12:00;-;-;-;-;-;117
01.01.2020;13:00;-;-;-;-;-;116
01.01.2020;14:00;-;-;-;-;-;150
01.01.2020;15:00;-;-;-;-;-;283
01.01.2020;16:00;-;-;-;-;-;288
01.01.2020;17:00;-;-;-;-;-;288
01.01.2020;18:00;-;-;-;-;-;250
01.01.2020;19:00;-;-;-;-;-;105
01.01.2020;20:00;-;-;-;-;-;97
01.01.2020;21:00;-;-;-;-;-;96
01.01.2020;22:00;-;-;-;-;-;95
01.01.2020;23:00;-;-;-;-;-;94
02.01.2020;00:00;-;-;-;-;-;95
02.01.2020;01:00;-;-;-;-;-;98
02.01.2020;02:00;-;-;-;-;-;97
02.01.2020;03:00;-;-;-;-;-;98
02.01.2020;04:00;-;-;-;-;-;97
02.01.2020;05:00;-;-;-;-;-;100
02.01.2020;06:00;-;-;-;-;-;107
02.01.2020;07:00;-;-;-;-;-;107
02.01.2020;08:00;-;-;-;-;-;221
02.01.2020;09:00;-;-;-;-;-;275
02.01.2020;10:00;-;-;-;-;-;278
02.01.2020;11:00;-;-;-;-;-;279
02.01.2020;12:00;-;-;-;-;-;280
02.01.2020;13:00;-;-;-;-;-;280
02.01.2020;14:00;-;-;-;-;-;280
02.01.2020;15:00;-;-;-;-;-;281
02.01.2020;16:00;-;-;-;-;-;275
02.01.2020;17:00;-;-;-;-;-;279
02.01.2020;18:00;-;-;-;-;-;281
02.01.2020;19:00;-;-;-;-;-;281
02.01.2020;20:00;-;-;-;-;-;183
02.01.2020;21:00;-;-;-;-;-;101
02.01.2020;22:00;-;-;-;-;-;96
02.01.2020;23:00;-;-;-;-;-;99
03.01.2020;00:00;-;-;-;-;-;100
03.01.2020;01:00;-;-;-;-;-;99
03.01.2020;02:00;-;-;-;-;-;101
03.01.2020;03:00;-;-;-;-;-;101
03.01.2020;04:00;-;-;-;-;-;99
03.01.2020;05:00;-;-;-;-;-;96
03.01.2020;06:00;-;-;-;-;-;103
03.01.2020;07:00;-;-;-;-;-;105
03.01.2020;08:00;-;-;-;-;-;106
03.01.2020;09:00;-;-;-;-;-;107
03.01.2020;10:00;-;-;-;-;-;105
03.01.2020;11:00;-;-;-;-;-;105
03.01.2020;12:00;-;-;-;-;-;108
03.01.2020;13:00;-;-;-;-;-;106
03.01.2020;14:00;-;-;-;-;-;107
03.01.2020;15:00;-;-;-;-;-;107
03.01.2020;16:00;-;-;-;-;-;108
03.01.2020;17:00;-;-;-;-;-;147
03.01.2020;18:00;-;-;-;-;-;283
03.01.2020;19:00;-;-;-;-;-;285
03.01.2020;20:00;-;-;-;-;-;284
03.01.2020;21:00;-;-;-;-;-;230
03.01.2020;22:00;-;-;-;-;-;99
03.01.2020;23:00;-;-;-;-;-;102
04.01.2020;00:00;-;-;-;-;-;101
04.01.2020;01:00;-;-;-;-;-;100
04.01.2020;02:00;-;-;-;-;-;100
04.01.2020;03:00;-;-;-;-;-;100
04.01.2020;04:00;-;-;-;-;-;100
04.01.2020;05:00;-;-;-;-;-;99
04.01.2020;06:00;-;-;-;-;-;100
04.01.2020;07:00;-;-;-;-;-;166
04.01.2020;08:00;-;-;-;-;-;272
04.01.2020;09:00;-;-;-;-;-;289
04.01.2020;10:00;-;-;-;-;-;212
04.01.2020;11:00;-;-;-;-;-;206
04.01.2020;12:00;-;-;-;-;-;205
04.01.2020;13:00;-;-;-;-;-;205
04.01.2020;14:00;-;-;-;-;-;206
04.01.2020;15:00;-;-;-;-;-;132
04.01.2020;16:00;-;-;-;-;-;102
04.01.2020;17:00;-;-;-;-;-;102
04.01.2020;18:00;-;-;-;-;-;103
04.01.2020;19:00;-;-;-;-;-;105
04.01.2020;20:00;-;-;-;-;-;239
04.01.2020;21:00;-;-;-;-;-;289
04.01.2020;22:00;-;-;-;-;-;290
04.01.2020;23:00;-;-;-;-;-;289
05.01.2020;00:00;-;-;-;-;-;133
05.01.2020;01:00;-;-;-;-;-;101
05.01.2020;02:00;-;-;-;-;-;102
05.01.2020;03:00;-;-;-;-;-;101
05.01.2020;04:00;-;-;-;-;-;101
05.01.2020;05:00;-;-;-;-;-;102
05.01.2020;06:00;-;-;-;-;-;101
05.01.2020;07:00;-;-;-;-;-;100
05.01.2020;08:00;-;-;-;-;-;101
05.01.2020;09:00;-;-;-;-;-;102
05.01.2020;10:00;-;-;-;-;-;101
05.01.2020;11:00;-;-;-;-;-;102
05.01.2020;12:00;-;-;-;-;-;102
05.01.2020;13:00;-;-;-;-;-;101
05.01.2020;14:00;-;-;-;-;-;101
05.01.2020;15:00;-;-;-;-;-;101
05.01.2020;16:00;-;-;-;-;-;152
05.01.2020;17:00;-;-;-;-;-;282
05.01.2020;18:00;-;-;-;-;-;286
05.01.2020;19:00;-;-;-;-;-;285
05.01.2020;20:00;-;-;-;-;-;228
05.01.2020;21:00;-;-;-;-;-;150
05.01.2020;22:00;-;-;-;-;-;109
05.01.2020;23:00;-;-;-;-;-;102
06.01.2020;00:00;-;-;-;-;-;103
06.01.2020;01:00;-;-;-;-;-;104
06.01.2020;02:00;-;-;-;-;-;103
06.01.2020;03:00;-;-;-;-;-;103
06.01.2020;04:00;-;-;-;-;-;103
06.01.2020;05:00;-;-;-;-;-;103
06.01.2020;06:00;-;-;-;-;-;164
06.01.2020;07:00;-;-;-;-;-;267
06.01.2020;08:00;-;-;-;-;-;284
06.01.2020;09:00;-;-;-;-;-;287
06.01.2020;10:00;-;-;-;-;-;234
06.01.2020;11:00;-;-;-;-;-;135
06.01.2020;12:00;-;-;-;-;-;198
06.01.2020;13:00;-;-;-;-;-;109
06.01.2020;14:00;-;-;-;-;-;107
06.01.2020;15:00;-;-;-;-;-;132
06.01.2020;16:00;-;-;-;-;-;273
06.01.2020;17:00;-;-;-;-;-;288
06.01.2020;18:00;-;-;-;-;-;288
06.01.2020;19:00;-;-;-;-;-;288
06.01.2020;20:00;-;-;-;-;-;288
06.01.2020;21:00;-;-;-;-;-;281
06.01.2020;22:00;-;-;-;-;-;276
06.01.2020;23:00;-;-;-;-;-;277
07.01.2020;00:00;-;-;-;-;-;261
07.01.2020;01:00;-;-;-;-;-;253
07.01.2020;02:00;-;-;-;-;-;121
07.01.2020;03:00;-;-;-;-;-;106
07.01.2020;04:00;-;-;-;-;-;108
07.01.2020;05:00;-;-;-;-;-;109
07.01.2020;06:00;-;-;-;-;-;120
07.01.2020;07:00;-;-;-;-;-;246
07.01.2020;08:00;-;-;-;-;-;280
07.01.2020;09:00;-;-;-;-;-;284
07.01.2020;10:00;-;-;-;-;-;284
07.01.2020;11:00;-;-;-;-;-;285
07.01.2020;12:00;-;-;-;-;-;276
07.01.2020;13:00;-;-;-;-;-;254
07.01.2020;14:00;-;-;-;-;-;252
07.01.2020;15:00;-;-;-;-;-;252
07.01.2020;16:00;-;-;-;-;-;254
07.01.2020;17:00;-;-;-;-;-;253
07.01.2020;18:00;-;-;-;-;-;254
07.01.2020;19:00;-;-;-;-;-;256
07.01.2020;20:00;-;-;-;-;-;155
07.01.2020;21:00;-;-;-;-;-;116
07.01.2020;22:00;-;-;-;-;-;116
07.01.2020;23:00;-;-;-;-;-;117
08.01.2020;00:00;-;-;-;-;-;117
08.01.2020;01:00;-;-;-;-;-;117
08.01.2020;02:00;-;-;-;-;-;117
08.01.2020;03:00;-;-;-;-;-;117
08.01.2020;04:00;-;-;-;-;-;117
08.01.2020;05:00;-;-;-;-;-;117
08.01.2020;06:00;-;-;-;-;-;117
08.01.2020;07:00;-;-;-;-;-;181
08.01.2020;08:00;-;-;-;-;-;255
08.01.2020;09:00;-;-;-;-;-;254
08.01.2020;10:00;-;-;-;-;-;254
08.01.2020;11:00;-;-;-;-;-;253
08.01.2020;12:00;-;-;-;-;-;253
08.01.2020;13:00;-;-;-;-;-;253
08.01.2020;14:00;-;-;-;-;-;256
08.01.2020;15:00;-;-;-;-;-;276
08.01.2020;16:00;-;-;-;-;-;280
08.01.2020;17:00;-;-;-;-;-;281
08.01.2020;18:00;-;-;-;-;-;264
08.01.2020;19:00;-;-;-;-;-;254
08.01.2020;20:00;-;-;-;-;-;255
08.01.2020;21:00;-;-;-;-;-;255
08.01.2020;22:00;-;-;-;-;-;254
08.01.2020;23:00;-;-;-;-;-;254
09.01.2020;00:00;-;-;-;-;-;128
09.01.2020;01:00;-;-;-;-;-;115
09.01.2020;02:00;-;-;-;-;-;117
09.01.2020;03:00;-;-;-;-;-;117
09.01.2020;04:00;-;-;-;-;-;117
09.01.2020;05:00;-;-;-;-;-;117
09.01.2020;06:00;-;-;-;-;-;188
09.01.2020;07:00;-;-;-;-;-;255
09.01.2020;08:00;-;-;-;-;-;246
09.01.2020;09:00;-;-;-;-;-;115
09.01.2020;10:00;-;-;-;-;-;105
09.01.2020;11:00;-;-;-;-;-;108
09.01.2020;12:00;-;-;-;-;-;107
09.01.2020;13:00;-;-;-;-;-;107
09.01.2020;14:00;-;-;-;-;-;108
09.01.2020;15:00;-;-;-;-;-;108
09.01.2020;16:00;-;-;-;-;-;175
09.01.2020;17:00;-;-;-;-;-;262
09.01.2020;18:00;-;-;-;-;-;282
09.01.2020;19:00;-;-;-;-;-;284
09.01.2020;20:00;-;-;-;-;-;121
09.01.2020;21:00;-;-;-;-;-;105
09.01.2020;22:00;-;-;-;-;-;107
09.01.2020;23:00;-;-;-;-;-;107
10.01.2020;00:00;-;-;-;-;-;107
10.01.2020;01:00;-;-;-;-;-;108
10.01.2020;02:00;-;-;-;-;-;107
10.01.2020;03:00;-;-;-;-;-;107
10.01.2020;04:00;-;-;-;-;-;108
10.01.2020;05:00;-;-;-;-;-;112
10.01.2020;06:00;-;-;-;-;-;161
10.01.2020;07:00;-;-;-;-;-;255
10.01.2020;08:00;-;-;-;-;-;253
10.01.2020;09:00;-;-;-;-;-;266
10.01.2020;10:00;-;-;-;-;-;253
10.01.2020;11:00;-;-;-;-;-;258
10.01.2020;12:00;-;-;-;-;-;259
10.01.2020;13:00;-;-;-;-;-;192
10.01.2020;14:00;-;-;-;-;-;256
10.01.2020;15:00;-;-;-;-;-;254
10.01.2020;16:00;-;-;-;-;-;229
10.01.2020;17:00;-;-;-;-;-;149
10.01.2020;18:00;-;-;-;-;-;153
10.01.2020;19:00;-;-;-;-;-;153
10.01.2020;20:00;-;-;-;-;-;152
10.01.2020;21:00;-;-;-;-;-;106
10.01.2020;22:00;-;-;-;-;-;101
10.01.2020;23:00;-;-;-;-;-;102
11.01.2020;00:00;-;-;-;-;-;100
11.01.2020;01:00;-;-;-;-;-;101
11.01.2020;02:00;-;-;-;-;-;101
11.01.2020;03:00;-;-;-;-;-;101
11.01.2020;04:00;-;-;-;-;-;101
11.01.2020;05:00;-;-;-;-;-;100
11.01.2020;06:00;-;-;-;-;-;101
11.01.2020;07:00;-;-;-;-;-;100
11.01.2020;08:00;-;-;-;-;-;102
11.01.2020;09:00;-;-;-;-;-;99
11.01.2020;10:00;-;-;-;-;-;100
11.01.2020;11:00;-;-;-;-;-;102
11.01.2020;12:00;-;-;-;-;-;100
11.01.2020;13:00;-;-;-;-;-;102
11.01.2020;14:00;-;-;-;-;-;102
11.01.2020;15:00;-;-;-;-;-;103
11.01.2020;16:00;-;-;-;-;-;103
11.01.2020;17:00;-;-;-;-;-;102
11.01.2020;18:00;-;-;-;-;-;103
11.01.2020;19:00;-;-;-;-;-;102
11.01.2020;20:00;-;-;-;-;-;103
11.01.2020;21:00;-;-;-;-;-;103
11.01.2020;22:00;-;-;-;-;-;103
11.01.2020;23:00;-;-;-;-;-;100
12.01.2020;00:00;-;-;-;-;-;98
12.01.2020;01:00;-;-;-;-;-;98
12.01.2020;02:00;-;-;-;-;-;98
12.01.2020;03:00;-;-;-;-;-;99
