Datum;Uhrzeit;Generation_DE Block E GTE1[MW];Generation_DE Block E GTE2[MW];Generation_DE GuD F[MW];Generation_DE AGas-und-Dampfturbinen[MW];Generation_DE Block E[MW]
01.01.2020;00:00;-;-;351;0;-
01.01.2020;01:00;-;-;348;0;-
01.01.2020;02:00;-;-;353;0;-
01.01.2020;03:00;-;-;366;0;-
01.01.2020;04:00;-;-;353;0;-
01.01.2020;05:00;-;-;350;0;-
01.01.2020;06:00;-;-;350;0;-
01.01.2020;07:00;-;-;373;0;-
01.01.2020;08:00;-;-;453;0;-
01.01.2020;09:00;-;-;499;0;-
01.01.2020;10:00;-;-;499;0;-
01.01.2020;11:00;-;-;488;0;-
01.01.2020;12:00;-;-;460;0;-
01.01.2020;13:00;-;-;467;0;-
01.01.2020;14:00;-;-;496;0;-
01.01.2020;15:00;-;-;504;0;-
01.01.2020;16:00;-;-;569;0;-
01.01.2020;17:00;-;-;568;0;-
01.01.2020;18:00;-;-;570;0;-
01.01.2020;19:00;-;-;563;0;-
01.01.2020;20:00;-;-;563;0;-
01.01.2020;21:00;-;-;567;0;-
01.01.2020;22:00;-;-;565;0;-
01.01.2020;23:00;-;-;416;0;-
02.01.2020;00:00;-;-;365;0;-
02.01.2020;01:00;-;-;362;0;-
02.01.2020;02:00;-;-;364;0;-
02.01.2020;03:00;-;-;352;0;-
02.01.2020;04:00;-;-;360;0;-
02.01.2020;05:00;-;-;400;0;-
02.01.2020;06:00;-;-;361;3;-
02.01.2020;07:00;-;-;502;22;-
02.01.2020;08:00;-;-;551;70;-
02.01.2020;09:00;-;-;563;76;-
02.01.2020;10:00;-;-;565;76;-
02.01.2020;11:00;-;-;565;76;-
02.01.2020;12:00;-;-;565;76;-
02.01.2020;13:00;-;-;565;76;-
02.01.2020;14:00;-;-;579;76;-
02.01.2020;15:00;-;-;580;76;-
02.01.2020;16:00;-;-;564;76;-
02.01.2020;17:00;-;-;564;76;-
02.01.2020;18:00;-;-;564;76;-
02.01.2020;19:00;-;-;563;76;-
02.01.2020;20:00;-;-;508;76;-
02.01.2020;21:00;-;-;454;76;-
02.01.2020;22:00;-;-;242;69;-
02.01.2020;23:00;-;-;0;68;-
03.01.2020;00:00;-;-;0;68;-
03.01.2020;01:00;-;-;0;68;-
03.01.2020;02:00;-;-;0;68;-
03.01.2020;03:00;-;-;0;68;-
03.01.2020;04:00;-;-;0;68;-
03.01.2020;05:00;-;-;0;69;-
03.01.2020;06:00;-;-;0;68;-
03.01.2020;07:00;-;-;0;82;-
03.01.2020;08:00;-;-;0;87;-
03.01.2020;09:00;-;-;0;87;-
03.01.2020;10:00;-;-;0;87;-
03.01.2020;11:00;-;-;0;87;-
03.01.2020;12:00;-;-;0;88;-
03.01.2020;13:00;-;-;0;88;-
03.01.2020;14:00;-;-;0;87;-
03.01.2020;15:00;-;-;0;82;-
03.01.2020;16:00;-;-;0;82;-
03.01.2020;17:00;-;-;0;88;-
03.01.2020;18:00;-;-;0;87;-
03.01.2020;19:00;-;-;0;87;-
03.01.2020;20:00;-;-;0;86;-
03.01.2020;21:00;-;-;0;86;-
03.01.2020;22:00;-;-;0;86;-
03.01.2020;23:00;-;-;0;85;-
04.01.2020;00:00;-;-;0;78;-
04.01.2020;01:00;-;-;0;78;-
04.01.2020;02:00;-;-;0;78;-
04.01.2020;03:00;-;-;0;77;-
04.01.2020;04:00;-;-;0;76;-
04.01.2020;05:00;-;-;0;77;-
04.01.2020;06:00;-;-;0;78;-
04.01.2020;07:00;-;-;0;77;-
