Datum;Uhrzeit;Generation_DE Süd GT 61[MW];Generation_DE Süd DT 60[MW];Generation_DE Süd GT 62[MW]
01.01.2020;00:00;88;67;90
01.01.2020;01:00;86;67;90
01.01.2020;02:00;86;66;90
01.01.2020;03:00;88;67;90
01.01.2020;04:00;92;69;95
01.01.2020;05:00;100;73;103
01.01.2020;06:00;106;76;110
01.01.2020;07:00;110;95;114
01.01.2020;08:00;110;100;115
01.01.2020;09:00;110;98;115
01.01.2020;10:00;108;92;112
01.01.2020;11:00;104;84;108
01.01.2020;12:00;74;69;77
01.01.2020;13:00;80;68;84
01.01.2020;14:00;93;76;97
01.01.2020;15:00;98;83;102
01.01.2020;16:00;104;100;109
01.01.2020;17:00;105;104;110
01.01.2020;18:00;105;103;110
01.01.2020;19:00;105;102;110
01.01.2020;20:00;105;100;110
01.01.2020;21:00;105;98;110
01.01.2020;22:00;106;82;110
01.01.2020;23:00;98;70;102
02.01.2020;00:00;76;63;79
02.01.2020;01:00;67;61;70
02.01.2020;02:00;66;62;70
02.01.2020;03:00;71;64;76
02.01.2020;04:00;83;69;88
02.01.2020;05:00;112;95;116
02.01.2020;06:00;114;103;118
02.01.2020;07:00;114;108;118
02.01.2020;08:00;114;118;118
02.01.2020;09:00;113;123;118
02.01.2020;10:00;112;117;117
02.01.2020;11:00;108;105;114
02.01.2020;12:00;108;99;113
02.01.2020;13:00;112;100;115
02.01.2020;14:00;109;92;113
02.01.2020;15:00;111;82;115
02.01.2020;16:00;111;80;115
02.01.2020;17:00;110;101;115
02.01.2020;18:00;110;110;115
02.01.2020;19:00;110;101;115
02.01.2020;20:00;101;92;105
02.01.2020;21:00;97;87;102
02.01.2020;22:00;94;78;98
02.01.2020;23:00;95;77;99
03.01.2020;00:00;93;76;97
03.01.2020;01:00;92;77;96
03.01.2020;02:00;92;75;96
03.01.2020;03:00;92;76;96
03.01.2020;04:00;92;74;96
03.01.2020;05:00;93;79;97
03.01.2020;06:00;97;88;101
03.01.2020;07:00;103;100;107
03.01.2020;08:00;105;103;109
03.01.2020;09:00;109;112;110
03.01.2020;10:00;103;102;106
