Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen-Anlage[MW];Generation_DE Kohleanlage[MW]
01.01.2020;00:00;-;31
01.01.2020;01:00;-;31
01.01.2020;02:00;-;31
01.01.2020;03:00;-;31
01.01.2020;04:00;-;31
01.01.2020;05:00;-;32
01.01.2020;06:00;-;32
01.01.2020;07:00;-;32
01.01.2020;08:00;-;32
01.01.2020;09:00;-;32
01.01.2020;10:00;-;32
01.01.2020;11:00;-;32
01.01.2020;12:00;-;32
01.01.2020;13:00;-;32
01.01.2020;14:00;-;31
01.01.2020;15:00;-;31
01.01.2020;16:00;-;31
01.01.2020;17:00;-;31
01.01.2020;18:00;-;31
01.01.2020;19:00;-;32
01.01.2020;20:00;-;32
01.01.2020;21:00;-;32
01.01.2020;22:00;-;31
01.01.2020;23:00;-;31
02.01.2020;00:00;-;31
02.01.2020;01:00;-;31
02.01.2020;02:00;-;31
02.01.2020;03:00;-;31
02.01.2020;04:00;-;31
02.01.2020;05:00;-;32
02.01.2020;06:00;-;32
02.01.2020;07:00;-;32
02.01.2020;08:00;-;33
02.01.2020;09:00;-;33
02.01.2020;10:00;-;32
02.01.2020;11:00;-;37
02.01.2020;12:00;-;37
02.01.2020;13:00;-;37
02.01.2020;14:00;-;37
02.01.2020;15:00;-;37
02.01.2020;16:00;-;37
02.01.2020;17:00;-;37
02.01.2020;18:00;-;36
02.01.2020;19:00;-;36
02.01.2020;20:00;-;36
02.01.2020;21:00;-;35
02.01.2020;22:00;-;32
02.01.2020;23:00;-;31
03.01.2020;00:00;-;29
03.01.2020;01:00;-;28
03.01.2020;02:00;-;28
03.01.2020;03:00;-;28
03.01.2020;04:00;-;32
03.01.2020;05:00;-;33
03.01.2020;06:00;-;35
03.01.2020;07:00;-;36
03.01.2020;08:00;-;37
03.01.2020;09:00;-;37
03.01.2020;10:00;-;37
03.01.2020;11:00;-;37
03.01.2020;12:00;-;37
03.01.2020;13:00;-;38
03.01.2020;14:00;-;36
03.01.2020;15:00;-;36
03.01.2020;16:00;-;36
03.01.2020;17:00;-;35
03.01.2020;18:00;-;19
03.01.2020;19:00;-;21
03.01.2020;20:00;-;21
03.01.2020;21:00;-;19
03.01.2020;22:00;-;17
03.01.2020;23:00;-;17
04.01.2020;00:00;-;15
04.01.2020;01:00;-;13
04.01.2020;02:00;-;13
04.01.2020;03:00;-;12
04.01.2020;04:00;-;12
04.01.2020;05:00;-;12
04.01.2020;06:00;-;14
04.01.2020;07:00;-;15
04.01.2020;08:00;-;19
04.01.2020;09:00;-;21
04.01.2020;10:00;-;21
04.01.2020;11:00;-;21
04.01.2020;12:00;-;21
04.01.2020;13:00;-;21
04.01.2020;14:00;-;22
04.01.2020;15:00;-;21
04.01.2020;16:00;-;21
04.01.2020;17:00;-;21
04.01.2020;18:00;-;21
04.01.2020;19:00;-;21
04.01.2020;20:00;-;21
04.01.2020;21:00;-;21
04.01.2020;22:00;-;21
04.01.2020;23:00;-;21
05.01.2020;00:00;-;15
05.01.2020;01:00;-;15
05.01.2020;02:00;-;16
05.01.2020;03:00;-;16
05.01.2020;04:00;-;58
05.01.2020;05:00;-;58
05.01.2020;06:00;-;58
05.01.2020;07:00;-;58
05.01.2020;08:00;-;58
05.01.2020;09:00;-;58
05.01.2020;10:00;-;57
05.01.2020;11:00;-;58
05.01.2020;12:00;-;58
05.01.2020;13:00;-;57
05.01.2020;14:00;-;58
05.01.2020;15:00;-;58
05.01.2020;16:00;-;58
05.01.2020;17:00;-;58
05.01.2020;18:00;-;58
05.01.2020;19:00;-;58
05.01.2020;20:00;-;58
05.01.2020;21:00;-;58
05.01.2020;22:00;-;57
05.01.2020;23:00;-;57
06.01.2020;00:00;-;56
06.01.2020;01:00;-;58
06.01.2020;02:00;-;59
06.01.2020;03:00;-;59
06.01.2020;04:00;-;59
06.01.2020;05:00;-;59
06.01.2020;06:00;-;59
06.01.2020;07:00;-;58
06.01.2020;08:00;-;58
06.01.2020;09:00;-;59
06.01.2020;10:00;-;59
06.01.2020;11:00;-;59
06.01.2020;12:00;-;59
06.01.2020;13:00;-;59
06.01.2020;14:00;-;58
06.01.2020;15:00;-;58
06.01.2020;16:00;-;58
06.01.2020;17:00;-;57
06.01.2020;18:00;-;58
06.01.2020;19:00;-;58
06.01.2020;20:00;-;58
06.01.2020;21:00;-;58
06.01.2020;22:00;-;58
06.01.2020;23:00;-;58
07.01.2020;00:00;-;58
07.01.2020;01:00;-;58
07.01.2020;02:00;-;58
07.01.2020;03:00;-;58
07.01.2020;04:00;-;58
07.01.2020;05:00;-;58
07.01.2020;06:00;-;59
07.01.2020;07:00;-;59
07.01.2020;08:00;-;59
07.01.2020;09:00;-;59
07.01.2020;10:00;-;59
07.01.2020;11:00;-;59
07.01.2020;12:00;-;58
07.01.2020;13:00;-;57
07.01.2020;14:00;-;58
07.01.2020;15:00;-;58
07.01.2020;16:00;-;58
07.01.2020;17:00;-;58
07.01.2020;18:00;-;58
07.01.2020;19:00;-;58
07.01.2020;20:00;-;59
07.01.2020;21:00;-;58
07.01.2020;22:00;-;58
07.01.2020;23:00;-;57
08.01.2020;00:00;-;58
08.01.2020;01:00;-;58
08.01.2020;02:00;-;58
08.01.2020;03:00;-;58
08.01.2020;04:00;-;58
08.01.2020;05:00;-;57
08.01.2020;06:00;-;58
08.01.2020;07:00;-;58
08.01.2020;08:00;-;58
08.01.2020;09:00;-;58
08.01.2020;10:00;-;58
08.01.2020;11:00;-;58
08.01.2020;12:00;-;57
08.01.2020;13:00;-;57
08.01.2020;14:00;-;57
08.01.2020;15:00;-;57
08.01.2020;16:00;-;57
08.01.2020;17:00;-;57
08.01.2020;18:00;-;56
08.01.2020;19:00;-;57
08.01.2020;20:00;-;57
08.01.2020;21:00;-;57
08.01.2020;22:00;-;57
08.01.2020;23:00;-;57
09.01.2020;00:00;-;55
09.01.2020;01:00;-;55
09.01.2020;02:00;-;54
09.01.2020;03:00;-;54
09.01.2020;04:00;-;57
09.01.2020;05:00;-;57
09.01.2020;06:00;-;58
09.01.2020;07:00;-;57
09.01.2020;08:00;-;57
09.01.2020;09:00;-;57
09.01.2020;10:00;-;57
09.01.2020;11:00;-;58
09.01.2020;12:00;-;58
09.01.2020;13:00;-;57
09.01.2020;14:00;-;58
09.01.2020;15:00;-;58
09.01.2020;16:00;-;57
09.01.2020;17:00;-;57
09.01.2020;18:00;-;57
09.01.2020;19:00;-;58
09.01.2020;20:00;-;57
09.01.2020;21:00;-;57
09.01.2020;22:00;-;57
09.01.2020;23:00;-;57
10.01.2020;00:00;-;56
10.01.2020;01:00;-;57
10.01.2020;02:00;-;57
10.01.2020;03:00;-;58
10.01.2020;04:00;-;58
10.01.2020;05:00;-;60
10.01.2020;06:00;-;62
10.01.2020;07:00;-;62
10.01.2020;08:00;-;62
10.01.2020;09:00;-;63
10.01.2020;10:00;-;63
10.01.2020;11:00;-;62
10.01.2020;12:00;-;62
10.01.2020;13:00;-;61
10.01.2020;14:00;-;61
10.01.2020;15:00;-;61
10.01.2020;16:00;-;61
10.01.2020;17:00;-;62
10.01.2020;18:00;-;62
10.01.2020;19:00;-;63
10.01.2020;20:00;-;63
10.01.2020;21:00;-;60
10.01.2020;22:00;-;59
10.01.2020;23:00;-;59
11.01.2020;00:00;-;59
11.01.2020;01:00;-;58
11.01.2020;02:00;-;58
11.01.2020;03:00;-;60
11.01.2020;04:00;-;63
11.01.2020;05:00;-;63
11.01.2020;06:00;-;63
11.01.2020;07:00;-;63
11.01.2020;08:00;-;63
11.01.2020;09:00;-;63
11.01.2020;10:00;-;63
11.01.2020;11:00;-;63
11.01.2020;12:00;-;63
11.01.2020;13:00;-;63
11.01.2020;14:00;-;63
11.01.2020;15:00;-;63
11.01.2020;16:00;-;63
11.01.2020;17:00;-;63
11.01.2020;18:00;-;63
11.01.2020;19:00;-;63
11.01.2020;20:00;-;63
11.01.2020;21:00;-;22
11.01.2020;22:00;-;20
11.01.2020;23:00;-;16
12.01.2020;00:00;-;12
12.01.2020;01:00;-;11
12.01.2020;02:00;-;11
12.01.2020;03:00;-;11
12.01.2020;04:00;-;11
12.01.2020;05:00;-;11
12.01.2020;06:00;-;13
12.01.2020;07:00;-;13
12.01.2020;08:00;-;13
12.01.2020;09:00;-;16
12.01.2020;10:00;-;60
12.01.2020;11:00;-;63
12.01.2020;12:00;-;63
12.01.2020;13:00;-;63
12.01.2020;14:00;-;63
12.01.2020;15:00;-;63
12.01.2020;16:00;-;63
12.01.2020;17:00;-;63
12.01.2020;18:00;-;63
12.01.2020;19:00;-;63
12.01.2020;20:00;-;63
12.01.2020;21:00;-;63
12.01.2020;22:00;-;61
12.01.2020;23:00;-;59
13.01.2020;00:00;-;60
13.01.2020;01:00;-;61
13.01.2020;02:00;-;61
13.01.2020;03:00;-;63
13.01.2020;04:00;-;64
13.01.2020;05:00;-;64
13.01.2020;06:00;-;64
13.01.2020;07:00;-;63
13.01.2020;08:00;-;63
13.01.2020;09:00;-;63
13.01.2020;10:00;-;63
13.01.2020;11:00;-;63
13.01.2020;12:00;-;63
13.01.2020;13:00;-;63
13.01.2020;14:00;-;63
13.01.2020;15:00;-;62
13.01.2020;16:00;-;62
13.01.2020;17:00;-;63
13.01.2020;18:00;-;63
13.01.2020;19:00;-;63
13.01.2020;20:00;-;62
13.01.2020;21:00;-;62
13.01.2020;22:00;-;59
13.01.2020;23:00;-;59
14.01.2020;00:00;-;18
14.01.2020;01:00;-;12
14.01.2020;02:00;-;11
14.01.2020;03:00;-;12
14.01.2020;04:00;-;12
14.01.2020;05:00;-;15
14.01.2020;06:00;-;18
14.01.2020;07:00;-;21
14.01.2020;08:00;-;21
