Datum;Uhrzeit;Generation_DE Block 1[MW];Generation_DE Block 2[MW]
01.01.2020;00:00;48;41
01.01.2020;01:00;58;36
01.01.2020;02:00;56;38
01.01.2020;03:00;56;37
01.01.2020;04:00;55;37
01.01.2020;05:00;55;39
01.01.2020;06:00;57;60
01.01.2020;07:00;64;59
01.01.2020;08:00;61;57
01.01.2020;09:00;60;57
01.01.2020;10:00;61;57
01.01.2020;11:00;61;57
01.01.2020;12:00;65;50
01.01.2020;13:00;56;58
01.01.2020;14:00;41;58
01.01.2020;15:00;34;60
01.01.2020;16:00;37;61
01.01.2020;17:00;35;56
01.01.2020;18:00;33;50
01.01.2020;19:00;32;51
01.01.2020;20:00;33;52
01.01.2020;21:00;38;50
01.01.2020;22:00;58;43
01.01.2020;23:00;58;33
02.01.2020;00:00;56;33
02.01.2020;01:00;56;33
02.01.2020;02:00;56;33
02.01.2020;03:00;60;33
02.01.2020;04:00;60;33
02.01.2020;05:00;61;33
02.01.2020;06:00;63;35
02.01.2020;07:00;56;48
02.01.2020;08:00;58;53
02.01.2020;09:00;64;54
02.01.2020;10:00;57;54
02.01.2020;11:00;59;55
02.01.2020;12:00;59;54
02.01.2020;13:00;59;39
02.01.2020;14:00;58;38
02.01.2020;15:00;71;57
02.01.2020;16:00;65;66
02.01.2020;17:00;65;65
02.01.2020;18:00;66;63
02.01.2020;19:00;71;86
02.01.2020;20:00;59;91
02.01.2020;21:00;62;81
02.01.2020;22:00;53;47
02.01.2020;23:00;51;47
03.01.2020;00:00;51;48
03.01.2020;01:00;44;46
03.01.2020;02:00;42;47
03.01.2020;03:00;42;48
03.01.2020;04:00;39;48
03.01.2020;05:00;36;48
03.01.2020;06:00;40;48
03.01.2020;07:00;54;50
03.01.2020;08:00;58;53
03.01.2020;09:00;62;57
03.01.2020;10:00;63;58
03.01.2020;11:00;64;60
03.01.2020;12:00;58;59
03.01.2020;13:00;56;58
03.01.2020;14:00;49;52
03.01.2020;15:00;48;51
03.01.2020;16:00;51;50
03.01.2020;17:00;50;43
03.01.2020;18:00;50;37
03.01.2020;19:00;51;37
03.01.2020;20:00;52;37
03.01.2020;21:00;51;35
03.01.2020;22:00;56;35
03.01.2020;23:00;51;36
04.01.2020;00:00;49;35
04.01.2020;01:00;49;35
04.01.2020;02:00;49;35
04.01.2020;03:00;51;35
04.01.2020;04:00;53;36
04.01.2020;05:00;54;35
04.01.2020;06:00;51;33
04.01.2020;07:00;51;33
04.01.2020;08:00;52;34
04.01.2020;09:00;52;33
04.01.2020;10:00;51;33
04.01.2020;11:00;51;33
04.01.2020;12:00;51;33
04.01.2020;13:00;52;33
04.01.2020;14:00;53;33
04.01.2020;15:00;51;34
04.01.2020;16:00;50;37
04.01.2020;17:00;52;36
04.01.2020;18:00;51;36
04.01.2020;19:00;51;36
04.01.2020;20:00;51;35
04.01.2020;21:00;56;36
04.01.2020;22:00;56;35
04.01.2020;23:00;55;35
05.01.2020;00:00;56;35
05.01.2020;01:00;56;35
05.01.2020;02:00;55;35
05.01.2020;03:00;56;35
05.01.2020;04:00;56;35
05.01.2020;05:00;55;34
05.01.2020;06:00;35;34
05.01.2020;07:00;33;33
05.01.2020;08:00;33;33
05.01.2020;09:00;33;33
05.01.2020;10:00;33;33
05.01.2020;11:00;33;34
05.01.2020;12:00;33;33
05.01.2020;13:00;34;33
05.01.2020;14:00;33;33
05.01.2020;15:00;33;34
05.01.2020;16:00;33;34
05.01.2020;17:00;33;36
05.01.2020;18:00;47;35
05.01.2020;19:00;45;35
05.01.2020;20:00;45;34
05.01.2020;21:00;46;34
05.01.2020;22:00;47;35
05.01.2020;23:00;49;35
06.01.2020;00:00;52;53
06.01.2020;01:00;56;56
06.01.2020;02:00;55;54
06.01.2020;03:00;56;60
06.01.2020;04:00;57;61
06.01.2020;05:00;67;58
06.01.2020;06:00;88;71
06.01.2020;07:00;119;74
06.01.2020;08:00;119;79
06.01.2020;09:00;122;83
06.01.2020;10:00;124;83
06.01.2020;11:00;124;83
06.01.2020;12:00;124;83
06.01.2020;13:00;123;85
06.01.2020;14:00;110;93
06.01.2020;15:00;103;92
06.01.2020;16:00;99;94
06.01.2020;17:00;94;97
06.01.2020;18:00;91;88
06.01.2020;19:00;95;88
06.01.2020;20:00;88;88
06.01.2020;21:00;88;86
06.01.2020;22:00;77;78
06.01.2020;23:00;81;79
07.01.2020;00:00;83;82
07.01.2020;01:00;88;84
07.01.2020;02:00;83;83
07.01.2020;03:00;89;92
07.01.2020;04:00;90;93
07.01.2020;05:00;96;95
07.01.2020;06:00;99;103
07.01.2020;07:00;110;108
07.01.2020;08:00;112;109
07.01.2020;09:00;119;117
07.01.2020;10:00;117;118
07.01.2020;11:00;113;120
07.01.2020;12:00;111;121
07.01.2020;13:00;113;118
07.01.2020;14:00;108;109
07.01.2020;15:00;106;105
07.01.2020;16:00;105;104
07.01.2020;17:00;119;120
07.01.2020;18:00;102;101
07.01.2020;19:00;100;96
07.01.2020;20:00;95;91
07.01.2020;21:00;97;92
07.01.2020;22:00;91;89
07.01.2020;23:00;97;92
08.01.2020;00:00;92;89
08.01.2020;01:00;96;89
08.01.2020;02:00;91;89
08.01.2020;03:00;101;97
08.01.2020;04:00;96;102
08.01.2020;05:00;103;103
08.01.2020;06:00;111;107
08.01.2020;07:00;122;123
08.01.2020;08:00;123;124
08.01.2020;09:00;125;122
08.01.2020;10:00;125;119
08.01.2020;11:00;119;117
08.01.2020;12:00;116;111
08.01.2020;13:00;112;112
08.01.2020;14:00;106;107
08.01.2020;15:00;109;107
08.01.2020;16:00;105;105
08.01.2020;17:00;120;118
08.01.2020;18:00;125;124
08.01.2020;19:00;110;109
08.01.2020;20:00;98;97
08.01.2020;21:00;98;98
08.01.2020;22:00;91;91
08.01.2020;23:00;97;94
09.01.2020;00:00;90;91
09.01.2020;01:00;94;93
09.01.2020;02:00;90;90
09.01.2020;03:00;96;92
09.01.2020;04:00;91;94
09.01.2020;05:00;98;93
09.01.2020;06:00;104;100
09.01.2020;07:00;114;115
09.01.2020;08:00;125;124
09.01.2020;09:00;126;124
09.01.2020;10:00;126;125
09.01.2020;11:00;126;126
09.01.2020;12:00;127;126
09.01.2020;13:00;124;127
09.01.2020;14:00;118;127
09.01.2020;15:00;121;124
09.01.2020;16:00;120;109
09.01.2020;17:00;106;103
09.01.2020;18:00;101;103
09.01.2020;19:00;113;109
09.01.2020;20:00;113;112
