Datum;Uhrzeit;Generation_DE M4[MW];Generation_DE Block 4[MW];Generation_DE Block 3[MW];Generation_DE Block 2[MW]
01.01.2020;00:00;-;57;-;-
01.01.2020;01:00;-;57;-;-
01.01.2020;02:00;-;57;-;-
01.01.2020;03:00;-;57;-;-
01.01.2020;04:00;-;57;-;-
01.01.2020;05:00;-;57;-;-
01.01.2020;06:00;-;57;-;-
01.01.2020;07:00;-;57;-;-
01.01.2020;08:00;-;57;-;-
01.01.2020;09:00;-;58;-;-
01.01.2020;10:00;-;58;-;-
01.01.2020;11:00;-;58;-;-
01.01.2020;12:00;-;58;-;-
01.01.2020;13:00;-;60;-;-
01.01.2020;14:00;-;60;-;-
01.01.2020;15:00;-;60;-;-
01.01.2020;16:00;-;60;-;-
01.01.2020;17:00;-;60;-;-
01.01.2020;18:00;-;60;-;-
01.01.2020;19:00;-;60;-;-
01.01.2020;20:00;-;60;-;-
01.01.2020;21:00;-;60;-;-
01.01.2020;22:00;-;60;-;-
01.01.2020;23:00;-;60;-;-
02.01.2020;00:00;-;60;-;-
02.01.2020;01:00;-;60;-;-
02.01.2020;02:00;-;60;-;-
02.01.2020;03:00;-;60;-;-
02.01.2020;04:00;-;60;-;-
02.01.2020;05:00;-;60;-;-
02.01.2020;06:00;-;60;-;-
02.01.2020;07:00;-;60;-;-
02.01.2020;08:00;-;60;-;-
02.01.2020;09:00;-;60;-;-
02.01.2020;10:00;-;60;-;-
02.01.2020;11:00;-;60;-;-
02.01.2020;12:00;-;60;-;-
02.01.2020;13:00;-;60;-;-
02.01.2020;14:00;-;60;-;-
02.01.2020;15:00;-;60;-;-
02.01.2020;16:00;-;60;-;-
02.01.2020;17:00;-;60;-;-
02.01.2020;18:00;-;60;-;-
02.01.2020;19:00;-;60;-;-
02.01.2020;20:00;-;60;-;-
02.01.2020;21:00;-;60;-;-
02.01.2020;22:00;-;60;-;-
02.01.2020;23:00;-;60;-;-
03.01.2020;00:00;-;60;-;-
03.01.2020;01:00;-;53;-;-
03.01.2020;02:00;-;54;-;-
03.01.2020;03:00;-;54;-;-
03.01.2020;04:00;-;60;-;-
03.01.2020;05:00;-;59;-;-
03.01.2020;06:00;-;60;-;-
03.01.2020;07:00;-;60;-;-
03.01.2020;08:00;-;60;-;-
03.01.2020;09:00;-;60;-;-
03.01.2020;10:00;-;60;-;-
03.01.2020;11:00;-;60;-;-
03.01.2020;12:00;-;60;-;-
03.01.2020;13:00;-;60;-;-
03.01.2020;14:00;-;60;-;-
03.01.2020;15:00;-;60;-;-
03.01.2020;16:00;-;60;-;-
03.01.2020;17:00;-;60;-;-
03.01.2020;18:00;-;59;-;-
03.01.2020;19:00;-;52;-;-
03.01.2020;20:00;-;52;-;-
03.01.2020;21:00;-;52;-;-
03.01.2020;22:00;-;52;-;-
03.01.2020;23:00;-;52;-;-
04.01.2020;00:00;-;52;-;-
04.01.2020;01:00;-;52;-;-
04.01.2020;02:00;-;52;-;-
04.01.2020;03:00;-;53;-;-
04.01.2020;04:00;-;53;-;-
04.01.2020;05:00;-;53;-;-
04.01.2020;06:00;-;53;-;-
04.01.2020;07:00;-;53;-;-
04.01.2020;08:00;-;53;-;-
04.01.2020;09:00;-;53;-;-
04.01.2020;10:00;-;53;-;-
04.01.2020;11:00;-;53;-;-
04.01.2020;12:00;-;53;-;-
04.01.2020;13:00;-;60;-;-
04.01.2020;14:00;-;60;-;-
04.01.2020;15:00;-;59;-;-
04.01.2020;16:00;-;58;-;-
04.01.2020;17:00;-;58;-;-
04.01.2020;18:00;-;58;-;-
04.01.2020;19:00;-;59;-;-
04.01.2020;20:00;-;60;-;-
04.01.2020;21:00;-;60;-;-
04.01.2020;22:00;-;60;-;-
04.01.2020;23:00;-;60;-;-
05.01.2020;00:00;-;60;-;-
05.01.2020;01:00;-;60;-;-
05.01.2020;02:00;-;60;-;-
05.01.2020;03:00;-;60;-;-
05.01.2020;04:00;-;57;-;-
05.01.2020;05:00;-;58;-;-
05.01.2020;06:00;-;59;-;-
05.01.2020;07:00;-;60;-;-
05.01.2020;08:00;-;60;-;-
05.01.2020;09:00;-;60;-;-
05.01.2020;10:00;-;60;-;-
05.01.2020;11:00;-;60;-;-
05.01.2020;12:00;-;60;-;-
05.01.2020;13:00;-;60;-;-
05.01.2020;14:00;-;60;-;-
05.01.2020;15:00;-;60;-;-
05.01.2020;16:00;-;60;-;-
05.01.2020;17:00;-;60;-;-
05.01.2020;18:00;-;60;-;-
