Datum;Uhrzeit;Generation_DE KKI 2[MW]
01.01.2020;00:00;1.425
01.01.2020;01:00;1.426
01.01.2020;02:00;1.428
01.01.2020;03:00;1.426
01.01.2020;04:00;1.425
01.01.2020;05:00;1.426
01.01.2020;06:00;1.428
01.01.2020;07:00;1.427
01.01.2020;08:00;1.428
01.01.2020;09:00;1.427
01.01.2020;10:00;1.356
01.01.2020;11:00;1.220
01.01.2020;12:00;1.215
01.01.2020;13:00;1.378
01.01.2020;14:00;1.418
01.01.2020;15:00;1.426
01.01.2020;16:00;1.425
01.01.2020;17:00;1.425
01.01.2020;18:00;1.425
01.01.2020;19:00;1.427
01.01.2020;20:00;1.423
01.01.2020;21:00;1.427
01.01.2020;22:00;1.426
01.01.2020;23:00;1.427
02.01.2020;00:00;1.428
02.01.2020;01:00;1.429
02.01.2020;02:00;1.429
02.01.2020;03:00;1.428
02.01.2020;04:00;1.429
02.01.2020;05:00;1.430
02.01.2020;06:00;1.370
02.01.2020;07:00;1.427
02.01.2020;08:00;1.430
02.01.2020;09:00;1.431
02.01.2020;10:00;1.431
02.01.2020;11:00;1.429
02.01.2020;12:00;1.430
02.01.2020;13:00;1.430
02.01.2020;14:00;1.429
02.01.2020;15:00;1.428
02.01.2020;16:00;1.429
02.01.2020;17:00;1.428
02.01.2020;18:00;1.429
02.01.2020;19:00;1.429
02.01.2020;20:00;1.413
02.01.2020;21:00;1.424
02.01.2020;22:00;1.429
02.01.2020;23:00;1.428
03.01.2020;00:00;1.428
03.01.2020;01:00;1.428
03.01.2020;02:00;1.423
03.01.2020;03:00;1.369
03.01.2020;04:00;1.278
03.01.2020;05:00;1.349
03.01.2020;06:00;1.367
03.01.2020;07:00;1.323
03.01.2020;08:00;1.275
03.01.2020;09:00;1.418
03.01.2020;10:00;1.416
03.01.2020;11:00;1.399
03.01.2020;12:00;1.428
03.01.2020;13:00;1.384
03.01.2020;14:00;1.367
03.01.2020;15:00;1.340
03.01.2020;16:00;1.359
03.01.2020;17:00;1.229
03.01.2020;18:00;1.226
03.01.2020;19:00;1.234
03.01.2020;20:00;1.321
03.01.2020;21:00;1.294
03.01.2020;22:00;1.234
03.01.2020;23:00;1.287
04.01.2020;00:00;1.311
04.01.2020;01:00;1.394
04.01.2020;02:00;1.393
04.01.2020;03:00;1.362
04.01.2020;04:00;1.297
04.01.2020;05:00;1.371
04.01.2020;06:00;1.355
04.01.2020;07:00;1.364
04.01.2020;08:00;1.370
04.01.2020;09:00;1.357
04.01.2020;10:00;1.323
04.01.2020;11:00;1.341
04.01.2020;12:00;1.389
04.01.2020;13:00;1.382
04.01.2020;14:00;1.342
04.01.2020;15:00;1.324
04.01.2020;16:00;1.405
04.01.2020;17:00;1.390
04.01.2020;18:00;1.397
04.01.2020;19:00;1.415
04.01.2020;20:00;1.374
04.01.2020;21:00;1.410
04.01.2020;22:00;1.415
04.01.2020;23:00;1.403
05.01.2020;00:00;1.367
05.01.2020;01:00;1.369
05.01.2020;02:00;1.372
05.01.2020;03:00;1.416
05.01.2020;04:00;1.409
05.01.2020;05:00;1.405
05.01.2020;06:00;1.416
05.01.2020;07:00;1.416
05.01.2020;08:00;1.411
05.01.2020;09:00;1.393
