Datum;Uhrzeit;Generation_DE KKE[MW]
01.01.2020;00:00;1.358
01.01.2020;01:00;1.358
01.01.2020;02:00;1.358
01.01.2020;03:00;1.358
01.01.2020;04:00;1.358
01.01.2020;05:00;1.358
01.01.2020;06:00;1.358
01.01.2020;07:00;1.358
01.01.2020;08:00;1.358
01.01.2020;09:00;1.360
01.01.2020;10:00;1.358
01.01.2020;11:00;1.357
01.01.2020;12:00;1.359
01.01.2020;13:00;1.360
01.01.2020;14:00;1.360
01.01.2020;15:00;1.360
01.01.2020;16:00;1.360
01.01.2020;17:00;1.359
01.01.2020;18:00;1.358
01.01.2020;19:00;1.358
01.01.2020;20:00;1.358
01.01.2020;21:00;1.355
01.01.2020;22:00;1.355
01.01.2020;23:00;1.354
02.01.2020;00:00;1.357
02.01.2020;01:00;1.358
02.01.2020;02:00;1.359
02.01.2020;03:00;1.359
02.01.2020;04:00;1.358
02.01.2020;05:00;1.359
02.01.2020;06:00;1.357
02.01.2020;07:00;1.356
02.01.2020;08:00;1.357
02.01.2020;09:00;1.356
02.01.2020;10:00;1.357
02.01.2020;11:00;1.357
02.01.2020;12:00;1.357
02.01.2020;13:00;1.357
02.01.2020;14:00;1.358
02.01.2020;15:00;1.358
02.01.2020;16:00;1.356
02.01.2020;17:00;1.356
02.01.2020;18:00;1.354
02.01.2020;19:00;1.352
02.01.2020;20:00;1.352
02.01.2020;21:00;1.352
02.01.2020;22:00;1.352
02.01.2020;23:00;1.349
03.01.2020;00:00;1.350
03.01.2020;01:00;1.350
03.01.2020;02:00;1.350
03.01.2020;03:00;1.348
03.01.2020;04:00;1.344
03.01.2020;05:00;1.345
03.01.2020;06:00;1.344
03.01.2020;07:00;1.344
03.01.2020;08:00;1.343
03.01.2020;09:00;1.344
03.01.2020;10:00;1.344
03.01.2020;11:00;1.343
03.01.2020;12:00;1.342
03.01.2020;13:00;1.343
03.01.2020;14:00;1.346
03.01.2020;15:00;1.343
03.01.2020;16:00;1.342
03.01.2020;17:00;1.343
03.01.2020;18:00;1.345
03.01.2020;19:00;1.350
03.01.2020;20:00;1.349
03.01.2020;21:00;1.348
03.01.2020;22:00;1.351
03.01.2020;23:00;1.352
04.01.2020;00:00;1.353
04.01.2020;01:00;1.352
04.01.2020;02:00;1.352
04.01.2020;03:00;1.352
04.01.2020;04:00;1.352
04.01.2020;05:00;1.352
04.01.2020;06:00;1.352
04.01.2020;07:00;1.351
04.01.2020;08:00;1.351
04.01.2020;09:00;1.348
04.01.2020;10:00;1.349
04.01.2020;11:00;1.347
04.01.2020;12:00;1.343
04.01.2020;13:00;1.346
04.01.2020;14:00;1.344
04.01.2020;15:00;1.344
04.01.2020;16:00;1.345
04.01.2020;17:00;1.347
04.01.2020;18:00;1.349
04.01.2020;19:00;1.352
04.01.2020;20:00;1.353
04.01.2020;21:00;1.354
04.01.2020;22:00;1.353
04.01.2020;23:00;1.354
05.01.2020;00:00;1.354
05.01.2020;01:00;1.354
05.01.2020;02:00;1.354
05.01.2020;03:00;1.353
05.01.2020;04:00;1.356
05.01.2020;05:00;1.356
05.01.2020;06:00;1.356
05.01.2020;07:00;1.355
05.01.2020;08:00;1.354
05.01.2020;09:00;1.353
05.01.2020;10:00;1.353
05.01.2020;11:00;1.350
05.01.2020;12:00;1.350
05.01.2020;13:00;1.350
05.01.2020;14:00;1.350
05.01.2020;15:00;1.349
05.01.2020;16:00;1.349
05.01.2020;17:00;1.349
05.01.2020;18:00;1.349
05.01.2020;19:00;1.350
05.01.2020;20:00;1.351
05.01.2020;21:00;1.351
05.01.2020;22:00;1.351
05.01.2020;23:00;1.350
06.01.2020;00:00;1.351
06.01.2020;01:00;1.352
06.01.2020;02:00;1.352
06.01.2020;03:00;1.351
06.01.2020;04:00;1.351
06.01.2020;05:00;1.351
06.01.2020;06:00;1.351
06.01.2020;07:00;1.350
06.01.2020;08:00;1.350
06.01.2020;09:00;1.351
06.01.2020;10:00;1.350
06.01.2020;11:00;1.351
06.01.2020;12:00;1.351
06.01.2020;13:00;1.350
06.01.2020;14:00;1.350
06.01.2020;15:00;1.351
06.01.2020;16:00;1.353
06.01.2020;17:00;1.353
06.01.2020;18:00;1.353
06.01.2020;19:00;1.352
06.01.2020;20:00;1.352
06.01.2020;21:00;1.351
06.01.2020;22:00;1.351
06.01.2020;23:00;1.352
07.01.2020;00:00;1.352
07.01.2020;01:00;1.351
07.01.2020;02:00;1.351
07.01.2020;03:00;1.351
07.01.2020;04:00;1.352
07.01.2020;05:00;1.350
07.01.2020;06:00;1.349
07.01.2020;07:00;1.349
07.01.2020;08:00;1.349
07.01.2020;09:00;1.352
07.01.2020;10:00;1.347
07.01.2020;11:00;1.346
07.01.2020;12:00;1.345
07.01.2020;13:00;1.347
07.01.2020;14:00;1.348
07.01.2020;15:00;1.347
07.01.2020;16:00;1.347
07.01.2020;17:00;1.347
07.01.2020;18:00;1.346
07.01.2020;19:00;1.345
07.01.2020;20:00;1.345
07.01.2020;21:00;1.344
07.01.2020;22:00;1.346
07.01.2020;23:00;1.347
08.01.2020;00:00;1.345
08.01.2020;01:00;1.344
08.01.2020;02:00;1.344
08.01.2020;03:00;1.343
08.01.2020;04:00;1.343
08.01.2020;05:00;1.341
08.01.2020;06:00;1.340
08.01.2020;07:00;1.340
08.01.2020;08:00;1.337
08.01.2020;09:00;1.339
08.01.2020;10:00;1.338
08.01.2020;11:00;1.338
08.01.2020;12:00;1.340
08.01.2020;13:00;1.339
08.01.2020;14:00;1.339
08.01.2020;15:00;1.339
08.01.2020;16:00;1.340
08.01.2020;17:00;1.340
08.01.2020;18:00;1.339
