Datum;Uhrzeit;Generation_DE I[MW]
01.01.2020;00:00;0
01.01.2020;01:00;0
01.01.2020;02:00;0
01.01.2020;03:00;0
01.01.2020;04:00;0
01.01.2020;05:00;0
01.01.2020;06:00;0
01.01.2020;07:00;0
01.01.2020;08:00;0
01.01.2020;09:00;0
01.01.2020;10:00;0
01.01.2020;11:00;0
01.01.2020;12:00;0
01.01.2020;13:00;0
01.01.2020;14:00;0
01.01.2020;15:00;0
01.01.2020;16:00;0
01.01.2020;17:00;0
01.01.2020;18:00;0
01.01.2020;19:00;0
01.01.2020;20:00;0
01.01.2020;21:00;0
01.01.2020;22:00;0
01.01.2020;23:00;0
02.01.2020;00:00;0
02.01.2020;01:00;0
02.01.2020;02:00;0
02.01.2020;03:00;0
02.01.2020;04:00;0
02.01.2020;05:00;0
02.01.2020;06:00;0
02.01.2020;07:00;0
02.01.2020;08:00;0
02.01.2020;09:00;0
02.01.2020;10:00;0
02.01.2020;11:00;0
02.01.2020;12:00;0
02.01.2020;13:00;0
02.01.2020;14:00;0
02.01.2020;15:00;0
02.01.2020;16:00;0
02.01.2020;17:00;0
02.01.2020;18:00;0
02.01.2020;19:00;0
02.01.2020;20:00;0
02.01.2020;21:00;0
02.01.2020;22:00;0
02.01.2020;23:00;0
03.01.2020;00:00;0
03.01.2020;01:00;0
03.01.2020;02:00;0
03.01.2020;03:00;0
03.01.2020;04:00;0
03.01.2020;05:00;0
03.01.2020;06:00;0
03.01.2020;07:00;0
03.01.2020;08:00;0
03.01.2020;09:00;0
03.01.2020;10:00;0
03.01.2020;11:00;0
03.01.2020;12:00;0
03.01.2020;13:00;0
03.01.2020;14:00;0
03.01.2020;15:00;0
03.01.2020;16:00;0
03.01.2020;17:00;0
03.01.2020;18:00;0
03.01.2020;19:00;0
03.01.2020;20:00;0
03.01.2020;21:00;0
03.01.2020;22:00;0
03.01.2020;23:00;0
04.01.2020;00:00;0
04.01.2020;01:00;0
04.01.2020;02:00;0
04.01.2020;03:00;0
04.01.2020;04:00;0
04.01.2020;05:00;0
04.01.2020;06:00;0
04.01.2020;07:00;0
04.01.2020;08:00;0
04.01.2020;09:00;0
04.01.2020;10:00;0
04.01.2020;11:00;0
04.01.2020;12:00;0
04.01.2020;13:00;0
04.01.2020;14:00;0
04.01.2020;15:00;0
04.01.2020;16:00;0
04.01.2020;17:00;0
04.01.2020;18:00;0
04.01.2020;19:00;0
04.01.2020;20:00;0
04.01.2020;21:00;0
04.01.2020;22:00;0
04.01.2020;23:00;0
05.01.2020;00:00;0
05.01.2020;01:00;0
05.01.2020;02:00;0
05.01.2020;03:00;0
05.01.2020;04:00;0
05.01.2020;05:00;0
05.01.2020;06:00;0
05.01.2020;07:00;0
05.01.2020;08:00;0
05.01.2020;09:00;0
05.01.2020;10:00;0
05.01.2020;11:00;0
05.01.2020;12:00;0
05.01.2020;13:00;0
05.01.2020;14:00;0
05.01.2020;15:00;0
05.01.2020;16:00;0
05.01.2020;17:00;0
05.01.2020;18:00;0
05.01.2020;19:00;0
05.01.2020;20:00;0
05.01.2020;21:00;0
05.01.2020;22:00;0
05.01.2020;23:00;0
06.01.2020;00:00;0
06.01.2020;01:00;0
06.01.2020;02:00;0
06.01.2020;03:00;0
06.01.2020;04:00;0
06.01.2020;05:00;0
06.01.2020;06:00;0
06.01.2020;07:00;79
06.01.2020;08:00;204
06.01.2020;09:00;205
06.01.2020;10:00;209
06.01.2020;11:00;475
06.01.2020;12:00;573
06.01.2020;13:00;642
06.01.2020;14:00;773
06.01.2020;15:00;778
06.01.2020;16:00;780
06.01.2020;17:00;782
06.01.2020;18:00;783
06.01.2020;19:00;783
06.01.2020;20:00;754
06.01.2020;21:00;351
06.01.2020;22:00;4
06.01.2020;23:00;0
07.01.2020;00:00;0
07.01.2020;01:00;0
07.01.2020;02:00;0
07.01.2020;03:00;0
07.01.2020;04:00;0
07.01.2020;05:00;0
07.01.2020;06:00;176
07.01.2020;07:00;680
07.01.2020;08:00;750
07.01.2020;09:00;780
07.01.2020;10:00;774
07.01.2020;11:00;772
07.01.2020;12:00;507
07.01.2020;13:00;604
07.01.2020;14:00;776
07.01.2020;15:00;781
07.01.2020;16:00;783
07.01.2020;17:00;784
07.01.2020;18:00;570
07.01.2020;19:00;495
07.01.2020;20:00;495
07.01.2020;21:00;159
07.01.2020;22:00;0
07.01.2020;23:00;0
08.01.2020;00:00;0
08.01.2020;01:00;0
08.01.2020;02:00;0
08.01.2020;03:00;0
08.01.2020;04:00;0
08.01.2020;05:00;0
08.01.2020;06:00;205
08.01.2020;07:00;723
08.01.2020;08:00;772
08.01.2020;09:00;741
08.01.2020;10:00;770
08.01.2020;11:00;779
08.01.2020;12:00;728
08.01.2020;13:00;777
08.01.2020;14:00;776
08.01.2020;15:00;777
08.01.2020;16:00;777
08.01.2020;17:00;778
08.01.2020;18:00;741
08.01.2020;19:00;707
08.01.2020;20:00;707
08.01.2020;21:00;774
08.01.2020;22:00;777
08.01.2020;23:00;773
09.01.2020;00:00;651
09.01.2020;01:00;725
09.01.2020;02:00;374
09.01.2020;03:00;8
09.01.2020;04:00;0
09.01.2020;05:00;0
09.01.2020;06:00;0
09.01.2020;07:00;0
09.01.2020;08:00;0
09.01.2020;09:00;0
09.01.2020;10:00;0
09.01.2020;11:00;0
09.01.2020;12:00;0
09.01.2020;13:00;0
09.01.2020;14:00;0
09.01.2020;15:00;0
09.01.2020;16:00;0
09.01.2020;17:00;0
09.01.2020;18:00;0
09.01.2020;19:00;0
09.01.2020;20:00;0
09.01.2020;21:00;0
09.01.2020;22:00;0
09.01.2020;23:00;0
10.01.2020;00:00;0
10.01.2020;01:00;0
10.01.2020;02:00;0
10.01.2020;03:00;0
10.01.2020;04:00;0
10.01.2020;05:00;0
10.01.2020;06:00;146
10.01.2020;07:00;380
10.01.2020;08:00;756
10.01.2020;09:00;766
10.01.2020;10:00;759
10.01.2020;11:00;634
10.01.2020;12:00;735
10.01.2020;13:00;759
10.01.2020;14:00;763
10.01.2020;15:00;764
10.01.2020;16:00;582
10.01.2020;17:00;513
10.01.2020;18:00;672
10.01.2020;19:00;775
10.01.2020;20:00;642
10.01.2020;21:00;101
10.01.2020;22:00;0
10.01.2020;23:00;0
11.01.2020;00:00;0
11.01.2020;01:00;0
11.01.2020;02:00;0
