Datum;Uhrzeit;Generation_DE GUD C 200
GT 1, GT 2, DT 1[MW]
01.01.2020;00:00;149
01.01.2020;01:00;147
01.01.2020;02:00;147
01.01.2020;03:00;148
01.01.2020;04:00;149
01.01.2020;05:00;150
01.01.2020;06:00;148
01.01.2020;07:00;126
01.01.2020;08:00;127
01.01.2020;09:00;132
01.01.2020;10:00;131
01.01.2020;11:00;128
01.01.2020;12:00;130
01.01.2020;13:00;136
01.01.2020;14:00;137
01.01.2020;15:00;136
01.01.2020;16:00;139
01.01.2020;17:00;139
01.01.2020;18:00;152
01.01.2020;19:00;150
01.01.2020;20:00;149
01.01.2020;21:00;151
01.01.2020;22:00;151
01.01.2020;23:00;152
02.01.2020;00:00;152
02.01.2020;01:00;153
02.01.2020;02:00;152
02.01.2020;03:00;153
02.01.2020;04:00;152
02.01.2020;05:00;157
02.01.2020;06:00;152
02.01.2020;07:00;150
02.01.2020;08:00;153
02.01.2020;09:00;150
02.01.2020;10:00;143
02.01.2020;11:00;143
02.01.2020;12:00;155
02.01.2020;13:00;152
02.01.2020;14:00;152
02.01.2020;15:00;159
02.01.2020;16:00;159
02.01.2020;17:00;159
02.01.2020;18:00;159
02.01.2020;19:00;159
02.01.2020;20:00;159
02.01.2020;21:00;159
02.01.2020;22:00;159
02.01.2020;23:00;159
03.01.2020;00:00;159
03.01.2020;01:00;159
03.01.2020;02:00;159
03.01.2020;03:00;159
03.01.2020;04:00;159
03.01.2020;05:00;159
03.01.2020;06:00;148
03.01.2020;07:00;147
03.01.2020;08:00;147
03.01.2020;09:00;145
03.01.2020;10:00;146
03.01.2020;11:00;147
03.01.2020;12:00;145
03.01.2020;13:00;147
03.01.2020;14:00;148
03.01.2020;15:00;148
03.01.2020;16:00;148
03.01.2020;17:00;130
03.01.2020;18:00;133
03.01.2020;19:00;129
03.01.2020;20:00;130
03.01.2020;21:00;130
03.01.2020;22:00;130
03.01.2020;23:00;130
04.01.2020;00:00;125
04.01.2020;01:00;126
04.01.2020;02:00;127
04.01.2020;03:00;129
04.01.2020;04:00;130
04.01.2020;05:00;129
04.01.2020;06:00;129
04.01.2020;07:00;131
04.01.2020;08:00;150
04.01.2020;09:00;152
04.01.2020;10:00;152
04.01.2020;11:00;152
04.01.2020;12:00;153
