Datum;Uhrzeit;Generation_DE Block 14[MW];Generation_DE Block 15[MW]
01.01.2020;00:00;-;80
01.01.2020;01:00;-;80
01.01.2020;02:00;-;81
01.01.2020;03:00;-;80
01.01.2020;04:00;-;74
01.01.2020;05:00;-;74
01.01.2020;06:00;-;74
01.01.2020;07:00;-;74
01.01.2020;08:00;-;74
01.01.2020;09:00;-;74
01.01.2020;10:00;-;75
01.01.2020;11:00;-;75
01.01.2020;12:00;-;74
01.01.2020;13:00;-;75
01.01.2020;14:00;-;83
01.01.2020;15:00;-;83
01.01.2020;16:00;-;84
01.01.2020;17:00;-;89
01.01.2020;18:00;-;92
01.01.2020;19:00;-;93
01.01.2020;20:00;-;90
01.01.2020;21:00;-;81
01.01.2020;22:00;-;79
01.01.2020;23:00;-;0
02.01.2020;00:00;-;79
02.01.2020;01:00;-;79
02.01.2020;02:00;-;79
02.01.2020;03:00;-;78
02.01.2020;04:00;-;79
02.01.2020;05:00;-;79
02.01.2020;06:00;-;82
02.01.2020;07:00;-;89
02.01.2020;08:00;-;89
02.01.2020;09:00;-;88
02.01.2020;10:00;-;90
02.01.2020;11:00;-;94
02.01.2020;12:00;-;93
02.01.2020;13:00;-;95
02.01.2020;14:00;-;93
02.01.2020;15:00;-;96
02.01.2020;16:00;-;93
02.01.2020;17:00;-;84
02.01.2020;18:00;-;83
02.01.2020;19:00;-;84
02.01.2020;20:00;-;88
02.01.2020;21:00;-;89
02.01.2020;22:00;-;79
02.01.2020;23:00;-;0
03.01.2020;00:00;-;80
03.01.2020;01:00;-;80
03.01.2020;02:00;-;81
03.01.2020;03:00;-;80
03.01.2020;04:00;-;81
03.01.2020;05:00;-;80
03.01.2020;06:00;-;79
03.01.2020;07:00;-;84
03.01.2020;08:00;-;84
03.01.2020;09:00;-;83
03.01.2020;10:00;-;79
03.01.2020;11:00;-;79
03.01.2020;12:00;-;82
03.01.2020;13:00;-;85
03.01.2020;14:00;-;85
03.01.2020;15:00;-;81
03.01.2020;16:00;-;75
03.01.2020;17:00;-;76
03.01.2020;18:00;-;75
03.01.2020;19:00;-;76
03.01.2020;20:00;-;76
03.01.2020;21:00;-;75
03.01.2020;22:00;-;75
03.01.2020;23:00;-;0
04.01.2020;00:00;-;75
04.01.2020;01:00;-;75
04.01.2020;02:00;-;75
04.01.2020;03:00;-;75
04.01.2020;04:00;-;75
04.01.2020;05:00;-;75
04.01.2020;06:00;-;87
04.01.2020;07:00;-;88
04.01.2020;08:00;-;89
04.01.2020;09:00;-;89
04.01.2020;10:00;-;89
04.01.2020;11:00;-;89
04.01.2020;12:00;-;88
04.01.2020;13:00;-;93
04.01.2020;14:00;-;94
04.01.2020;15:00;-;95
04.01.2020;16:00;-;95
04.01.2020;17:00;-;103
04.01.2020;18:00;-;105
04.01.2020;19:00;-;108
04.01.2020;20:00;-;96
04.01.2020;21:00;-;80
04.01.2020;22:00;-;99
04.01.2020;23:00;-;0
05.01.2020;00:00;-;93
05.01.2020;01:00;-;90
05.01.2020;02:00;-;88
05.01.2020;03:00;-;89
05.01.2020;04:00;-;88
05.01.2020;05:00;-;89
05.01.2020;06:00;-;87
05.01.2020;07:00;-;91
05.01.2020;08:00;-;100
05.01.2020;09:00;-;104
05.01.2020;10:00;-;99
05.01.2020;11:00;-;95
05.01.2020;12:00;-;89
05.01.2020;13:00;-;89
05.01.2020;14:00;-;89
05.01.2020;15:00;-;89
05.01.2020;16:00;-;93
05.01.2020;17:00;-;101
05.01.2020;18:00;-;106
05.01.2020;19:00;-;107
05.01.2020;20:00;-;102
05.01.2020;21:00;-;101
05.01.2020;22:00;-;93
05.01.2020;23:00;-;0
06.01.2020;00:00;-;97
06.01.2020;01:00;-;90
06.01.2020;02:00;-;80
06.01.2020;03:00;-;75
06.01.2020;04:00;-;75
06.01.2020;05:00;-;75
06.01.2020;06:00;-;92
06.01.2020;07:00;-;96
06.01.2020;08:00;-;97
06.01.2020;09:00;-;102
06.01.2020;10:00;-;103
06.01.2020;11:00;-;94
06.01.2020;12:00;-;89
06.01.2020;13:00;-;87
06.01.2020;14:00;-;88
06.01.2020;15:00;-;89
06.01.2020;16:00;-;88
06.01.2020;17:00;-;88
06.01.2020;18:00;-;87
06.01.2020;19:00;-;88
06.01.2020;20:00;-;87
06.01.2020;21:00;-;88
06.01.2020;22:00;-;89
06.01.2020;23:00;-;0
07.01.2020;00:00;-;93
07.01.2020;01:00;-;85
07.01.2020;02:00;-;84
07.01.2020;03:00;-;84
07.01.2020;04:00;-;80
07.01.2020;05:00;-;86
07.01.2020;06:00;-;105
07.01.2020;07:00;-;99
07.01.2020;08:00;-;95
07.01.2020;09:00;-;95
07.01.2020;10:00;-;96
07.01.2020;11:00;-;96
07.01.2020;12:00;-;93
07.01.2020;13:00;-;93
07.01.2020;14:00;-;92
07.01.2020;15:00;-;95
07.01.2020;16:00;-;96
07.01.2020;17:00;-;94
07.01.2020;18:00;-;92
07.01.2020;19:00;-;91
07.01.2020;20:00;-;88
07.01.2020;21:00;-;90
07.01.2020;22:00;-;88
07.01.2020;23:00;-;0
08.01.2020;00:00;-;81
08.01.2020;01:00;-;81
08.01.2020;02:00;-;80
08.01.2020;03:00;-;81
08.01.2020;04:00;-;80
08.01.2020;05:00;-;80
08.01.2020;06:00;-;95
08.01.2020;07:00;-;100
08.01.2020;08:00;-;102
08.01.2020;09:00;-;103
08.01.2020;10:00;-;103
08.01.2020;11:00;-;103
08.01.2020;12:00;-;101
08.01.2020;13:00;-;103
08.01.2020;14:00;-;0
08.01.2020;15:00;-;0
08.01.2020;16:00;-;0
08.01.2020;17:00;-;0
08.01.2020;18:00;-;106
08.01.2020;19:00;-;106
08.01.2020;20:00;-;105
08.01.2020;21:00;-;104
08.01.2020;22:00;-;104
08.01.2020;23:00;-;0
09.01.2020;00:00;-;103
09.01.2020;01:00;-;97
09.01.2020;02:00;-;95
09.01.2020;03:00;-;94
09.01.2020;04:00;-;94
09.01.2020;05:00;-;95
09.01.2020;06:00;-;100
09.01.2020;07:00;-;104
09.01.2020;08:00;-;104
09.01.2020;09:00;-;102
09.01.2020;10:00;-;103
09.01.2020;11:00;-;106
09.01.2020;12:00;-;107
09.01.2020;13:00;-;107
09.01.2020;14:00;-;107
09.01.2020;15:00;-;103
09.01.2020;16:00;-;105
09.01.2020;17:00;-;105
09.01.2020;18:00;-;107
09.01.2020;19:00;-;106
09.01.2020;20:00;-;107
09.01.2020;21:00;-;108
09.01.2020;22:00;-;99
09.01.2020;23:00;-;0
10.01.2020;00:00;-;0
10.01.2020;01:00;-;80
10.01.2020;02:00;-;80
10.01.2020;03:00;-;80
10.01.2020;04:00;-;81
10.01.2020;05:00;-;79
10.01.2020;06:00;-;92
10.01.2020;07:00;-;103
10.01.2020;08:00;-;100
10.01.2020;09:00;-;104
10.01.2020;10:00;-;104
10.01.2020;11:00;-;98
10.01.2020;12:00;-;99
10.01.2020;13:00;-;98
10.01.2020;14:00;-;98
10.01.2020;15:00;-;97
10.01.2020;16:00;-;97
10.01.2020;17:00;-;97
10.01.2020;18:00;-;97
10.01.2020;19:00;-;98
10.01.2020;20:00;-;97
10.01.2020;21:00;-;97
10.01.2020;22:00;-;90
10.01.2020;23:00;-;0
11.01.2020;00:00;-;0
11.01.2020;01:00;-;83
11.01.2020;02:00;-;73
11.01.2020;03:00;-;73
11.01.2020;04:00;-;76
11.01.2020;05:00;-;86
11.01.2020;06:00;-;89
11.01.2020;07:00;-;96
11.01.2020;08:00;-;95
11.01.2020;09:00;-;96
11.01.2020;10:00;-;98
11.01.2020;11:00;-;89
11.01.2020;12:00;-;83
11.01.2020;13:00;-;80
11.01.2020;14:00;-;79
11.01.2020;15:00;-;79
11.01.2020;16:00;-;81
11.01.2020;17:00;-;79
11.01.2020;18:00;-;80
11.01.2020;19:00;-;80
11.01.2020;20:00;-;81
11.01.2020;21:00;-;80
11.01.2020;22:00;-;81
11.01.2020;23:00;-;0
12.01.2020;00:00;-;0
12.01.2020;01:00;-;75
12.01.2020;02:00;-;75
12.01.2020;03:00;-;75
12.01.2020;04:00;-;76
12.01.2020;05:00;-;75
12.01.2020;06:00;-;75
