Datum;Uhrzeit;Generation_DE Herne 2[MW];Generation_DE Herne 3[MW];Generation_DE Herne 4[MW]
01.01.2020;00:00;-;-;125
01.01.2020;01:00;-;-;107
01.01.2020;02:00;-;-;106
01.01.2020;03:00;-;-;121
01.01.2020;04:00;-;-;120
01.01.2020;05:00;-;-;139
01.01.2020;06:00;-;-;156
01.01.2020;07:00;-;-;165
01.01.2020;08:00;-;-;164
01.01.2020;09:00;-;-;163
01.01.2020;10:00;-;-;146
01.01.2020;11:00;-;-;136
01.01.2020;12:00;-;-;123
01.01.2020;13:00;-;-;117
01.01.2020;14:00;-;-;105
01.01.2020;15:00;-;-;117
01.01.2020;16:00;-;-;118
01.01.2020;17:00;-;-;129
01.01.2020;18:00;-;-;151
01.01.2020;19:00;-;-;152
01.01.2020;20:00;-;-;153
01.01.2020;21:00;-;-;150
01.01.2020;22:00;-;-;138
01.01.2020;23:00;-;-;132
02.01.2020;00:00;-;-;119
02.01.2020;01:00;-;-;118
02.01.2020;02:00;-;-;140
02.01.2020;03:00;-;-;149
02.01.2020;04:00;-;-;167
02.01.2020;05:00;-;-;180
02.01.2020;06:00;-;-;199
02.01.2020;07:00;-;-;215
02.01.2020;08:00;-;-;299
02.01.2020;09:00;-;-;333
02.01.2020;10:00;-;-;370
02.01.2020;11:00;-;-;315
02.01.2020;12:00;-;-;322
02.01.2020;13:00;-;-;356
02.01.2020;14:00;-;-;370
02.01.2020;15:00;-;-;370
02.01.2020;16:00;-;-;347
02.01.2020;17:00;-;-;266
02.01.2020;18:00;-;-;262
02.01.2020;19:00;-;-;254
02.01.2020;20:00;-;-;171
02.01.2020;21:00;-;-;131
02.01.2020;22:00;-;-;123
02.01.2020;23:00;-;-;136
03.01.2020;00:00;-;-;138
03.01.2020;01:00;-;-;142
03.01.2020;02:00;-;-;135
03.01.2020;03:00;-;-;127
03.01.2020;04:00;-;-;111
03.01.2020;05:00;-;-;122
03.01.2020;06:00;-;-;141
03.01.2020;07:00;-;-;150
03.01.2020;08:00;-;-;151
03.01.2020;09:00;-;-;138
03.01.2020;10:00;-;-;141
03.01.2020;11:00;-;-;150
03.01.2020;12:00;-;-;150
03.01.2020;13:00;-;-;142
03.01.2020;14:00;-;-;133
03.01.2020;15:00;-;-;123
03.01.2020;16:00;-;-;113
03.01.2020;17:00;-;-;112
03.01.2020;18:00;-;-;112
03.01.2020;19:00;-;-;121
03.01.2020;20:00;-;-;132
03.01.2020;21:00;-;-;124
03.01.2020;22:00;-;-;125
03.01.2020;23:00;-;-;120
04.01.2020;00:00;-;-;118
04.01.2020;01:00;-;-;131
04.01.2020;02:00;-;-;134
04.01.2020;03:00;-;-;133
04.01.2020;04:00;-;-;137
04.01.2020;05:00;-;-;149
04.01.2020;06:00;-;-;140
04.01.2020;07:00;-;-;144
04.01.2020;08:00;-;-;141
04.01.2020;09:00;-;-;143
04.01.2020;10:00;-;-;161
04.01.2020;11:00;-;-;166
04.01.2020;12:00;-;-;159
04.01.2020;13:00;-;-;150
04.01.2020;14:00;-;-;153
04.01.2020;15:00;-;-;193
04.01.2020;16:00;-;-;192
04.01.2020;17:00;-;-;140
04.01.2020;18:00;-;-;131
04.01.2020;19:00;-;-;137
04.01.2020;20:00;-;-;129
04.01.2020;21:00;-;-;129
04.01.2020;22:00;-;-;157
04.01.2020;23:00;-;-;91
05.01.2020;00:00;-;-;112
05.01.2020;01:00;-;-;109
05.01.2020;02:00;-;-;118
05.01.2020;03:00;-;-;140
05.01.2020;04:00;-;-;136
05.01.2020;05:00;-;-;132
05.01.2020;06:00;-;-;157
05.01.2020;07:00;-;-;160
05.01.2020;08:00;-;-;161
05.01.2020;09:00;-;-;161
05.01.2020;10:00;-;-;161
05.01.2020;11:00;-;-;160
05.01.2020;12:00;-;-;153
05.01.2020;13:00;-;-;154
05.01.2020;14:00;-;-;153
05.01.2020;15:00;-;-;153
05.01.2020;16:00;-;-;157
05.01.2020;17:00;-;-;161
05.01.2020;18:00;-;-;161
05.01.2020;19:00;-;-;177
05.01.2020;20:00;-;-;206
05.01.2020;21:00;-;-;205
05.01.2020;22:00;-;-;165
05.01.2020;23:00;-;-;106
06.01.2020;00:00;-;-;133
06.01.2020;01:00;-;-;116
06.01.2020;02:00;-;-;111
06.01.2020;03:00;-;-;116
06.01.2020;04:00;-;-;129
06.01.2020;05:00;-;-;174
06.01.2020;06:00;-;-;238
06.01.2020;07:00;-;-;281
06.01.2020;08:00;-;-;315
06.01.2020;09:00;-;-;274
06.01.2020;10:00;-;-;191
06.01.2020;11:00;-;-;180
06.01.2020;12:00;-;-;173
06.01.2020;13:00;-;-;155
06.01.2020;14:00;-;-;150
06.01.2020;15:00;-;-;155
06.01.2020;16:00;-;-;153
06.01.2020;17:00;-;-;153
06.01.2020;18:00;-;-;171
06.01.2020;19:00;-;-;151
06.01.2020;20:00;-;-;152
06.01.2020;21:00;-;-;148
06.01.2020;22:00;-;-;134
06.01.2020;23:00;-;-;109
07.01.2020;00:00;-;-;107
07.01.2020;01:00;-;-;107
07.01.2020;02:00;-;-;103
07.01.2020;03:00;-;-;102
07.01.2020;04:00;-;-;110
07.01.2020;05:00;-;-;129
07.01.2020;06:00;-;-;200
07.01.2020;07:00;-;-;333
07.01.2020;08:00;-;-;390
07.01.2020;09:00;-;-;406
07.01.2020;10:00;-;-;403
07.01.2020;11:00;-;-;406
07.01.2020;12:00;-;-;398
07.01.2020;13:00;-;-;359
07.01.2020;14:00;-;-;415
07.01.2020;15:00;-;-;415
07.01.2020;16:00;-;-;413
07.01.2020;17:00;-;-;415
07.01.2020;18:00;-;-;381
07.01.2020;19:00;-;-;261
07.01.2020;20:00;-;-;136
07.01.2020;21:00;-;-;108
07.01.2020;22:00;-;-;106
07.01.2020;23:00;-;-;109
08.01.2020;00:00;-;-;107
08.01.2020;01:00;-;-;105
08.01.2020;02:00;-;-;109
08.01.2020;03:00;-;-;108
08.01.2020;04:00;-;-;108
08.01.2020;05:00;-;-;107
08.01.2020;06:00;-;-;110
08.01.2020;07:00;-;-;140
08.01.2020;08:00;-;-;126
08.01.2020;09:00;-;-;150
08.01.2020;10:00;-;-;186
08.01.2020;11:00;-;-;301
08.01.2020;12:00;-;-;304
08.01.2020;13:00;-;-;330
08.01.2020;14:00;-;-;408
08.01.2020;15:00;-;-;353
08.01.2020;16:00;-;-;418
08.01.2020;17:00;-;-;422
08.01.2020;18:00;-;-;410
08.01.2020;19:00;-;-;374
08.01.2020;20:00;-;-;424
08.01.2020;21:00;-;-;394
08.01.2020;22:00;-;-;259
08.01.2020;23:00;-;-;121
09.01.2020;00:00;-;-;110
09.01.2020;01:00;-;-;107
09.01.2020;02:00;-;-;110
09.01.2020;03:00;-;-;109
09.01.2020;04:00;-;-;104
09.01.2020;05:00;-;-;104
09.01.2020;06:00;-;-;105
