Datum;Uhrzeit;Generation_DE Kraftwerk3[MW];Generation_DE Kraftwerk2[MW]
01.01.2020;00:00;0;0
01.01.2020;01:00;0;0
01.01.2020;02:00;0;0
01.01.2020;03:00;0;0
01.01.2020;04:00;0;0
01.01.2020;05:00;0;0
01.01.2020;06:00;0;0
01.01.2020;07:00;0;0
01.01.2020;08:00;0;0
01.01.2020;09:00;0;0
01.01.2020;10:00;0;0
01.01.2020;11:00;0;0
01.01.2020;12:00;0;0
01.01.2020;13:00;0;0
01.01.2020;14:00;0;0
01.01.2020;15:00;0;0
01.01.2020;16:00;0;0
01.01.2020;17:00;0;0
01.01.2020;18:00;0;0
01.01.2020;19:00;0;0
01.01.2020;20:00;0;0
01.01.2020;21:00;0;0
01.01.2020;22:00;0;0
01.01.2020;23:00;0;0
02.01.2020;00:00;0;0
02.01.2020;01:00;0;0
02.01.2020;02:00;0;0
02.01.2020;03:00;0;0
02.01.2020;04:00;0;0
02.01.2020;05:00;0;0
02.01.2020;06:00;0;0
02.01.2020;07:00;0;0
02.01.2020;08:00;0;0
02.01.2020;09:00;0;0
02.01.2020;10:00;0;0
02.01.2020;11:00;0;0
02.01.2020;12:00;0;0
02.01.2020;13:00;0;0
02.01.2020;14:00;0;0
02.01.2020;15:00;0;0
02.01.2020;16:00;0;0
02.01.2020;17:00;0;0
02.01.2020;18:00;0;0
02.01.2020;19:00;0;0
02.01.2020;20:00;0;0
02.01.2020;21:00;0;0
02.01.2020;22:00;0;0
02.01.2020;23:00;0;0
03.01.2020;00:00;0;0
03.01.2020;01:00;0;0
03.01.2020;02:00;0;0
03.01.2020;03:00;34;0
03.01.2020;04:00;216;0
03.01.2020;05:00;207;0
03.01.2020;06:00;250;0
03.01.2020;07:00;309;0
03.01.2020;08:00;350;0
03.01.2020;09:00;399;0
03.01.2020;10:00;400;0
03.01.2020;11:00;400;0
03.01.2020;12:00;336;0
03.01.2020;13:00;288;0
03.01.2020;14:00;202;0
03.01.2020;15:00;200;0
03.01.2020;16:00;200;0
03.01.2020;17:00;200;0
03.01.2020;18:00;207;0
03.01.2020;19:00;395;0
03.01.2020;20:00;398;0
03.01.2020;21:00;302;0
03.01.2020;22:00;214;0
03.01.2020;23:00;200;0
04.01.2020;00:00;200;0
04.01.2020;01:00;200;0
04.01.2020;02:00;200;0
04.01.2020;03:00;200;0
04.01.2020;04:00;200;0
04.01.2020;05:00;200;0
04.01.2020;06:00;200;0
04.01.2020;07:00;254;0
04.01.2020;08:00;420;0
04.01.2020;09:00;423;0
04.01.2020;10:00;423;0
04.01.2020;11:00;423;0
04.01.2020;12:00;422;0
04.01.2020;13:00;421;0
04.01.2020;14:00;414;0
04.01.2020;15:00;253;0
04.01.2020;16:00;207;0
04.01.2020;17:00;396;0
04.01.2020;18:00;416;0
04.01.2020;19:00;266;0
04.01.2020;20:00;354;0
04.01.2020;21:00;203;0
04.01.2020;22:00;200;0
04.01.2020;23:00;200;0
05.01.2020;00:00;24;0
05.01.2020;01:00;0;0
05.01.2020;02:00;0;0
05.01.2020;03:00;0;0
05.01.2020;04:00;0;0
05.01.2020;05:00;0;0
05.01.2020;06:00;0;0
05.01.2020;07:00;205;0
05.01.2020;08:00;390;0
05.01.2020;09:00;384;0
05.01.2020;10:00;403;0
05.01.2020;11:00;417;0
05.01.2020;12:00;428;0
05.01.2020;13:00;436;0
05.01.2020;14:00;436;0
05.01.2020;15:00;436;0
05.01.2020;16:00;430;0
05.01.2020;17:00;436;0
05.01.2020;18:00;436;0
05.01.2020;19:00;432;0
05.01.2020;20:00;437;0
05.01.2020;21:00;437;0
05.01.2020;22:00;439;0
05.01.2020;23:00;389;0
06.01.2020;00:00;384;0
06.01.2020;01:00;384;0
06.01.2020;02:00;384;0
06.01.2020;03:00;384;0
06.01.2020;04:00;379;0
06.01.2020;05:00;379;0
06.01.2020;06:00;429;0
06.01.2020;07:00;429;0
06.01.2020;08:00;429;0
06.01.2020;09:00;432;0
06.01.2020;10:00;414;0
06.01.2020;11:00;429;0
06.01.2020;12:00;429;0
06.01.2020;13:00;426;0
06.01.2020;14:00;429;0
06.01.2020;15:00;429;0
06.01.2020;16:00;427;0
06.01.2020;17:00;427;0
06.01.2020;18:00;429;0
06.01.2020;19:00;429;0
06.01.2020;20:00;418;0
06.01.2020;21:00;420;0
06.01.2020;22:00;425;0
06.01.2020;23:00;335;0
07.01.2020;00:00;363;0
07.01.2020;01:00;416;0
07.01.2020;02:00;335;0
07.01.2020;03:00;242;0
07.01.2020;04:00;279;0
07.01.2020;05:00;375;0
07.01.2020;06:00;412;0
07.01.2020;07:00;439;0
07.01.2020;08:00;446;0
07.01.2020;09:00;446;0
07.01.2020;10:00;446;0
07.01.2020;11:00;445;0
07.01.2020;12:00;437;0
07.01.2020;13:00;440;0
07.01.2020;14:00;440;0
07.01.2020;15:00;437;0
07.01.2020;16:00;431;0
07.01.2020;17:00;431;0
07.01.2020;18:00;424;0
07.01.2020;19:00;418;0
07.01.2020;20:00;428;0
07.01.2020;21:00;432;0
07.01.2020;22:00;300;0
07.01.2020;23:00;0;0
08.01.2020;00:00;0;0
08.01.2020;01:00;0;0
08.01.2020;02:00;0;0
08.01.2020;03:00;0;0
08.01.2020;04:00;0;0
08.01.2020;05:00;0;0
08.01.2020;06:00;0;0
08.01.2020;07:00;259;0
08.01.2020;08:00;412;0
08.01.2020;09:00;388;0
08.01.2020;10:00;422;0
08.01.2020;11:00;431;0
08.01.2020;12:00;416;0
08.01.2020;13:00;426;0
08.01.2020;14:00;429;0
08.01.2020;15:00;430;0
08.01.2020;16:00;429;0
08.01.2020;17:00;402;0
08.01.2020;18:00;349;0
08.01.2020;19:00;393;0
08.01.2020;20:00;350;0
08.01.2020;21:00;377;0
08.01.2020;22:00;400;0
08.01.2020;23:00;402;0
09.01.2020;00:00;426;0
09.01.2020;01:00;434;0
09.01.2020;02:00;434;0
09.01.2020;03:00;432;0
09.01.2020;04:00;400;0
09.01.2020;05:00;415;0
09.01.2020;06:00;427;0
09.01.2020;07:00;426;0
09.01.2020;08:00;371;0
09.01.2020;09:00;302;0
09.01.2020;10:00;354;0
09.01.2020;11:00;354;0
09.01.2020;12:00;290;0
09.01.2020;13:00;317;0
09.01.2020;14:00;369;0
09.01.2020;15:00;395;0
09.01.2020;16:00;407;0
09.01.2020;17:00;392;0
09.01.2020;18:00;421;0
09.01.2020;19:00;415;0
09.01.2020;20:00;297;0
09.01.2020;21:00;0;0
09.01.2020;22:00;0;0
09.01.2020;23:00;0;0
10.01.2020;00:00;0;0
10.01.2020;01:00;0;0
10.01.2020;02:00;0;0
10.01.2020;03:00;0;0
10.01.2020;04:00;0;0
10.01.2020;05:00;0;0
10.01.2020;06:00;258;0
10.01.2020;07:00;413;0
10.01.2020;08:00;418;0
10.01.2020;09:00;423;0
10.01.2020;10:00;424;0
10.01.2020;11:00;368;0
10.01.2020;12:00;414;0
10.01.2020;13:00;427;0
10.01.2020;14:00;400;0
10.01.2020;15:00;339;0
10.01.2020;16:00;340;0
10.01.2020;17:00;345;0
10.01.2020;18:00;430;0
10.01.2020;19:00;435;0
10.01.2020;20:00;394;0
10.01.2020;21:00;367;0
