Datum;Uhrzeit;Generation_DE GT 3[MW];Generation_DE Block 4[MW];Generation_DE Block 3[MW]
01.01.2020;00:00;-;164;-
01.01.2020;01:00;-;149;-
01.01.2020;02:00;-;163;-
01.01.2020;03:00;-;144;-
01.01.2020;04:00;-;152;-
01.01.2020;05:00;-;154;-
01.01.2020;06:00;-;145;-
01.01.2020;07:00;-;144;-
01.01.2020;08:00;-;141;-
01.01.2020;09:00;-;132;-
01.01.2020;10:00;-;135;-
01.01.2020;11:00;-;151;-
01.01.2020;12:00;-;158;-
01.01.2020;13:00;-;148;-
01.01.2020;14:00;-;150;-
01.01.2020;15:00;-;127;-
01.01.2020;16:00;-;97;-
01.01.2020;17:00;-;103;-
01.01.2020;18:00;-;120;-
01.01.2020;19:00;-;144;-
01.01.2020;20:00;-;154;-
01.01.2020;21:00;-;135;-
01.01.2020;22:00;-;128;-
01.01.2020;23:00;-;0;-
02.01.2020;00:00;-;56;-
02.01.2020;01:00;-;56;-
02.01.2020;02:00;-;105;-
02.01.2020;03:00;-;127;-
02.01.2020;04:00;-;122;-
02.01.2020;05:00;-;150;-
02.01.2020;06:00;-;151;-
02.01.2020;07:00;-;149;-
02.01.2020;08:00;-;146;-
02.01.2020;09:00;-;111;-
02.01.2020;10:00;-;77;-
02.01.2020;11:00;-;86;-
02.01.2020;12:00;-;90;-
02.01.2020;13:00;-;90;-
02.01.2020;14:00;-;83;-
02.01.2020;15:00;-;68;-
02.01.2020;16:00;-;62;-
02.01.2020;17:00;-;72;-
02.01.2020;18:00;-;67;-
02.01.2020;19:00;-;76;-
02.01.2020;20:00;-;83;-
02.01.2020;21:00;-;68;-
02.01.2020;22:00;-;87;-
02.01.2020;23:00;-;0;-
03.01.2020;00:00;-;91;-
03.01.2020;01:00;-;96;-
03.01.2020;02:00;-;105;-
03.01.2020;03:00;-;99;-
03.01.2020;04:00;-;114;-
03.01.2020;05:00;-;117;-
03.01.2020;06:00;-;90;-
03.01.2020;07:00;-;121;-
03.01.2020;08:00;-;120;-
03.01.2020;09:00;-;118;-
03.01.2020;10:00;-;115;-
03.01.2020;11:00;-;112;-
03.01.2020;12:00;-;111;-
03.01.2020;13:00;-;111;-
03.01.2020;14:00;-;108;-
03.01.2020;15:00;-;102;-
03.01.2020;16:00;-;127;-
03.01.2020;17:00;-;131;-
03.01.2020;18:00;-;144;-
03.01.2020;19:00;-;139;-
03.01.2020;20:00;-;102;-
03.01.2020;21:00;-;109;-
03.01.2020;22:00;-;110;-
03.01.2020;23:00;-;0;-
04.01.2020;00:00;-;86;-
04.01.2020;01:00;-;83;-
04.01.2020;02:00;-;80;-
04.01.2020;03:00;-;73;-
04.01.2020;04:00;-;71;-
04.01.2020;05:00;-;95;-
04.01.2020;06:00;-;92;-
04.01.2020;07:00;-;88;-
04.01.2020;08:00;-;88;-
04.01.2020;09:00;-;96;-
04.01.2020;10:00;-;97;-
04.01.2020;11:00;-;97;-
04.01.2020;12:00;-;98;-
04.01.2020;13:00;-;101;-
04.01.2020;14:00;-;113;-
04.01.2020;15:00;-;113;-
04.01.2020;16:00;-;113;-
04.01.2020;17:00;-;118;-
04.01.2020;18:00;-;130;-
04.01.2020;19:00;-;111;-
04.01.2020;20:00;-;100;-
04.01.2020;21:00;-;108;-
04.01.2020;22:00;-;106;-
04.01.2020;23:00;-;0;-
05.01.2020;00:00;-;103;-
05.01.2020;01:00;-;111;-
05.01.2020;02:00;-;113;-
05.01.2020;03:00;-;120;-
05.01.2020;04:00;-;112;-
05.01.2020;05:00;-;116;-
05.01.2020;06:00;-;122;-
05.01.2020;07:00;-;122;-
05.01.2020;08:00;-;122;-
05.01.2020;09:00;-;121;-
05.01.2020;10:00;-;121;-
05.01.2020;11:00;-;123;-
05.01.2020;12:00;-;134;-
05.01.2020;13:00;-;131;-
05.01.2020;14:00;-;120;-
05.01.2020;15:00;-;123;-
05.01.2020;16:00;-;132;-
05.01.2020;17:00;-;133;-
05.01.2020;18:00;-;133;-
05.01.2020;19:00;-;140;-
05.01.2020;20:00;-;127;-
05.01.2020;21:00;-;125;-
05.01.2020;22:00;-;107;-
05.01.2020;23:00;-;0;-
06.01.2020;00:00;-;121;-
06.01.2020;01:00;-;133;-
06.01.2020;02:00;-;133;-
06.01.2020;03:00;-;133;-
06.01.2020;04:00;-;133;-
06.01.2020;05:00;-;133;-
06.01.2020;06:00;-;128;-
06.01.2020;07:00;-;145;-
06.01.2020;08:00;-;131;-
06.01.2020;09:00;-;137;-
06.01.2020;10:00;-;133;-
06.01.2020;11:00;-;140;-
06.01.2020;12:00;-;143;-
06.01.2020;13:00;-;144;-
06.01.2020;14:00;-;144;-
06.01.2020;15:00;-;153;-
06.01.2020;16:00;-;156;-
06.01.2020;17:00;-;154;-
06.01.2020;18:00;-;146;-
06.01.2020;19:00;-;146;-
06.01.2020;20:00;-;138;-
06.01.2020;21:00;-;126;-
06.01.2020;22:00;-;120;-
06.01.2020;23:00;-;0;-
07.01.2020;00:00;-;120;-
