Datum;Uhrzeit;Generation_DE Kraftwerk Rheinfelden[MW]
01.01.2020;00:00;34
01.01.2020;01:00;34
01.01.2020;02:00;33
01.01.2020;03:00;33
01.01.2020;04:00;33
01.01.2020;05:00;33
01.01.2020;06:00;33
01.01.2020;07:00;33
01.01.2020;08:00;33
01.01.2020;09:00;33
01.01.2020;10:00;33
01.01.2020;11:00;33
01.01.2020;12:00;33
01.01.2020;13:00;33
01.01.2020;14:00;32
01.01.2020;15:00;32
01.01.2020;16:00;31
01.01.2020;17:00;31
01.01.2020;18:00;32
01.01.2020;19:00;32
01.01.2020;20:00;32
01.01.2020;21:00;32
01.01.2020;22:00;32
01.01.2020;23:00;33
02.01.2020;00:00;33
02.01.2020;01:00;33
02.01.2020;02:00;33
02.01.2020;03:00;33
02.01.2020;04:00;33
02.01.2020;05:00;32
02.01.2020;06:00;32
02.01.2020;07:00;31
02.01.2020;08:00;31
02.01.2020;09:00;32
02.01.2020;10:00;33
02.01.2020;11:00;33
02.01.2020;12:00;34
02.01.2020;13:00;34
02.01.2020;14:00;34
02.01.2020;15:00;33
02.01.2020;16:00;33
02.01.2020;17:00;33
02.01.2020;18:00;33
02.01.2020;19:00;33
02.01.2020;20:00;33
02.01.2020;21:00;32
02.01.2020;22:00;31
02.01.2020;23:00;30
03.01.2020;00:00;30
03.01.2020;01:00;30
03.01.2020;02:00;30
03.01.2020;03:00;30
03.01.2020;04:00;29
03.01.2020;05:00;29
03.01.2020;06:00;29
03.01.2020;07:00;29
03.01.2020;08:00;29
03.01.2020;09:00;29
03.01.2020;10:00;29
03.01.2020;11:00;29
03.01.2020;12:00;30
03.01.2020;13:00;30
03.01.2020;14:00;30
03.01.2020;15:00;30
03.01.2020;16:00;30
03.01.2020;17:00;30
03.01.2020;18:00;30
03.01.2020;19:00;31
03.01.2020;20:00;32
03.01.2020;21:00;32
03.01.2020;22:00;31
03.01.2020;23:00;30
04.01.2020;00:00;29
04.01.2020;01:00;29
04.01.2020;02:00;29
04.01.2020;03:00;29
04.01.2020;04:00;29
04.01.2020;05:00;29
04.01.2020;06:00;29
04.01.2020;07:00;29
04.01.2020;08:00;29
04.01.2020;09:00;29
04.01.2020;10:00;30
04.01.2020;11:00;29
04.01.2020;12:00;29
04.01.2020;13:00;29
04.01.2020;14:00;29
04.01.2020;15:00;29
04.01.2020;16:00;29
04.01.2020;17:00;29
04.01.2020;18:00;29
04.01.2020;19:00;29
04.01.2020;20:00;30
04.01.2020;21:00;30
04.01.2020;22:00;30
04.01.2020;23:00;30
05.01.2020;00:00;30
05.01.2020;01:00;30
05.01.2020;02:00;29
05.01.2020;03:00;29
