Datum;Uhrzeit;Generation_DE Walsum 10[MW];Generation_DE Walsum 9[MW];Generation_DE Walsum 7[MW]
01.01.2020;00:00;0;83;-
01.01.2020;01:00;0;84;-
01.01.2020;02:00;0;83;-
01.01.2020;03:00;0;83;-
01.01.2020;04:00;0;83;-
01.01.2020;05:00;0;83;-
01.01.2020;06:00;0;83;-
01.01.2020;07:00;0;83;-
01.01.2020;08:00;0;83;-
01.01.2020;09:00;0;82;-
01.01.2020;10:00;0;83;-
01.01.2020;11:00;0;83;-
01.01.2020;12:00;0;84;-
01.01.2020;13:00;0;82;-
01.01.2020;14:00;0;83;-
01.01.2020;15:00;0;94;-
01.01.2020;16:00;0;86;-
01.01.2020;17:00;0;83;-
01.01.2020;18:00;0;83;-
01.01.2020;19:00;0;83;-
01.01.2020;20:00;0;83;-
01.01.2020;21:00;0;84;-
01.01.2020;22:00;0;83;-
01.01.2020;23:00;0;83;-
02.01.2020;00:00;0;84;-
02.01.2020;01:00;0;82;-
02.01.2020;02:00;0;83;-
02.01.2020;03:00;0;82;-
02.01.2020;04:00;0;83;-
02.01.2020;05:00;0;82;-
02.01.2020;06:00;0;83;-
02.01.2020;07:00;0;90;-
02.01.2020;08:00;0;123;-
02.01.2020;09:00;0;143;-
02.01.2020;10:00;0;216;-
02.01.2020;11:00;0;184;-
02.01.2020;12:00;0;184;-
02.01.2020;13:00;0;223;-
02.01.2020;14:00;0;245;-
02.01.2020;15:00;0;263;-
02.01.2020;16:00;0;224;-
02.01.2020;17:00;0;151;-
02.01.2020;18:00;0;111;-
02.01.2020;19:00;0;84;-
02.01.2020;20:00;0;83;-
02.01.2020;21:00;0;94;-
02.01.2020;22:00;0;83;-
02.01.2020;23:00;0;88;-
03.01.2020;00:00;0;90;-
03.01.2020;01:00;0;84;-
03.01.2020;02:00;0;91;-
03.01.2020;03:00;0;91;-
03.01.2020;04:00;0;83;-
03.01.2020;05:00;0;83;-
03.01.2020;06:00;0;83;-
03.01.2020;07:00;0;83;-
03.01.2020;08:00;0;83;-
03.01.2020;09:00;0;83;-
03.01.2020;10:00;0;83;-
03.01.2020;11:00;0;83;-
03.01.2020;12:00;0;83;-
03.01.2020;13:00;0;83;-
03.01.2020;14:00;0;82;-
03.01.2020;15:00;0;83;-
03.01.2020;16:00;0;83;-
03.01.2020;17:00;0;83;-
03.01.2020;18:00;0;83;-
03.01.2020;19:00;0;82;-
03.01.2020;20:00;0;82;-
